"Name","Company","City","State","Salary","Description","Url"
"Sr. Business Intelligence Business Analyst","CGI","Baltimore","MD","$75k-$112k(Glassdoor Est.)"," Category:  Business Analysis (functional and technical) City:  Baltimore, Maryland, United States Position ID:  J0918-0093 Employment Type:  Full Time Meet our professionalsCGI: An employer of choice Position Description:Become part of a team to help a large government agency with developing and improving their enterprise Business Intelligence (BI) strategy, data quality and reporting. Your future duties and responsibilities:Provide technical guidance, expertise, and support for developing processes that support the client’s BI Strategy and Initiative, and other related tasks that pertain to using data as a strategic asset.  The qualified resource will perform the following activities: Participate in workgroup and project meetings, provide meeting agendas and notes, and give status reports.Provide recommendations on BI issues to be addressed to increase BI support and value across the agency.Interview Subject Matter Experts (SME) from various client components to identify business rules and requirements,Assist in developing project planning and implementation documentation and other lifecycle artifacts, as necessary.Research and provide industry studies, examples, and best practices for our BI strategies.Report development as necessary. Required qualifications to be successful in this role:• Outstanding analytical and critical thinking skills. Ability to work independently, conduct research, and present findings.Excellent oral and written communication skills, with ability to write formal reports.Proficiency with software such as Visio, PowerPoint, Excel.Ability to develop data analysis scripts utilizing SQL against potential DB2, Oracle, and SQL server databases; Senior level expertise in SQLExperience with developing dashboards and reports with BI tools such as Tableau and WebFocus 8.Subject Matter Expertise – The following skills are demonstrative of BI expertise:BI Report Development,BI and Data Analytics,Data Quality,Data and Business Intelligence Governance,BI Best PracticesDESIRED QUALIFICATIONSIndustry Business Intelligence (BI) views and developing BI initiatives #cgifederaljob What you can expect from us:Build your career with us.It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.  At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.  Be part of building one of the largest independent technology and business services firms in the world.  Learn more about CGI at www.cgi.com.  No unsolicited agency referrals please.  CGI is an equal opportunity employer.  Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.  CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com. You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned.  We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.  All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held.  CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI’s legal duty to furnish information.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=430931&s=149&guid=000001676cc2f21c979fa28fc03c2be5&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bcdbdc3c&cb=1543717975143&jobListingId=2925852682"
"Business Analyst","NewDay USA","Fulton","MD","$49k-$81k(Glassdoor Est.)","About the Job:NewDay USA is looking for a top notch business mind and modeler to support our operations and business development initiatives. Working closely with Sales, Finance and Human Resources and reporting to the Vice President of Business Development, the Business Analyst will be responsible for financial planning, human capital modeling, business operation planning and process improvements.Responsibilities:Effectively solve and communicate critical operational and financial mattersContribute to the development and execution of NewDay USA’s strategic goals and objectivesPrepare and analyze financial statements and provide key business insightsEstablish and monitor human capital performance, goal development and incentive structureIdentify opportunities for NewDay USA to leverage cross-functional strengths and improve and streamline operational functions in the companyCreate business models and reporting capabilities for various branches of NewDay USAProvide analysis and execution of capital marketsAbout You:You have 3-5 years of finance and operational experience with a proven track record of creative problem solvingYou have a Business, Accounting or Finance degree and a M.B.A. or are currently enrolled in a M.B.A program from a top tier accredited UniversityYou have advanced skills in SQL and ExcelYou are experienced with change management in a high growth environmentYou are an analytical and decisive decision maker with the ability to prioritize and communicate tactics necessary to achieve organizational goalsAbout NewDay USA:NewDay USA is looking for extraordinary team members to help change the lives of America’s veterans and to be a part of one of the fastest growing companies in Maryland. Our team is comprised of some of the most diverse, talented and energetic people anywhere in the financial services industry. They are also driven to excel by the exceptional opportunities for growth and advancement that are unique to NewDay USA. Join one of the fastest growing companies voted a “Top Workplace for Career Training” by The Baltimore Sun, and a “Top Entry Level Employer” by CollegeGrad.com.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=428213&s=149&guid=000001676cc2f21c979fa28fc03c2be5&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b05688d2&cb=1543717975145&jobListingId=1869399186"
"Business Intelligence Analyst- Junior","Anne Arundel Medical Center","Annapolis","MD","$65k-$87k(Glassdoor Est.)"," Refer  Save  Apply  Job ID: CHL-53237 Description: Position Objective:Join our analytics team and help us enable our healthcare providers to improve the lives of our patients. You’ll learn to think globally about the health of our patient populations and drive new insights into interventions that make patients healthier and make the healthcare system more financially sustainable. Use your interest in data analysis to really enhance people’s lives in a direct and measurable way.Essential Job Duties:Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Learns to become proficient in developing reports and analytical tools using Epic Reporting Workbench, Radar, Qlikview, Business Objects, and the Microsoft BI Stack.Collaborates with teammates to enable new insights using SQL and various healthcare analytics tools. Communicates effectively with users and teammates to gain consensus on proper timelines, project scope, and ensure desired outcomes are met. Works with users to ensure they are successful with the data we provide. Maintains positive professional relationships with customers.Documents work thoroughly and contribute to our culture of sustainable maintenance through adherence to standards.Applies Agile principles to daily work.Gains a detailed understanding of the business operations driving analytics needs.Educational/Experience Requirements:BS in Computer Science, Computer Engineering, or related disciplines preferred.Required License/Certifications:Must obtain EPIC certification within six (6) months of hire.Working Conditions, Equipment, Physical Demands:There is a reasonable expectation that employees in this position will not be exposed to blood-borne pathogens.Physical Demands – Light Light work. Exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for sedentary work and the worker sits most of the time, the job is rated for light work.The physical demands and work environment that have been described are representative of those an employee encounters while performing the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions in accordance with the Americans with Disabilities Act.The above job description is an overview of the functions and requirements for this position. This document is not intended to be an exhaustive list encompassing every duty and requirement of this position; your supervisor may assign other duties as deemed necessary. Requirements:  Expertise  Information Systems/ Information Technology  Information Systems/ Information Technology  Schedule  Regular Full Time  Regular Full Time  Location  Annapolis  Annapolis ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=175464&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_737b53b5&cb=1543717975146&jobListingId=2856520499"
"Business Analyst","Resource 1","Elkridge","MD",""," Resource 1 is seeking a Business Analyst for a contract position in Elkridge, MD. The initial term of the contract is 6 months, with expected extensions through all of 2019. The initial project is a modernization and re-write of existing clinical software, leveraging the latest web technologies (Angular/ .Net Core). Candidate should have at least 5 years of experience working as a Business Analyst in support of software development projects. Individual will be responsible for working with users at various levels to gather and write business/ functional requirements to be provided to the development team. Individual will create documentation including user stories, requirements, wireframes, use cases, workflows, etc. Axure will be used for wireframing on the project, so any prior experience would be a plus. Individual will join a team responsible for the full life-cycle development of web-based medical/ clinical software. Would prefer a candidate who has experience working in an Agile environment and is familiar with writing Agile artifacts and participating in Agile ceremonies. Prior healthcare industry experience would be a plus, but is not a requirement. Candidate must possess excellent communication/ documentation skills, energy and enthusiasm for technology. Qualified applicants can e-mail resumes to r1resumes@r1consulting.com for consideration. - provided by DiceBusiness Analysis, Technical Liaison, Agile, User Stories, Business Requirements, Functional Requirements, User Stories, Web Applications, SDLC, MS Office, MS Excel, MS Word, and Axure.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=320811&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aa3d8544&cb=1543717975147&jobListingId=3041697192"
"Sr Business Analyst","T. Rowe Price","Owings Mills","MD","$64k-$103k(Glassdoor Est.)"," Our mission as a leading investment management firm is to help our clients achieve their long-term financial goals. We believe our associates are the key to this mission and we are always looking for talented individuals who share our commitment to our client’s success. If you’re looking for challenging work experiences and the ability to learn in a collaborative culture, we invite you to explore the opportunities available at T. Rowe Price.PRINCIPLE RESPONSIBILITIES 1. Responsible for analyzing and defining business issues, opportunities, enhancements and implementing solutions. Independently leads moderate to complex projects and/or enhancements to existing processes, including oversight and execution of development, testing, implementation and, post-implementation support, and adoption within the organization. Projects may span weeks and/or months or years and involve coordination with both internal and external parties of various levels. Results have significant impacts on at least one or more groups within the organization  2. Provide analytical support to stakeholders concerning assets and flows data. Gathers and analyzes business requirements for moderate to complex projects as assigned. Incumbent performs necessary investigation, analysis and evaluation to determine feasibility. Incumbent develops and produces project documentation, proposals and business requirements and makes recommendation to stakeholders based on findings  3. Provide research and analytic capabilities regarding financial data for Senior Management. Assets and flows are complex in nature due to the various needs of organization. Focuses on the long-term support of business and it customers.  4. Responsible for using sound business judgment, technical knowledge and project management experience to navigate business lines, exercising influence and persuasion where appropriate. Incumbent works with various levels of the business lines and management and/or external vendors, in addition to internal technology groups, to successfully complete projects on time and within budget. QUALIFICATIONSPreferredBachelor’s Degree in Math, Finance or Accounting5 or more years of demonstrated technical or industry knowledgeProduct knowledgeIntermediate MicroStrategy experienceAdvanced Excel experienceIntermediate Access or SQL experienceIntermediate data visualization experience (Qlik or Tableau)Prior experience leading business/technology projectsUnderstanding of business software/systems analysis techniquesRequiredCollege degree and 2 years related work experience, orAssociate degree and four years of related work experience, orHigh School diploma/equivalent and six years of related work experienceStrong problem-solving, prioritization, and organization skillsExcellent communication and interpersonal skills; position requires interaction with all levels of internal staff and external customers.Self-motivated and self-reliant. Must work well independently and take initiative with assigned projects.Demonstrated ability to manage multiple prioritiesHigh level of analytical and problem-solving skills.Advanced communication skills, both verbal and written.Strong customer relationship skillsNegotiation skills.Process orientation. T. Rowe Price is an Equal Opportunity Employer","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=177205&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c1a84c93&cb=1543717975148&jobListingId=2927119516"
"IT Technical Analyst II","Venable LLP","Baltimore","MD","$53k-$91k(Glassdoor Est.)"," Venable LLP has an opening for an Information Technology professional to join our team in Baltimore, Maryland.  The Technical Analyst II will be responsible for participating in the building, implementation, assessment and management of the operational infrastructure procedures and processes needed to execute the IT services delivery lifecycle.  The ideal candidate will be responsible for... Collaborating with the technical design and architecture teams to transition and maintain multiple intermediate systems and servicesWorking with team manager to assess and evaluate service transition requirements prior to Service Management Office (SMO) acceptance of services or systemsParticipating in defining and maintaining roles and responsibilities for operational support during and after transition of new services and systemsCoordinating incident management process changes necessary to support transitioned systems and servicesContributing guidance on KPI’s and dashboards relative to system performance and service operationProviding input into the design and configuration related to managing and tracking configuration items effectively  The successful candidate will demonstrate...A minimum of 3 years of experience in the following areas: o Windows Server 2008+, with a strong understanding of Active Directory, File Shares/Permissions, DFS, DHCP/DNS, Application Fault Isolation  o VMware vCenter, including installation and management (or VCP4+)  o Network and patch management systems  o Administering Event management systems  o Multi-tiered database applications Strong knowledge of Web Server technologies such as IIS and/or ApacheStrong knowledge of database technologies and management tools; ability to create, test and run SQL scripts and jobsKnowledge of enterprise block and file storage systems such as EMC, Nimble and/or HitachiKnowledge of network devices and firewallsKnowledge of asynchronous replicationAbility to create PowerShell scripts to automate tasksExperience with IT Service Management processesA commitment to working as part of a team and offering feedback to facilitate positive outcomes.The ability to participate in the on-call rotation for after-hours and weekend support for major incidents or escalated problems. If you have a can-do attitude and are looking to be part of a highly motivated team of individuals who are naturally ambitious and driven, we’d love to hear from you. Apply today!  Venable LLP is an American Lawyer Global 100 law firm headquartered in Washington, DC, with offices in California, Delaware, Maryland, New York, and Virginia. Our lawyers and legislative advisors serve domestic and international clients in all areas of corporate and business law, complex litigation, intellectual property, regulatory matters, and government affairs. Additional information can be found at www.Venable.com.  Venable LLP is an Equal Opportunity/Affirmative Action employer, committed to ensuring our workforce reflects America’s diverse population.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=413822&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_58e30c22&cb=1543717975148&jobListingId=2993723228"
"Business Analyst","Anchor Technical Services","Columbia","MD",""," Job DescriptionJob Summary  CRISP is seeking a business analyst to join the Point Solutions team. The incumbent will join a team responsible for developing and delivering mission critical new software applications for the CRISP Health Information Exchange. The ideal applicant will be an excellent verbal and written communicator, will have an attention to detail, the ability to solve coordinate with a number of stakeholders, manage priorities, and the ability to identify and resolve problems. The business analyst plays a critical role on the software development team to ensure delivered products meet requirements.  ESSENTIAL DUTIES AND RESPONSIBILITIES  Include the following. Other duties may be assigned. Contribute to the design and development of software products that assist in facilitating the exchange of health information for healthcare professionalsTake ownership of business processes and product development and overall success of the serviceWork with different stakeholders and subject matter experts from different backgrounds (clinical, business, technical).Assist in coordination of the Agile/Scrum development process.Assist QA in the reviewing test cases and ensuring appropriate test coverage.Participate in full software lifecycle solution and learn new technologies.Help your team solve difficult problems - learning from and sharing with team members.Assist in the transition of developed services to operations teamsManage priorities and requests in an organized mannerUnderstand how services are being used and use that knowledge to inform future developments Qualifications  To perform this job successfully, the incumbent must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Ability to quickly understand and take ownership of business processes and product development plansAbility to work with many different stakeholders and subject matter experts from different backgrounds (clinical, business, technical)Experience with Agile/Scrum methodology, particularly with the Product Owner role and with writing User Stories and Acceptance CriteriaExperience with writing and executing test casesTake pride in delivering software that meets the client’s needsKnowledge of Agile incremental development methodsDemonstrated ability to work well on a diverse teamJira and Github experience preferredFamiliarity with Microsoft Azure preferred Company DescriptionAnchor Technical Services specializes in servicing organizations that are in need of highly skilled technical resources in the fields of Engineering, Environmental, Healthcare, Information Technology, and Science. Additionally, ATS works with qualified candidates to arrange career placement within leading organizations in a variety of technical sectors. What’s more, Anchor Technical Services delivers unparalleled customer service with an emphasis on follow through and attention to detail to ensure ideal placements and your long-term success.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=119796&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_05017941&cb=1543717975154&jobListingId=3041027872"
"Business Analyst","Maximus, Inc.","Baltimore","MD","$44k-$73k(Glassdoor Est.)"," MAXIMUS is a leading operator of government health and human services programs and has partnered with state, federal and local governments to provide critical, high quality health and human service programs to a diverse array of communities. Operating under MAXIMUS's founding mission of Helping Government Serve the People® since 1975, MAXIMUS Federal Services is entirely focused on helping government agencies run programs cost-effectively and serve program constituents with improved outcomes. By being a responsible steward for government programs, we help the federal government deliver on its promises through our people, process and technology. Our focus is always on outcomes and results that connect citizens more effectively with government services. Job Summary: The Business Analyst provides recommendations based on business analysis and subject matter expertise to the operations management team for improving operational performance. The Business Analyst provides guidance and recommendations for performing processes and procedures and provides direction for achieving production goals. Essential Job Duties: *Coordinates with business users to define business processing activities, data availability, and requirements, to implement operational procedures *Collects, analyzes and interprets both qualitative and quantitative data; performs analytical and root cause analyses *Utilizes management and planning tools (flow diagrams, affinity diagrams, gap analysis, and selection/prioritizing matrices) *Facilitates discussions between operations teams, technical teams and business stakeholders on business processes and procedures *Creates user acceptance test scripts/test plans *Assists in efforts to provide training, communication, presentations, and project documentation/artifacts *Assists in training and standards development among peer business analysts *Supports the project manager and/or product owner and stakeholders on project priorities *Assists in maintaining project deadlines, budgets, and schedules *Develops and produces reports as needed *Performs other duties as assigned Education and Experience Requirements: *Bachelor's Degree from an accredited college or university required; equivalent work experience will be considered in lieu of degree *At least three (3) years of experience in related field required *High level of proficiency in Microsoft Office applications, including Word, Excel, PowerPoint, Access, and Outlook *Experience with Microsoft Project, Vision and SQL *Proficient with software quality assurance and release management processes *Ability to analyze current situations with new requirements to synthesize into creative solutions Additional Requirements, as per contract/client: *United States Citizenship Bachelor's degree with 3+ years of experience. May have additional training or education in area of specialization. Develops solutions to a variety of problems of moderate scope & complexity. General application of concepts & principles. Contributes to the completion of organizational projects & goals. Frequent use and general knowledge of industry practices, techniques, and standards. Applies knowledge and skills to complete a wide range of tasks. Communicates on complex or sensitive issues or drafts such responses for supervisor or manager. A committed and diverse workforce is our most important resource. MAXIMUS is and Affirmative Action/Equal Opportunity Employer. MAXIMUS provides equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disabled status. - provided by DiceBusiness Analyst","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=320811&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b59e51c1&cb=1543717975154&jobListingId=3037462497"
"Business Analyst","FSR (Federal Staffing Resources)","Baltimore","MD",""," Job DescriptionBusiness Analyst job in Crownsville, Maryland. Business Analyst Job Overview:Analyze the business processes, procedures, organizational structure, etc. in order to identify problems and determine solutions that reduce risk and increase organizational effectiveness and efficiencyInteract with the business partners and internal and external stakeholders,including executive staff, to understand organizational processes and needsPerform detailed gap analysis to identify gaps between system functionality and organizational needs and document findingsWork with stakeholders to identify project scope, project objectives, project success criteria and project deliverablesCollaborate with project stakeholders and technical staff to elicit and document requirements (e.g. business, functional, non-functional, process models, etc.)Present solutions to business stakeholders and facilitate the iterative refinement of requirementsWork with the Development and Quality Assurance teams to ensure functional requirements are unambiguous and testableAssist in the creation of test cases to verify the system and validate the system and processes are functioning as expectedCreate and maintain project logs to ensure that issues and risks are documented and tracked to resolution; monitor project schedules and follow up with leadership with concerns related to project milestones and timelinesBusiness Analyst Job Qualifications:Bachelor's Degree from an accredited college in Business or Public Administration, Computer Science, Information Technology, Information Systems or a related fieldFive (5) years of experience as a business analyst or closely related experience in the analysis of student information systems.Exceptional analytical skills in order to properly interpret business needs and translate into functional requirementsAbility to work in both collaborative and independent environmentsAbility to work under aggressive timelinesAbility to communicate effectivelyThorough knowledge of the principles and practices of planning, developing, implementing, and maintaining student information systemsThorough knowledge of processes, methods, and techniques utilized to analyze and evaluate business operations and document requirementsKnowledge of programming concepts and various Systems DevelopmentLifecycle (SDLC) methodologies.Working Knowledge of Web Accessibility Guidelines 2.0.Fluent language skills and written communication ability.Experience with developing reports, documents, presentations, etc.Experience creating record documents, to include agendas, project logs, meeting notes, etc.Proficiency with MS Office, to include strong competency with Word, PowerPoint, Excel, Outlook.Proficiency in developing and presenting, both verbally and in writing, technical information and presentations to non-technical audiences. FSR is nationwide, award winning, multi-industry workforce solution organization. FSR has grown from providing healthcare professionals to government healthcare facilities to providing talent acquisition, recruiting, and specialized human resources for the private and public sector.  FSR matches talented individuals to organizations to create mutually beneficial, sustainable partnerships.  We invite you to join our team and grow with us!  FSR is a women-owned, minority, small business based out of Maryland. Ask about our Working Warriors Program.  FSRpeople.com","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=372858&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b8c3bc8b&cb=1543717975156&jobListingId=3044472477"
"Senior Analyst","Stansberry Research","Baltimore","MD","$48k-$76k(Glassdoor Est.)","Baltimore-based Stansberry Research is a high-growth, independent, subscription-based publisher of financial information, dedicated to helping millions of people around the world become better investors.We are a team-oriented, fast-paced, and results-driven employer. Everyone who works here can make a difference and has the power to influence the success of the company. We value people with great ideas who partner with others to take action and accomplish goals.What is the role we are recruiting for?We're looking for an enthusiastic, inquisitive entry-level SeniorAnalyst to join the research team of our market monitoring/trading service, Stansberry NewsWire. Working closely with the rest of the team, your goal is to research and analyze publicly traded equities, markets, economic, and political events and trends.Responsibilities include:Analyzing financial performance of selected companies.Interpreting data to understand industry dynamics, trends, and business drivers.Presenting research in written form, complete with rigorous citations, to the Senior Analysts.Communicating analysis and debating conclusions with the investment team.Monitoring news flow to single out the important topics of the day.*Your valued contributions will be published in our daily updates.What qualities do I need to have?Undergraduate degree (Bachelor of Science preferred)Minimum of 7 years professional experience working in a collaborative environmentAdvanced analytical skills and financial knowledgeProficiency in Microsoft ExcelExtraordinary writing skillsAbility to simplify complex ideasKeen interest in economics, the financial markets, and investmentsAbility to work on a diverse team under deadline pressureComfortable taking initiative and being resourceful/entrepreneurialStrong interpersonal and relationship-building skillsAbility to monitor, stay on top of, and relay the important trends and events in a specific sector of the marketWhat qualities are good for me to have, but not required?Experience analyzing, creating, and marketing investment ideasUnderstanding of macroeconomics and/or microeconomicsAbility to write creativelyExperience with a Bloomberg terminal As an employer recognized for our exceptional commitment to employees, we are able to offer a wide variety of benefits, programs, and services which address the needs of employees and their families. Our benefits include but are not limited to: medical and dental, disability, group life insurance, 401(k), paid holidays, and vacations.At Stansberry Research, we thrive on new ideas and the entrepreneurial spirit. Naturally, we always look for new people, explorers, and innovators. If you are interested in a career where your ideas won't only be heard but rather celebrated, we'd like to hear from you. Please forward your resume, cover letter and writing sample to: Analystcareers@stansberryresearch.com referencing Junior Analyst in the subject line.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status.About the Company:Founded in 1999 and based in Baltimore, Maryland, Stansberry Research is the largest independent source of financial insight in the world. It delivers unbiased investment advice to self-directed investors seeking an edge in a wide variety of sectors and market conditions.Stansberry Research has nearly two dozen analysts and researchers – including former hedge-fund managers and buy-side financial experts. They produce a steady stream of timely research on value investing, income generation, natural resources, biotech, financials, short-selling, macroeconomic analysis, options trading and more.The company's uncompromised insight has made it one of the most respected and sought-after research organizations in the financial sector. Stansberry Research has nearly one million readers and more than 350,000 paid subscribers in over 100 countries.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=425175&s=58&guid=000001676cc2f21c8e14c84fd828a52b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ab2a3439&cb=1543717975157&jobListingId=2828756292"
