"Name","Company","City","State","Salary","Description","Url"
"Business Systems Analyst / SCRUM Master","VARIDESK","Coppell","TX","$64k-$104k(Glassdoor Est.)"," As a Business Systems Analyst/Scrum Master you will work with the business, applications, and data teams to analyze, measure, and launch improvements to our e-commerce processes and technologies that will help enable our team to grow the business efficiently and effectively, and fill the role of Scrum Master for the technology team. You will be a key part of building a leading-edge customer engagement and commerce platform that is central to creating lifelong fans of Varidesk. DUTIES AND RESPONSIBILITES Own efforts analyze, design, and develop an e-commerce experience (processes and technologies) that ensure Varidesk creates lifelong fans of Varidesk Utilize scrum-based agile practices to prioritize work and collaborate release processes across all functions within IT and business stakeholdersSKILLS AND ATTRIBUTES Display expertise analyzing, measuring, documenting, and adjusting business processes, data flows, and enabling technologies to achieve demonstrable improvements Demonstrate expertise understanding customer experience and technology needs and decomposing needs into User Stories for technical teams to develop Experience delivering in scrum, agile, and other methodologiesQUALIFICATIONS Experience working the business users to create decompose their strategy/needs into business process flows, data flows, and requirements for the technology team to develop Experience with relevant technologies, including .Net, SQL, Docker, and Kubernetes, and modern cloud architectures using Azure, AWS, and similar providers Ability to run Agile ceremonies, including big-room planning, stand-ups, iteration planning, demos, and retrospectives 5+ years of overall experience with an emphasis on analysis and change to business processes, business analytics, and technology Superb communication (written and oral) and interpersonal skillsWhy VARIDESK?Were award winners:Best Place to Work Top 10 Dallas Business JournalNational Entrepreneurs of the Year EYFastest Growing Company in DFW SMUWe take health seriously:On-site gym with Peloton Cycle and daily group classesComprehensive Health PlansHealthy Foods and SnacksWellness Program and Insurance Premium DiscountsNicotine Free WorkplaceWe value our employees:All employees use VARIDESK productsEnhanced Paternity / Maternity ProgramsThree weeks of Personal Time Off a yearUp to five days of time off for VolunteeringOffsite Events and Happy HoursShort-Term and Long-Term Disability Premiums Covered at 100% by VARIDESK401k Plan with employer match","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=292882&s=149&guid=00000167668124e2b77db6f72f44554a&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_26ad4939&cb=1543612999502&jobListingId=2976770824"
"Business Analyst","Kelly Services","Fort Worth","TX",""," Our client, a top international Pharmaceutical/Healthcare firm, is currently seeking a Business Analyst for a 12 month temporary contract with the opportunity for an extension. The position is located in Fort Worth, Texas.  By working for our client, you will be exposed to a large global company (listed on the NYSE), work for a leader in the R&D, manufacturing and marketing of healthcare solutions, work in a fast paced corporate environment and be an integral part to the team. In addition to working with the world’s most recognized and trusted name in staffing, Kelly employees can expect: -Competitive pay -Paid holidays -Year-end bonus program -Recognition and incentive programs-Access to continuing education via the Kelly Learning Center The hours for this position are as follows:  • Monday to Friday 8-5pm Your responsibilities will include (but not limited to):Support decision making and analysis on current and future pricing programsCustomer level pricing analytics, forecasting or modeling conceptual scenarios, calculating customer level rebate payments, automating/managing 40K+ customer pricing profiles in excel for ready use, and providing database support to the pricing team.Candidate will also be responsible for responding and managing workflows, questions, and support from the field.Excellent analytical, problem solving, and organizational skillsStrong attention to detail and confidentialitySelf-starter with appropriate initiative to ensure seamless delivery to internal customersAbility to consistently meet deadlines and function under pressureGood communication skillsExperience with database management systems and Microsoft Office programs including advanced ExcelAbility to handle ad-hoc requestsFinance background preferred but not required.**Important information: This position is recruited for by a remote Kelly office, not your local Kelly branch. If you have questions about the position, you may contact the recruiter recruiting for this position (tanr937@kellyservices.com)Why Kelly®? At Kelly  Services®, we work with the best. Our clients include 95 of the Fortune  100™ companies, and more than 70,000 hiring managers rely on Kelly annually to access  the best talent to drive their business forward. If you only make one career connection today, connect  with Kelly.About  Kelly Services® As a workforce advocate for over 70 years, we are proud to directly employ nearly 500,000 people  around the world and have a role in connecting thousands more with work through our global network of  talent suppliers and partners. Revenue in 2017 was $5.4 billion. Visit kellyservices.com and connect with us on Facebook, LinkedIn and Twitter.Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females,  Individuals with Disabilities, Protected Veterans, Sexual Orientation, Gender Identity and is  committed to employing a diverse workforce. Equal Employment Opportunity  is The Law.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=247422&s=149&guid=00000167668124e2b77db6f72f44554a&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ded0440b&cb=1543612999503&jobListingId=3026348788"
"Systems Analyst, Business Technology","American Airlines","Fort Worth","TX","$30k-$59k(Glassdoor Est.)"," Location: Integrated Operations Ctr (DFW-IOC0)  Additional Locations: None  Requisition ID: 23798OverviewJoin us for a career with endless possibilities. Looking for a job where a passion for innovation, a culture of teamwork, and opportunities for growth are valued and rewarded? You’ve come to the right place.  You don’t have to be an airline aficionado to join American Airlines. It takes more than cool planes to keep us ahead of the curve, and thanks to our team of behind the scenes professionals, we do just that. As the largest airline in the world, American Airlines is in the business of serving the global travel needs of our customers. At the core of the Company is our commitment to each customer and each employee. We are dedicated to developing and delivering what our customers value and are willing to pay for. Customer-centric planning, innovative marketing, and an exceptional customer experience are supported by a cadre of talented people.  What does it take to join us? We’re glad you asked! We expect exceptional skills in your discipline and a dedication to being the best as we relentlessly pursue our goal of being not just the largest airline in the world, but also the best airline in the world.  Fortunately, we’re building on almost a century of innovation and firsts in our industry – and we plan to continue that tradition of excellence. About The Job The Systems Analyst will serve as a liaison between Business Technology and TEQ (Training, Engineering and Quality) Departments.  The person in this role will play an instrumental role in supporting the applications rolled out by the Business Technology Team.  Responsibilities: Streamline customer support requests for SharePoint, K2 and Lotus NotesTrack and manage analytics for the “Business Technology Work Request” systemDevelop and maintain strong business relationships with our TEQ customersAssist as needed with documentation of workflow projects across TEQSupport users of SharePoint, K2 and Lotus Notes related to system access and permissionsCreates and delivers Training for TEQ employees in the areas of SharePoint and K2Assist with the development of test scripts for system testingComplete other assignments and projects as directed by ManagerAdminister Business Technology’s SharePoint siteQualificationsRequired QualificationsBachelor’s degree (4 year degree) or equivalent experience/trainingExcellent organization skills with the ability to multi taskStrong aptitude for problem solvingDemonstrated ability to analyze business needsProficient with Microsoft Office products such as Word, Excel, Access and OutlookMust possess the ability to properly prioritize workload, delegate tasks, and work in a stressful environmentExperience in conflict resolution and negotiation a plusGood understanding of Tech Pubs systems, Maintenance operation and Engineering businessTravel is required for this positionPreferred QualificationsAviation maintenance experience/knowledge desiredSharePoint experience desiredAdditional Locations: None  Requisition ID: 23798 Nearest Major Market: Fort Worth Nearest Secondary Market: Dallas Job Segment: Systems Analyst, Engineer, Developer, Sharepoint, Technology, Engineering, Aviation23798","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=197355&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_689dad59&cb=1543612999505&jobListingId=3027375387"
"Entry Level Business Analyst","rootliquids","Fort Worth","TX",""," Company DescriptionRoot liquids softwares is a web and mobile application development company. Our purpose is to help businesses and professionals excel in the technology environment through strategic, efficient and effective solutions catering to their unique needs. We provide professional development and consulting services in web and mobile applications development. Our service reaches out to web based solutions including website designing, eCommerce solutions and integration solutions as well as applications catering to advanced mobile technology.Job DescriptionWe are providing free online training and marketing for business Analyst. Entry Level Business Analyst looking for a position with a leading company, we are a leading staffing firm and our clients include some of the nations biggest companies. Our client has a need for an Entry Level Business Analyst. If you have the background we are looking for, and you are interested in an opportunity to get your foot in the door with leading company, we want to talk with you! Responsibilities:Develops and maintains product specifications, engineering decisions, Common Specifications System, factory Bills of material and the drawing imaging system to ensure that complete and accurate specifications and drawings for less complex parts and assemblies are available to manufacturing and other information users.Works from an Engineering Change Order (ECO), ensuring that the data is accurate and conforms to the common specification guidelines. Creates and modifies production level specifications in the factory data base using inputs from an Engineering Change Order (ECO) and sister factory decisions.Organizes, enters and maintains data for specific programs. Qualifications• Bachelor's or Master's Degree  • Strong Communication & Technical skills  • Responsible, dependable, quick learner  • Demonstrated ability to adapt to new technologyAdditional InformationIf You Need We Offer: • Free Online training  • Job Assistance and Support  • Real-time Certified S/W Trainers  • Company participates in ""E-verify"" program  • Placement in average of 4 weeks of marketing  • Online & onsite support provided  • Strong and motivated marketing team  • Great Marketing Support  • Mock-Interviews and interview training  • Placement in average of 4 weeks of marketing Training Process: • 2 to 3 week online training using WebEx  Training provided by instructors with extensive industry experience  • Teaching with 70% exercise and 30% lecture  • Real time examples and case studies to practice with  Let us support you to continue moving towards your career goals. We are committed to helping you succeed.  Interested? Feel free to call me at 609-796-2021 ContactDetails:Srikanth Makala609-796-2021","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4134&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_14dfbb9e&cb=1543612999506&jobListingId=3042109802"
"Business Operations Analyst","Cessna","Fort Worth","TX","$52k-$83k(Glassdoor Est.)","We are pioneers. We were the first to break the sound barrier and to design the first functional jetpack. We were aboard NASA’s first lunar mission and brought advanced tiltrotor systems to market. Today, we are defining the future of on-demand mobility. At Bell, we are proud to work for an iconic company with superb talent, rapidly creating novel and coveted vertical lift experiences. Bell is seeking a Business Operations AnalystMonitor, analyze, and communicate trends in the active fleet. Develop robust analytical tools to regularly monitor fleet activity by dimensions of aircraft type, mission, region, and operator. Develop and maintain a solid understanding of our customers, their businesses, and how they use our products and services.Flight hours trends and forecasting. As an extension of fleet analysis, interpret sparse flight hours reporting to generate a representation of total flight activity. Determine macro-economic drivers of flight activity for the purpose of forecasting future fleet operations. Integrate this model into forecasts for spare parts production requirements.Coordinate with the Fleet Data team to develop infrastructure of data transfer and quality requirements to maximize analytical capability.Report back data gaps and requirements to drive improved data gathering and preparation.Enable sales proposals with all necessary supportability data, including typical fleet profiles and parts requirements as driven by fleet size and lifecycle stage.Leverage available tools to support ad hoc data requests from various CSS organizations. Develop new capabilities and methods as needed. Promote efficient processes for data-driven decision making that increase revenue and profitability for Bell Helicopter.Don’t miss the chance to join a diverse, inclusive environment that embodies one of our core values, Lift Each Other Up. As a member of our global workforce, you will collaborate with dedicated, enthusiastic teams where differences in experiences, backgrounds and ideas combined with a strong passion for our products take us above and beyond flight. Position Requirements:Bachelors in business, math, engineering, science, or software development; Masters preferred.7 years in a technical analysis role, including engineering design, financial analytics, or business intelligence.Proficient with Microsoft Office applications and analytical coding languages such as MATLAB, Python, or R. Understands statistical analysis and simulation including regression analysis.Preferred:Working knowledge of Bell business systems like SAP, CRM, and Enovia","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=3839&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a047e35c&cb=1543612999507&jobListingId=3011175808"
"Entry Level Data Analyst","Kelly Services","Irving","TX",""," Kelly Services is actively seeking an Entry LevelData Analyst forNissan at theirIrving, TX location. This is a long term indefinite contract opportunity to join a great team!  Job Description:  The Marketing Sales Analyst collects and analyzes data to conduct sophisticated analysis of sales and marketing data namely in automotive remarketing. Responsible for identifying and monitoring sales trends and recommend marketing strategies relevant to market conditions or changes in the industry that may affect sales. Design surveys (e.g., by phone, Internet, via mail, etc.) to measure dealer buying preferences and identify prospective markets for products. Produce marketing collateral to reach target audience and increase sales while meeting/exceeding customer/dealer service levels. Create auction sales calendar of events and publish to internal & external websites; coordinate and participate in auction sale events as necessary.  Job Functions: Monitor project costs. Research projects and prepare correcting entries, as necessary. Prepare project cost accruals. Possesses knowledge of industry joint interest and revenue operations. Conducts analysis of management and operational problems and formulates improvement plans where necessary.Monitors and reports on progress against established profit targets.Monitors and conducts business analysis of program performance on an on-going basis. Minimum Requirements: Education Required: Bachelor's DegreeExperience: 2 - 5 YearsWorking knowledge of PowerPoint, Excel spreadsheet, other PC applications, or mainframe applications to produce non-standard, creative products. Candidate Should Posses: Knowledge of auto remarketing industry a plus, but not requiredExperience posting content (e.g., sales calendar, marketing news, etc.) in Intranet portalExcellent written and oral communication skillsExceptional analytical skillsExcellent follow up skills, proactive, creative thinker with ability to readily identify opportunities to improve Remarketing sales and marketingDetail-oriented and highly organized with a proven aptitude for managing multiple tasks/projects simultaneouslyHighly flexible and adaptable to change; agile learner with ability to meet deadlines If you're qualified and interested, apply now. Or refer a friend!  This position is being recruited by a remote Kelly office, not your local Kelly branch. To be considered for this position, you must use THE APPLY now button below to submit your resumes. Due to the high volume of responses anticipated, only qualified candidates will be contacted.Why Kelly®? At Kelly  Services®, we work with the best. Our clients include 95 of the Fortune  100™ companies, and more than 70,000 hiring managers rely on Kelly annually to access  the best talent to drive their business forward. If you only make one career connection today, connect  with Kelly.About  Kelly Services® As a workforce advocate for over 70 years, we are proud to directly employ nearly 500,000 people  around the world and have a role in connecting thousands more with work through our global network of  talent suppliers and partners. Revenue in 2017 was $5.4 billion. Visit kellyservices.com and connect with us on Facebook, LinkedIn and Twitter.Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females,  Individuals with Disabilities, Protected Veterans, Sexual Orientation, Gender Identity and is  committed to employing a diverse workforce. Equal Employment Opportunity  is The Law.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=247422&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ea94e2df&cb=1543612999508&jobListingId=3001926733"
"Business Analyst","Toll Brothers","Grapevine","TX","$48k-$80k(Glassdoor Est.)","Join an award-winning company!Toll Brothers, America's Luxury Home Builder, seeks a Business Analyst to assist in the management of existing and future developments in the Dallas and Forth Worth markets. This position will be based out of our office in Grapevine, Texas.  The Business Analyst will work to perform sophisticated land use and financial analyses, participate in due diligence, including concept land planning, environmental, utility system, and title analysis. They will also work with our project teams including purchasing and sales groups for financial management for communities that are actively selling and constructing homes. Additionally, the Business Analyst will drive the analysis of the building market in the targeted areas of growth and on existing selling communities.  The Business Analyst will have a Bachelor's degree in Business, Finance, Accounting, or Economics, be detail-oriented and highly motivated. A high level of aptitude in Microsoft Excel is sought after. The Business Analyst will work with our Land Acquisition Manager, Director of Community Design and Start-up, Purchasing Manager, and Division Accountant collectively as a team.  This is an excellent opportunity to join one of the nation's most respected Fortune 500 companies!2018 WORLD’S MOST ADMIRED COMPANIES LIST  #1 in Home Building Four Years in a Row FORTUNE magazineA Bachelor's Degree in Business, Finance, Accounting or Economics. A Master’s Degree would be a plusHighly organized with solid analytical skills and understanding of complex financial analysis If you are an aggressive, forward-thinking real estate development professional, don't miss this opportunity to join our dynamic team as we continue to grow as one of America’s most elite real estate developers!  We offer an excellent benefits package that includes comprehensive medical/dental, 401(k) with a company match, discounted stock purchase, discounts on mortgages, homes, appliances, and much more! Come see why Toll Brothers has been attracting and retaining some of the best professionals in the industry!  APPLY ONLINE TODAY!","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=52448&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_05edf4d7&cb=1543612999508&jobListingId=2952519576"
"Business Analyst","Ivie & Associates","Flower Mound","TX","$46k-$75k(Glassdoor Est.)","Company Overview Ivie & Associates is a full-service marketing solutions company that works with many of the world’s top customer service organizations. In short, we know marketing and advertising, and we’re comfortable remaining behind the scenes, working hand-in-hand with our clients with a can-do attitude to help them achieve their marketing goals. Acting as an extension of the client, we define our successes by their success, and we measure our accomplishments by their satisfaction. When you work with Ivie & Associates, you work with some of the biggest retailers in the U.S. and the world. Job Overview The Business Analyst is an essential role in the Marketing Innovations & Technology team who is responsible for researching, gathering, and documenting requirements and later collaborating with team members to frame out and translate these requirements into meaningful user experiences and strategies and ensuring quality products. The Business Analyst will solicit requirements through interviews, workshops, and/or existing analytics, systems documentation or procedures  Ivie & Associates expects that the Business Analyst will act at all times to assure the highest level of ethics, professionalism and personal performance possible. He or she will work enthusiastically to meet or exceed all performance goals set by Ivie & Associates, and will contribute his or her utmost to assist Ivie & Associates in achieving its stated goals. Ivie & Associates, Inc. expects that all employees, including the Business Analyst, to fully support Ivie’s position/relationship with its Clients. The Business Analyst is expected to:Provide Analysis and Solution Definition.Quickly understand the business issues and information challenges of client's organization and industry.Identify client organization's strengths and weaknesses and suggests areas of improvement.Create requirements, specifications, business processes and recommendations related to proposed solution.Frame and align client needs to best of breed web solutions based on industry knowledge, including:Content Management SystemsSocial MediaMobileThird Party Integration (APIs, XML, Web Services)Rich MediaBrowser Capabilities (Responsive Design, HTML 5, CSS3)Gather Requirements by:Leading brainstorming sessionsConducting stakeholder interviewsPerforming competitive analysesPerforming heuristic evaluationsLeveraging third party researchPerforming original industry researchCreates/revises the following analysis artifacts:Business Rules and RequirementsUses Cases, User Stories, and User FlowsDefine Functional Requirements and SpecificationsSystem/Technical RequirementsQuality Assurance Acceptance TestsPresent complex concepts in a meaningful and concise manner for clients, project stakeholders, team members, and end users.Understand organizational dependencies, regulatory constraints, technical limitations, and other factors that may impact the user experience.Identify risks and provide potential solutionsCommunicate and collaborate with project managers, information architects, developers, designers, and clients in all stages of the project lifecycle.Work in a team environment.Provide technical recommendations and perform testing.Support testing efforts.Help ensure issues are identified, tracked, reported on, and resolved in a timely manner.Work with project team for impact analysis of requirement updates.Support change control and change management activities.Education & ExperienceBachelor's degree in business administration, information systems, or related field, or equivalent combination of education and experienceAt least 2 years prior analyst experience preferredUnderstanding of Agile Development MethodologyExperience in managing small to medium sized projectsDemonstrated skills in helping competing groups come to consensusExpertise in modeling of business processes - both current and futureWorking knowledge of business process and system developmentExcellent verbal & written communication skillsStrong analytical, organizational & time management skillsHelps ensure issues are identified, tracked, reported on, and resolvedUnderstanding of Agile Development MethodologyWorks with project team on impact analysis of requirement updates.Supports change control and change management activitiesExperience dealing with external vendorsExperience setting up test scenariosExperience/understanding of business process modeling concepts, business systems development and analysisDemonstrates the ability to perform well and remain organized under tight deadlinesAwareness of general advertising, marketing, media, TV and radio terminology and processesMS Project and MS Visio a plusAwareness of general business, CRM and IT strategyAbility to speak, read and write in the English languageKnowledge of the web, internet, and FTP technologyKnowledge of technical solutions and troubleshooting techniquesExperience with Microsoft Word, Excel, Outlook, and PowerPointTravelTravel as required by Director or Manager LIND601","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=52448&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ad38507b&cb=1543612999510&jobListingId=2910581360"
"Business Operations Analyst","CBRE","Irving","TX","$66k-$106k(Glassdoor Est.)"," Business Operations Analyst =========================== New  Irving, Texas, United States  Administration/Operations  17 hours ago Post Date ******* Requisition # Apply for JobShare this JobJoin our Talent Network JOB SUMMARY  Working under direct supervision, provides routine day-to-day  operations and administrative support for a business unit or large  department. Assists in coordination of budget, process improvement,  controls for specialized software and other functions enabling the  department to meet objectives in an effective and efficient manner. ESSENTIAL DUTIES AND RESPONSIBILITIES Analyzes monthly department budget reports to maintain expense  controls. Prepares commentary and explanation of variances for  management review.  Assists in systems administration for specialized software utilized by  the business group to support its operations. Researches and resolves  routine support issues. Follows-up to ensure open issues are resolved.  Assists in preparing user reference material.  Troubleshoots and resolves simple inquiries and requests from internal  and external clients.  Reviews and monitors department processes and procedures to identify  opportunities to improve service delivery to internal and external  customers. May network with external contacts to research and  recommend best practices.  Coordinates budget preparation. Researches and collects input from  multiple internal and external resources.  Compiles a variety of operating, financial and statistical information  as needed to respond to management requests. Coordinates work with  other departments. May add commentary to complete analysis reports and  proposals.  Assists in communication of best practices, policies, procedures and  initiatives to support operations. Helps to facilitate process  improvement by engaging appropriate resources in issue identification  and resolution.  Assists in developing project plans and costs, including personnel and  fiscal requirements to achieve defined objectives. May provide  periodic updates relative to project resource and fiscal plans.  Performs other duties as assigned. SUPERVISORY RESPONSIBILITIES No formal supervisory responsibilities in this position. Provides  informal assistance such as technical guidance, and/or training to  coworkers. May lead project teams and/or plan, and supervise  assignments of lower level employees. QUALIFICATIONS To perform this job successfully, an individual must be able to  perform each essential duty satisfactorily. The requirements listed  below are representative of the knowledge, skill, and/or ability  required.  Reasonable accommodations may be made to enable individuals with  disabilities to perform the essential functions.  EDUCATION and EXPERIENCE  Bachelor's Degree (BA/BS) or equivalent from four year college or  university plus a minimum of two years related work experience to  include budgeting, finance and or business analytics; or equivalent  combination of education and experience.  Work experience related to specific department or business unit  function preferred.  CERTIFICATES and/or LICENSES  None COMMUNICATION SKILLS Excellent written and verbal communication skills. Strong  organizational and analytical skills. Ability to provide efficient,  timely, reliable and courteous service to customers. Ability to  effectively present information. FINANCIAL KNOWLEDGE Requires knowledge of financial terms and principles. Ability to  calculate intermediate figures such as percentages, discounts, and/or  commissions. Conducts basic financial analysis. REASONING ABILITY Ability to comprehend, analyze, and interpret documents. Ability to  solve problems involving several options in situations. Requires  intermediate analytical and quantitative skills.  OTHER SKILLS and ABILITIES  Advanced proficiency in Microsoft Office Suite. Spreadsheet skill set  to include advanced functions such as graphics, pivot tables. SCOPE OF RESPONSIBILITY Decisions made with understanding of procedures and company policies  to achieve set results and deadlines. Responsible for setting own  project deadlines. Errors in judgment may cause short-term impact to  co-workers and supervisor.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=182759&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cac11add&cb=1543612999511&jobListingId=3040283893"
"Business Analyst","Lockheed Martin Corporation","Fort Worth","TX","$70k-$113k(Glassdoor Est.)","Description:The Analytics and Enterprise Information Management (AEIM) directorate is seeking a talented business analyst to join our team to facilitate effective and organized analytics and information management activities within the Lockheed Martin analytics community at large. The ideal candidate will be well versed in the importance of effective data management and curation as it relates to supporting and enhancing an organizations business processes, and in the fundamentals of effective project management. In this position, youll play a key role in helping to define and/or enhance the way we conduct and govern our analytics projects, collaborate with technical and business stakeholders to mature our data management strategy and operations. Along the way, youll collaborate with an incredible array of technical and non-technical stakeholders in Lockheeds analytics community, accelerate your learning about how to advance our business through data and analytics, and help to shape Lockheeds transformation into a data-driven organization. MUST BE A US CITIZEN.Basic Qualifications:-Experience with workflow programming-Basic familiarity with data management (data modeling, ETL, etc.) -Basic familiarity with Lockheed Martin business processes-Ability to effectively communicate at different levels across the organizationDesired Skills:-Experience as part of cross-functional, diverse, and virtual teams-Familiarity with SharePoint content management and basic administration-Familiarity with development team collaboration and code management tools-Familiarity with Tableau project development-A commitment to continuous learning and professional development-Ability to establish relationships across the organization in order to gain understanding of enterprise wide initiatives-Exceptional communication skills, both verbally and written-High energy level and strong work ethic and ability to work in a dynamic environment.-Strong problem solving skills-Experience with unstructured text analysis-Experience with open-source intelligence collection and analysis-Experience applying statistical analysis to business problem sets and survey data-Experience with enterprise data governance or managementBASIC QUALIFICATIONS:job.QualificationsLockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.As a leading technology innovation company, Lockheed Martins vast team works with partners around the world to bring proven performance to our customers toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.Join us at Lockheed Martin, where were engineering a better tomorrow.EXPERIENCE LEVEL:Experienced Professional","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133498&s=58&guid=00000167668124e2b6209296571c144e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_62b57977&cb=1543612999512&jobListingId=3031176299"
