"Name","Company","City","State","Salary","Description","Url"
"Business Intelligence Analyst","CBS Interactive","Burbank","CA","$63k-$86k(Glassdoor Est.)"," Business Intelligence Analyst Apply Ref#: 32123CBS Business Unit: CBS InteractiveJob Type: Full-Time StaffJob Location: Burbank, CA, USAbout Us:CBS Interactive is the premier online content network for information and online operations of CBS Corporation as well as some of the top native digital brands in the entertainment industry. Our brands dive deep into the things people care about across entertainment, technology, news, games, business and sports. With over 1 billion users visiting our properties every quarter, we are a global top 10 web property and one of the largest premium content networks online.Check us out on The Muse, Instagram and YouTube for an inside look into 'Life At CBSi' through employee testimonials, office photos and company updates.Description:The Business Intelligence Analyst will be a key member of the CBS Digital Media Data & Insights team developing and generating reports, insights, & analysis across multiple systems. You will be responsible for identifying business, editorial, and product opportunities, challenges, and trends and be able to communicate your findings effectively to a variety of stakeholders. This role will be primarily focused on data analysis work related to a new OTT video property.Your Day-to-Day:Build and manage reports showing the health of key performance metricsWrite SQL to query a data warehouse (BigQuery) for data in order to answer questions from a variety of stakeholdersPresent insights and analysis to different teams and stakeholdersWork closely with product teams to represent and capture business goals and initiativesDevelop automated dashboards and reports that allow non-data savvy users to generate insights and answer questions in a self-service fashionMake recommendations to product, editorial, and marketing teams on tactical adjustments to improve performanceLeverage 3rd party data, tools, and research to identify marketplace and competitive trends and opportunitiesKey Projects: Building dashboards (using Google Data Studio, Tableau, and other BI tools) that illustrate how key performance indicators (KPIs) and metrics are changing over time.Developing reporting focused on video content performance, audience loyalty, and live stream consumptionRefining reports, dashboards, and insights based on the needs of a new and rapidly changing OTT channelQualifications:What you bring to the team:You have -BA/BS or equivalent training and experience in Business Analytics2-3+ years of experience in online video/digital media with data analysis as a key component of the workProvides accurate information in a usable form and on a timely basis. Communicates clearly and succinctly, adjusts to a variety of styles and audiences, and tells compelling stories with dataProficiency in web analytics, video analytics (Adobe Analytics and/or other robust data solutions) Adept with presentation tools and services (Google Docs, Tableau, Google Data Studio, Keynote, PowerPoint, etc.)You might also have -A background in news/online publishing and/or experience in television/OTTAptitude in statistics and/or mathematicsEEO Statement:Equal Opportunity Employer Minorities/Women/Veterans/Disabled Apply ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=423201&s=149&guid=000001676563a3db879a2c15f33d3aa1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e5e80f8e&cb=1543594288762&jobListingId=2993432640"
"Business Intelligence Analyst","Verve","Los Angeles","CA",""," Verve-BIAnalyst-LA - Business Intelligence Analyst - Data GuruWhat skills will you need most? This role will require someone to be especially strong in these areas: Problem solving and analytical abilities: the ability to understand a problem, break it down and execute to provide the answer. Beyond analyzing the problem in its own right, you must be able to triage incoming problems and discern the relative importance and urgency of new and existing problems in order to prioritize your work effectively.Working with complex SQL statements and LookML files.Proactive communication.If you've done APIs in Python or with other back-end languages such as Java or C++, such skills are highly desirable.If you've used Looker or similar BI tools, we'd definitely like to talk! You've read this far and you know this is just the kind of stretch challenge you long to tackle - so please apply on line today for our careful consideration.  Is playing with data and teaching business stakeholders how to use it effectively your idea of a fun career? As our Business Intelligence Analyst at Verve, your main focus will be to design, implement, and document a business intelligence system for Pollen, our new B2C initiative. As the sole BI Analyst based in our Los Angeles office, you will join a small, agile, and geographically-dispersed BI team in facilitating a company culture of better decision-making. You will work cross-functionally with managers, team leads, and data-hungry employees to provide digestible, impactful, and actionable business insights.  Your mission is to cultivate an expert familiarity with our distinct business processes and flows, with the ultimate goal of empowering employees with the insights necessary to excel. Combining your business acumen with your unparalleled knowledge of our multiple underlying data models, you will build flexible reports and dashboards. These tools will be optimized to serve most day-to-day business needs and will ensure that our deliverables meet the highest possible caliber of data integrity. Intrigued? Read on for more details. What will you achieve in the next 12 months?Observe data needs and usage across departments and keep your colleagues informed of the latest improvements in our data reporting systems. By doing so, you will be the eyes, ears, and voice of Business Intelligence in North America for our Pollen group.Build, maintain, and improve upon models and dashboards in Looker, ensuring that every team feels confident in finding what they need and is informed in their decision-making. Consistent and thorough documentation of key fields and tables will be essential for driving engagement within the organization.Prepare comprehensive reports and analyses in response to ad hoc data and insight requests and as part of your own explorative curiosity.Work closely with cross-functional teams to ensure that data and reporting in  our systems is accurate and effective. Verve is building a platform which enables our global network of advocates to sell products and services they love to their friends in exchange for unique experiences and rewards. We‘ve established a beachhead in live entertainment and work with some of the biggest events in the world, and are rapidly expanding our festival and event portfolio across the U.S., UK, Europe, and Australasia. As we continue to expand rapidly within this market, we’re also developing and launching exciting new technology for events to connect directly with their biggest fans. At Verve we believe in a culture of freedom and ownership.  We empower you to own the value you create and impact on our future success. And we believe that to act as an owner you should be empowered to work in the way that enables you to deliver the best results – how and when you do is up to you. You choose your hours, where you work, the meetings you attend and the amount of holiday to take in order to create the most value and be at your best.https://app.hiremojo.com/mojo/jobs/#/candidate-experience/jobs/459704510&sourceType=29","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=410676&s=149&guid=000001676563a3db879a2c15f33d3aa1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_64f05c34&cb=1543594288764&jobListingId=3006920013"
"Business Analyst","InvestCloud","Los Angeles","CA","$92k-$144k(Glassdoor Est.)"," Job DescriptionPosition Overview InvestCloud is looking for an intelligent, practical individual with experience in delivering financial technology. This role affords the ability to make an impact internally, and on InvestCloud’s largest client relationships. The ideal candidate will have very strong analytical and organizational skills, a strong sense of ownership, a demonstrated history of positive results in delivering financial technology, a genuine willingness to learn, and the capability to quickly master new skills. Key Responsibilities:Conduct analysis on clients' project objectives and define optimum solutionConduct data analysis based on source data systems and target staging tables; drive design with Integration developersDeliver agreed-upon products within committed timeframes; while managing scope and change rigorouslyDrive Quality Control through unit testing and deliverable pre hand-off testingDevelop detailed documentation to train client users on the purchased products and ensure efficient handoff to Production Support upon go-liveDefine project tasks from project objectivesRequirements:Minimum of 5 years as Business Analyst in Fintech, consulting, or related industry. Work experience in-house or as a service provider to investment managers preferredBachelor’s Degree in Accounting, Economics, Engineering, or related field Graduate Degree a plusExpert with Excel and Data Analysis, including modeling, lookups and macro writingKnowledge of investment management, portfolio accounting, financial market data and performance calculationsAbility to handle stressful situations with perseverance and professionalism  Possess business savvy but a techie at heartBrilliant communication and client presentation skillsTechnical software spec writing and documentationSuperior time management and negotiation skillsProven track record of strong scope and change controlAdditional exposure and experience considered a plus: SQLJavaData Modeling and MappingUnderstanding of Product Development Lifecycle  and SaaS deliveryExperience as a Data or Research Analyst Company DescriptionHeadquartered in Los Angeles with a global presence, InvestCloud develops first-class, financial digital solutions, pre-integrated into the cloud. By empowering investors and managers with a single version of the integrated truth through its unique digital platform, InvestCloud creates beautifully designed client experiences and intuitive operations solutions using an ever-expanding library of digital modular apps. The result? Powerful products for individual investors and institutions alike, assembled on-demand to meet clients’ specific needs.  Today the InvestCloud platform supports some of the largest banks in the world with substantial assets. In addition, for managers under $40 billion, InvestCloud supports over $1.7 trillion of assets across 670 diverse clients – from wealth managers, institutional investors & institutional asset managers to family offices, asset services companies, financial platforms & banks.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=85058&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_adca11fb&cb=1543594288766&jobListingId=3019874940"
"Business Analyst","Irvine Technology Corporation","Los Angeles","CA","$66k-$107k(Glassdoor Est.)"," Job Description**NEW** Business Analyst- 6 month contract  Location: Downtown LA  Pay: $55-58/hour  IMMEDIATE NEED for a Business Analyst who will provide technical business analysis to develop, create, and modify software applications in conjunction with business users that meet their technological needs. Responsibilities:Creates Business Requirements Documents (BRD), Functional Specifications Documents (FSD), Nonfunctional Requirement Documents and Use Cases Specifications;Interpret, analyze and document business requirements with the appropriate business leaders/stakeholders and work with developers and team leads to translate user needs into functional specifications;Manage business and technology projects using project management methodologies, including tracking project financials;In conjunction with Quality Assurance, develop and direct software system testing and validation procedures, review and approve test scripts, user and quality assurance acceptance testing;Review and approve test scripts, project expected results and verify functional integrity of the system design;Participate in the identification and resolution of complex production support issues, detecting root issues and identifying requirements gaps;Qualifications:Advanced knowledge of technologies including business process tools such as MS Project, Excel, Access and Visio;Advanced knowledge of Atlassian tools such as Confluence, Jira, Portfolio and Service Desk;Advanced abilities in analysis and problem solving, and multi-tasking;BA degree in Business, Computer Science or equivalent field;At least 4 years of business experience as a Business Analyst;Strong Analytical skills with Microsoft applications required;Strong verbal and written skills required; andAbility to handle fast paced environment. Please send your resume to Eric Ainsworth, Technical Recruiter for immediate consideration. Let us help you secure an interview! ABOUT US Irvine Technology Corporation (ITC) is an award-winning Information Technology Solutions and Staffing provider with roots in Southern California. For over fifteen years, we have had the privilege of serving exceptional client organizations as both a local and national resource. Our team is comprised of seasoned technologists, staffing industry thought leaders, top-notch recruiters, dedicated account executives, and a world class support staff.  Irvine Technology Corporation provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Irvine Technology Corporation complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=372858&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d324f7e2&cb=1543594288768&jobListingId=3039777071"
"Business Analyst","Civic Financial Services","Redondo Beach","CA","$60k-$97k(Glassdoor Est.)"," Founded in 2014 by it’s parent companies Wedgewood Inc. and HMC Assets LLC, CIVIC Financial Services is a well-capitalized lending-arm of the Wedgewood Companies. CIVIC is a fast growing lender and plays a critical role in the vertically integrated real estate company located in North Redondo Beach. Wedgewood is a buyer of distressed residential real estate and has completed more than 25,000 fix and flip transactions since its inception. CIVIC was started to provide synergistic opportunities within the company and to fund business purpose and residential investment loans for real estate buyers and investors.The Business Analyst supports the CIVIC business unit by supporting business initiatives, applying project management / SDLC best-practices, improving reporting, dashboards, information sharing, and designing business systems and processes related to the loan origination business. Incumbents independently perform business process analysis; and make process and configuration changes to one or more operating functions and/or case management systems; and perform strategic business analysis. Solves organizational information problems and requirements by analyzing requirements; recommending system controls and protocols.  What you'll do: Conducting user and stakeholder interviews to analyze needs for new and enhanced functionalityDocumenting feature requests made by business stakeholdersWorking with IT resources to establish complete specifications for the desired featureCreating business requirements documents, product backlog, user stories and use cases to support application development requestsAnalyzing and documenting current systems and processes as currently implementedCollaborating with Project Managers to develop project plansManaging communication to project teams, vendors, and key stakeholdersCreate and execute test plans.Coordinate user acceptance testing.Identifying project risks and working with the Project Manager on response strategiesDocumenting product defects and helping to determine root causesWriting release notes and user documentation to support product releasesConfiguring requirements in the Encompass system, including:  Organization/user, User groups, Business rules/advanced business rules  Workflows/milestones, Input forms, Pipeline view, Reports, Dashboards  Web Center, Consumer Connect, LO Connect, TPO ConnectLead daily stand up meetings as needed.Performing related duties as assignedWhat you'll need:Bachelor's degree in Information Systems or related field2+ Years full-time experience working in a project / change management teamIn-depth understanding of various software development lifecycle methodologies including working knowledge of agile/scrum techniquesExperience in automated testing tools & testing methodologiesExperience creating screen mockups using industry toolsIntermediate to advanced skills with SQL database (stored procedures, views, functions, reports)Mortgage background a plus; experience with loan origination process and systems and a thorough understanding of the loan process from point of sale to close preferredExperience using Encompass loan origination software preferredProcess diagraming and business process reengineeringStrong analytical and problem solving skillsExcellent written, verbal communication and presentation skillsAbility to work independently and function as a member of a project teamStrong knowledge of MS Office, Visio and MS ProjectWhat's in it for you:Wedgewood offers our team members a competitive compensation, 401K, and traditional benefits like medical, dental, and vision. We also have many additional perks:Company Sponsored Outings: Past events have included sporting events, happy hours, parking lot BBQs, bowling and bocce ball tournaments, office theme parties, and more.In-house Investment Programs: Participate in the growth and profitability of the company through our in-house investment programs. We also offer home ownership & loan programs.Contribute to Your Community: Through our volunteer service, sustainable initiatives, charitable giving, and work with local universities, Wedgewood provides opportunities throughout the year for its employees to give back to the community for the greater good.Wedgewood occupies 50,000 square feet in a state of the art headquarters in Redondo Beach, California and was named Company of the Year by the city in 2015. We also have multiple locations around the country. Wedgewood is an Equal Opportunity Employer and welcomes applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation or age. We look forward to hearing from you!Company: Civic Financial Services","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4128&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2672ce62&cb=1543594288769&jobListingId=3039970205"
"Business Analyst","Los Angeles Dodgers LLC","Los Angeles","CA","$49k-$81k(Glassdoor Est.)","Title: Business AnalystDepartment: Business Development & AnalyticsStatus: Full TimeReports to: Manager, Business AnalyticsPosting Date: September 14, 2018Deadline: September 24, 2018Job Functions:​Support the Business Analytics function with data analysis, project management, and strategic planningOrganize, analyze, and present data from ticket sales and operations, food and beverage sales, merchandise sales, social media interaction, loyalty programs, survey responses, third party resources, stadium operations, capital expenditures, corporate partnerships, and other business areasBuild, maintain, and audit the internal business intelligence suite across Tableau and other potential platformsCreate and manage quality control standards and checks for data and reportingPerform related duties as requiredHelp grow the Dodgers market research practice by defining strategy and goals, and implementing research best practicesManage fan surveying initiatives including the building, execution, and analysis of online surveysBuild and maintain a Dodger branded research community and fan panel that generates targeted and relevant insights over timeAssist in the execution of in-person fan focus groupsDeliver insights and results to internal stakeholdersSupport the organizational implementation of business intelligence tools such as CRM and data visualizationMaintain data integrity within CRMUse sales and CRM data to assist in lead scoring and churn modelingCommunicate with management regarding strategies that would best achieve department goals and create targeted campaigns Identify, analyze, and present data to identify areas of opportunity to improve the effectiveness of our sales processEnhance CRM processes by making recommendations on best practices, holding user groups for ongoing feedback, and researching other sports teams/companies on ways to improve sales and service supportWork with IT on the development of custom features to increase usability and functionality of the systemCampaign analysis to include recaps incorporating all process metrics including call volume, appointments, tasks, and opportunity stagesHelp train sales staff on CRM best practicesProvide daily CRM support as neededCreate strategic workflows and processes to optimize operational efficiencyBasic Requirements/Qualifications:Bachelor’s Degree in Business, Statistics, Economics, Mathematics, Operations Research, or a closely related fieldMinimum three years’ work experience in finance, statistics, business consulting, or related fieldFamiliarity and good judgment with a broad range of methodologies and tools, such as exploratory data manipulation and analysis, regression analysis, forecasting models, simulation, probability models, and optimizationProficient with financial and statistical modelingAdvanced knowledge of Microsoft Office and Salesforce is required, working knowledge of SQL, Tableau, VBA, and statistical languages such as R is preferredPossess excellent reasoning, problem-solving, creative thinking, and communication skillsDemonstrated ability to successfully design and implement cross-functional projectsBasic understanding of organizational structure, goals, and mission​We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. ","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c273826c&cb=1543594288771&jobListingId=3009388486"
"Business Analyst (Contract Position)","Sony PlayStation","Los Angeles","CA","$74k-$120k(Glassdoor Est.)"," PlayStation isn't just the Best Place to Play it's also the Best Place to Work. We've thrilled gamers since 1994, when we launched the original PlayStation. Today, we're recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation. Business Analyst (Contract Position)Los Angeles, CA The Business Analyst will work with Product Management team to fine tune features and convert features into user stories. They will be responsible for grooming stories with developers and QA team members. As a part of SAFe process, this position will also prioritize user stories into future sprints while taking dependencies into consideration. Responsibilities:Work with Product Management to understand features and minimize gaps in requirements.Responsible for converting features into user stories.Ensure backlog is prioritized while taking technical and business dependencies into consideration.Groom user stories with developers and QA to ensure requirements are clear and the team is ready to execute.Demo stories to stakeholders and gather feedback.Troubleshoot issues as they arise in various production and non-production environments.Qualifications:A minimum of a Bachelor's degree in Computer Science or related software engineering discipline.2years experience as a Business Analyst or a Product Owner.Proven ability to transform features into well-articulated business requirements as user stories.Outstanding problem solving skills, attention to detail and ability to find the correct solution for complex business problems.Self-motivated and able to handle requests from multiple team members with competing priorities.Excellent written, verbal and social skills.Understand agile software development process.Strong proficiency with collaboration and agile tools (Rally, JIRA, Confluence) is a plus.Experience with SQL is a plus. Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, gender identity, marital status, genetic information or membership in any other legally protected category.  We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.  We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation.  #LI-GD1","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=134001&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1a216c8d&cb=1543594288773&jobListingId=2994149585"
"Business Analyst","KGS","Los Angeles","CA","$80k-$126k(Glassdoor Est.)"," Manager is looking for a techno / functional analyst with some experience working as an architect, designer or systems business analyst in an O365 implementation.  Job Title: Business Analyst  Department: GISS O365  Reports to (title): Project Manager  Duration: 6 + months  Location: Los Angeles (Primary)  San Diego (Secondary)  Role The person in this role will serve as the primary business analyst for the rollout of Office 365 services to the user populationThe role entails wearing different hats in the development team analyst, tester and facilitatorThe role should fit into traditional waterfall projects as well as agile scrum methodology Reporting This role reports into the PM or scrum masterSkills and success criteria:Must be able to drive interactive and productive requirement elicitation workshops using case frameworks, mind map, 7s framework, org charts, activity diagrams, data flows, E-R diagrams, comparison matrix, navigation map, SWOT analysis, and other techniquesMust be able to do a live break-down of the needs into requirements and storiesMust be able quickly extract the entities, processes, workflows, actions and human-computer interaction dialogsMust be able to contribute to the incremental and rapid deliveries dailyKnowledge of one or more wireframing, Rapid Application Development and Prototyping tool will be beneficialMust build strong working relationship with business stakeholders/product owners, PMs/scrum masters and other members of the development teamMust be a keen listener and notes-takerMust employ assertive communications style without breaking any relationshipsMust bring strong work-ethics to the work placeMust have a strong passion to learn and absorb new functional and technology domains in a quick fashionMust bring great levels of initiative and dedication to qualityResponsibilitiesProvides business analysis, facilitation and quality assurance services to the projectCollaborates with the product owner and development team, facilitates and conducts requirements elicitation workshops to understand the business needs, problems and challenges using consultation, team workshops, case framework analysis and other strategic frameworksDevelops epics and drives the functional elaboration & decomposition into user-stories and tasksSupports the product owner and scrum master in mapping the dependency and sequencing of backlog groomingBuilds process maps, processes, data models, workflows, class diagrams, decision tools, state diagrams, entity-relationships, use-cases and other requirements/design aids for complex user-machine and machine-machine interactionsBuild end-to-end business processes, prototypes live during the requirements gathering workshopsArticulates how the end-to-end business process flow will work, how the various activities can be monitored in a clear visual fashionLeads change management work for the project. Articulate how the consumer facing functionalities will be received or perceived by the organization, assess the impact and come up with ideas to make the application user-friendly.Contribute to developing education programs for the backend administration team and training demos for the organizationDevelop lean requirements and functional design specifications on a need-basisDevelop test cases for the stories and tasks and execute them. Apply test test-driven-approach to developmentContribute to the development of the product and project status reportsWill be expected to ramp-up quickly and become an SME in the functional domain Qualifications and Previous Experience Must have 4+ years of degree relating to one of the areas Computer Sciences, Information Management, Information Technology, Law, Compliance or Business AdministrationMust have 4+ years of experience as an IT Business AnalystShould have strong foundational knowledge of Office 365 platform including OneDrive, Sharepoint, Email, Information Protection, Intune and Azure ecosystemPrevious experience as management consultant will be given preferenceCertifications in Office 365 and Azure platform are pluses","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=50256&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_536e57a9&cb=1543594288775&jobListingId=3015823708"
"Business Analyst","The Coffee Bean & Tea Leaf","Los Angeles","CA","$55k-$89k(Glassdoor Est.)"," Apply Now Business Analyst Home Office - 5700 Wilshire Blvd., Los Angeles, California, United States of America Req #1001  Tuesday, November 27, 2018 The Coffee Bean & Tea Leaf® has a need for a Business Analyst to join the IT team! The Business Analyst's responsibility would involve business, and functional analysis, including gap analysis, and process improvement with Dynamics 365 for Finance and Operations, determining modification requests to Dynamics 365 FO, and other business systems, and writing specifications, providing recommendations. It is expected that the Business Analyst possess deep knowledge of one or more Dynamics 365 FO modules and has significant GL, AP, AR, Bank Management experience, and Supply Chain experience, including Master Planning. This position reports to the Director of IT Operations. DUTIES & RESPONSIBILITIES:• Work as Lead Business Analyst working cross departmentally on understanding existing business processes, and working to provide users with solutions• Present Conference Room Pilot showing Dynamics 365 FO fit to other parts of the business• Advise organization on Dynamics 365 FO usage and help minimize gaps between standard AX customer’s business processes with creative configuration• Prepare Business Process Discovery Documents• Prepare functional specification for customizations required for Dynamics 365 FO implementations, and other company systems.• Prepare User Manuals and Training Plans• Provide some degree of user support• Ensures project documents are complete and help ensure projects are delivered successfully and on time. EDUCATION/EXPERIENCE REQUIREMENTS:• Bachelor's Degree in Business Information Systems, or any related field• ERP implementation, configuration or related business experience• At least three years' experience in ERP implementation, configuration or related business experience• Expert level experience in Microsoft Office products• Effective Troubleshooting skills in Microsoft Office and Dynamics Projects• Easily understands and solves complex technical problems. • Exceptional problem-solving and analytical skills. • Skilled at evaluation options and generation solutions and proper escalation. • Effective cross departmental communicator. • Able to communicate highly technical problems and solutions to non-technical audience. • Able effectively communicate problems and updates to timelines and deliverables.• Executes and Updates detailed project plans• Able to work with business users and IT users alike to arrive at task completion.• Microsoft Dynamics 365 for Finance and Operations /AX certification and/or experience in Microsoft Dynamics AX 2012 R2, R3 or AX 7 are a plus!","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=186601&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4c7d741c&cb=1543594288777&jobListingId=3038429229"
"Business Analyst","AXS","Los Angeles","CA","$45k-$75k(Glassdoor Est.)"," AXS is a company whose core values reflect a culture that celebrates individual differences, collective achievements, and respect of one another. We start small and are never afraid to try (Be The Spark). We believe open, honest, and proactive communication builds trust and empowers us to be our best (Make it Personal). We handle our problems constructively and together (Be Real). We go above and beyond to build something truly special and lasting (Bring Your A Game). Most importantly, we celebrate and communicate our success by recognizing each other across all teams and levels of our organization (Pat The Back).  Our culture is a representation of who we are now, and whom we aspire to be in the future. If you are looking for a fast-paced environment where collaboration, accountability and visibility enable you to make a difference every day, then AXS may be a perfect match.  AXS is looking for a talented and highly motivated professional to join our technology team as Business Analyst. In this role, you will provide internal/external user support for our custom-built enterprise ticketing platform. You'll also be responsible for investigating root cause of software issues to figure out the best solution. If you share our passion for building great internet products, want to take on significant responsibility that will directly grow our business, and are able to work well both individually and as a team player, we want to hear from you! What youll be doing:Eliciting, compiling, and delivering detailed product requirements to all internal functional groups required to produce a working product.Responsible for discovering, synthesizing, and analyzing information from a variety of sources to ensure product requirements align with overall company priorities.Identifying and managing solutions for systemic software bugs and discrepancies.Drive segmentation and A/B test features to maximize user satisfaction and performance.Analytics and more analytics.you will be responsible to review, analyze, and make recommendations based on data analytics.Performing user acceptance testing.Monitoring deliverables and ensuring timely completion of projects.Serving as a liaison between business stakeholders and the technology team.Skills and experience were seeking:Bachelor of degree in business, or related field or and MBA.Minimum 4 years of experience in business analysis, product management, applications/software development, or ERP systems supportProven success in building products that are scalable and flexible.Excellence in problem solving, troubleshooting, and critical thinking.Strong analytical and problem-solving skills.Knowledge of iterative software development frameworks.Ability to stay organized in a highly demanding environment.Excellent documentation skills.Experience with using ticketing systems such as JIRA, Trello, etc.Experience in drafting requirements and delivering software solutionsExemplary customer service skills across various levels of an organizationAbility to travel as needed.And youll really get our attention if you have:Ticketing / sports and live entertainment experience.Experience synthesizing key learnings from research, user data and competitive benchmarksDirect web development coding experienceAdvance technical skills. Headquartered in Los Angeles, California, AXS is a leading ticketing, data, and marketing solutions provider in the US, UK and Europe. The company and its solutions empower more than 200 clients  teams, arenas, theaters, clubs and colleges to turn data into action, maximize the value of all their events and create joy for fans. AXS is an enterprise event technology platform that services venues, promoters and sports teams; providing fans the opportunity to purchase tickets directly from their favorite venues via a user-friendly ticketing interface. AXS serves all phases of the event life-cycle beyond just ticketing, through its consumer facing website, AXS.com and the AXS App. To learn more about the company and our employment opportunities, please visit us atwww.axs.com  Job Type: Full-time  Experience: using ticketing systems such as JIRA, Trello: 1 year (Required)customer business analysis, product management, applications: 4 years (Required)","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=389273&s=58&guid=000001676563a3dbb28cc63c990a18e7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_184477da&cb=1543594288778&jobListingId=3036707090"
