"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","State of Wisconsin Investment Board","Madison","WI","$55k-$90k(Glassdoor Est.)","OUR AGENCYMake a DifferenceSWIB enables forward thinking professionals opportunities to grow, develop and build excellence with a global investor making a difference in the lives of Wisconsin public employees.With more than $117 billion in total assets, SWIB is one of the world's largest institutional investors. As an independent state agency, SWIB is responsible for managing assets of the Wisconsin Retirement System (WRS) in addition to six separately managed funds. SWIB generates returns for more than 622,000 participants. SWIB has long been considered an investment industry leader because of its ability to grow and protect the WRS assets that its constituents count on for a more secure financial future.Be a World Class LeaderThe WRS is nearly 100 percent funded, making it one of the countrys best funded public employee retirement systems. It is the 9th largest public pension fund in the U.S. and 25th largest public or pension fund in the world. SWIBs performance for the WRS beat the one -, five- and ten-year benchmarks as of Dec. 31, 2017. As an innovative organization SWIB is committed to professional development. Approximately 50 percent of SWIBs investment professionals are Chartered Financial Analyst (CFA) charterholders.About the TeamThe Operations Strategy, Planning and Coordination Team is responsible for providing internal consultancy, coordination, and oversight services to support SWIBs investment mandate. The primary functions of the team include providing strategic guidance and direction related to industry trends and practices through a forward-looking lens, coordinating the execution of requests for enhanced investment capabilities and process optimization in the current state, and providing oversight and control of the end-to-end operational process. The team seeks a Business Analyst to leverage broad asset management industry experience to drive a culture focused on continuously improving and innovating support for SWIBs investment capabilities.The Business Analyst (BA) is responsible for driving business unit priorities forward with actionable and executable results. The BA role serves as the primary liaison between each of the investment management teams and the resources (internal and external) necessary to deliver the requested work efforts.Essential activities:Act as the primary relationship manager between the business and operational teams to ensure the business needs are being met.Lead, facilitate and coordinate team meetings to prioritize work requests in partnership with the delegates from assigned business units.Develop a deep understanding of applicable operational processes, procedures, and controls.Build and lead coalition teams to address work efforts approved by the work alignment team and assigned for planning and execution.Draft business requirements at the appropriate level of detail for each work effort, ensuring the cross-functional impacts and any required coordination/integration effort has been identified ahead of the solution.Work with internal and external stakeholders to gather and validate business requirements and assist with the functional design of solutions.Partner with the systems architect role in IT to provide input into the functional aspects of solutions design.In partnership with the Systems Architect, perform functional testing of system enhancements/changes resulting from the work effort.Develop, execute, and document user test plans and organize and oversee end-user testing and acceptance.Develop, or assist in the development, of end-user training materials and coordinate / conduct user training.The Ideal Candidate:Bachelors degree in Information Systems, Business Management or Finance.Minimum of 5 years of experience within the investment management industry.Substantial knowledge of the end-to-end operational lifecycle, including the processes, workflows, systems, and investment tools e.g., Charles River, Eagle PACE, MarkIt, eFront, FactSet, MSCI and/or BlackRock Aladdin to support SWIBs investment business.Substantial knowledge of capital markets and the investment management industry through the lens of SWIBs investment mandate and mission.Detailed exposure to various investment types, security types and asset classes, with a solid understanding of what makes each unique and its intended application within the investment strategy.Detailed familiarity with investment management industry best practice workflows.SWIB Offers:Competitive McLagan-base salaryMeaningful performance-based incentive compensationA comprehensive benefit packageEducational and training opportunitiesTuition reimbursementChallenging work in a professional environmentThe position requires U.S. work authorization and residency in, or willingness to relocate to the Madison, Wisconsin area. SWIB is prepared to offer relocation assistance as needed.Join HIGHER PERFORMERSHome to Top TalentSWIBs professionals shape sophisticated investment management strategies, drive forward looking technologies and deliver strong internal asset management. SWIBs internal team invests approximately 62 percent of its assets under management. As a result, Institutional Investor recognizes SWIB as home to top talent in American public investing.The organization has earned a reputation for investment excellence in part by running much of its portfolio successfully in-house versus outsourcing to Wall Street Institutional Investor.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=414440&s=149&guid=000001676d3141c6b062855e2c4b093c&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c6d36eb&cb=1543725204692&jobListingId=2930676220"
"Business Analyst Managed Services","CDW","Madison","WI","$65k-$81k(Glassdoor Est.)"," The Business Analyst works closely with Managed Services management and our supporting Finance team to provide expanded financial analysis and is proactive in taking actions needed to help improve our financial performance. The Business Analyst coordinates Managed Services forecasting and provides detailed analysis on key financial metrics, providing management with timely information needed to set direction and effectively run the business.  Key Areas of Responsibility Analyze financial results, identify opportunities for improved performance, and take action to increase revenue and reduce expenses.Track and report on key revenue and expense items, e.g., closed business, pending customer cancellations, significant expenditures, etc.Provide expanded financial reporting to management and maintain the Managed Services Financial Dashboard.Coordinate the Managed Services forecast and forecasting process.Maintain the forecast model, provide monthly updates to management and Finance, and provide input to Outlook 2 / Outlook 3 projections.Build strong relationships with stakeholders and subject matter experts and help improve financial performance in all areas of the business.Create and maintain a financial model to calculate profit for service offerings / service groups.Document current processes and provide recommendations for improvement.Contribute to business justifications and return on investment measures for significant projects.Provide regular updates on key initiatives and their progress.Identify financial areas of concern early and review with management.Remain current in industry trends, tools, and best practices.Assist with other business management functions including contracts management, exceptions and approvals, pricing, and reporting. Other Responsibilities Maintain the commission database.Track closed pipeline activities and update all associated commission reports.Update commissions splits manager each month with all changes to AE/AM account assignments and commission percentages.Maintain AIM commission reports with payout details and contract expiration dates.Provide recommendations on updates to commission plans.Respond to ad hoc request for commission plan information and payout details.Coordinate the exceptions process and the associated manual commission adjustments.Qualifications Minimum Qualifications Bachelors degree in Business or related field, or equivalent experience Preferred Qualifications Strong analytical and financial modeling skillsInnate problem-solverExperience with Microsoft Excel and other related toolsWorking knowledge of business financeFamiliarity with cost/benefit and ROI data analysis Other Required Qualifications Excellent written and verbal communication skills with the ability to effectively interact with all stakeholdersAbility to effectively facilitate and lead meetings, tailoring messages to the given audienceExperience in evaluating information, identifying risks and opportunities, while possessing creative problem-solving skills with an understanding of business concepts and models.Demonstrated negotiation and persuasion skills, with the ability to enable mutually beneficial outcomesHistory of balancing multiple priorities simultaneously with the ability to adapt to the changing needs of the business while meeting deadlinesCritical attention to detail and solid creative problem-solving skillsDemonstrated knowledge of the business, organization and solutions that are the back bone of the organizationAbility to adapt to changing conditions, strategies and organizational directionAbility to work in a high performing team environment","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=438945&s=149&guid=000001676d3141c6b062855e2c4b093c&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6f3f7b5&cb=1543725204693&jobListingId=2979192625"
"Business Analyst II or Sr","Alliant Energy","Madison","WI","$66k-$101k(Glassdoor Est.)","Business Analyst II or Sr11/14/201812/14/2018Job ResponsibilitiesAssists in building and maintaining business systems through a system development life cycle (SDLC).Following established procedures, ensures systems are operating as designed, evaluates requests for changes to the system, provides routine system maintenance (e.g., table maintenance and configuration), documents system processes and procedures, suggests system improvements and makes daily decisions involving direct application of technical knowledge to system issues.Typically works on simple to moderately complex and smaller and more defined system projects to assess and refine user requirements and specifications, formulate solutions, develop test plans, conduct testing, and implement systems and system improvements.Articulates customer and technology requirements into structured documents and communications with customers and IT specialists such that the requirements from the customer and from IT can clearly be understood by the other.Typically assists more experienced business analysts in developing business cases for improving and/or developing systems.Maintains relationships with other IT areas. May assist in managing relationships with outside vendors.Follows standard procedures to ensure business systems are operating at an acceptable level of quality. Regularly monitors the use of routine controls (i.e., system uptime, batches, reports, queries), and assists end users in developing reports and/or database queries.Handles simple inquiries regarding the technical aspects of business systems by providing assistance to and coordinating work with IT staff and other business units (e.g., front-end ticket response).Follows standard procedures to provide functional and end-user support including end-user assistance, system maintenance, and troubleshooting.Assists in developing and rolling out system application training materials for technical, departmental and end users.Maintains system documentation that supports system initiatives through manuals, lesson plans and procedures. May update system documentation under the guidance of more experienced business analysts.All other duties as assigned.Requisition ID4029BRPosition TypeRegular Recruiting Location(s)Cedar Rapids, IA, Madison, WISchedule TypeFull-Time Posting DetailsAlliant Energy is looking for a dynamic individual to join our team of Business Analysts responsible for optimizing our Customer Contact business functions. We depend on the expertise and dedication of our Business Analysis team to deliver support and solutions for the integrity of our organization’s operations and optimum efficiency.This individual will specifically support our customer facing solutions through business system needs analysis, requirements gathering, specifications, testing, implementation and improvement of related systems. As a liaison between the IT development group and the Customer Contact Divisions, you provide support in the development and implementation of new business systems and enhancement of current systems, to align with new IT developments and evolving business needs.This role can be based in either Cedar Rapids, IA or Madison, WIThis position can be filled at a level II or Sr. Analyst depending on candidate experience.Applications will be accepted until a qualified pool of candidates is received.Alliant Energy will not provide sponsorship for an employment visa (e.g., H-1B visa) now or in the future for this position.Job CategoryInformation Technology Job QualificationsEducation and Experience Requirements:Analyst II:This position requires a four year degree from an accredited college or university, with emphasis in business administration, information systems, or related area and three years of related experienceIn the absence of a degree seven years of related experience is required.Sr. Analyst: This position requires a four year degree from an accredited college or university, with emphasis in business administration, information systems, or related area and five years of related experienceIn the absence of a degree seven years of related experience is required.Knowledge, Skills & Abilities:Demonstrated ability to work with and maintain highly confidential information.Demonstrated effective interpersonal, verbal, and written communication skills.Demonstrated ability to lead a project team to the successful conclusion of simple technology initiatives preferred.Demonstrated ability to use computer software programs (e.g., e-mail, word processing, spreadsheet, and project management) and ability to work with new technologies.Demonstrated ability with database query tools (i.e., SQL), automating testing tools (i.e., Winrunner, SQA), workflow diagramming, and reporting and retention tools (i.e., Vista, SAR, Crystal Reports, Infomaker) preferred.Strong organizational skills. Ability to work effectively when multiple priorities and timelines exist.Works in a diverse and inclusive environment.*NOTE: All candidates selected for employment with Alliant Energy will be required to successfully complete a drug screen and background check.We are committed to providing an inclusive work environment for all and are proud to be an Equal Opportunity Employer M/F/Disability/Protected Veteran.Disclaimer: The above information on this description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job.To apply for this challenging opportunity, please complete our online application at www.alliantenergy.com/careers.Posting TitleBusiness Analyst II or Sr","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=209951&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d7728570&cb=1543725204695&jobListingId=3025704819"
"Systems Analyst","Renaissance Learning","Madison","WI","$48k-$93k(Glassdoor Est.)"," Company DescriptionRenaissance® is the leader in K-12 learning analytics------enabling teachers, curriculum creators, and educators to drive phenomenal student growth. Renaissances solutions help educators analyze, customize, and plan personalized learning paths for students, allowing time for what matters------creating energizing learning experiences in the classroom. Founded by parents, upheld by educators, and enriched by data scientists, Renaissance knows learning is a continual journey------from year to year, and for a lifetime.  For more information, visit www.renaissance.com.Job DescriptionRenaissance is seeking a Systems Analystwho will be responsible for supporting assigned information systems and related internal applications. Plans, coordinates and monitors the development, implementation, evaluation, and maintenance of business applications and projects. Works as a liaison to elicit, analyze, communicate, and validate requirements for changes to processes, policies and information systems. The systems analyst understands business problems and opportunities in the context of the requirements and recommends solutions that enable the organization to achieve its goals. Essential Duties and Responsibilities:Analyzes the business issues and data challenges within business operations, identifying strengths and weaknesses, offering suggested areas for improvement.Assists in planning, coordinating and monitoring the development, implementation, evaluation, and maintenance of business and/or administrative applications and projects to meet project goals and allotted timelines.Develops and maintains applications and solutions in accordance with established standards and procedures.Coordinates and facilitates communication between teams within the IS department and business operations departments.Acts as technological resource to project team. Researches solutions, reporting findings to team. Advises team on possible impact on other systems and processes.Lead testing efforts ensuring issues are identified, tracked, reported on, and resolved in a timely manner.Evaluate and improve existing BI systems.Schedule: M-F 8am-4:30pm while also meeting business needs  QualificationsMinimum Education Required:  Bachelor's degree (B. A.) from four-year college or university or a 2-year Associate Degree: or equivalent combination of education and experience. Minimum Related Experience Required:5 years experience with tools to store data (e.g. OLAP cubes) and supporting data analytics platforms ( e.g. Tableau)Experience in business or in an IT applications environment working with business systems and/or in project managementPossesses understanding in the areas of database management, system design, querying, and report-writing skills.Exhibits confidence with the ability to design, implement, and evaluate most effective business solution.Analytical mindset with sharp judgment and attention to details.Possess excellent communication, critical thinking, and decision making skills. Additional InformationAll your information will be kept confidential according to EEO guidelines.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=155888&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_344e1e36&cb=1543725204696&jobListingId=3037265781"
"Project Director Senior Consultant","Nordic Consulting Partners Inc","Madison","WI","$178k-$261k(Glassdoor Est.)"," Senior ConsultantA Senior Consultant provides consulting services to clients on Epic-related projects in an analyst, project management, project leadership or training capacity.Key ResponsibilitiesPerform Epic-related consulting and administrative computer services for Nordic clients Apply technical expertise to individual client system build in order to identify, troubleshoot, and resolve problems.Mentor client project teams as necessary in project and system build strategy.Track and document risks and issues.Analyze and document workflows.Work closely with project leadership, including documentation and facilitation.Work directly with Epic end users. Monitor workflows, provide documentation, and optimization suggestions.Lead meetings regarding project status and on-going work-product coordination.Additional specific duties related to the project as may be required and dictated by individual clients. These duties are documented on a per-contract basis in the client’s statement of work.May be invited to attend corporate functions as a representative of the company to meet prospective consultants, as well as solidify relationships with client and Nordic co-workers.Skills and Experience All consultants must possess at least one Epic certification. Multiple certifications preferred.Some project management experience is preferred.Training roles may not always require Epic certification.For project management/leadership roles, PMP strongly preferred.Minimum two years’ Epic work experience after certification.Strong communication skills, written and verbal.Highly organized, able to multi-task as well as maintain intense focus on individual tasks.Self-starter with ability to maintain schedule, meet deadlines, and monitor one’s own work product.Highly adaptable; able to acclimate quickly to new project assignments; to include, but not limited to: Adapt quickly to new work evironments.Work successfully with different teams and co-workers.Client workplace rules and regulations.Varying travel and living arrangements due to project location changes.Aptitude for mentoring and guiding others.Possess a strong work ethic who treats others with respect, keeps commitments, inspires the trust of others, works ethically and with integrity, and upholds organizational values.Very high degree of professionalism","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=326351&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c9cc6a26&cb=1543725204697&jobListingId=2580283653"
"Financial Analyst - Media","Spectrum","Madison","WI","$39k-$54k(Glassdoor Est.)","Business TitleFinancial Analyst21-Nov-2018Posting LocationUnited States - Wisconsin - Madison Posting Job DescriptionSpectrum Reach is the advertising sales division of Charter Communications, Inc. Driven by data, we offer customized, advanced advertising solutions utilizing national and local cable networks, digital advertising and promotional events supported by marketing, research, and award-winning creative services. JOB SUMMARYResponsible for the fiscal analysis within Spectrum Reach and ensuring compliance with company policies and procedures, Generally Accepted Accounting Principles (GAAP), and Sarbanes–Oxley Act of 2002. Must be comfortable in a cross-functional environment, be able to problem solve and work independently in a multi-tasked environment, and able to communicate to all levels.MAJOR DUTIES AND RESPONSIBILITIESAssist in the fiscal processes within Spectrum Reach to ensure compliance with company policies and procedures, Generally Accepted Accounting Principles (GAAP), and Sarbanes–Oxley Act of 2002.Partner with Spectrum Reach business leaders to help set financial and strategic direction for the assigned business function/unit.Work closely with our leaders to populate, analyze, justify and publish the budget and forecast for the assigned business function/unit.Partner with Corporate Accounting with the monthly accounting close including preparing any needed account analysis and journal entries, while determining the appropriate accounting treatment such as accruals, pre-paids, amortizations, coding of expense vs capital, etc. for the assigned business function/unit.Provide both written and verbal financial variance explanations during the close, post close, and as periodically requested.Publish monthly financials, variance explanations, and other needed performance reports and participate in the recurring calls to review/discuss.Assist in the disbursements originating from the assigned business function/unit.Various other duties as assigned by a manager PREFERRED QUALIFICATIONSBachelor's degree in accounting, finance, or equivalent experienceTwo plus years of experience in financial analysis, corporate accounting, or public accounting (auditing), ideally with GAAP experienceStrong Excel skills, including pivot tables, VLookup, and macros.Solid knowledge of accounting theory and practiceStrong interpersonal and written communication skillsAbility to work effectively under deadlinesOutstanding business relationship and interpersonal skillsHyperion Essbase and Ariba plusRequisition #226595BRJob CodeFAN235 Financial Analyst Exempt Position TypeFull TimeArea of InterestAd Sales, Finance/AccountingBusiness UnitSpectrum Reach Location8413 Excelsior Dr Suite 120 More on SpectrumThe Spectrum brand is powered and innovated by Charter Communications. Charter Communications reaffirms its commitment to providing equal opportunities for employment and advancement to qualified employees and applicants. Individuals will be considered for positions for which they meet the minimum qualifications and are able to perform without regard to race, color, gender, age, religion, disability, national origin, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local laws.Work StateWisconsin Work CityWisconsin - MadisonPosting Job TitleFinancial Analyst - Mediatest5768789","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=216830&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_714f8f42&cb=1543725204698&jobListingId=3023150525"
"Business Analyst","Digitek Software","Madison","WI","$86k-$133k(Glassdoor Est.)"," One of our clients is looking for a Business Analyst based on the following skills:Mode of Interview: In person interview for Final roundREQUIRED SKILLS: Change management Demonstrated experience in the design and utilization of performance measures and reports Business processes improvement Standardized process and procedures development Excellent organization, analytical, and communication skills Ability to develop and implement quality assurance processes and procedures including test/use cases Data analysis Data flow diagramming Participate in design reviews Documenting business processes Requirements analysis Requirements gathering Develop test plans and procedures Ability to navigate and query a relational database (Oracle) to both develop reports Develop design specifications SQLGeneral Excellent communication, both written and oral Strong team work skills, team coordination, mentoring and training skills. Able to work with others in a team-based environment High motivation level and superior attention to detail Ability to finish projects on time with minimal supervision skillThe successful candidate may have to undergo a drug test and background check.Sincerely, Swati Bhardwaj Digitek Software, Inc.650 Radio DriveLewis Center, OH 43035Work: 614-###-#### x 134Fax: 614-###-####...@digiteksoftware.comwww.digiteksoftware.com - provided by Dice  Business Analyst , requirements gathering ,ICD, HIPAA, MMIS, Healthcare, Medicaid, Medicare,ICD/CPT  Associated topics: analysis, analyst, business, business finance, business intelligence, government, law, legal, monitor, refinement","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=208029&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1cd17c5d&cb=1543725204699&jobListingId=3044091879"
"Data Analyst","Stoughton Trailers","Stoughton","WI","$50k-$66k(Glassdoor Est.)"," Do you thrive on extracting the stories from data that can be translated into actionable operations and sales goals. Do you have exeperience as an analyst working with SQL server of SQL based relational DB. Are you looking for an opportunity flex more of your business intelligence muscles. If this sounds like you, our Data Analyst position for Stoughton Rental & Leasing may be the opportunity you are looking for.  You will be expected to develop financial and other reports using Power BI, provide operational and technical support as well as adminstration support within the various channels providing the required data. ","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=433601&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_68d2701d&cb=1543725204700&jobListingId=3025244424"
"Business Analyst","BSASPEC","Madison","WI","$58k-$92k(Glassdoor Est.)"," Job Description:  Education : Minimum of a Bachelor's Degree in Finance,  Statistics or a closely related field from an accredited institution of a  higher education in the U.S. or its equivalent and two (2) years of  experience as a Business AnalystThe ideal candidate will possess:Bachelor’s Degree in technology, finance, business or equivalent.  Min 5 years of related financial services experience.  Analytical skills, communication skills, PC skills, including office  applications and project scheduling and flowcharting software,  relationship management, facilitation skills.  Trading and FX trading preferred.Description: Reviews, analyzes, and evaluates business systems and user needs.  Formulates systems to parallel overall business strategies. Experienced  with business process reengineering and identifying new applications of  technology to business problems to make business more effective.  Familiar with industry standards, current and emerging technologies, and  business process mapping, and reengineering. Prepares solution options,  risk identification, and financial analyses such as cost/benefit, ROI,  buy/build, etc. Develops RFPs. Business Analyst/Consultant capabilities  with 8 or more years of experience in the field or in a related area.  Relies on experience and judgment to plan and accomplish goals.  Independently, performs a variety of complicated tasks. A wide degree of  creativity and latitude is expected. Must Have:: General Competencies  Ability to be self directed  Ability to communicate effectively with both executive leadership, peers, and application users  Ability to evaluate customer needs effectively and evidence of using good judgment.  Ability to handle multiple tasks, set priorities, schedule and meet deadlines.  Ability to log, organize and prioritize work  Ability to meet project deadlines.  Able to work independently  Analytical/problem solving skills  DOT - Criminal Check required  Information Technology – Business Analysis  Agile Development Knowledge  Business Analyst experience  User Story Creation  Information Technology - Design  Knowledge of system analysis and design techniques  Information Technology - Requirements  Documenting requirements and design ","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=335919&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a3adeb01&cb=1543725204701&jobListingId=2720082437"
"Business Analyst","IDC Technologies","Madison","WI","$46k-$75k(Glassdoor Est.)"," Need a Business Analyst who has prior experience working in payment gateway implementations with First Data/Tempus/E-Wallet. Conversant with Agile methodologies. - provided by Dicepayment gateway , First Data , Tempus , E-Wallet","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=320811&s=58&guid=000001676d3141c6ba5af79989370a50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a05c5008&cb=1543725204702&jobListingId=3037299306"
