"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","TCG","Washington","DC","$66k-$98k(Glassdoor Est.)"," TCG is an award-winning Government technology solutions provider. We are seeking a Business Analyst who currently resides in the Washington D.C. metropolitan area, to join the TCG SharePoint development team.  US Citizenship or US Permanent Resident (Green card) status and the ability to pass and maintain a Federal government (Public Trust) clearance is required for this position.  RESPONSIBILITIES: Providing direct support to the SharePoint development teamActing as a liaison between the SharePoint development team and Federal clientsFacilitating and leading requirements gathering sessions with end usersEliciting and documenting business and system requirementsDeveloping user stories with acceptance criteriaDeveloping test plans, test cases, and test scriptsConducting quality assurance (QA) testing on SharePoint applications REQUIRED SKILLS: Demonstrable understanding of SharePoint Online/2016 and Office 365 out-of-box functionality and its ability to address business needs and improve processes3+ years of Business Analysis experience, specifically supporting software applicationsExperience with Agile/Scrum activities and ceremonies, including backlog groomingAbility to clearly document requirements in user story format with testable acceptance criteriaAbility to facilitate and lead requirements-gathering sessions with customersAbility to analyze, define, and document requirements for business processes and workflows, including generating diagramsAbility to act as a liaison between developers, customers, and other stakeholders during all phases of solution developmentExperience with iterative systems development life-cycle and documentationExperience leading demonstrations of system prototypes and solutions to end usersExperience creating application test plans, test cases, and test scriptsExperience conducting quality assurance testing on software applications to ensure developed features fulfill documented requirementsExperience documenting defects identified during testingAbility to facilitate customer user acceptance testing (UAT) and assist users in troubleshooting issuesClear communication, writing, and presentation skillsAttention to detailInitiative PREFERRED SKILLS: Ability to speak to the capabilities and limitations of SharePoint Online/2016 with Federal clientsExperience using systems for requirements tracking and user story managementExperience using tools for SharePoint testingCBAP, CCBA, or equivalentCertified Scrum Master (CSM) or equivalentExperience with relevant CMMI Level 2 & 3 processes EDUCATION: Bachelor's degree in a relevant discipline Naturally, TCG does not discriminate on the basis of race, sex, color, religion, national origin, age, disability, veteran status, or anything else that makes you part of any group. We discriminate on the basis of talent, ability, commitment, and experience.  We pay competitive wages and provide excellent benefits. We have a 401K plan, a health plan that includes dental and vision benefits, pet health insurance, support for sick-child daycare, book and fitness clubs, a generous training budget for each employee, employee-led (and TCG paid) social events, company charity events, free theater and sports tickets, and much more.  In fact, in 2018 Fortune magazine named TCG as a ""Great Place to Work"" for the third year in a row and The Washington Post named TCG as a ""Top Workplace"" for the fourth straight year, based on how our employees feel about the company, the benefits TCG offers, and the work/life balance that our staff are able to achieve.  Try us ... we'll make you happy.0 Job Posted by ApplicantPro","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=293654&s=149&guid=000001676b18b9f6b180b0436960e2e8&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_aab1be96&cb=1543690042298&jobListingId=2967028636"
"Business Analyst","CareFirst BlueCross BlueShield","Washington","DC","$59k-$95k(Glassdoor Est.)","Resp & QualificationsPURPOSE: At the FEP Operations Center (FEPOC), our customers come first. This newly created position will shape how we engage with our customers, improve the customer experience, and drive customer centricity into the organization. Our goal is to deliver best in class customer experiences while being as operationally efficient and effective as possible.  The FEPOC is the leading data management and digital solution provider to the 35 Blue Cross Blue Shield Plans that participate in the Federal Employee Program (FEP). The business analyst will join a new team supporting the Director Customer Strategic Planning in implementing strategies and processes to engage our customers and deliver a best in class customer experience. The ideal candidate will have demonstrated success in one or more of the following disciplines: project management, customer experience, process improvement, strategic planning, change management, knowledge management and/or customer analysis. PRINCIPAL ACCOUNTABILITIES: Under the direction of Director Customer Strategic Planning, the principle duties and responsibilities may include, but are not limited to, the following: Program SupportFacilitate customer strategic planning sessions as requested.In partnership with other applicable functional areas, identify, assess and prioritize areas of customer dissatisfaction and propose strategies and action plans to address.Support maintenance of the customer engagement maturity model and corresponding roadmap initiatives.Project ManagementProject manage customer engagement roadmap initiatives, including managing scoping, planning, executing and stakeholder reporting tasks.Support the development of written work products including strategic plans, alternatives analyses, data collections tools, presentations, and talking points.Improve Customer ExperienceBuild strong relationships with internal and external stakeholders.Provide a day to day voice of the customer in the business dialogue.Stay current on customer sentiment, mindset, brand perception, industry and competitor landscape and emerging trends.Develop standards and guidelines to track and manage FEPOC touchpoints with customers to ensure professional interactions, accurate and consistent messaging, and appropriate knowledge capture and transfer.Lead journey-mapping sessions, and develop and maintain customer journey maps to understand the customer experience. Summarize key results and evolve learnings into actionable focus areas which result in impactful customer experience improvements.Lead efforts to improve business processes that adversely impact the customer experience.Customer Analysis and ReportingCapture, synthesize, and summarize customer insights.Conduct customer analysis and customer segmentation to support FEPOC strategic planning and account management strategies.Assist product teams in formulating go-to-market strategies.Collect, report and analyze customer success measures to garner actionable insights that will drive strategies around increasing solution/feature usage and user satisfaction.Contribute toward development and analysis of customer surveys.Support knowledge management of customer information. Other duties as assigned Minimum Qualifications:Required:Bachelor’s degree required and 5+ years of strategic planning, customer analysis, management consulting, and/or IT management experience.3+ years of experience managing strategic customer initiatives within a large, matrixed and complex organization.Proficient with Microsoft Office, including Word, Excel, and PowerPoint.Preferred:MBAPrevious IT and healthcare payer industry experience.Demonstrated experience in customer insight analysis, customer centric organizational culture transformation and/or customer experience design and improvement in a B2B environment. Familiarity with journey mapping, user experience design and/or user centered design principles, co-creation or similar strategies to improve customer engagement.Attributes:Strong customer focus.Ability to think conceptually and strategically and learn quickly.Possession of excellent oral and written communication skills. Ability to creatively represent data visually for strong end effective communication of ideas and recommendations. Strong presentation skills with the ability to present to and influence diverse audiences on strategic initiatives and business opportunities.Possession of excellent research, data gathering, analytical, critical thinking, problem solving and listening skills. Bias towards delivering impactful results.Ability to meet deadlines, adhere to project plans, ensure any conflicts are brought to the attention of the management team, and multi-task and work on several projects simultaneously.Possess flexibility and adaptability to thrive in a dynamic, fluid environment and ambiguous situations. Challenges the status quo, champions and manages change.Ability to interact and network effectively with all levels of staff, including senior leadership, both internal and on the client site. The incumbent is required to immediately disclose any debarment, exclusion, or other event that makes him/her ineligible to perform work directly or indirectly to Federal health care programs.DepartmentDepartment:Equal Employment Opportunity CareFirst BlueCross BlueShield is an Equal Opportunity (EEO) employer. It is the policy of the Company to provide equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information. Hire Range Disclaimer Actual salary will be based on relevant job experience and work history. Where To Apply Please visit our website to apply: www.carefirst.com/careers Closing DatePlease apply before: 12/13/2018Federal Disc/Physical DemandNote: The incumbent is required to immediately disclose any debarment, exclusion, or other event that makes him/her ineligible to perform work directly or indirectly on Federal health care programs. PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to perform the essential duties and responsibilities of the position successfully. Requirements may be modified to accommodate individuals with disabilities.  The employee is primarily seated while performing the duties of the position. Occasional walking or standing is required. The hands are regularly used to write, type, key and handle or feel small controls and objects. The employee must frequently talk and hear. Weights of up to 25 pounds are occasionally lifted. Minimal travel required. Sponsorship in US Must be eligible to work in the U.S. without Sponsorship","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=338691&s=149&guid=000001676b18b9f6b180b0436960e2e8&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9e46ce35&cb=1543690042299&jobListingId=3025094009"
"Business Analyst","NetCentrics","Herndon","VA","$60k-$90k(Glassdoor Est.)"," Job DescriptionNetCentrics is looking for an experienced Business Analyst to support our Business Development (BD) team in Herndon, VA. The Business Analyst will be responsible for supporting data analysis, conducting research, preparing BD-related reports and presentations on business opportunities, and overseeing the data accuracy and completeness of BD-maintained data, such as the pipeline, BD performance statistics and measures, and proposal and conference/activity schedules. The Business Analyst will maintain company past performance and other data used to support our proposal efforts, and prepare and complete data calls in support of proposal development. For a hired candidate who exhibits the potential and desire to exceed, demonstrated excellent performance may lead to an Account Manager position. This position is open only to Candidates who are clearable. The hired individual will report directly to the BD Department’s SVP.Requirements:Fully capable to use MS 365 Office Suite Tools: Word, Excel, and Power Point.Education: BA/BS Degree or equivalent.Years of Experience: 1+ years of analyst-related experience.As a contingency to employment at NetCentrics, all candidates who are given offers must successfully pass a full background investigation including criminal history, education and employment verifications.Preferred Qualification Previous experience with the Government procurement process and DFARs.Experience in supporting business development efforts in the Government market in the fields of information technology, cyber security, and/or data analytics solutions and services.Experience in use of DELTEK GovWIN IQ and CRM, and experience in developing presentations and proposal-quality graphics.Self-starter who exhibits attention to detail and expert organization skills**In order to be considered for this position, you must apply directly through our careers site**This employer participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.NetCentrics is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=430990&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_904b4880&cb=1543690042301&jobListingId=3037810070"
"Business Analyst","Planned Systems International","Washington","DC","$67k-$99k(Glassdoor Est.)","PSI Title: Business AnalystWork Location: DC - Washington DescriptionEssential Functions and Job Responsibilities: The candidate’s core responsibilities will include, but not to be limited to: Participating in the gathering and validating requirements for a modernization program.Supporting overall project objectives, test development and document test scripts.Performing requirements analysis and develops user stories to support agile team.Applies business process review to support the coordination of activities between and amongst functional units supporting one or more functional lines of business.Contributes to an atmosphere of cross-functional teamwork within the organization; contributes to acceptance/functional testing duties.Participate in agile incremental delivery approach which supports incremental development of every 2 weeks.Assist development/test teams in activities with test script development and acceptance testing.Communicates with the development team and stakeholders to successfully address requirements.Minimum Requirements:Bachelor’s degree in related field with 2+ years of relevant experience. An equivalent combination of education, certification, and relevant experience may be considered.Shall be proficient in Microsoft Office 2000 or later with particular emphasis on Microsoft Word, Excel, PowerPoint, and Project, and other applicable database and office automation products, to include Adobe Reader.Experience working in agile development environmentMust be adaptable to different responsibilities and have a passion for constantly improving the individual and team effectiveness.Ability to manage multiple projects, work under pressure and tight deadlines, work independently, and work in a team environment.Outstanding oral and written communications and time management skills.U.S. Citizenship is required. Candidate selected must be able to successful pass an extensive client background investigation. Planned Systems International provides our customers with value-added management consulting and information technology services that consistently deliver success, and we are recognized as a world-class provider of innovative solutions that benefit mankind. From Systems Lifecycle Support and Healthcare IT Solutions to Network and Desktop Solutions and e-Business, PSI is focused on making our clients’ businesses run smoother and better. With a highly trained technical staff, we apply state-of-the-art information technologies, the industry's most advanced methodologies, and broad-based support services to clients in U.S. Government agencies and the commercial sector. PSI is an Equal Opportunity Employer.  All qualified candidates are encouraged to apply, including:  Minorities, Women, Individuals with Disabilities, and Protected Veterans.  NOTE TO JOB SERVICE: VEVRAA Federal Contractor requesting priority referrals of Protected Veterans. Are you a returning applicant?Previous Applicants:Email:Password: If you do not remember your password click here.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=290222&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78165db9&cb=1543690042302&jobListingId=2880458147"
"Business Analyst","Peraton","Herndon","VA","$72k-$116k(Glassdoor Est.)"," OverviewWe are seeking a Business Analyst supporting our Data Warehouse work at our HQ office in Herndon, VA.  The Business Analyst will work with stakeholders to understand the business goals and objectives of the projects, and translate those goals and objectives into software requirements for technology initiatives, including online products, content management systems, and business information systems that assist our clients in achieving success.ResponsibilitiesThe Business Analyst (BA) will work to define/analyze requirements, test system functionality, develop user documentation, conduct training necessary for the successful execution of the project, and provide post deployment user supportThe BA will participate in the scrum teams making sure that the team goals are fulfilled each SprintThe BA will document requirements using user stories and flow diagramsThe BA will participate in QA to ensure testing will match requirements and fulfill the intended business needs QualificationsREQUIRED:3+ years of Business Analysis or related work experienceExperience working in an Agile development and management environmentFull system development lifecycle experienceProficient with Microsoft Office Suite (PowerPoint, Excel and Word)Bachelor’s Degree In Computer Science Or Related Field (Or Equivalent Experience) preferable About PeratonPeraton provides innovative, reliable solutions to the nation’s most sensitive and mission-critical programs and systems. Peraton has significant experience providing highly differentiated secure communications, space, and technology solutions to key customers, and has become a trusted partner on missions that are critical to the security priorities of the United States. Capabilities include complex software and technology services and solutions, as well as end-to-end mission operations abilities, including Software Systems Development, Cyber, Modeling & Simulation, Mission Operations, Signal Intelligence (SIGINT), and Quick Reaction Capabilities (QRC) / Research & Development. The company is headquartered in Herndon, VA, with approximately 3,500 employees across the U.S. and Canada.EEO StatementWe are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=347163&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1abc4192&cb=1543690042303&jobListingId=3040734163"
"Business Analyst","Interstate Group Holdings, Inc.","Springfield","VA","$57k-$88k(Glassdoor Est.)","SUMMARY The Business Analyst must use their strong quantitative skills to review, evaluate, develop insights and make recommendations that lead to actionable results that accelerate profitable growth for the company. ESSENTIAL DUTIES AND RESPONSIBILITIESCompiling data from multiple sources to create integrated views that can be used to drive decision making.The ability to analyze data in a meaningful way, to communicate their findings effectively, and recommend solutions with a specific focus on creating more revenue and better profits.The individual requires the ability to work on multiple projects effectively and efficiently while meeting specific deadlines.Recommend improvements to business processes they discover during their analysis.Forecasting: Business Volume, Productivity, Profit and revenueCustomer Satisfaction Scoring: Forecasting, Improve Processes, Support other business unitsRate/Tariffs reflected in databases for Corporate, Commercial (Individual Consumer), and Foreign Agents.Analysis and Pricing: Van Line, Service Centers, Forwarding, Logistics, and RelocationAd-hoc ReportingSpecial Projects on an as-needed basis.Indirect oversight of various operating unitsQUALIFICATIONSMicrosoft Office –Microsoft Word, Excel, and Power Point requiredDatabase access tools such as SQL Select and Auto-Tag preferredAbility to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations.Ability to write reports, business correspondence, and procedure manuals.Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.EDUCATION A bachelor’s degree from a four year college in business, management, accounting, economics, statistics, information science, or similar or 4 years related experience and/or training; or equivalent combination of education and experience.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=295504&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_be821db4&cb=1543690042304&jobListingId=3036969894"
"Analyst","Morgan Borszcz Consulting","Washington","DC","$74k-$114k(Glassdoor Est.)"," Company Morgan Business Consulting  Requisition Number 18-0092  Post Date 5/22/2018  Title Analyst  Sub Title Audit Advisory Analyst - IT  City Multiple Locations  Description MBC is fast growing firm that is seeking entry level professionals to support financial improvement and increased auditability of the United States Department of Navy (DON) and United States Air Force (USAF) financial statements.  **This role may be based in any of the following locations: Dayton, OH; San Diego, CA; or Washington DC.** Multiple positions available. Client Management, Qualifications and Responsibilities • Provide support to clients’ technical areas such as accounting procedures, financial reporting, IT control projects, and compliance services • Participate in team working sessions  • Perform analysis of key IT business processes and internal controls to identify risks and opportunities to improve operational efficiency • Validate controls and review testing of internal controls related to OMB A-123 and FIAR compliance • Assist in the testing of IT general application controls and mitigate cyber risks and threats  • Actively participate in client meetings and day-to-day interactions and prepare presentations and briefings • Proactively identify opportunities for change, process improvement, and system enhancements Essential Duties and Responsibilities: Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position Personal / Team Development • Demonstrates the MBC Values through behaviors; sets high personal standards for performance/conduct; supports company and practice activities • Demonstrates ability to be a team player; works well with others; contributes positively to work/team environment while continually seeks ways to enhance contribution to the team Client Management • Provide support to consultants and clients and understand business issues and related challenges of the client’s organization and industry  • Performs a key role in preparation of quality deliverables • Supports the operations of the engagement team and management while performing as an integrated team member. • Supports development of engagement work plans, schedules, and performance meetings Business Development • Supports business development activities as directed by management.  • Supports practice business development activities • Understands basic steps in sales cycles Other duties as assigned Supervision: N/A Requirements Requirements:  • Bachelor’s Degree in Accounting, Information Systems, Computer Science, or business-related field  • An active or ability to obtain a DoD SECRET clearance  • Proficiency with the Web and MS Suite Applications (Word, Excel, PowerPoint, SharePoint) • Knowledge of engagement or project planning and control process • Excellent writing and communications skills • Business travel as required by contract • Ability to create and deliver presentations to clients and management Preferred Qualifications: • Have an active Certified Information System Auditors (CISA) certification or similar IT professional certification • Experience in performing information assurance, information security, risk management, IT application controls and technologies (e.g., COSO, ERM, FISCAM, FISMA, NIST), financial statement audits and/or auditability assessments • Experience in FISCAM, OMB Circular A-123 internal control, audit readiness, SOC-1 (SSAE-18) reports, and FISMA security reviews • Possess a strong understanding of NIST requirements and FIPS guidance • Knowledge of the Financial Audit Manual (FAM), FIAR approaches and assess information system controls in areas of information assurance, access control, change control, segregation of duties, data base administration and data privacy • Comprehend the Department of Defense Financial Management Regulation (FMR), Treasury Financial Manual (TFM), the United States Standard General Ledger (USSGL), and/or Statement of Federal Financial Accounting Standards (SFFAS)  • Familiarity with US GAAP, GAGAS, and FIAR Minimum Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. • Problem Solving - Identifies and resolves problems in a timely manner; gathers and analyzes information skillfully; develops alternative solutions; works well in group problem solving situations; uses reason even when dealing with emotional topics. • Written Communication - Writes clearly and informatively; edits work for spelling and grammar; varies writing style to meet needs; presents numerical data effectively; able to read and interpret written information. • Diversity - Demonstrates knowledge of EEO policy; shows respect and sensitivity for cultural differences; promotes a harassment-free environment; builds a diverse workforce. • Ethics - Treats people with respect; keeps commitments; inspires the trust of others; works with integrity and ethically; upholds organizational values. • Strategic Thinking - Develops strategies to achieve organizational goals; understands organization's strengths & weaknesses; analyzes market and competition; identifies external threats and opportunities; adapts strategy to changing conditions. • Planning/Organizing - Prioritize and plans work activities; uses time efficiently; plans for additional resources; sets goals and objectives; organizes or schedules other people and their tasks; develops realistic action plans. • Professionalism - Approaches others in a tactful manner; reacts well under pressure; treats others with respect and consideration regardless of their status or position; accepts responsibility for own actions; follows through on commitments. • Innovation - Displays original thinking and creativity; meets challenges with resourcefulness; generates suggestions for improving work; develops innovative approaches and ideas; presents ideas and information in a manner that gets others' attention. • Qualifications - To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. • Language Skills - Ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, proposals, business correspondence, and procedure manuals. Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public. • Mathematical Skills - Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations. • Reasoning Ability - Ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to question activities and issues in all functional areas and make sound business decisions based on that data. • Physical Demands - The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. • While performing the duties of this Job, the employee is regularly required to sit, talk, type or hear. The employee is frequently required to walk; use hands to finger, handle, or feel and reach with hands and arms.  • Work Environment - The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. • The employee will normally work in a temperature-controlled office environment, with frequent exposure to electronic office equipment. • During visits to areas of operations, may be exposed to extreme cold or hot weather conditions. Is potentially exposed to fumes or airborne particles, caustic chemicals, and loud noise. MBC is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, disability, sex, sexual orientation, gender identity, national origin, or protected veteran status. We participate in the E-Verify Employment Verification Program. Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.Please view Equal Employment Opportunity Posters provided by OFCCP here.The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=337116&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_342518a0&cb=1543690042305&jobListingId=2787733829"
"Business Analyst","Powertek","Gaithersburg","MD","$52k-$79k(Glassdoor Est.)"," Responsible for supporting end users in the financial and/or accounting discipline (trouble shooting) Reconcile financial data and reportsSupport technology and users of technology in a end user support function.CLEARANCE: Public Trust TRAVEL: N/AYOUhellip;Experience working with ticketing system (ServiceNow) and assisting customers over the phone Adv","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=364176&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_312b6c9b&cb=1543690042306&jobListingId=2902919475"
"Business Analyst","Communications Training Analysis","Falls Church","VA","$73k-$110k(Glassdoor Est.)"," The Business Analyst Documents, designs IT solutions and solves organizational information problems by defining/analyzing requirements; designing computer programs; recommending system controls and protocols.  The successful candidate will be relied upon to perform the gathering, analyzing and documentation of business requirements for multiple software development projects in a fast paced environment. Opportunity to grow into project management position.   Other critical responsibilities are related to technical, quality assurance of system and process modifications, participate in the coordination of deployments, testing and change control of applications across multiple environments in support of business continuity. Candidate will also be responsible for drafting, updating and presenting additional technical documentation such as Use Cases, Process Maps and Story Boards. This position will meet regularly with internal and external stakeholders (virtually and in-person).  This position may incur regular travel to/from Falls Church, Va. and DC. Required Qualifications: Bachelor’s degreeCertified Scrum Master (CSM)Minimum years of relevant experience 3-5Strong technical skills and ability to understand and evaluate new technologies quickly is a must.Design software workflows and use cases to support more efficient processes; both internally and externally.Solid software development lifecycle experience.Create requirements documents for software, business, IT, etc.Design test plans to validate software functionality against requirements.Strong technical writing skills.Ability to multi-task and work in a dynamic environment.Some experience in project management & leadership is desired.Knowledge and ability to speak to IT industry trends and solutionsBroad knowledge of IT systems infrastructure, architecture dependenciesAbility to effectively communicate with highly technical people and lead/participate in requirements definition.   Desired Skills:Strong organizational and analytical skillsDetail orientedClearance Required: Ability to obtain and maintain a Level 5 Public Trust Clearance  CTAC is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity, national origin, disability, or protected veteran status. VEVRAA Federal Contractor","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=354156&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dfc55b1a&cb=1543690042307&jobListingId=2746216335"
"Business Analyst","i360","Arlington","VA",""," i360, the leading data and technology provider for the pro-free market public policy and advocacy community, supports organizations that promote free enterprise and smaller government. i360 is a dynamic workplace sitting on the leading edge of public policy, technology, and business, and is seeking team members who are as excited about their cause as they are about building the next generation of political technology.  i360 is seeking a Business Analyst to join its analytics team, which is driven by data and measurement. The ideal candidate is someone who has experience in quantitative analysis whether in market and/or consumer research, or general business analytics. Core responsibilities will revolve around conducting quantitative analyses to answer business questions utilizing large internal databases with the goal of generating original actionable insights for corporate clients.  To be considered, candidates must be creative, passionate about process improvement, and strong technical ability in the following areas: Intermediate knowledge of Excel (including formulas, functions, and pivot tables) and Power PointDemonstrated business communication and writing experienceExperience with Business Intelligence software like TableauAbility to orally present information to professional audiencesDemonstrated leadership or management experienceExperience in and/or knowledge of business analyticsAbility to work independently as well as collaboratively and adapt quickly in a fast-paced environmentAbility to integrate with large and small cross-specialty teams with individuals of varying levels of expertiseAbility to plan and execute multiple time sensitive projects at once, while maintaining a high degree of excellenceStrong attention to detail, including accuracy of data entry A Day In The Life COULD Include: Analyze data using statistical software to inform strategy decisions.Convert complex data and findings from a SQL environment into understandable visualizations and reports.Developing reports, dashboards and presentations to effectively communicate results to internal and external stakeholders.Work collaboratively with other teams and analysts to tackle every step in the analytics process to better serve client needs.Working on specialized research projects as requested.Gather information about best practices in business analytics and implement better ways to solve customer requests. Basic Qualifications: Bachelor’s degree or higher3+ years of relevant work experience using Statistical Software like R, Stata, SPSS, Python, or SAS2+ years of experience using SQL to extract and manipulate data from a database2+ years of experience using data to draw actionable insights in a business environmentRole is not eligible for VISA Sponsorship. Preferred Qualifications: Bachelor’s Degree with a quantitative focus or significant experience post-college working with dataDemonstrated ability to innovate in data analytics and data science4+ years of experience using data to draw actionable insights in a businessAPPLY NOW","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=419238&s=58&guid=000001676b18b9f6baf6fcffbbc7b798&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_62b0e3d3&cb=1543690042308&jobListingId=2939830442"
