"Name","Company","City","State","Salary","Description","Url"
"Business Operations Analyst","LevelUp","Boston","MA","$53k-$82k(Glassdoor Est.)","Business Operations AnalystCome join the LevelUp team in Boston to help build the next-generation growth engine for restaurants, connecting restaurants and guests with a seamless customer experience that blends analytics, loyalty, and rewards. And now as part of the nation's leading online and mobile food ordering company, LevelUptogether with Grubhubis on the front lines creating an even more complete solution for restaurants.We take pride in our inclusive and collaborative team atmosphere that encourages constant learning and growth, and empowers our employees to use their unique strengths and perspectives to make the biggest impact possible. And if we can have some fun, eat tons of food and win the Boston Business Journals #1 Best Place to Work Award (which we did twice!) along the way, even better. If youre looking for a diverse, creative, hard-working team to solve exciting new problems with - look no further!SummaryThe LevelUp platform enables national brands (e.g. Pret A Manger, Potbelly) to engage their customers via a sophisticated campaign engine while enabling those customers to order and pay using their mobile devices. This role blends significant client facing responsibilities and also requires partnering with internal teams, specifically Account Management and Sales, to maximize customer experience and growth on the LevelUp platform while ensuring the highest levels of financial integrity. Given the deeply financial nature of LevelUp as a product, this position will provide full time focus on onboarding, educating, and supporting our rapidly growing client base by addressing a broad range of financial and accounting inquiries. Responsibilities start with pre-sales support and run through launch coordination and continuing operations. The ideal candidate blends an outstanding set of client focused delivery skills with a passion for implementing deeply scalable internal processes to ensure client success.Job ResponsibilitiesSupport the full client financial life cycle from onboarding to platform maturity as the subject matter expert on a deeply financial productFlexibly support large client launches and incorporate that experiential learning into continuously evolving and improving internal processesCollaborate with other internal teams proactively to identify and solve client issues and recommend feature enhancementsEngage client leadership from the C-suite and founders to staff accountants to provide crucial and impactful informationIdentify and monitor key metrics to accelerate client adoption and highlight attention areas at both the client and systematic levelManage systematic billing to ensure the process is timely and accurateExperience/Qualifications2-5 years of relevant experience in high tech environment (fintech, financial services, or consulting are a plus)Bachelors degree in finance, operations, or even history from a reputable universityAn unwavering attention to detail, the ability to deliver a timely and accurate product, and the aptitude to strike a balance between the twoExcellent communication skills attentive listener who is capable of understanding diverse client requests and translate those into appropriate, reusable solutionsCorporate athlete a highly versatile thinker who can assimilate knowledge and understanding across different products, technologies, disciplines etc.Flexible and resourceful thrives in a dynamic environment where new challenges are everyday occurrences and the answers arent always in the handbookAptitude and/or desire to utilize reporting technology (e.g. SQL, dashboarding) to satisfy client requirements and improve business processesProven ability to work across departments to solve problems and achieve both internal and external resultsBenefits & PerksFree catered lunches from the businesses in the LevelUp ecosystem plus LevelUp credit to spend wherever we are acceptedA never ending amount of coffee beans to make whatever suits your fancy and a snack closet thats constantly stocked with a variety of snacks ranging from super healthy protein bars to a delicious bag of greasy chipsComprehensive benefits package including Medical, Dental, Vision, Disability & Life Insurance, Supplemental Life Insurance, and a Health Savings Account401(k) with strong company match and a wide variety of investment optionsFlexible Unlimited Vacation PolicyCharitable Matching ProgramRegular in-office social events, including happy hours, karaoke, and game nightsCompany-Wide Initiatives encouraging innovation, continuous learning, and cross-department connectionsCasual office environment where jeans and flip flops are acceptable. #NoSuitsConvenient access to the MBTA via red, green, orange line & Commuter Rail (Downtown Crossing Station, Park Street & South Station are a few blocks away)About UsLevelUp, a Grubhub Company, connects restaurants and guests with a seamless customer experience that blends analytics, loyalty, and rewards. LevelUp brings its technology to market in multiple ways: embedded into partner restaurant apps to provide a full-stack customer engagement solution; via an open developer platform that powers over 200 mobile apps; and through the LevelUp partner distribution channels, which lets consumers order ahead and avoid the line at their favorite lunch spots using the apps already on their phone. Based in Boston, LevelUp is a part of Grubhubs portfolio of brands and powers the mobile experiences for top brands like Chase Pay, Pret A Manger, Potbelly, Tropical Smoothie Cafe, Steak N Shake, Dunn Bros Coffee, Argo Tea and sweetgreen. LevelUp is an equal opportunity employer that values diversity. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, or status as an individual with a disability.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=298358&s=149&guid=0000016767318ad396defed9cd78d5e0&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6cd61a8&cb=1543624559877&jobListingId=2998052627"
"Business Analyst","Westernacher","Boston","MA","$74k-$107k(Glassdoor Est.)","Business Analyst Are you looking for a global adventure in helping companies perform at their best? Are you motivated by innovation? Are you keen to understand and optimize the underlying processes and systems that make the world's best run companies run?  If so, Westernacher has the career for you! Who we are: Westernacher is a global, innovative supply chain business and technology consulting firm. In our business, employees are seen as partners and associates, not just resources. In fact, we credit much of our success to the right people working together, drawing on one anothers skills and experiences and to the diversity and spiritedness of our employees.  Our Consulting division implements business and IT strategies, specifically involving SAP around the globe. We drive innovation through the combination of excellent business, industry and technical know-how. Our clients appreciate our industry expertise in manufacturing, logistics services, retail & consumer goods, life sciences and utilities. About the role: As a Business Analyst, you will be involved in exciting SAP projects. Right from the start, you will supportthe process and IT consulting at the customer site. We are pioneers in the SAP environment you willget to know cutting edge technologies, such as S/4 HANA, IoT and SAP Fiori. An experienced colleague will always be at your side as a mentor.  During your training, you will get to know our holistic end-to-end approach, and gradually assume your area of responsibility. You will be involved in all project phases, from customer workshops, blueprinting and technical conception to realization, user training and go-live. You will work with a team of experts to introduce transformations to supply chain operations at the worlds largest companies. You will work directly with the customer on-site (average 3-4 days/week), remotely from one of our offices. Qualifications:Bachelor's or Masters degree in Computer Science, Information Systems (IS), or similar fieldPrevious coursework or experience in ABAP, SAP, or Object Oriented ProgrammingPassion for solving business problems with technical solutionsNatural curiosity, leadership skills, and the ability to work independentlyOutstanding communication skills and strong business acumen to effectively collaborate with clients and colleagues across cultures and roles.A self-starter with a highly collaborative work style Applicants for US employment should have US citizenship or authority authorization to work in the US; however, we also have offices around the world should you wish to apply for international positions. What we offer:A promising career with a growing business and IT consulting companyInternational work experience, training and development opportunitiesAbility to learn about a variety of core supply chain planning, execution, and processes in multiple industriesHands-on experience with state-of-the-art technologies and complex business software that make companies run, notably SAPEntrepreneurial and merit-driven work environment where everyone is valuedFlexible working hoursGrowing team of fun, collaborative people who seek excellence through innovation and expertise in what they do If you enjoy working with collaborative people and projects in a thriving organization, Westernacher is the place to be!  By submitting your application you acknowledge and consent to the data privacy policies of the Westernacher Group. You grant us use of your personal data for the purpose of validating your professional qualifications for the purposes of potential employment by Westernacher.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=368485&s=149&guid=0000016767318ad396defed9cd78d5e0&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_32e316b0&cb=1543624559879&jobListingId=3042128369"
"Emerging Business Associate","KLR","Boston","MA","$46k-$78k(Glassdoor Est.)"," Job DescriptionLocation: Providence, RI and/or Boston, MA Required Years of Experience: 2+ years prior experience in public accounting/CPA Firm Required Education: Bachelor’s Degree in Accounting Travel: No Relocation: No Job Industry: Public Accounting Department: Emerging Business  KLR is one of the fastest growing accounting firms in New England. We are seeking an Emerging Business Associate to join our team in our Boston or Providence Office.  KLR is ranked as one of the top 100 accounting and business consulting firms in the United States. KLR operates four (4) offices in MA and RI and has more than 250 professionals.  As an Associate on our Emerging Business team, you will utilize your educational background as well as your organizational and technical skills as you work with clients of the Firm. Our engagements are in many industries including: manufacturing, distribution, consumer products, retail, hospitality, healthcare, technology, life sciences and start-ups. The Associate will be responsible for the following:Job Responsibilities  Prepare Engagement Letters Perform reviews and compilation engagements for various small business industries Draft financial statements, and footnotes for review Prepare federal, and state returns for individuals, partnerships, and corporations Perform individual tax planning for clients for year-end, including tax provisions, projections, and extensions Assist with special projects and manage various tasks at hand Participate in client meetings and fieldwork as necessaryOther Duties Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required for this job. Duties, responsibilities and activities may change from time to time with notice whenever possible, but not guaranteed.Job Qualifications  BS in Accounting Minimum of 2+ years prior experience in public accounting / CPA firm or corporate accounting Must have excellent oral and written skills Possess a strong working knowledge of Profx Tax; Profx Engagement; Microsoft Excel; Microsoft Word; and QuickBooks Knowledge of BNA Tax, and Profx Fixed Assets preferred, but training is available Exceptional detail-orientation and ability to prioritize and manage multiple tasks Flexibility Collaborative team player Demonstrated ability to handle sensitive information with discretion and confidentiality Strong work ethic and ability to operate in a fast paced environment We are looking for a candidate to work full time. Normal hours are Monday through Friday 8:30 am to 5:30 pm with increased hours during our peak season: January through April. These periods require increasing normal weekly hours, which may include weekends. Benefits KLR offers a wide range of benefits including: health and dental insurance, paid time-off and a competitive retirement savings plan. We utilize the latest technology, offer in-house education programs and provide employees with opportunities for community involvement as well as tuition assistance. Learn more about our benefits.  Come join a firm who has recently been recognized for a 13th straight year as the “Best Place to Work” and voted as a Top 100 Firm in the country!","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=438724&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0f32870c&cb=1543624559880&jobListingId=3026700919"
"Business Analyst","Boston Consulting Group","Boston","MA","$78k-$116k(Glassdoor Est.)"," Business Analyst  21-Nov-2018 Position SummaryPRACTICE AREA BCG’s Knowledge Services group is a growing, global team that drives knowledge management strategy, program implementation and operations for BCG. The KS team provides overall management of major knowledge management platforms, products and programs, including efforts in areas such as machine learning/artificial intelligence, expertise/reputation management, search, content management, social collaboration/communities, taxonomy, analytics, business request management and other related topics. Within KS, the Knowledge Management and Collaboration group provides essential knowledge search, sourcing, and request management. POSITION SUMMARY We are seeking a Business Analyst to play an integral role in development operations for our global request management system (RMS). As the key interface between customers and our development team, this role provides essential communication, documentation, QA testing, system support, and analysis for daily operations and project qts. Job ID7761BRCompany Information The Boston Consulting Group (BCG) is a global management consulting firm and the world’s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. Our customized approach combines deep insight into the dynamics of companies and markets with close collaboration at all levels of the client organization. This ensures that our clients achieve sustainable competitive advantage, build more capable organizations, and secure lasting results. Founded in 1963, BCG is a private company with offices in more than 90 cities in 50 countries. For more information, please visit bcg.com. Employee Type Regular Basic Job RequirementsJOB REQUIREMENTSBachelor’s degree and/or demonstrated related experience in appropriate fields requiredA minimum of 4+ years of in complex Business Analysis roles with increasing levels of responsibilityKnowledge and experience with Agile/Scrum product development processes and methodsExperience with request management platforms, products and projects a plusUnderstanding of key knowledge management and collaboration technologies preferredExperience in professional services or other highly matrixed organizations preferredJob Type Full time Non-discrimination Statement The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws. In addition, as a federal government contractor, BCG maintains an affirmative action program which furthers its commitment and complies with recordkeeping and reporting requirements under certain federal civil rights laws and regulations.BCG is an E-Verify Employer. Click here for more information on E-Verify. VEVRAA Federal Contractor Country United States City/Town Boston Function Knowledge & Research Job ResponsibilitiesPOSITION RESPONSIBILITIES & CANDIDATE PROFILEExperienced at documenting business requirements and conveying user stories to technical team in a hybrid agile development environmentFamiliar with collecting user information for new user groups quickly & effectively by clearly communicating what is needed to user group representative(s)Ability to manage across multiple user groups’ needs, concerns, and issues regarding changes, enhancements, fixesComfortable meeting with individual user groups to brainstorm solutions and ideas for business needs while identifying functionality which apply across user groupsUAT communications & coordination of feedbackSkilled at multitasking requirements gathering, testing, trouble shooting and support tasks across multiple user groups of the same systemHigh level technical skills to communicate with full time BSA on clarifications and details of business requirements translated to technical requirementsThoughtful approach to coordination of requirements across multiple user groups and application of business/technical requirements to streamline system solutions – think outside the boxExperience identifying business reporting needs and working as a team with BSA to identify the best reporting tools/optionsWork with recommendations from BSA/technical team to advise business user groups on how to implement business system needsKnowledgeable/working experience Jira/Confluence, ServiceNow, Tableau, Jive, MS OfficeWork directly with 2nd level Service Center support team to address and/or escalate reported issues in a timely mannerSupport releases with development partner and post release bugs resolution process in the appropriate time zoneComfortable working directly with users to solve individual user group issues either by email or on a callYou should be comfortable connecting & engaging with people across cultures, backgrounds and geographies within BCGYou have excellent communication and engagement skillsJob Title Business Analyst ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=135778&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bcd4ff2d&cb=1543624559881&jobListingId=3032281980"
"Business Analyst","The Kraft Group","Foxborough","MA","","Level EntryJob Location KAGR - Foxborough, MAPosition Type Full TimeEducation Level 4 Year DegreeTravel Percentage No travelJob Shift DayJob Category Customer ServiceBusiness AnalystPosition Summary The Business Analyst is responsible for driving business requirements gathering, implementation, and testing of the KAGR product suite to ensure client success from implementation through ongoing services. Through a strong knowledge of KAGR technologies, including client portal, database management, analytics, and strategic marketing, the Business Analyst will work closely with the development team and KAGR clients to drive results and achieve business impact.Responsibilities & AccountabilityClient management Define business requirements needs and document rules and logic for use in client implementation Triage client issues and report bugs to the development team clearly and precisely detailing specific cases in a timely mannerEnsure effective, timely and accurate client communications, including support management, status calls, and product roadmap check-insAssist in the development of client engagement and management processes through best practice researchServe as a client portal subject matter expert to ensure the portal is optimized for customer successProvide advice and best practices to clients to enable clients to maximize benefits of KAGR relationshipQuality assurance testing Complete testing on data integrations, dashboard reporting, and product enhancementsWrite and execute functional test plans Implement standardized testing process and procedures Business operations Create and maintain documentation on internal and client facing business processesMake recommendations to improve processes and services to improve client successIdentify opportunities to reduce manual tasks and create operational efficiencies Project management Coordinate scheduling and participate in meetings across internal and client teams. Report on next steps and action items. Participate in development planning sessions and prioritize client needs appropriatelyParticipate in agile ceremonies to ensure timely delivery Supervisory ResponsibilitiesNoneQualificationsSKILLS AND QUALIFICATIONSIdeal candidate will have 1-3 years of Business Analyst or QA experience in a technology setting and a degree in Business or related fieldExperience with SQL requiredMust have proven track record in technology delivery, data governance and client services Experience interacting with management, presenting, and acting in a professional manner Outstanding organizational skills and keen attention to detail Deep interest in analytics and technologyExperience with Microsoft Office suite, particularly advanced PowerPoint, Excel, Visio, ProjectPHYSICAL DEMANDS While performing the duties of this job, the employee is regularly required to sit and use hands to handle or feelThe employee frequently is required to talk or hearThe employee is occasionally required to reach with hands and arms, bend at the kneesSpecific vision abilities required by this job include close vision and ability to adjust focusReasonable accommodations may be made to enable individuals with disabilities to perform the essential functionsWORK ENVIRONMENT The noise level in the work environment is usually moderateNormal office environmentOTHER DUTIESPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.*MONThis company is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=209461&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fdb24f84&cb=1543624559882&jobListingId=3012675741"
"Business Analyst","Caresoft","Boston","MA","$60k-$96k(Glassdoor Est.)"," Skills Required: Experience with onshore/offshore teams working on below for Fixed Income and Cash desks. Experience in middle-tier memory cache for start of day and intraday data. Experience in data management analysis that focuses on data design, integration, data relationships, data quality and transformation. Working with developers on the data mapping, file extract specifications, developing test scripts and testing of the data extracts and uploads. Identify potential issues and work to ensure these are resolved in a timely manner. Analyzing the business needs, identifying business problems, and proposing data roadmap. Please click below to apply and feel free to call us at 732 514 7759. - provided by DiceFixed income, cash desks, BA, Intra day","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=320811&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_210a1b2f&cb=1543624559883&jobListingId=3041653047"
"Business Analyst","Bullhorn","Boston","MA","$59k-$95k(Glassdoor Est.)"," Reporting to the Lead Business Analyst, the Business Analyst will play a key role in building out Bullhorn’s internal business application ecosystem. You will consult with internal stakeholders across the company on business needs relating to Bullhorn’s internal business applications. You will analyze various Bullhorn departments’ business processes and requirements to deliver successful solutions. You will be involved in evaluating potential new solutions and fine-tuning existing ones. You will leverage your analytical skills and strong knowledge of Bullhorn’s systems and processes to understand stakeholder requests and translate them into functional and technical requirements. You are flexible, collaborative, and a team player, and you are comfortable operating as a key liaison between stakeholders across the organization and the Bullhorn’s Operations team. As a Business Analyst, a typical day might include:Working with leaders from Sales, Marketing, Finance, Product, Support and Services to analyze their business and functional needsDocumenting the requirements and working with developers and subject matter experts to establish a technical solution for the stakeholder needs and help deliver it successfullyManaging expectations, proactively communicating any potential issues, and delivering great solutions across the organization.This job might be for you if:A Bachelor’s degree, preferably in IS, MIS, Computer Science, or a related discipline2+ years’ experience as a client- or stakeholder-facing analyst working through business needsDemonstrated experience in data science and analysisDemonstrated experience in Requirements Sourcing and Business Process AnalysisGood understanding of Systems Development Life Cycle (SDLC)Ability to work on multiple projects working under tight timelinesExperience working with cross functional teams, leading and following as and when neededExcellent verbal and written communication skills, strong presentation skillsPassion/aptitude for problem solving and figuring out the right solution for a clientStrong customer focused attitudeBonus points for:Knowledge of cloud or working in a SaaS environmentExperience with or knowledge of cloud-based quote-to-cash systemsExperience with or knowledge of sales, customer service, and/or billing & accounting business processes Strong culture makes Bullhorn a great place to work! Weekly breakfasts and lunches, monthly social events, annual summer and holiday parties, and volunteering outings all add to Bullhorn’s incredible office culture. You might be a fit for Bullhorn if:You are energetic and enjoy working in a fast-paced environmentYou love working in an agile environment and can roll with the punchesYou take ownership of your work and continuously strive for improvement #LI-CR1","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=135721&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3bb25c3b&cb=1543624559884&jobListingId=3005194360"
"Database Systems Analyst","Safety Insurance Group, Inc.","Boston","MA","$61k-$115k(Glassdoor Est.)","Job Summary:DBA expert to provide development and support for the iSeries DB2, DataStage ETL, Netezza/MiniMako Data Warehouse, Cognos/Qlik and Microsoft SQL Server environments. This individual will be required to perform data modeling of the current environment, and review and model new objects as they are introduced. Also, responsible for developing and optimizing database structure to increase performance.Duties:Design and development of SQL based ETL tasks for migrating data from a source system to a target destination systemDesign and development of SQL databases, stored procedures, queries and performance tuning.Work with and support Netezza/Mini Mako user community in a variety of support and development roles.Develop logical and physical data models, and define database standards.Understanding of Data Warehouse, star schema and dimension fact data model.Support development groups regarding database tasks.Must be able to display effective relational and communications skills to effectively interact with business units and interpret business needs.Ability to run queries, analyze data, and present results in a clear and concise format.Investigate and analyze new technologies, hardware, and software and make recommendations on alternatives for new business systems.Qualifications:Bachelor’s Degree in Computer Science, Software Engineering or Information Systems.Strong knowledge and experience with reporting packages Cognos, Qlik and Nprinting.Strong knowledge and experience SQL and DB2.Strong knowledge and experience with programming ETL framework DataStage.Strong knowledge and understanding of stored procedures, schema, indexes, triggers and user defined functions.Experience supporting web applications through ODBC and Linux.Experience working with Functional Subject Matter Experts to understand the requirements and update the data model accordingly.Business/data analyst background and project management experience is desirable.Excellent communication skills.Adept at queries, report writing and presenting findings.Strong analytical skills with the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracy.3+ years analysis, design, coding, testing, debugging and documenting database applications.3+ years of hands on experience with Netezza/Mini Mako hardware as well as ETL.3+ years of UNIX/Linux OS experience.3+ years performance tuning databases.Strong knowledge of Microsoft Office applications (Excel, Word, PowerPoint, Project, Visio).","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=382513&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1d857894&cb=1543624559885&jobListingId=2443727283"
"Business Analyst","Anaqua","Boston","MA","$51k-$84k(Glassdoor Est.)"," Do you have a desire to be an integral part of a growing and dynamic team and an emerging leader in their space?  Anaqua helps corporations and law firms turn intellectual property into competitive advantage. Our software platform, ANAQUA, unifies the critical tools, best practice workflows, data, documents and services into one efficient, intelligent environment so our clients operate more efficiently and make better decisions faster. Nearly a million IP professionals in over 150 countries use ANAQUA to manage more than a billion dollars in intellectual assets. Many of the best known brands and most innovative products were conceptualized, evaluated, protected and monetized through the ANAQUA platform. Position Overview: This role is responsible for managing the implementation of projects to successfully transition clients to ideaPoints offerings. This includes managing project scope, timeline and appropriate communications as necessary. This role requires strong attention to detail and the ability to coordinate internal software, service and client teams to ensure a successful transition. Candidates must possess business user presence and experience in business systems integration as well as managing small to large projects and software implementations in client-facing roles. Responsibilities:Elicit requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, and task and workflow analysisProactively communicate and collaborate with external and internal customers to analyze information needs and functional requirementsCritically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information into general understanding, and distinguish user requests from the underlying true needsCoordinate with technical resources and subject matter experts to establish the technical vision, analyzing tradeoffs between usability and performanceAssist end users with web-based applications and escalate issues as appropriateExplain complex technical ideas and processes in simple termsConduct and complete workflow and functionality gap analysesCoordinate business units, technology teams and support teamsRequirements:BS/BA, MS and/or PM Certification or equivalent relevant work experience2-5 years of equivalent relevant work experienceProfessional and positive attitudeStrong analytical and problem- solving skillsAbility to manage time efficiently, thoroughness and ability to meet deadlinesStrong written and verbal communication skills, including strong presentation and meeting management skillsKnowledge of systems integration and the system development lifecycleExperience in running software related projects, preferably multiple projectsExperience using Microsoft Office Suite, Visio, and ProjectAbility to travel on a need basisTechnical background (preferred)Multi language skills to include any two of the following: French, Portuguese, German, Japanese, English, Chinese, Mandarin or Korean is a plus (preferred)","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=66506&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e442af3d&cb=1543624559886&jobListingId=3041374056"
"Principal Applications Analyst, Business Intelligence","Mercury Systems","Andover","MA","$115k-$158k(Glassdoor Est.)","Purpose: This position is for a recognized subject matter expert in the Enterprise Systems sub-family. Responsibility Statement:The Principal Analyst, Business Intelligence (BI) is a technical role responsible for architecting and maintaining a high performing and agile reporting environment. Principal Analyst will also work with project managers, developers and business users to define prioritize and create new projects, reports, dash-boards or add new data elements.Coordinates technical and non-technical staff to gather requirements and develop system requirement definitions. Designs, codes, tests, debugs, and documents requirements for medium to large scale projects. Provides input on the architecture of Data Model. Performs ETL scripting and processes based on business requirements and in-depth knowledge of data sources.Additional Required Knowledge, Skills, & Abilities:Broad experience in data warehouse and business intelligence tools (BI, ETL, Data Quality and RDBMS tools/platforms). Experience with preferably Oracle BI portfolio including Hyperion but familiarity with Cognos, PowerBI, SSRS or Tableau considered valuable.Hands-on experience using SQL and PL/SQL for performing data profiling, formatting, and ad-hoc data analysis.Experience with creating reports, dashboards, and/or summarizing large amounts of data into actionable intelligence to drive business decisions.Mastery of BI development methodologies and project management skills.Strong problem solving and analytical skills with a hands-on practical approach.Team player with strong communications and interpersonal skills.Education: Bachelor's Degree in Data Science, Computer Science, Information Technology, Information Systems, or similar discipline or equivalent work experience. Work Experience: 7+ Years Physical Demands/Working Conditions: Sit for long periods of time. Repeat the same movements. Use hands to handle, control, or feel objects, tools, or controls. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Travel Requirements: Minimal","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=432414&s=58&guid=0000016767318ad3a72e174cc425703b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fb2e3f52&cb=1543624559887&jobListingId=2883657634"
