"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","COBANK","Denver","CO","$50k-$83k(Glassdoor Est.)"," Business Analyst Location  Denver, CO Primary Functional Area  Accounting & FinanceApply NowAt CoBank, our Business Analyst provides full-life cycle analysis and first line support for the business units they support. This typically involves performing impact analysis, gathering and documenting requirements, documenting test plans, performing quality assurance testing, documenting changes to workflow and procedures, delivering training, performing change management and providing implementation and post-implementation support for system enhancements and upgrades. In addition, you will perform complex analysis and make recommendations for process improvements.  Become part of the Treasury team in building a custom platform specifically focused on enhancing our customer’s experience and further supporting CoBank’s mission to serve as a dependable provider of financial services to rural America. This position will allow you to grow and build a career in a team focused environment that delivers value to our customers and stakeholders. Basic QualificationsBachelor's degree in Business Administration, Finance/Accounting, Information Systems Management or relevant discipline.Minimum 3 years of relevant business analyst work experience including a successful record of product, process and system enhancement in area of responsibility; or appropriate combination of education and experience.Preferred QualificationsExperience in developing and leveraging various modeling techniques for requirements elicitation (use cases, wireframes/conceptual prototypes, process flow diagrams, etc.) with requirements prioritization and scope negotiation.Experience as an agile scrum team member working with stakeholders and the product owner to write effective user stories.Ability to perform business analysis within the department and cross-functionally across the organization, evaluate issues, identify possible solutions, and negotiate resolution with stakeholders.Proficient in the use of analytical tools such as databases, spreadsheets, flow charting, process diagramming, and reporting applications.Ability to deliver on customer and line business requirements while working in a team environment, including the ability to understand and apply knowledge of technology issues relevant to the business.Understanding of program management concepts, implementation techniques, process re-engineering and change management.Ability to apply creative and innovative approaches to the management of both technical and non-technical projects.Industry expertise in banking and/or financial services, including hands-on business analysis with products, processes, and systems relevant to this sector.Excellent interpersonal, facilitation, oral and written communication skills.Availability for occasional work outside normal business hours.About CoBank CoBank stands strong as a $125 billion enterprise dedicated to the financial needs of rural communities. That means we help fund new ways to grow food, generate energy, access technology, and otherwise improve life in America. When you choose a career with us, you make a difference by standing for something that matters. A career at CoBank can offer you the opportunity to make a personal impact on the people and communities where we do business. We also provide competitive compensation, health and wellness benefits, company-funded retirement plan, matching 401(k), and professional development programs.  CoBank will not sponsor a work visa (e.g. H1B, etc.) to fill this position.  CoBank is an Equal Opportunity Employer.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=414104&s=149&guid=00000167660bb0d2bc260df58aa13a2a&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_743151cc&cb=1543605302020&jobListingId=3010150156"
"Business Analyst","HomeAdvisor","Golden","CO","$56k-$91k(Glassdoor Est.)","About ANGI Homeservices:HomeAdvisor and our sister company, Angie’s List, have combined to create the largest home services marketplace in the nation. We connect millions of homeowners across the globe with home service professionals through our innovative and user-friendly products. Our business is complicated, with more than 15 million service requests annually and a dynamic internet landscape with rapidly-changing customer behaviors. ANGI operates 10 brands in 8 countries and is headquartered in Golden, CO.  Our business is complicated, with a large team of sales and operations professionals working to grow our network of over 200,000 service professionals. We’re constantly exploring better ways to operate, and trying new things; coupled with our rapid growth there are innumerable opportunities to support the company with your insight. This makes the Operations Analyst role critical to the continued success of HomeAdvisor by providing the information necessary to make great decisions.Job Responsibilities:We work daily with the operations and product leadership teams to develop, execute, monitor, and refine initiatives that drive value and quantify that value as it pertains to financial performance. The role covers a broad spectrum of responsibilities, from reporting to strategic analysis to test market evaluation. This won’t be a monotonous job– the business challenges are constant, and the solutions ever changing. The ability to jump into uncharted waters and manage multiple projects with changing priorities is a must. You’ll need to know your way around Excel, have an aptitude for relational databases, and a solid helping of common/business sense. As important as your analytical skills, your ability to synthesize large data sets into digestible information will be key. In your first year our goal is to have you capable of querying our database for insights, communicate opportunities to leadership, then establish reporting and ongoing monitoring to ensure proper execution of the strategy. This is not a“take orders” environment– you are here for your passion and input about improving HomeAdvisor– bring us ideas and pursue new approaches to solving problems to make us better and smarter!Required Experience:Bachelor’s degree in a technical field such as Engineering, Finance, Economics, etc.2+ years of professional experience in a financial/business analysis roleAdvanced Excel experience; knowledge of SQL, Access, or other relational databasesStrong grasp of statisticsExperience with visual analytics such as Tableau a plusSuperior analytical, problem-structuring, and problem-solving skills; experience synthesizing data into information, and presenting concise analysesExcellent verbal and written communications skillsAbility to manage multiple projects simultaneouslyIntellectual curiosity balanced with an orientation for getting stuff doneAbility to validate results of analyses by reconciling with data from other sourcesAttention to detail, a sense of urgency, and relentless follow throughIf you're interested in a career with us, we'd love to talk. If you have questions about any of our roles, talk with one of our Recruiters by signing up for our next chat: http://www.abouthomeadvisor.com/talk-to-us/","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=374041&s=149&guid=00000167660bb0d2bc260df58aa13a2a&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_41ad2d94&cb=1543605302021&jobListingId=2918686583"
"Product Owner / Business Analyst","Pulte Mortgage Company","Englewood","CO","$80k-$98k(Glassdoor Est.)","Who We Are:PulteGroup: A Fortune 500 company, has been providing the American Dream of homeownership to families for more than 60 years. We “Build Consumer Inspired Homes and Communities to Make Lives Better!” PulteGroup is a home builder interested in economic, environmental and social sustainability practices. The homes we build inspire “homeowners for life” with repeat business common from both the homeowners and realtors. PulteGroup operates in approximately 50 markets throughout the country and is one of the largest U.S. homebuilders by closing volume.Pulte Mortgage: Because we are a wholly-owned subsidiary of PulteGroup we are never at a loss for business and can spend our time developing our employees instead of beating the streets. We are a financially stable partner you can trust with over 40 years in mortgage banking. We have seen it all and are stronger than ever! Named as one of Colorado’s “Best Place to Work” in 2015, we are fueled by the desire to work hard, play hard, make a difference, do good things for our communities, and have fun doing it. We are a curious group and constantly strive to find new ways to help our customers achieve financial fitness through home ownership. We focus on a total rewards package with high base salaries, competitive monthly incentives, stellar, top level benefits, a fully vested 401k match, tuition reimbursement and much more! Pulte Cares: We are dedicated to serving the community through volunteer days, charitable contributions, employee designated charitable contribution matching program, the Opens Doors Foundation, and Built to Honor program.Centralized in Denver, Colorado, we are a mortgage banker that values customer service, exceptional training, employee development, and continuous improvement. We are committed to running our business with integrity by always choosing the right way over the easiest way. We are dedicated to improving the lives of our customers, our employees, and PulteGroup.Product Owner / Business AnalystJob SummaryProduct Owner to join an Information Systems Department that creates and implements business-critical applications. This is an exciting opportunity to apply strong functional and technical skills in a collaborative, dynamic environment.This position interacts with business executives, management, and end users, and agile delivery teams. This position works with the agile delivery team for Business Process Management, focusing on workflow systems.ResponsibilitiesDocument as-is processes and identify pain-pointsReview external vendor interface requirements and define gaps with current data and processesEnvision future state processes, screens, and business rules to support external vendor interfaceDevelop and clarify user stories from features requestsCollect and prioritize features by working with business stakeholdersBuild and groom product backlogCollaborate with product owners, architects and delivery teams to design the system solution for assigned features and user storiesDevelop detailed understanding of the product within a complex service-oriented architecturePresent product features at sprint demonstrations to end users, managers, and executivesReview training materials and operating procedures; participate in training sessionsApply communication skills to communicate information effectively and professionally to stakeholders, managers, and delivery teamsDevelop use cases and business requirements from both business and technical perspectives, as neededProduce high quality deliverablesResolve feature questions through data analysis and software tools (SQL, XML, etc.)Apply analytical skills, to critically evaluate the information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a more general understanding, distinguish presented user requests from the underlying true needs, and distinguish solution ideas from requirements.Required EducationBachelors in Computer Science or related field Required Experience 2 years experience in residential mortgage systems3 years of agile development experience. Prefer scrum, and Product Owner experience (CSPO strongly desired)3 years software application development, product management, business systems analysisExperience documenting as-is and to-be process flows using BPMN and narrativesExperience in Agile and Waterfall methodologiesDemonstrated experience with OOAD and structured design procedures and deliverablesExperience with complex integrated environments, such-as service-oriented architecturesDemonstrated experience with MS Word, Excel, PowerPoint, VisioAll employees must be committed to fair and nondiscriminatory lending, in conformity with the Equal Credit Opportunity and Fair Housing acts, and to compliance with all applicable laws, regulations and company policies. Employees must act responsibly in their efforts to provide financial services to Pulte customers and to provide support to Pulte’s core purposes.Apply","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=321052&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc9dd065&cb=1543605302023&jobListingId=3010227721"
"Business Systems Analyst","Centura Health","Centennial","CO","$53k-$87k(Glassdoor Est.)"," Welcome to Centura HealthWelcome to the largest health ecosystem in Colorado and western Kansas. Welcome to living your mission among thousands of people on fire to live theirs too. Welcome to options, possibilities and values that guide exceptional care. Welcome to extremely important industry challenges and opportunities to solve complex problems. Welcome to highly intelligent teams, overflowing community and the wholeness of mind, body and spirit that is Centura Health.Flourishing Begins HereYou have a purpose, unique talents and NOW is the time to embrace it, live it and put it to work. At Centura Health, we value incredible people with incredible skills – but your commitment to a greater cause is something we value even more.  Provide statistical, operational and system support; responsible for the collection, manipulation, and analysis of qualitative and quantitative patient experience data to be used throughout Centura Health. Create and support automation tools to assist patient experience department in management of analysis needs. Establish and ensure adherence to standards of programming, data reporting, analysis and end user maintenance. Partner with end users to identify their reporting needs and solutions.What You Bring/Job RequirementsIn addition to bringing your whole self to the workplace each day, qualified candidates will need the following: 3 years experience in working with both relational and non-relational databases, reporting, and table maintenance preferred.Bachelors Degree in Computer Science, Accounting, Business or related field. Equivalent work experience may be considered.Pharmacy knowledge is a highly preferred.Knowledge of healthcare operations preferred.Organized, self-starter.Must be able to work independently and collaboratively.High School Diploma or GED required Physical Requirements - Sedentary work -(prolonged periods of sitting and exert up to 10lbs force occasionally)Your Connected CommunityWhen people and places align, incredible things happen. Just like the 21,000+ amazing associates who work here, every community within Centura Health’s connected ecosystem has its own unique history, story and personality.  Centura Health is headquartered in Centennial, CO, with additional business office locations throughout the Denver Tech Center. The Corporate Service Center is home to our leaders and centralized teams that support our hospitals, clinics and people – including marketing, human resources, employee benefits, finance, billing, talent acquisition/development, payor relations, IT, project management, community benefit and more. Whether you work in the corporate headquarters or one of our nearby offices, you’ll experience a culture of collaboration and community where incredible people are doing incredible things every day.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=421255&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7c9d49b3&cb=1543605302024&jobListingId=3037274405"
"Associate Business Analyst","Welltok","Denver","CO","$54k-$88k(Glassdoor Est.)"," Welltok is growing rapidly and is excited for you to join our journey! We are proudly one of only five healthcare companies on the Forbes 2018 Cloud 100 list, ranked on the Inc 5000 fastest growing company list for the 4th consecutive year and ranked #1 on the 2018 Tech Tribunes Best Technology Startups in Colorado. Position Summary: The Associate Business Analyst will work proactively with external clients to identify business cases, recommend solutions, create technical specification documentation, and provide counsel as needed to ensure the most positive business outcome. The right person for this role has demonstrated the ability to work effectively with both business and highly technical team members. This role reports directly to the Senior Manager, Solution Delivery. Essential Duties and Responsibilities:Producing technical business requirements across multiple client projects.Aligning CafeWell platform capabilities to client outcomes in partnership with Account Management and Solution consultants.Managing the business and technical requirements through the project lifecycle.Establishing and maintaining agreements between the customer and project team.Ensuring requirements are specified in a manner suitable for the intended audience and are understandable, unambiguous and capable of being implemented and tested.Responsible for ensuring change control and change management procedures are followed within the project team as they relate to requirements.Assessing change requests related to requirements.Supporting UAT/Functional Testing through development of test scenario creation and/or review, test file mockups, and test scenario validation.Assisting delivery and support teams, as needed, to resolve customer issues.Creating internal and external materials to define functionality of new capabilities and all technical details for configuration and implementation.Competencies: Adaptability - Demonstrates persistence and overcomes obstacles. Measures self against standard of excellence. Recognizes and acts on opportunities. Sets and achieves challenging goals. Takes calculated risks to accomplish goals.  Communications - Exhibits good listening and comprehension. Expresses ideas and thoughts in verbally and in written form. Expresses ideas and thoughts verbally. Keeps others adequately informed. Selects and uses appropriate communication methods. Communicates across organizational boundaries from engineers through to senior managers.  Continuous Learning - Assesses own strengths and weaknesses. Pursues training and development opportunities. Seeks feedback to improve performance. Shares expertise with others. Strives to continuously build knowledge and skills.  Customer Service - Displays courtesy and sensitivity. Manages difficult or emotional customer situations. Meets commitments. Responds promptly to customer needs. Solicits customer feedback to improve service.  Problem Solving - Develops alternative solutions. Gathers and analyzes information skillfully. Identifies problems in a timely manner. Resolves problems in early stages. Works well in group problem solving situations.  Teamwork - Balances team and individual responsibilities. Contributes to building a positive team spirit. Exhibits objectivity and openness to others' views. Gives and welcomes feedback. Puts success of team above own interests.  Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Education/Experience: Bachelors degree from four-year college or university; or four plus years related experience and/or training; or equivalent combination of education and experience. Prefer undergraduate degree in Computer Science, Engineering, Business, or other technology or domain-related field. Associate's degree or equivalent from two-year college or technical school; or six months to one year related experience and/or training; or equivalent combination of education and experience.  Two or more years related experience with a client-facing role in revenue-generating, technology platform service, preferably with a SaaS business model. Proven ability to write business requirement documents, acceptance criteria, and user scenarios.  Language Ability:  Read, analyze and interpret business, professional and technical documents. Create technical specification documents, and correspondence. Effectively present information and respond to questions from clients, technical resources, and the public.  Reasoning Ability:  Define problems, collect data, establish facts and draw valid conclusions. Interpret an extensive variety of technical instructions furnished in written, oral, diagram, or schedule form. Deal with several abstract and concrete variables.  Technical Skills:  Advanced knowledge of Microsoft Office. Experience working with SQL, HTML, CSS, and Javascript is a plus.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4341&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8f6d8ae7&cb=1543605302025&jobListingId=2865988082"
"Business Analyst - Entry-Level","Avenica","Denver","CO","$38k-$63k(Glassdoor Est.)","Avenica is currently recruiting for an Entry Level Business Analyst position. This is a great entry level position with opportunities for professional growth and development. Responsibilities may include:Prepare technical reports by collecting, analyzing and summarizing information and trendsParticipate in improvement of master data management process.Conduct market research analysis.Ensure and measure master data integrity.Requirements:Bachelor's degree - all majors encouraged to apply including - Economics, Finance, Math, Statistics, History, Psychology, Communications, Business, Anthropology, Liberal Arts, Biology, English, Criminal Justice, Political Science, etc.0-3 years of professional experience.Strong analytical skills, work ethic, independence, problem solving ability, effective communication skills, and overall positive attitude.Excellent oral and written communication skills.Proficiency with Microsoft ExcelStrong organizational skills with the ability to multi-task while under pressure.Customer service oriented.Avenica actively recruits college graduates seeking entry level positions using a proven, personalized process to connect grads with great jobs, not with an app or an algorithm. Whether you are fresh out of college and looking for your first real job, or a few years out and looking to redirect your entry level career, we can help you. Our model focuses on finding the right candidate for each position. To learn more, visit our website at www.Avenica.com. Avenica considers the entire candidate – not just specific college degree or work experience – while trying to find a perfect career match. If we believe we can be a valuable resource to you in your job search, we will help you identify your transferable skills, discuss potential career options, and coach you on your resume and interview skills. All of our services are free of charge to job seekers.  Our customized and personalized approach has helped us connect thousands of college graduates to meaningful entry-level jobs at high-growth companies.  Avenica is an Equal Opportunity Employer and encourages applicants of all ages, experiences, and backgrounds to apply for open positions. Avenica does not discriminate on the basis an applicant’s age, race, color, creed, religion, national origin, sex, marital status, disability, sexual orientation, or status with regard to public assistance.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4470&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_455d12b6&cb=1543605302026&jobListingId=3036665681"
"Application Support Analyst - CORP","Centura Health","Englewood","CO","$60k-$92k(Glassdoor Est.)"," Welcome to Centura HealthWelcome to the largest health ecosystem in Colorado and western Kansas. Welcome to living your mission among thousands of people on fire to live theirs too. Welcome to options, possibilities and values that guide exceptional care. Welcome to extremely important industry challenges and opportunities to solve complex problems. Welcome to highly intelligent teams, overflowing community and the wholeness of mind, body and spirit that is Centura Health.Flourishing Begins HereYou have a purpose, unique talents and NOW is the time to embrace it, live it and put it to work. At Centura Health, we value incredible people with incredible skills – but your commitment to a greater cause is something we value even more.  Under direct supervision, provides technical guidance for directing and monitoring information systems operations. Handles basic issues and problems, and refers more complex issues to higher-level staff. Reviews records and reports of production, machine malfunctions and maintenance as well as organizational, procedural, and workflow plans and methods.What You Bring/Job RequirementsIn addition to bringing your whole self to the workplace each day, qualified candidates will need the following: 0-2 years of experience in providing technical and application supportdemonstrated experience in customer serviceAbility to quickly troubleshoot problems that may arise in work productsAbility to partner with application administrators and business partners to identify impacts and resolutionsAbility to understand database systems, integration, design and reporting functionalityKnowledge of healthcare operations preferredDemonstrated excellence in oral and written communication skillsAssociates Degred in related field requiredBachelor Degree in related field preferred Physical Requirements - Medium Work - (Exert up to 50lbs force occasionally, and/or up to20lbs frequently, and/or up to 10lbs constantly)Your Connected CommunityWhen people and places align, incredible things happen. Just like the 21,000+ amazing associates who work here, every community within Centura Health’s connected ecosystem has its own unique history, story and personality.  Centura Health is headquartered in Centennial, CO, with additional business office locations throughout the Denver Tech Center. The Corporate Service Center is home to our leaders and centralized teams that support our hospitals, clinics and people – including marketing, human resources, employee benefits, finance, billing, talent acquisition/development, payor relations, IT, project management, community benefit and more. Whether you work in the corporate headquarters or one of our nearby offices, you’ll experience a culture of collaboration and community where incredible people are doing incredible things every day.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=421255&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd3fb6ac&cb=1543605302027&jobListingId=3041862502"
"Business Analyst","RevGen Partners","Centennial","CO","$78k-$116k(Glassdoor Est.)","Job DetailsLevel ExperiencedJob Location UndisclosedPosition Type UndisclosedEducation Level UndisclosedSalary Range UndisclosedTravel Percentage UndisclosedJob Shift UndisclosedJob Category UndisclosedDescriptionRevGen Partners seeks a full-time Business Analyst to join the team. Essential Functions:Business analysisWork directly with clients to understand project needs and goalsFacilitate workshops and meetings to identify and analyze business requirementsSummarize and present results internally and externally to client audiencesAble to work on a project from inception to completionUnderstand business requirements to develop and refine functional requirementsCoordinate with technical staff to develop recommendations for modifications and enhancementsClearly document feedback and new requirements to the development teamProvide business support for analysis, designing, testing and implementing business process improvement initiativesOversee training and supporting clients on using the solutionQualificationsRequisite Knowledge, Skills & Abilities:General:Ability to multi-taskStrong communication (oral and written) and interpersonal skills required to interact with colleagues and clientsExcellent analytical, organizational and project management skillsAbility to develop productive business relationships with internal team members through cooperation, courtesy, and professionalismAbility to play an integral part in project delivery given tight constraints and uncompromising qualityMotivated to identify and develop solutionsProficiency with Microsoft Office suiteDesired Experience:3+ years of Business and/or IT experience, project management or data analysisA fundamental knowledge and ability to understand technology, information systems, data, and business processesConsulting/professional services experience a plusEducation, Training & Certifications:Bachelor's Degree in MIS, Computer Science, Business, or related disciplineTraining and certifications will be consideredWorking Environment/Physical Activities:PC usage up to 100% of the timeOffice equipment such as telephone, fax and copierAbility to travel to client sites through Denver-metro areaAbility to travel outside of DenverOvertime and weekend hours may be requiredCompensation: RevGen Partners offers competitive wages. RevGen Partners rewards employees for the overall growth of the organization and provides professionals with opportunities to build their professional resume.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=248026&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_279edda7&cb=1543605302028&jobListingId=2906649084"
"Business Analyst","POSSIBLE","Denver","CO","$54k-$88k(Glassdoor Est.)"," Who We Are:POSSIBLE Mobile builds native apps for mobile devices in iOS, Android and connected devices including Apple TV, Chromecast and Android TV.  We are trusted by and have long lasting relationships with our clients including renowned brands like JetBlue, PGA Tour, Hasbro and Major League Soccer.  More than development, our team partners with our customers providing strategy, consulting, and business analytics from start to ship to ensure each app performs well and meets user needs.  Founded in 2008 as one of the first mobile consulting shops, we pride ourselves on continually being cutting-edge and place a high priority on staying in the forefront of technology.  We are the mobile strategy, user experience, design, and development capabilities division of POSSIBLE, a creative agency, part of the WPP portfolio.  By nature, we are visionaries, innovators and pioneers in the mobile space. If that describes you too, then by all means, get in touch—we’d love to work with you.Who are we looking for:POSSIBLE Mobile is looking for a Business Analyst to join our growing team in Denver.  The Business Analyst will focus on system integration analysis and design, working closely with customers, functional organizations, application developers, respective users, and internal business leaders on defining and documenting various applications and system processes. You will be responsible for articulating concepts and solutions to project teams and providing technical expertise in requirements documentation. Additionally, you will provide leadership in the creation and implementation of business and functional requirements for mobile application integration.What you'll do: Provide technical expertise in writing requested capabilities, features, improvements and changes in existing applications.Identify and document process improvement opportunities, and translate them into requirements specifications to support business needs.Provide expert level guidance in requirements of mobile applications, tools and technologies.Provide mentoring to associate level Business AnalystsPrioritize features based on business need and scope through active dialogue with business stakeholders.Conducts business process analyses to understand, define, document and inform mobile solution requirements.Create Business Requirements, organize reviews, and obtain necessary approvals for handoff to project team members.Work with the project team leadership to identify continuous improvements as needed. What you'll need: 5+ years technical business analysis experienceStrong business analysis skills and ability to quickly understand and analyze business processes and flows.Self-starter with a ‘can do’ attitude and motivation to learn new skillsFlexible, with the ability to multitask and adapt to changing business needs and priorities.Excellent verbal and written communication skillsRequired to have data query and report writing skills, enabling this person to study “data” in the environment and create ad-hoc reports as needed.Superior project management skills, to include breaking down major tasks into smaller pieces, attention to detail and excellent communication skills are required traits.Expert prioritization skills; able to manage tasks on behalf of the project team, while managing and owning backlogs in JIRA.Leadership and mentoring skills; able to provide guidance to others and step in to lead processes where needed.Demonstrate empathy, confidence, negotiation and decision making skills under pressure.About POSSIBLE: POSSIBLE believes that a promise is the foundation of every good relationship – and the truth is, brands make promises every day. We are visionaries and innovators working in creative, technology, strategy, and data science to create experiences that keep brand promises so that every interaction is an opportunity to build trust and loyalty. We use data to help us identify opportunities, technology to help us take advantage of them and emotion to make the resulting experiences magical.  We’ve built our agency with our own promise: to foster a culture of inclusiveness and collaboration that appeals to those who want to do great work and make a difference. POSSIBLE creates experiences for some of the world’s most dynamic brands, including Microsoft, AT&T, Nestle, Adidas, and Turner. POSSIBLE is part WPP and the Wunderman Group. Follow POSSIBLE on LinkedIn:https://www.linkedin.com/company/possible-com/Instagram:https://www.instagram.com/possible/Twitter:https://twitter.com/POSSIBLEFacebook:https://www.facebook.com/POSSIBLE.com We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.  We rely on legitimate interest as a legal basis for processing personal information under the GDPR for purposes of recruitment and applications for employment.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4128&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b57504ac&cb=1543605302029&jobListingId=2415470722"
"Business Analyst","Marathon Petroleum Corporation","Denver","CO","$94k-$149k(Glassdoor Est.)","Company Name: MarkWest Energy Partners, L.P. Location Name: Denver, CO Location Address: 1515 Araphaoe St Twr1 Ste 1600, Denver, CO, United States (US), 80202Education Level: Bachelor's Required Relevant Experience Level: Mid Career (4-10 Years) Employee Group: Regular - Full TimeEmployee Subgroup: Salaried ExemptPOSITION SUMMARY: The Business Analyst will perform economic and financial evaluations to support the activities, goals and objectives of the Business Development Department. He/she will perform analyses that determine preliminary and final financial rates of return for business development projects. He/she will monitor business development projects and work with the Business Development Department and various other corporate groups to assess anticipated vs. actual performance.This position will also play a key role in the yearly budgeting process and preparing information and documentation for regular board of director meetings. This person will be charged with the task of preparing authorization requests (AR) for capital expenditures.This position will report to, receive direction from, and review activities and analyses with the Supervisor of Financial Analytical Services. The position will be integral to the Business Development team. Regular interaction with corporate engineering, operations, contract, accounting, gas/NGL marketing, business development, planning and treasury personnel, along with executive management and customers, will be required to create, evaluate and report data, statistics and information related to corporate and business development projects.ESSENTIAL DUTIES/RESPONSIBILITIES:• Performs discounted cash flow evaluations that incorporate existing and potential revenues, capital requirements, operating and maintenance expenses, growth opportunities, operating synergies, gas and liquids supplies, risks, and other aspects related to new project development.• Accurately develops, reviews, and maintains economic and financial models, including budgets, which provide detailed analyses/valuations of business development projects.• Prepares authorization requests (ARs) for capital projects.• Prepares ad hoc analyses and materials that support business development activities.SUPERVISORY DUTIES:NoneJOB QUALIFICATIONS:• Bachelor Degree with major in Finance or Accounting.• Must possess knowledge of gas and liquids gathering and transportation, processing, fractionation, and marketing businesses.• Must exhibit keen reasoning and attention to detail in order to develop accurate and complete analyses, economics, and financial models.• Experienced in collecting, analyzing, and summarizing statistical data.• Must have extensive experience working with and creating MS Excel spreadsheets.• Must be a great team player and be able to work closely with other MarkWest associates and customers.• Must be a self-starter who requires minimal supervision.• Must have very strong written and verbal communication skills.• Must have strong work ethic with very high integrity.• Must be respected among industry peers for knowledge and professional conduct.WORKING CONDITIONS:Physical Demands:This position requires sitting throughout most of the day. It will involve some lifting and filing. On occasion there will be outside office assignments that can involve walking around construction sites, industrial locations, field and/or wooded areas.Working Environment:Generally working in an office environment, however, may require visiting and walking around some construction and industrial sites, farm properties, driving on rural roads, and other field locations, to acquire familiarity with facilities, properties and settings.Materials and Equipment Used:The materials and equipment used on a regular basis will be a personal computer, phone, fax, copier and map printer/plotter.About Marathon Petroleum CorporationHeadquartered in Findlay, Ohio, Marathon Petroleum Corporation (MPC) operates an integrated refining, marketing and transportation system. MPC is the nation's second-largest refiner, with a crude oil refining capacity of approximately 1.9 million barrels per calendar day in its six-refinery system. Marathon brand gasoline is sold through approximately 5,600 independently owned retail outlets across 20 states and the District of Columbia. In addition, Speedway LLC, an MPC subsidiary, owns and operates the nation's second-largest convenience store chain, with approximately 2,730 convenience stores in 21 states. Through subsidiaries, MPC owns the general partner of MPLX LP, a midstream master limited partnership. Primarily through MPLX, MPC owns, leases or has ownership interests in approximately 10,800 miles of crude oil and light product pipelines. Also through MPLX, MPC has ownership interests in gathering and processing facilities with approximately 5.9 billion cubic feet per day of gathering capacity, 8.2 billion cubic feet per day of natural gas processing capacity and 610,000 barrels per day of fractionation capacity. MPC's fully integrated system provides operational flexibility to move crude oil, NGLs, feedstocks and petroleum-related products efficiently through the company's distribution network and midstream service businesses in the Midwest, Northeast, East Coast, Southeast and Gulf Coast regions.Job Function: MarkWestTravel Expected: Up to 25%If you have visited our site in search of information on U.S. employment opportunities and require an accommodation to submit your application, please contact the MPC EEO/Compliance Office at 866-492-7802. Note that we only accept resumes and applications for posted positions.Marathon Petroleum Company LP (“MPC”) is an equal employment opportunity employer. All applicants will be considered without regard to their race, color, religion, sex, age, disability, national origin, sexual orientation, genetic information, gender identity, veteran status or other legally protected status.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=215489&s=58&guid=00000167660bb0d2903868850ea9b54c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1473e916&cb=1543605302036&jobListingId=2998297995"
