"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","Efficio","New York","NY",""," Vacancy Name Business Analyst - New York Location City New York About Us Started in 2000, Efficio is a specialist management consultancy, focused on procurement and supply chain improvement programs. There are currently c.350 employees globally, with exciting plans to grow rapidly in the next 18 months. We are a truly international organisation with over 30 different languages spoken. The firm places a high value on its employees and offers great training and development opportunities, to help with career progression. Our consultants return to their home office each Friday from their client engagement to spend time with their colleagues and attend training courses. Description Given the growth that Efficio is going through, we are looking for Business Analysts (BAs) to provide support to project teams working on consulting assignments.  Business Analysts roles are targeted at graduate entry level candidates and are the first step into management consulting.  Although based out of our New York office, our BAs will be on client site up to 4 days a week and therefore need to be flexible to travel.  Working under the guidance of an experienced consultant, their key role is to collect, analyse and synthesise data from a variety of sources. The insights and understandings from their analysis provide important inputs to the project team's recommendations and solutions.  BAs also provide input to client presentations, and work with other team members on day-to-day delivery of projects - for example, they may assist with developing and issuing RFPs and evaluating proposals from suppliers. They interact with clients and their suppliers as needed.  BAs are typically involved in client facing projects at client sites from day one, so they need to be able to learn fast and get up to speed quickly and work effectively under pressure. They must be able to work independently, while also being team players who are willing to contribute wherever needed to ensure the success of the project. The ability to prioritise their work effectively in the face of sometimes competing demands is also essential.  BAs are expected to challenge existing ways of doing things and suggest new ideas. However, they are also expected to be able to justify their conclusions and recommendations with relevant experience and rigorous, fact-based analysis.  Efficio has a collaborative, supportive culture where performance is recognised and success is celebrated. BAs are supported to continually develop their skills and expertise through a comprehensive training and development programme including formal training (through the Efficio Academy), on-the-job training, and coaching and mentoring from experienced consultants and Efficio executives. The opportunities and support that come from a role as an Efficio BA make it an unmatched springboard into a top-tier consulting career. Essential Requirements • An exemplary academic background; preferably with a top degree in Engineering, Science, Business, or Economics Must have the right to work in the USA Desirable Requirements • Strong analytical skills and problem solving ability Ability to isolate key issues and draw sound conclusionsProficiency in the use of Excel and PowerPointProactive, inquiring approachStrong communicator with the ability to influence stakeholders","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=356772&s=149&guid=000001676525037784c4b03c1bb86075&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0862ea8c&cb=1543590184415&jobListingId=2596916497"
"Business Analyst","Rokt","New York","NY","$57k-$92k(Glassdoor Est.)","About RoktRokt is a team of extraordinary people pioneering transaction marketing, in offices around the world from where we started in Sydney and are now spread across Melbourne, Singapore, New York City, London with many more offices opening soon. We have developed a unique technology platform and performance-based advertising offering that is used by businesses of all sizes to help them better engage customers in their ecommerce experiences and to acquire new customers at scale. Rokt's customers include eBay, Expedia, Lyft, Uber, Groupon and others who use Rokt to acquire new customers via our growing partner network.We are looking for incredibly talented individuals, people passionate about digital marketing who are keen to be part of a company that is disrupting traditional thinking and growing fast. Want to join Rokt and be part of our future? Apply now below.ObjectiveTo support the analytical framework and approach in order to improve business processes, financial reporting and commercial performance for the business by creating insights from internal and external sources of data.To implement and drive strategic cross departmental initiatives and projects roadmaps.Business AnalyticsDrive effective commercial reporting for the businessHelp drive strategic & effective business decisions through external & internal data analysisDevelop internal reporting and presentation documents, data models and processes.Work with the Executive Team to provide them with effective commercial reporting, trends and insights.Identification of business needs/recommendations through data analysis.Presentation and analysis of market data for use in all markets.Track and manage service level requirements delivered through business unitsMine and store business critical data for the business (internally like financial numbers; budgets; all tracking systems)Gather requirements for standard reports and analysis.Customize standard reporting based on requirements.Develop new reports and analysis.Identify problem fields, room for improvement, and opportunities for driving revenue, GP, and GC.General data analysis to derive strategic decisions.Supporting management in business modeling and budgetingForecastingProvide the business with periodic forecasts in relation to business development, competitor and customer forecasts.Assist in determining future business opportunities & challenges through data analysis.Periodic reporting of forecasts relating to consumer, market and internal trends.Monitoring forecasted business challenges and reporting on these in a timely manner.Develop reporting and insights on competitor and consumer trends.Ensure effective communication to management on forecast insights.Process, Operational Analysis & Project ManagementConducting and coordinating projects – beginning from process and operational analysis, evaluation, modeling, and documentation.Identification of optimization potential in internal and external processes.Liaise with internal stakeholders and management to develop plan for improvement. Ie. the Sales dashboard & associated reporting.Collecting input and best practices from other internal stakeholders (tech, corp dev, sales, or other operational units).Being a business partner.Requirements0-2 (Junior) or 3-5 years (Business Analyst) of professional experience as a data/business analyst with a familiarity with typical ‘tools of the trade’ in analysis and reporting.SQL knowledge - previous experience using SQL in a professional environment is preferredPython essentials is a major plusPrevious Tableau dashboard building is a plusAdvanced Excel and PowerPoint SkillsAn educational background in a quantitative/statistical field.Ambitious self-starter, able to and enjoys working independently and finding creative solutions to complex problemsVery strong numerical and analytical skills coupled with strong attention to detailAbility to communicate well both with infrastructure and data teams, and business teams or management.Fast learner – ability to learn new technologies and business matters.Excellent oral and written communication and presentation skillsFluent English, both spoken and writtenBenefitsCompetitive salaryHealth and wellness initiativesEmployee Share Scheme, meaning all employees have a financial stake in the businessTechnology allowanceTraining allowanceCompany end of quarter training and events three times a year (one global, two regional)4% dollar for dollar 401K matching planPremium health insurance for your whole family including:a choice of four different Aetna health benefits plans, some of which are fully funded by RoktFlexible Spending Account (FSA)Life Insurance + Accidental Death & Dismemberment (AD&D)Long Term Disability CoverageShort Term Disability CoverageCommuter BenefitsCasual dressGenerous paid time off policyStaff awards programGenerous staff referral programJob-related training in-house and allowance for external training applications/contributionsGlobal network which offers opportunity to transfer to other marketsSnacks, coffee and drinksCellular phone usage allowance","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=368706&s=149&guid=000001676525037784c4b03c1bb86075&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4f2db235&cb=1543590184422&jobListingId=3031865226"
"Business Analyst","Deloitte","New York","NY","$82k-$112k(Glassdoor Est.)"," Position summaryIn Global Technology Services (GTS), we make an impact by providing leading edge technology products and support to the entire Deloitte organization. We offer innovative technology solutions that cross borders and help Deloitte deliver and connect with our clients, our communities, and one another in ways they never thought possible. Are you a Business Analyst with strong interpersonal skills who knows how to navigate within technology, has stellar PowerPoint skills and is clamoring to make their mark in a large global organization? Deloitte Global has an opportunity for a Business Analyst with 1-3+ years of experience. This opportunity will serve as the liaison between technology and business end-users on the technology side. You’ll have the opportunity to work with the business to elicit and analyze functional requirements, validate design, and produce specifications for new functionality or change to technology applications. You’ll also provide requirements consultancy throughout the development and testing cycles of the project. Work you’ll do: In our Consulting studio, we collaborate with Deloitte Consulting Methods and Tools. Day to day you can find yourself: Building and managing relationships with Deloitte Consulting stakeholders and Deloitte Global colleaguesLead elicitation sessions with the client to determine business requirementsIdentify, assess, and document business requirements, recommending business priorities and advising business on options, risks and costs versus benefits of various solutionsFacilitating the solution design with the architecture & development teamDriving automation throughout the Software Delivery Life Cycle (i.e., testing, deployment)Providing service operations for various software solutionsWhat you’ll be part of—our Deloitte Global culture: At Deloitte, we expect results. Incredible—tangible—results. And Deloitte Global professionals play a unique role in delivering those results. We reach across disciplines and borders to serve our global organization. We are the engine of Deloitte. We develop and lead global strategies and provide programs and services that unite our network.  In Deloitte Global, everyone has an opportunity to lead. We see the importance of your perspective and your ability to create value. We want you to fit in—with an inclusive culture, focus on work-life fit and well-being, and a supportive, connected environment; but we also want you to stand out—with opportunities to have a strategic impact, innovate, and take the risks necessary to make your mark.  Deloitte Global supports our talented professionals in answering the question: What impact will you make? Who you’ll work with: In Global Digital Application Studios, we make an impact by developing custom products, applications and services for Deloitte professionals globally. As a team, we are here to delight our customers by embracing design thinking, agility, innovation and a customer-first focus. Our contributions lead to world-class, game-changing solutions in the hands of the Deloitte practitioner to make an impact that matters for Deloitte clients and across the Deloitte network. How you’ll grow: Deloitte Global inspires leaders at every level. We believe in investing in you, helping you embrace leadership opportunities at every step of your career, and helping you identify and hone your unique strengths. We encourage you to grow by providing formal and informal development programs, coaching and mentoring, and on-the-job challenges. We want you to ask questions, take chances, and explore the possible. Benefits you’ll receive: Deloitte’s Total Rewards program reflects our continued commitment to lead from the front in everything we do — that’s why we take pride in offering a comprehensive variety of programs and resources to support your health and well-being needs. We provide the benefits, competitive compensation, and recognition to help sustain your efforts in making an impact that matters.To be considered for this role, there are certain qualifications you’ll have to have. And others that would be really, really nice.Required:Minimum 1-3 years of experience as a Business Analyst within TechnologyExperience in business process reengineering and business modeling conceptsExperience in techniques utilized for elicitationExperience with AgileFamiliarity with UML, RUP, and/or user storiesStrong PowerPoint experience and skills (e.g., presenting and packaging ideas, points of view, recommendations)Strong analytical and writing skillsStrong verbal communication skills in a virtual and in-person settingsPassion for technology, tools and best practicesLearning agility (i.e., can rapidly acquire new knowledge, develop new skills, deal effectively with ambiguity leveraging past experience)Education and experience:Bachelor’s Degree with a technology related focus (or relevant number of years experience)Preferred:Familiarity with VSTSFamiliarity with automation scripting and software (e.g., VSTS, UFT, etc.)All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status, or any other legally protected basis, in accordance with applicable law. Disclaimer: Nothing in this job description/posting shall constitute an offer or promise of employment. If you are not reviewing this job posting on our Careers’ site (jobs2.deloitte.com) or one of our approved job boards we cannot guarantee the validity of this posting. For a list of our current postings, please visit us at jobs2.deloitte.com Requisition code: DE19USAGTS004SY0895","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=144580&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9cb52084&cb=1543590184425&jobListingId=2994653798"
"Business Analyst","Sixup","New York","NY","","Reporting Structure: This position reports to the VP of Credit and Lending and will be part of the Credit and Lending team.Travel: n/aCompany Description Sixup is a public benefit corporation and online lending company that believes the path to the American Dream leads through college. However, for millions of high-achieving, low-income students, the path to and through college is broken. These students have the ambition and the smarts, but often don’t know how to afford it all, who can help, or even if their dream is possible. Lack of access to capital is core to preventing low-income students from accessing the same pathways, opportunities and outcomes of higher-income peers. They may get into great four-year institutions but many don’t go because they can’t afford to cover their funding gap. Sixup’s mission is to provide high-achieving, low-income students the financing and support that they need to go to college, succeed in college, and reach their potential. Role:The Business Analyst will be the vital link between our information technology capacity and our business objectives by conducting analyses to identify trends to develop and optimize marketing, lending and operating strategies. The analyst will gather important company data and compile it into digestible reports that improves corporate processes and enables effective decision-making. The ideal candidate is data savvy and has an intellectual curiosity to drill deep to uncover business drivers. They are comfortable with ambiguity and can successfully build collaborative partnerships with cross-functional business partners and key stakeholders. The analyst will report to the Senior Director of Finance and Capital Markets. Responsibilities:Perform regular and ad hoc business analyses to understand trends across multiple channels  Integrate disparate data sources and tools (e.g., internal databases, vendor and affiliate reporting platforms) to deliver integrated, actionable insights  Provide strategic thought partnership to help create marketing strategies that improve sales and redemption  Evaluate effectiveness of marketing vehicles to recommend ways to optimize spend against key marketing objectives  Model business cases and make recommendations on strategic direction, new programs, and optimization strategies  Support lending operations including ongoing reporting, disbursement monitoring and liaising with external origination and servicing providers as needed  Assist on ad hoc analyses to support investor relations/capital development  Required Skills & Experience  Exceptional analytical skills with ability to extract and organize data to create stories and drive decision making  Ability to dig deep into details while keeping focus on the primary business question at hand  At least 2 - 3 years of experience at bulge-bracket investment banking firm. Experience in financial tech, higher education, student loans and/or consumer lending industries preferred but not necessary  Relationship-oriented. Collaborative, energetic and hands-on team player comfortable collaborating with a wide range of partners  Nimble and flexible with regards to changing priorities and business needs. Proven multi-tasking skills, ability to meet critical deadlines while ensuring high attention to detail and accuracy is maintained  Experience thriving in a fast-paced, high growth environment. Creative self-starter with can-do positive attitude and a roll-up-your-sleeves approach  B.A. or B.S. required, MBA preferred  Salary DOE ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=404851&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_416158c8&cb=1543590184426&jobListingId=2939558382"
"Business Analyst/Project Manager","AllianceBernstein","New York","NY",""," Business Analyst/Project Manager  Location: New York, New York USApplyJob Number10280New York, New York USAB is a leading global investment-management and research firm with more than $500 billion in assets under management and a presence in 22 countries, with more than 3,400 employees worldwide. We serve clients ranging from institutions to individuals and private clients, and we offer independent research, portfolio strategy and brokerage-related services tailored to our clients’ unique needs. With forward-looking perspective and expertise in equities, fixed-income, alternatives and multi-asset strategies, more than 500 investment professionals collaborate to share ideas and make connections across disciplines, geographies, asset classes and sectors. These collective insights drive innovation and better solutions, helping us keep our clients AHEAD OF TOMORROW®.IT Group Description: Fixed Income Investment Technology (“FIIT”) group builds software that the Fixed Income business of AB uses in performing functions such as Fundamental Research, Quantitative research, Portfolio Management, Order Generation, Trading and Middle office and BackOffice operations. It partners with business to understand their challenges and help them by providing innovative technology solutions. We re-engineer the process where applicable in collaboration with business to help scale their business and be efficient in this dynamic market conditions. We have an in-house application that is written using C# and Windows forms called Research Analyst Portal (“RAP”) which is the primary tool for Fixed Income. We also have other vendor products which are used in part to do these functions as well. IT Job Description: We are seeking a New York City based Business Analyst to join our Fixed Income Investment Technology team in Fixed Income. Describe the role: The Business Analyst collaborate with various teams across the firm to understand business needs and identify how technology can meet those needs through the design and implementation of efficient processes and tools. BA’s work with Business Sponsors and Stakeholders to understand the business problem we are solving for and the intended outcome. They strategize on the approach, collaborate on requirement definitions and partner with the Development Team to architect and implement a solution. Describe the applications and business or enterprise functions the role supports: The primary project that the candidate will contribute to will be the taxable modules in RAP. These modules support Senior Portfolio Managers, Portfolio Managers, Assistant Portfolio Managers, Fundamental and Quantitative research analysts, Traders, Middle office and Operations functions. The key job responsibilities include, but are not limited to:Facilitate stakeholder meetings to understand end to end complex business processes and data flowsIdentify required functionality along with opportunities to improve processes and user experience.Elicit and document business and system requirements including functional requirements and data and process flow diagrams.Produce wireframesPartner with developers to ensure requirements are implemented per business requirementsDevelop and execute test plans.Conduct user training sessions and create user training documentation What makes this role unique or interesting? This is a unique opportunity to learn the investment process as well as how technology can help with investment process. What is the professional development value of this role? There is enormous growth opportunity in this role. From a functional point of view, they would be learning how the investment process works from front to back including research, managing portfolio, order sizing and trading Job QualificationsQualifications, Experience, Education:BS in Computer Science, Math, Engineering, Economics or related major.2+ years experiences in a business analyst or project managerProven ability to manage multiple projects at onceExperience partnering with business users to implement technological changeProficiency with SQL, Excel Skills:Must possess excellent analytical skillsRelationship building and communication skillsSelf-starter and a good team playerShould be able to take ownership and have strong client focusAbility to manage multiple tasks with competing priorities Special Knowledge: Knowledge of Fixed Income and Portfolio Management is an added plus Location: New York/NY/USA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=331552&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bb450fd9&cb=1543590184427&jobListingId=3026403731"
"Business Analyst","Madison Performance Group","New York","NY","$95k-$135k(Glassdoor Est.)","Business Analyst MADISON Performance Group is one of the nation's leading performance improvement companies. We partner closely with Fortune 1000 clients to design and execute global leading-edge incentive programs that increase sales and boost performance.  MADISON Performance Group is currently looking for a Business Analyst to join our systems analysis and design team. The ideal candidate must be a self-starter with strong business analysis skills for web based and mobile projects. The Business Analyst will be responsible for gathering business requirements, performing business need assessments, and determining technical requirements. The individual will also be responsible for the documentation and maintenance of all requirements and technical specifications. The candidate must have excellent analytical and problem solving skills and must possess the ability to work effectively with diverse individuals inside and outside of the organization.  The ideal candidate will be an “out of the box” thinker with the ability to come up with innovative ideas and solutions to solve complex problems. The candidate must also know how to ask the right questions based on the audience to get the necessary information to effectively analyze and document requirements. Key responsibilities include:Facilitate requirement gathering and record information effectively with internal and external stakeholders, project managers, developers and system architects.Explain complicated ideas and concepts effectively to stakeholders through written or verbal communicationCreate requirements and program specification documentation (this includes creation of high level system diagrams, use cases and data flow diagrams)Create functional requirements, interactive wireframes, prototypes etc.Ensure that all requirements related documentation is up to date (business requirements, technical specifications, functional requirements etc.)Propose solutions for complex problems while taking into considering project scope, budget, timelines, internal needs and client needsOther Responsibilities include:Work closely with the QA manager to ensure that all requirements are included in the testing effort for projectsParticipate in the testing effort with the Project Managers and QA teamData analysisParticipate in SDLC meetings with internal and external team members to help ensure that the project is on trackHelp design, document, and maintain system processes.Qualifications:2-5 years of related industry work experienceBachelor’s DegreeExperience working and collaborating with Business Stakeholders, Clients, Account Managers, Technical Architects and Project managersAble to comprehend and translate business requirements into technical specificationsExcellent organization and multi-tasking skillsExcellent oral and written communication skillsAble to work under pressure to meet tight deadlinesComfortable with relational databasesWorking understanding of at least one commonly used project management methodology such as Agile, Waterfall, or Scrum Salary will be commensurate with experience.  Madison offers a competitive compensation and benefits package, including medical, dental, vision, life insurance, LTD, STD, Flex Spending, 401(k), Tuition Reimbursement, and TransitChek.  We are an Equal Employment Opportunity employer that values the strength diversity brings to the workplace.  We do not accept unsolicited Agency Resumes and will not pay fees to any third party agency. Requirements2-5 years of related industry work experienceBachelor’s DegreeExperience working and collaborating with Business Stakeholders, Clients, Account Managers, Technical Architects and Project managersAble to comprehend and translate business requirements into technical specificationsExcellent organization and multi-tasking skillsExcellent oral and written communication skillsAble to work under pressure to meet tight deadlinesComfortable with relational databasesWorking understanding of at least one commonly used project management methodology such as Agile, Waterfall, or ScrumBenefits Madison offers a competitive compensation and benefits package, including medical, dental, vision, life insurance, LTD, STD, Flex Spending, 401(k), Tuition Reimbursement, and TransitChek.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=14295&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_65648d5e&cb=1543590184428&jobListingId=2926170945"
"Business Analyst","Bank of America","New York","NY","$73k-$118k(Glassdoor Est.)","Job Description: The Business Analyst is responsible for providing business metric and program analysis, report management, and project support at several different levels. The position requires the incumbent to have diverse administrative expertise and to oversee various policies, programs, and initiatives, to be able to think strategically, as well as perform in a proactive manner with limited supervision. The position also requires the individual to build and maintain relationships with field management, and work closely with other organizations within the LOB. Shift:1st shift (United States of America)Hours Per Week:40","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133647&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a642e889&cb=1543590184430&jobListingId=3040143457"
"Business Analyst","Chase","Jersey City","NJ","$60k-$98k(Glassdoor Est.)","Business Analyst to work within the application development technology team and interact with business users and business product owners to understand & document requirements, data flows, process flows and to partner with them to facilitate the design of technology solutions and also process improvements where applicable.The candidate will be required to interact with other technology teams within the company to understand, document and interpret complex requirements and to write system specifications.She/he will have responsibility for gathering and analyzing requirements, writing functional and/or technical specifications, and working closely with senior business users to validate prior to application development. In addition, the role will require involvement in an iterative software development model, requiring agility and flexibility on the part of the business analyst to handle requirements changes.The candidate will be required to work with Quality Assurance (QA) teams to ensure they understand requirements and SLA’s and ensure test scripts are effective and cover all aspects of the system.The successful candidate will have strong analytical and problem solving skills, and above-average presentation and communication skills. Excellent verbal and written communication will be essential for effectiveness in this role.The candidate will be responsible for gathering the client servicing requirements for an entire line of business, and therefore must have a thorough understanding of at least one of the following businesses: Prime Brokerage, Futures & Options, OTC Clearing, Custody and Fund Services, or Global Markets Operations.Strong experience as a business analyst in the financial services industry. Strong written and oral communication skills, with ability to demonstrate analytical thinking and problem solving skills. Able to forge productive working relationships with senior business users and business managers. Ability to analyze complex cross functional business processes and define integrated requirements. Ability to facilitate the design of integrated solutions (process, technical & organizational). Can ensure the end to end solution will deliver the required business results. Drives adoption of the designed processes and solution use with stakeholders. Communicates with business SMEs to ensure expectations are kept in line with project status. Drives the definition, testing, training, and implementation of functional requirements. Upon implementation, drives knowledge transfer to Production Support. Creates/revises/executes the following deliverables using industry standard techniques as necessary, including but not limited to: process maps, data flow diagrams, requirements specifications, functional specifications, use case scenarios, acceptance testing. Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world. At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you. ","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133122&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1b29eb80&cb=1543590184431&jobListingId=2974950286"
"Business Analyst","C2G Partners","Long Island City","NY",""," Business Analyst Job Title  Business Analyst  Job  ID 27097461 Duration  Location  Long Island City,  NY 11120 Other Location  DescriptionThe Business Analyst would enable the rapid development and maintenance of enterprise-wide Business Process Management (BPM) application(s) through requirements gathering, analysis, documentation, testing and cross-functional team coordination. Essentially, this position is responsible for the 3 dimensions of business process reengineering – the “Why”, “What”, and “How”. Understand and document “What” are the steps in the current process?Understand and document “Why” those steps are being performed – the inputs and outputs and their interdependencies.Define, communicate and document “How” the process will work once re-engineered to be conducted through an automated business process management solution. This position requires strong process & technology background, excellent client and project management, and superior communication skills. Essential Duties & ResponsibilitiesCoordinate with the Marketing Control Leads to streamline the business process and associated control check points.Independently work with the various Marketing Teams and Partner Teams in consolidating and documenting the business process into Technical specification.Work with senior managers from various functional areas to understand current processes, issues and data/reporting challenges in order to recommend appropriate technical solutions.Elicit, analyze, document and validate detailed business and functional requirements enabling software enhancements to be developed and tested that meet client and organizational goals.Use process flow diagrams, screen mock-ups and other visual documentation techniques to enhance the value of business requirements documentation for the benefit of business users as well as technical teams.Work with the development team to ensure completeness and accuracy of the technical specification and design, meeting business requirements.Create and execute detailed test plans to ensure that the letter and spirit of the business requirements for the solution are being fulfilled.Work closely with the development team to brainstorm and identify features and functions in the application and ratify the solutions from a process owner standpoint.Identify opportunities for process and control improvement and efficiency gains.Participate in key business change and cost reduction programs to provide analytical support and to drive financial outcomesProvide visibility to project manager and/or Director of Automation Solutions on progress against approaching milestones, issues, risks and dependencies.Create and maintain Project Plan to keep track of all the current activities.Education and/or ExperienceBachelor’s Degree in Computer Science or related disciplines or equivalent experienceA minimum of 5 or more years of experience as business or functional analyst in large projects in the financial services domain.Experience with a technology consulting company, or in a internal consulting position, is preferred.Worked in senior client facing roles in previous positionsSolid understanding of Systems Development Lifecycle and PMO methodologiesDirect experience in Business Process Management products is a plusDemonstrated strong knowledge in the following areas:SharePoint (WSS & MOSS or SharePoint 2010)Enterprise Content ManagementKnowledge Management.NETKnowledge, Skills and/or AbilitiesUnique customer focus. Strong record of achievement in applying a customer mindset to shape solutions and approaches and to realize marketplace potential/achieve financial goalsHands-on experience and knowledge of programming preferred but not essentialDemonstrated ability to synthesize, prioritize and drive results with a strong sense of urgencyExcellent organization skills, demonstrated sense of responsibility and capability to work on multiple concurrent work streams and provide quality deliverables in an efficient, timely mannerExcellent verbal and written communication skills. Clearly articulating and documenting business and functional specifications in clear, non-technical language is a key requirement.Ability to act as a liaison between the business and application development, analyzing and translating client needs into software specificationsHighly proficient and advanced user of Microsoft Office Application suite – Access, Word, Excel and PowerPoint.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=377294&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c62cfc1&cb=1543590184433&jobListingId=2952910623"
"Business Analyst","Saggezza","New York","NY","$62k-$89k(Glassdoor Est.)"," Business Analyst- New York, NY  Saggezza is a technology consulting organization that helps that helps companies embrace cutting-edge solutions and improvements. As consultants, developers, and analyst we help our clients adapt and transform the way in which they do business. Saggezza is seeking experienced Business Analyst to join our team in New York, NY. Requirements:Minimum 7 years of relevant industry experience as a business analyst on payment platformsSolid understanding of payments systems and payments market infrastructure specially for Fedwire.Formulate, define systems scope and objectives based on user needs and a thorough understanding of business, systems and industry requirements.Ability to document business requirements to ensure applicability to business areas, ensuring that requirements/user stories are in a consumable stateExperience with leading Agile development projects, with experience being active participant through all phases in an Agile development environment.Partner with product owners and development teams to understand solution design, related deliverables and definition of done.Outstanding oral and written communication skills with ability to present complex information to effectively educate and influence others.Energetic, self-directed and self-motivatedGeneral knowledge, skills and abilities:Knowledge of the business goals, objectives and business operations for the group or line of business.Knowledge of financial services industryProficiency in standard office software, such as MS Office, Visio, MS Access, etc.Experience in Financial Services or Fintech.Understanding of US and International wire payment/transfer systems including, ACH, SWIFT, CHAPS, SEPA, etc.In depth knowledge of Software Development Life Cycle (SDLC) with understanding of various phases such as requirements, analysis/design and development.Excellent verbal and written communication skills to audiences of various levels in the organization.Willingly shares relevant knowledge and expertise to other resourcesExcellent analytical, decision-making, problem-solving, interpersonal, team, customer service, negotiation, conflict management and time management skillsAbility to persuade and influence others on the best approach to take.Is resourceful and proactive in gathering information and sharing ideas. Dont check all the boxes? Dont worry about it: we still want to hear from you if you think youre the right person for the job. Why join our team?Work on major software projects for FTSE 500 companies.Work directly with our clients C-level executives from day one.Were growing fast. Come on board for the chance to grow with us.Enjoy an agile and collaborative culture as part of a team of like minded individuals.We have offices across North America, Europe, and India, which means global opportunities for career advancement.Travel and work on-site with some of the worlds biggest companies. Have you found us through our Saggezza Careers site? If not, take a look to find out more about life at Saggezza in each of our locations. Saggezza is an Equal Employment Opportunity Employer: We believe in treating each employee and applicant for employment fairly and with dignity. We base our employment decisions on merit, experience, and potential, without regard to race, color, national origin, sex, sexual orientation, gender identity, marital status, age, religion, disability, veteran status, or any other characteristic prohibited by federal, state or local law.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=367732&s=58&guid=00000167652503779e34840744900c34&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c13b1014&cb=1543590184434&jobListingId=3007506280"
