"Name","Company","City","State","Salary","Description","Url"
"Business Analyst III","Chick-fil-A","Atlanta","GA","$59k-$97k(Glassdoor Est.)"," OverviewAre you an IT professional who is passionate about creating solutions that have immediate impact for a great cause? WinShape is a non-profit organization, affiliated with Chick-fil-A, that positively impacts thousands of lives each year. This IT Foundation business analyst role provides the opportunity to optimize, integrate, and support IT solutions that meet the business needs of the WinShape organization. You will have the opportunity to spend one day a week at the WinShape Campus in Rome, GA to interface with WinShape staff, build relationships and learn their business. ResponsibilitiesUnderstand how Chick-fil-A supports WinShape in it’s business processesUnderstand WinShape’s current technology and processesIdentify gaps and opportunities to automate manual processesBuild trusted relationships across WinShape and Financial ServicesPartner with WinShape and Financial Services to build a multi-year technology roadmapPartner with WinShape and Financial Services to evaluate and select new systems and integrate them into existing processes and systemsTake day trips to the WinShape campus in Rome, GA weekly Minimum Qualifications3+ years creating and/or contributing to IT systemsStrong analytical and problem solving skillsGood interpersonal skills; ability to work collaborativelyServant spirit with a strong sense of stewardshipExcellent written or oral communication skillsAttention to detailSelf-starter who completes responsibilities with minimal supervision Preferred QualificationsExperience with financial systemsExperience with vendor selectionExperience creating and adhering to service level agreements with vendors Minimum Years of Experience4 Travel Requirements20% Required Level of EducationBachelor's Degree Major/ConcentrationTechnical field of study Minimum GPA (4.0 Scale)3.0","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=295113&s=149&guid=000001676d14cac086a330fe575e914d&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8d652927&cb=1543723338900&jobListingId=2966916490"
"TECHNICAL BUSINESS ANALYST","Ultimate Software","Atlanta","GA","$78k-$122k(Glassdoor Est.)","Ultimate Software is seeking an experienced Technical Business Analyst to join a fast-paced development team focused on our Identity Platform.Business Analysts play a key part in software development at Ultimate Software. The primary responsibility is to capture functional requirements and define the“how” a feature is implemented. Working with stakeholders around the organization, customers and development engineers, you are able to articulate the reasons behind a software feature and are responsible for ensuring technical and functional scope is captured in the delivered solution.Here at Ultimate Software, we truly put our people first. We strongly believe in teamwork, and we encourage and trust our people to reach higher, learn more, and live up to their potential. Ultimate is ranked #1 on Fortune's“Best Places to Work in Technology” for 2018 and #3 on the“100 Best Companies to Work For” list in 2018. Ultimate is also ranked #1 on the Fortune’s“100 Best Workplaces for Millennials” for 2018 and #3 on its ""Best Workplaces for Diversity” list for 2017.Primary/Essential Duties and Key Responsibilities:Research, refine and document functional requirements for technical and complicated Identity systems– infrastructure requirements, services/back-end only flows, etc.Communicate directly with customers in collaboration with Product ManagersCreate and collaborate on detailed functional designs, using Agile methodologies and toolsDefine the problems and features using system flow diagrams, AP specifications, and (occasionally) wireframesStory writing including conditions of satisfactionValidate with Product Managers of the stories definedCollaborate with engineers and testers during the build phase to ensure scope is adhered toCreate materials (presentations, demos, UML artifacts) to help train teams on new functionalityTriage, prioritize and follow-up on enhancement requests and defects raised by customers and organizational stakeholdersTake ownership of the delivery of features/capabilities through the development processUnderstand customer issues conducting any necessary technical research or team collaborationRequired Qualifications:3+ years as a Business Analyst working on technical topics in an Agile environmentAble to look at the big picture, speculate and conceptualize outcomes and identify trendsSuperior planning skills with the ability to handle large workload, facilitate the activities of dynamic workgroupsExpert knowledge of all phases of the software development life cycle, with an emphasis on requirements elicitation, requirements and design modeling, documentation, communication, org readiness and project managementPower user of MS Excel, MS Word, MS Visio and MS PowerPointUnderstanding of SOAP/Restful Web Service technology, infrastructure conceptsComfortable working on multiple workstreams simultaneouslyPassion for learning new methodologies/technologiesDetail-oriented, with the ability to prioritize work and self-manageStrong written and verbal communication skillsExcellent analytical, problem-solving, and decision-making skillsPreferred Qualifications:3-5+ years of experience working with on Identity products or infrastructure teamsStrong analytical skills to understand business requirements and decompose into more granular level requirementsAbility to work independently and balance multiple prioritiesProven ability to lead diverse groups of resources to solution agreement by leveraging influencing skills to drive consensusThink imaginatively and intuitively while quickly grasping and synthesizing new ideasAbility to work in a collaborative team environment to solve business problemsTeam player with strong negotiation skillsPhysical Requirements:There are no unique physical requirements for this position.Travel Requirements:Occasional but irregular travel. Very remote friendly.This job description has been written to provide an accurate reflection of the current job and to include the general nature of work performed. It is not designed to contain a comprehensive detailed inventory of all duties, responsibilities, and qualifications required of the employees assigned to the job. Management reserves the right to revise the job or require that other or different tasks be performed when circumstances change.Ultimate Software will reasonably accommodate employees with disabilities as defined by the Rehabilitation Act of 1973, the Americans with Disabilities Act (ADA) and other appropriate statutes.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=291701&s=149&guid=000001676d14cac086a330fe575e914d&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_73306b47&cb=1543723338901&jobListingId=3009196533"
"Business Analyst","Global Payments","Atlanta","GA","$45k-$74k(Glassdoor Est.)","Summary:Global Payments is looking for a seasoned Data Visualization Expert to define, design, and develop reports and dashboards using Tableau, MicroStrategy, and other data visualization platforms.Job Details: What you’ll be doing:Leveraging data using BI tools to create reports, dashboards and other analyses.Collaborating with stakeholders, technical and non-technical.Guiding and educating the consumers of reports so they’ll know what the report tells them, as well as helping them better understand their reporting needs.Supporting ad hoc efforts when necessary/applicableQualifications:Masters/Bachelor's degree3+ years’ experience using BI tools (e.g., Tableau, MicroStrategy, etc.)3+ years’ experience designing user-focused dashboards, custom reports and data visualizations.Understanding of SQL and basic ETL concepts a bonusUnderstanding of Google Cloud is a bonusDemonstrated critical thinking and problem solving skillsA desire to take initiative; intellectual curiosityExcellent listening, written, and oral communication skills; a sense of humorGlobal Payments Inc. is an equal opportunity employer.Global Payments provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, marital status, sexual orientation, gender identity or expression, disability, veteran status, genetic information or any other basis protected by law. Those applicants requiring reasonable accommodation to the application and/or interview process should notify a representative of the Human Resources Department.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=318858&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_dadad7a4&cb=1543723338903&jobListingId=2997813785"
"Business Intelligence (BI) Analyst","MRI Software","Atlanta","GA","$53k-$72k(Glassdoor Est.)"," Business Intelligence (BI) Analyst Job#: 488029 Positions: 1 Posted: 11/30/2018 Job Type: Full Time Location: US-GA-Atlanta Department: GPS/Consulting - 1312 Category: Professional Services Apply To This Job Return To List Job DescriptionMRI Software is seeking a Business Intelligence (BI) Analyst to join our team in Atlanta, GA! This individual will work with the Global Professional Services team to define key business metrics and analytic needs for implementation, including dashboards and overall reporting solutions  Essential functions include:  Assist in optimizing SQL queries for the performance enhancement of variable reports Understand the structure of data and create/alter SQL functions, views and stored procedures Create, update and maintain documentation of information requirements, attributes and metrics Founded in 1971, MRI Software is a leading provider of innovative real estate software applications and hosted solutions. MRI’s comprehensive and flexible technology platform coupled with an open and connected ecosystem meets the unique needs of real estate businesses—from property-level management and accounting to investment modeling and analytics for the global commercial and residential markets. Skills/Requirements Computer Science, Management Information Systems, or related technical bachelor’s degree 0 to 2 years of experience with Databases and Reports developments. Strong communication and customer service skills Based outside Cleveland, Ohio, MRI Software is a global company with offices in the United States, Canada, Australia, Hong Kong, Singapore, South Africa, and the United Kingdom. Technology has changed over the years, but we pride ourselves on staying true to the original vision of our founders. Apply To This Job","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=365194&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f653e4c4&cb=1543723338903&jobListingId=3042480952"
"Analyst","Cardlytics","Atlanta","GA","$39k-$63k(Glassdoor Est.)","Essential Duties and ResponsibilitiesAssist in the implementation and delivery of Cardlytics data quality initiatives, including the development, maintenance and documentation of relevant metadata to ensure organizational goals are metAssist with initial data exploration steps and provide recommendations for opportunities and best practices, acting as a liaison to drive alignment between those stakeholders, the business and engineeringPerform ad hoc analyses to evaluate data quality using SQL, SAS, R or Python, helping to identify and improve data quality issuesHelp set 'fit-for-use' thresholds of KPIs to assess and communicate current state of Cardlytics' dataHelp define and document the 'single source of truth' for Cardlytics' data assets and grow into a subject-matter resource for data related questionsWork with large data sets in a fast-paced environment to identify trends and help drive the resolution of data quality issuesQualifications and Experience2 - 3 years relevant experience in an analyst functionBachelor's degree in Econometrics, Statistics, Engineering, Mathematics, Decision Sciences, Computer Science or similar fieldPrior technical operations experience a plusStrong critical thinking abilityStrong quantitative skillsProficient in SQLExperience with scripting / procedural programming languages (R and/or Python preferred)Advanced Excel skills requiredModeling skills preferred (experience with SciPy and sklearn a plus)Experience with Tableau and data visualization an advantageHeavy attention to detail and ability to connect the dotsAbility to work across departmentsStrong communication skillsCuriosity and a lifelong-student mindsetCan-do attitude and team-oriented spirit","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=441111&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0b7e4312&cb=1543723338904&jobListingId=2989495650"
"Business Analyst/Strategy Contractor","Dragon Army","Atlanta","GA","","At Dragon Army, our team is the most important part of our company. Our values are what help us make sure we bring in the right team members. They are: Team First, Think Positively, Celebrate Diversity, Do Good, and Have Fun. If this sounds like your kind of company, keep reading. Were a mobile and innovation company. We strive to build remarkable mobile products and experiences for Fortune 1000 companies. Were looking for an incredible Business Analyst Contractor to join our growing team. Our growing firm employs approximately 40 individuals, and the successful candidate will be responsible for performing detailed requirements analysis, documenting processes, and assisting clients with strategy and roadmap definition. To succeed in this role you should be analytical yet still be able to explain difficult concepts to non-technical users.ResponsibilitiesGathering critical information from meetings with various stakeholders and producing useful reports.Facilitating workshops, on-site visits, customer and client interviews to elicit project requirements.Evaluating business processes, anticipating requirements, uncovering areas for improvement, and documenting project needs.Leading ongoing reviews of business processes and developing optimization strategies.Eliciting and documenting detailed functional requirements.Writing user stories and tasks suitable for development and QA to understand what they need to accomplish.Effectively communicating your insights and plans to cross-functional team members and management.Working closely with clients, technicians, and managerial staff.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Prioritizing initiatives based on business needs and requirements.Managing competing resources and priorities.Monitoring deliverables and ensuring timely completion of projects.Required Skills & Experience Bachelors degree in Business or related field required.1-2 years of experience in related role or field.Exceptional analytical and conceptual thinking skills.The ability to communicate effectively with stakeholders and work closely with them to determine acceptable solutions.Advanced technical skills.Excellent documentation skills.Fundamental analytical and conceptual thinking skills.Experience creating detailed reports.Competency in Microsoft applications including Word, Excel, and Outlook.A track record of following through on commitments.Excellent planning, organizational, and time management skills.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=315154&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2280f606&cb=1543723338905&jobListingId=3026060665"
"Business Analyst","Thompson Technologies","Atlanta","GA",""," Thompson Technologies has an opportunity for a Business Analyst with our client in Atlanta, GA. This is a 6 month contract-to-hire position with an extraordinary company where you will use your experience to lead gathering, organizing, approving, documenting and validating requirements for software products in the Microsoft stack. Reasons to apply:Benefits available to W2 contractors!Long-term project!Work with an industry leader!What you will do:Assist in defining project scopeRequirements gathering and documentationImplement business case analysis for applicationsDevelop test plans and scriptsIdentify business objectives and requirementsWhat we need:5+ years experience as a Business AnalystBachelor’ s degree preferredMust have experience working directly with clients!Must have EXCELLENT communication skills! What happens now? Submit your resume and contact information to pchriszt@thompsontechnologies.com - and tell us a little about your background!  Why Thompson Technologies? We’ ve been recognized among the fastest-growing companies in the country by Inc. 5000 and most recently as one of Atlanta’ s Best and Brightest Companies to Work For, in addition to other awards. A leader in delivering talented, top-tier consultants, we provide unequaled service to the IT staffing industry. At our core, we strive to make a difference in the lives of the people and communities we serve. #LI-PC1","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=434038&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_e148c213&cb=1543723338906&jobListingId=3041975857"
"Business Analyst","NexTraq","Atlanta","GA","$45k-$74k(Glassdoor Est.)","The Business Analyst will help gather and document technical requirements to drive product design specifications for various components of our platform including the following facets: messaging, web, mobile web, data syndication, web services and third party integrations. We work with modern technologies and frameworks, utilizing agile methodologies to produce high quality deliverables.What You’ll DoLiaise with management and business stakeholders to understand, document, and certify business requirements and translating end-user requirements into user storiesUnderstanding and documenting the gaps and current and desired business processes that bring the client and dev team to a common understanding of the product and how it will satisfy the business needOperating in an agile team environment and ensuring success of the project by supporting ownership of deliverables and performing testing, support, training, or other tasks when neededParticipate in standups, retrospectives, reviews and sprint planning sessionsAssist maintaining the product backlog of product enhancements, maintenance and support itemsAble to identify gaps, challenges and opportunities while recommending ideas and solutionsWho You Are3+ years of experience as a Business AnalystExperience writing user stories, wireframes, requirement documentsExperience with structured development methodology, preferably AgileSolid understanding of software technology and various software development toolsDetailed oriented and solid organizational skillsAbility to translate complex concepts between business and technical teamsAwesome If You HaveExperience with business processes and mobile/web solutionsTelematics or IOT IndustryAbility to use creative thinking in a fast paced, results-driven environmentAbility to influence and lead teams to deliver against complex initiativesEducationBachelor University degree (preferable business, CS, IT, Engineering) or equivalent experience ","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=337309&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cc843711&cb=1543723338907&jobListingId=2884362007"
"Senior Business Analyst","Proudfoot","Atlanta","GA","$84k-$129k(Glassdoor Est.)","Job title: Senior Business AnalystReports to: Managing DirectorWe are currently seeking a Senior Business Analyst to join our local Business Development teams in the UK, US, Canada, Asia and Europe. You will report directly to the country / sector Managing Director. About UsProudfoot is the preeminent global operational consultancy. Our core philosophy is “transformation through people” – creating alignment, changing behavior, and transforming companies with people-first solutions to their operational challenges. Our unique approach links hard analysis with one-on-one coaching and boots-on-ground support to achieve dramatic business improvements, helping leaders tap into the energy and ideas of the people across their organization. With 70+ years of experience, we know that employees will engage and contribute when given information, tools, authority, and respect — and we know our clients achieve their highest aspirations through the commitment and hard work of their people.Our expanding portfolio has created an exciting opportunity for an energized new team member with an exceptional track record serving Industrials, MRO, and/or Natural Resource clients. This is a senior level position, empowered to help support identifying, advancing, and closing operational consulting projects, while building your network and expanding your influence in target markets. In this role, you will be responsible for financial analysis of prospective companies and developing a point of view on the financial and operations health of their business. You will be responsible for developing initial hypothesis regarding improvement opportunities to improve business operational performance and leading the development of the business case and expected returns to address.As a part of our team, you will lead business analysis activities for engagements with prospects / clients. It is expected you will expand our existing business analysis offers and shape how we deliver business analysis services. You will interact with target senior executives at brand-name companies around the globe, while driving the execution of business analysis and improvement opportunity initiatives.To be successful in the role, you will be an involved senior executive relationship builder, a compelling thought leader, and a proud team player, providing valuable insights to help prospects achieve measurable operational and financial improvements as they transform their businesses.Experience Required Bachelor’s degree, Graduate degree preferred5 plus years of related financial or business analyst workSuperior financial acumen regarding the ability to interpret financial reports and assess the health of a business based on financial information and reportingMastery of financial modelling and business analytics skills, as well as proficiency with MS Excel or equivalent spreadsheet applicationsA keen understanding of businesses from end to end, and the ability to match value propositions to specific client needs Strong insight into operations and their financial structures, including P&L, balance sheets, and cash flow statementsA proven network of successfully interacting with senior level and C-Suite executivesDemonstrated familiarity with key market trends and emerging macro financial situations that the markets we serveThe ability to build and nurture relationships at a CEO level, working autonomously to demonstrate experience and expertise to business leaders at premier international corporationsExperience selling complex, large ticket B2B offeringsExceptional leadership skills able to collaborate with diverse groups, and persuade, influence, and encourage their peers We are seeking ambitious and driven candidates who thrive in a high-energy environment, and who are excited by the opportunity to stake their claim in a fast-growing sector and business.Locations HiringUS, Canada, UK, Europe, AsiaBenefitsSuccessful candidates can look forward to a competitive salary plus a full benefits package.Proudfoot is an equal opportunity employer, dedicated to creating and celebrity an inclusive workplace environment.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=416274&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5389d509&cb=1543723338908&jobListingId=2973003653"
"Senior Business Systems Analyst, Finance Technology (Revenue Recognition)","Teradata","Atlanta","GA","$86k-$136k(Glassdoor Est.)","Requisition Number:203102Position Title: IT Sr Systems Analyst (I) External Description: The Business Systems Analyst (BSA) Finance Technology, reporting to the Director/Senior Manager of Finance, Operations, Compliance, & Legal Technology, will be accountable for the design and configuration of technology solutions supporting Teradatas Finance organization. Teradata is under-going transformational change of the company, processes, and systems. In the Finance space we have recently deployed Workday revenue recognition and expenses and are embarking on an ERP journey to the cloud. We desire an experienced BSA to help drive us forward in the Finance space.Essential Duties & ResponsibilitiesQualifications and ExperienceEducation & Special Training CountryEEOText_Description: Teradata is an Equal Opportunity/Affirmative Action Employer and commits to hiring returning veterans. City: Peachtree Corners State: Georgia Community / Marketing Title: Senior Business Systems Analyst, Finance Technology (Revenue Recognition) Job Category:ITCompany Profile: With all the investments made in analytics, its time to stop buying into partial solutions that overpromise and underdeliver. Its time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. Its the answer to the complexity, cost, and inadequacy of todays analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Atlanta, Georgia US","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=388609&s=58&guid=000001676d14cac0b8ebcfebee555aac&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_35741121&cb=1543723338908&jobListingId=3040599300"
