"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","NewDay USA","Fulton","MD","$49k-$81k(Glassdoor Est.)","About the Job:NewDay USA is looking for a top notch business mind and modeler to support our operations and business development initiatives. Working closely with Sales, Finance and Human Resources and reporting to the Vice President of Business Development, the Business Analyst will be responsible for financial planning, human capital modeling, business operation planning and process improvements.Responsibilities:Effectively solve and communicate critical operational and financial mattersContribute to the development and execution of NewDay USA’s strategic goals and objectivesPrepare and analyze financial statements and provide key business insightsEstablish and monitor human capital performance, goal development and incentive structureIdentify opportunities for NewDay USA to leverage cross-functional strengths and improve and streamline operational functions in the companyCreate business models and reporting capabilities for various branches of NewDay USAProvide analysis and execution of capital marketsAbout You:You have 3-5 years of finance and operational experience with a proven track record of creative problem solvingYou have a Business, Accounting or Finance degree and a M.B.A. or are currently enrolled in a M.B.A program from a top tier accredited UniversityYou have advanced skills in SQL and ExcelYou are experienced with change management in a high growth environmentYou are an analytical and decisive decision maker with the ability to prioritize and communicate tactics necessary to achieve organizational goalsAbout NewDay USA:NewDay USA is looking for extraordinary team members to help change the lives of America’s veterans and to be a part of one of the fastest growing companies in Maryland. Our team is comprised of some of the most diverse, talented and energetic people anywhere in the financial services industry. They are also driven to excel by the exceptional opportunities for growth and advancement that are unique to NewDay USA. Join one of the fastest growing companies voted a “Top Workplace for Career Training” by The Baltimore Sun, and a “Top Entry Level Employer” by CollegeGrad.com.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=428213&s=149&guid=0000016768429b21a7faab434d381237&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_12433c4c&cb=1543642455375&jobListingId=1869399186"
"Senior Business Process Analyst","Leidos","Baltimore","MD","$71k-$105k(Glassdoor Est.)","Job Description:Leidos is looking to improve and advance our organization. Our program is focused on the delivery of end-user centric IT technology solution to our Centers of Medicare and Medicaid (CMS) customer where we are challenged to provide ongoing innovative and seamless experience while using CMS systems, applications and solutions, provide proactive secure development of IT integrations, concepts, and designs across the CMS enterprise and integrate end-user computing devices, conference room technology, infrastructure hardware and software, and user applications into a streamlined and seamless experience across the CMS user base. We foster a positive end-user experience while ensuring protection of the data.AS Senior Business Process Analyst you will work closely with the program management and technical and engineering teams and provide evaluation and the analysis of the hardware and software products in support of the customer. Review trends and analyze the data to discover patters, identify areas of concerns and prioritize action steps to optimize program performance. You will work closely with external and internal customers to streamline the hardware and software ordering, delivery, tracking and reporting.Primary ResponsibilitiesList daily duties and/or specific job responsibilities. Under the direction of the Program and Deputy Program Manager, you will be responsible, to include, but not limited to:Management of the program Product Catalog.Streamline the ordering, tracking and continuous monitoring and reporting on the hardware and software delivered under the program.Work closely with the internal functional support teams and identify areas of improvements to deliver goods to the customer in the most efficient manner and act as a liaison between the program and the sub-contractors and vendors.Conduct evaluation of the software licensing currently on the program, identify different licensing options that will lead to cost reduction and faster delivery.Research best business practices within and outside the organization, collecting and analyzing process data to initiate, develop and recommend business practices and procedures that focus on increased productivity and cost reduction. Basic QualificationsList the ""must have"" MINIMUM requirements to be considered for the position and ensure minimum quals fall within the minimum Leidos job code requirements. Example: Bachelors' Degree with 6 years' of applicable experience or 4 additional years' of experience in lieu of degree. Must be able to obtain and maintain a TS/SCI Clearance. Must have 2+ years JAVA experience. Bachelor's Degree with 8 - 12 years of relevant experience or Master's with 6-10 years of prior relevant experience. Additional years of work experience in lieu of degree is acceptable.Working knowledge of Leidos processes and systems.Experience working in Cognos, CostPoint, Hyperion and other financial and procurement systems.Experience in financial analysis and forecasting, review and analysis of invoices within contract and purchase order parameters.Experience with cost estimating, cost/benefit analysis, and the ordering, managing and tracking processes and procedures.Proficiency in budget and cost analysis tools.Advanced knowledge of Excel formulas and pivot tables.Excellent written and verbal communication skills with demonstrated experience in developing and delivering briefings for senior and executive managers and facilitating high level technical discussions.All candidates supporting the CMS programs must have lived in the United States at least three (3) out of the last five (5) years prior in order to be considered.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=427999&s=149&guid=0000016768429b21a7faab434d381237&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6c57f382&cb=1543642455377&jobListingId=3039992564"
"Business Analyst","Resource 1","Elkridge","MD",""," Resource 1 is seeking a Business Analyst for a contract position in Elkridge, MD. The initial term of the contract is 6 months, with expected extensions through all of 2019. The initial project is a modernization and re-write of existing clinical software, leveraging the latest web technologies (Angular/.NET Core). Candidate should have at least 5 years of experience working as a Business Analyst in support of software development projects. Individual will be responsible for working with users at various levels to gather and write business/functional requirements to be provided to the development team. Individual will create documentation including user stories, requirements, wireframes, use cases, workflows, etc. Axure will be used for wireframing on the project, so any prior experience would be a plus. Individual will join a team responsible for the full life cycle development of web-based medical/clinical software. Would prefer a candidate who has experience working in an Agile environment and is familiar with writing Agile artifacts and participating in Agile ceremonies. Prior healthcare industry experience would be a plus, but is not a requirement. Candidate must possess excellent communication/documentation skills, energy and enthusiasm for technology.  Qualified applicants can e-mail resumes to  (see below) for consideration. Technical Skills: Business Analysis, Technical Liaison, Agile, User Stories, Business Requirements, Functional Requirements, User Stories, Web Applications, SDLC, MS Office, MS Excel, MS Word, and Axure.Get alerts to jobs like this, to your inbox.Create Job AlertSimilar Jobs You May LikeSee More JobsSee AllSuggested searches","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=129608&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ab28dc11&cb=1543642455378&jobListingId=3042610453"
"Business Analyst","Maximus, Inc.","Baltimore","MD","$44k-$73k(Glassdoor Est.)"," MAXIMUS is a leading operator of government health and human services programs and has partnered with state, federal and local governments to provide critical, high quality health and human service programs to a diverse array of communities. Operating under MAXIMUS's founding mission of Helping Government Serve the People® since 1975, MAXIMUS Federal Services is entirely focused on helping government agencies run programs cost-effectively and serve program constituents with improved outcomes. By being a responsible steward for government programs, we help the federal government deliver on its promises through our people, process and technology. Our focus is always on outcomes and results that connect citizens more effectively with government services. Job Summary: The Business Analyst provides recommendations based on business analysis and subject matter expertise to the operations management team for improving operational performance. The Business Analyst provides guidance and recommendations for performing processes and procedures and provides direction for achieving production goals. Essential Job Duties: *Coordinates with business users to define business processing activities, data availability, and requirements, to implement operational procedures *Collects, analyzes and interprets both qualitative and quantitative data; performs analytical and root cause analyses *Utilizes management and planning tools (flow diagrams, affinity diagrams, gap analysis, and selection/prioritizing matrices) *Facilitates discussions between operations teams, technical teams and business stakeholders on business processes and procedures *Creates user acceptance test scripts/test plans *Assists in efforts to provide training, communication, presentations, and project documentation/artifacts *Assists in training and standards development among peer business analysts *Supports the project manager and/or product owner and stakeholders on project priorities *Assists in maintaining project deadlines, budgets, and schedules *Develops and produces reports as needed *Performs other duties as assigned Education and Experience Requirements: *Bachelor's Degree from an accredited college or university required; equivalent work experience will be considered in lieu of degree *At least three (3) years of experience in related field required *High level of proficiency in Microsoft Office applications, including Word, Excel, PowerPoint, Access, and Outlook *Experience with Microsoft Project, Vision and SQL *Proficient with software quality assurance and release management processes *Ability to analyze current situations with new requirements to synthesize into creative solutions Additional Requirements, as per contract/client: *United States Citizenship Bachelor's degree with 3+ years of experience. May have additional training or education in area of specialization. Develops solutions to a variety of problems of moderate scope & complexity. General application of concepts & principles. Contributes to the completion of organizational projects & goals. Frequent use and general knowledge of industry practices, techniques, and standards. Applies knowledge and skills to complete a wide range of tasks. Communicates on complex or sensitive issues or drafts such responses for supervisor or manager. A committed and diverse workforce is our most important resource. MAXIMUS is and Affirmative Action/Equal Opportunity Employer. MAXIMUS provides equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disabled status. - provided by DiceBusiness Analyst","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=320811&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_67ad3cc7&cb=1543642455379&jobListingId=3037462497"
"Business Analyst","Anchor Technical Services","Columbia","MD",""," Job DescriptionJob Summary  CRISP is seeking a business analyst to join the Point Solutions team. The incumbent will join a team responsible for developing and delivering mission critical new software applications for the CRISP Health Information Exchange. The ideal applicant will be an excellent verbal and written communicator, will have an attention to detail, the ability to solve coordinate with a number of stakeholders, manage priorities, and the ability to identify and resolve problems. The business analyst plays a critical role on the software development team to ensure delivered products meet requirements.  ESSENTIAL DUTIES AND RESPONSIBILITIES  Include the following. Other duties may be assigned. Contribute to the design and development of software products that assist in facilitating the exchange of health information for healthcare professionalsTake ownership of business processes and product development and overall success of the serviceWork with different stakeholders and subject matter experts from different backgrounds (clinical, business, technical).Assist in coordination of the Agile/Scrum development process.Assist QA in the reviewing test cases and ensuring appropriate test coverage.Participate in full software lifecycle solution and learn new technologies.Help your team solve difficult problems - learning from and sharing with team members.Assist in the transition of developed services to operations teamsManage priorities and requests in an organized mannerUnderstand how services are being used and use that knowledge to inform future developments Qualifications  To perform this job successfully, the incumbent must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Ability to quickly understand and take ownership of business processes and product development plansAbility to work with many different stakeholders and subject matter experts from different backgrounds (clinical, business, technical)Experience with Agile/Scrum methodology, particularly with the Product Owner role and with writing User Stories and Acceptance CriteriaExperience with writing and executing test casesTake pride in delivering software that meets the client’s needsKnowledge of Agile incremental development methodsDemonstrated ability to work well on a diverse teamJira and Github experience preferredFamiliarity with Microsoft Azure preferred Company DescriptionAnchor Technical Services specializes in servicing organizations that are in need of highly skilled technical resources in the fields of Engineering, Environmental, Healthcare, Information Technology, and Science. Additionally, ATS works with qualified candidates to arrange career placement within leading organizations in a variety of technical sectors. What’s more, Anchor Technical Services delivers unparalleled customer service with an emphasis on follow through and attention to detail to ensure ideal placements and your long-term success.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=119796&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0e6449db&cb=1543642455380&jobListingId=3041027872"
"Business Analyst","Randstad Professionals","Columbia","MD",""," job summary: Built on 30 years of expertise, Randstad Professionals provides specialized recruiting services to a diverse portfolio of clients ranging from Fortune 500 companies to small and mid-sized businesses spanning multiple industries. Our Direct Hire Technology Practice is currently searching for a Business Analyst to join a company in the Columbia, MD area. This is a FTE career opportunity.location: Columbia, Maryland  job type: Permanent  salary: $70,000 - 80,000 per year  work hours: 9 to 5  education: Unknown  experience: 3 Years  responsibilities:Job Description: The Business Analyst is a customer-facing position. The Business Analyst will work internally with an interdisciplinary team of economists, statisticians, actuaries, software and developers.qualifications:Job Requirements: Candidates should understand and have a proven track record with: Bachelor's degree in computer science, information systems, engineering, or business related field. Experience in lieu of degree will be considered.Three (3) years of data analysis experienceThree (3) years of experience in business analysis practicesMarketing, product launch, product roadmap experience helpfulStrong oral and written communicationSQL and data driven analytical application experienceWork with the Product Owner to develop detailed requirements, user stories, and business rules for application development in an Agile frameworkParticipate in User Acceptance, QA, and Regression TestingAssist in operation, refresh, and production support of production systems Qualified candidates should send a resume to adam.daley@randstadusa.com  At this time, our client is only able to consider candidates that are eligible to work for any employer in the United States without sponsorship.skills: SQLEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.Company Description:Randstad is a $22.5 billion global provider of HR services and the second largest staffing organization in the world. From temporary staffing to permanent placement to in-house, professionals, search & selection, and HR Solutions, Randstad holds top positions around the world and has approximately 31,100 corporate employees working from its nearly 4,700 branches and in-house locations in 40 countries.  We are a company built on a deep network of expertise that crosses industries and geographies. We recognize that talent comes in different forms, that every business has its unique challenges and opportunities. And our recruiting experts are skilled at marrying talent and business—identifying the ideal professionals for an organization’s culture and its teams, its needs and its goals.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=359521&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_80b9e7fc&cb=1543642455381&jobListingId=3039922265"
"Business Analyst","Global Technical Talent","Baltimore","MD","","We have a full-time opening for a Business Analyst.Must be able to work various shifts per week.Be authorized to work in the United States.Wage: Depends on Experience","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=301308&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd41ca51&cb=1543642455382&jobListingId=2951843862"
"Business Analyst","FSR (Federal Staffing Resources)","Baltimore","MD",""," Job DescriptionBusiness Analyst job in Crownsville, Maryland. Business Analyst Job Overview:Analyze the business processes, procedures, organizational structure, etc. in order to identify problems and determine solutions that reduce risk and increase organizational effectiveness and efficiencyInteract with the business partners and internal and external stakeholders,including executive staff, to understand organizational processes and needsPerform detailed gap analysis to identify gaps between system functionality and organizational needs and document findingsWork with stakeholders to identify project scope, project objectives, project success criteria and project deliverablesCollaborate with project stakeholders and technical staff to elicit and document requirements (e.g. business, functional, non-functional, process models, etc.)Present solutions to business stakeholders and facilitate the iterative refinement of requirementsWork with the Development and Quality Assurance teams to ensure functional requirements are unambiguous and testableAssist in the creation of test cases to verify the system and validate the system and processes are functioning as expectedCreate and maintain project logs to ensure that issues and risks are documented and tracked to resolution; monitor project schedules and follow up with leadership with concerns related to project milestones and timelinesBusiness Analyst Job Qualifications:Bachelor's Degree from an accredited college in Business or Public Administration, Computer Science, Information Technology, Information Systems or a related fieldFive (5) years of experience as a business analyst or closely related experience in the analysis of student information systems.Exceptional analytical skills in order to properly interpret business needs and translate into functional requirementsAbility to work in both collaborative and independent environmentsAbility to work under aggressive timelinesAbility to communicate effectivelyThorough knowledge of the principles and practices of planning, developing, implementing, and maintaining student information systemsThorough knowledge of processes, methods, and techniques utilized to analyze and evaluate business operations and document requirementsKnowledge of programming concepts and various Systems DevelopmentLifecycle (SDLC) methodologies.Working Knowledge of Web Accessibility Guidelines 2.0.Fluent language skills and written communication ability.Experience with developing reports, documents, presentations, etc.Experience creating record documents, to include agendas, project logs, meeting notes, etc.Proficiency with MS Office, to include strong competency with Word, PowerPoint, Excel, Outlook.Proficiency in developing and presenting, both verbally and in writing, technical information and presentations to non-technical audiences. FSR is nationwide, award winning, multi-industry workforce solution organization. FSR has grown from providing healthcare professionals to government healthcare facilities to providing talent acquisition, recruiting, and specialized human resources for the private and public sector.  FSR matches talented individuals to organizations to create mutually beneficial, sustainable partnerships.  We invite you to join our team and grow with us!  FSR is a women-owned, minority, small business based out of Maryland. Ask about our Working Warriors Program.  FSRpeople.com","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=372858&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e47c9ef4&cb=1543642455383&jobListingId=3037590119"
"Business Analyst","BITHGROUP","Baltimore","MD",""," Job DescriptionWe are looking for staff with demonstrated experience in program management or operational experience in Medicaid or Health and Human Services programs. This experience should be in the healthcare, human services, public sector, or information technology fields.  We are looking for 5 to 10 years of business analysis and a bachelor's degree in a related field is preferred.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=372858&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bc62a74a&cb=1543642455383&jobListingId=3042864210"
"Business Analyst","Zane Networks, LLC (for CRISP)","Columbia","MD",""," Job Summary  CRISP is seeking a business analyst to join the Point Solutions team. The incumbent will join a team responsible for developing and delivering mission critical new software applications for the CRISP Health Information Exchange. The ideal applicant will be an excellent verbal and written communicator, will have an attention to detail, the ability to solve coordinate with a number of stakeholders, manage priorities, and the ability to identify and resolve problems. The business analyst plays a critical role on the software development team to ensure delivered products meet requirements.  ESSENTIAL DUTIES AND RESPONSIBILITIES  Include the following. Other duties may be assigned. Contribute to the design and development of software products that assist in facilitating the exchange of health information for healthcare professionalsTake ownership of business processes and product development and overall success of the serviceWork with different stakeholders and subject matter experts from different backgrounds (clinical, business, technical).Assist in coordination of the Agile/Scrum development process.Assist QA in the reviewing test cases and ensuring appropriate test coverage.Participate in full software lifecycle solution and learn new technologies.Help your team solve difficult problems - learning from and sharing with team members.Assist in the transition of developed services to operations teamsManage priorities and requests in an organized mannerUnderstand how services are being used and use that knowledge to inform future developments Qualifications  To perform this job successfully, the incumbent must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Ability to quickly understand and take ownership of business processes and product development plansAbility to work with many different stakeholders and subject matter experts from different backgrounds (clinical, business, technical)Experience with Agile/Scrum methodology, particularly with the Product Owner role and with writing User Stories and Acceptance CriteriaExperience with writing and executing test casesTake pride in delivering software that meets the clients needsKnowledge of Agile incremental development methodsDemonstrated ability to work well on a diverse teamJira and Github experience preferredFamiliarity with Microsoft Azure preferred Job Type: Full-time  Salary: $65,000.00 to $80,000.00 /year  Experience: Agile/Scrum: 1 year (Preferred)Jira and Github: 1 year (Preferred) Education: Bachelor's (Preferred)","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=389273&s=58&guid=0000016768429b21b8f128c04eec81a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63d297d0&cb=1543642455385&jobListingId=3041002791"
