"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","Integration Point","Charlotte","NC","$59k-$95k(Glassdoor Est.)","Integration Point is a global trade management software provider – meaning, we build software to help thousands of companies manage international trade. Our software helps companies get their products across borders and into the hands of consumers like you. Our clients are truly global and span all industries (apparel, automotive, pharmaceutical, and electronics – just to name a few). We’re looking for smart, creative team members to work directly with our clients and implement our software.What you’ll doWork closely with Fortune 500 clients to understand their supply chain processes and provide excellent customer service at all timesImplement our software to meet each client’s unique business requirementsPerform project management, configuration, and testing tasks for global implementationsAnalyze data to support the global trade management operations of our clientsWork as part of an international team of business analystsWhat you needSuperior analytical, problem solving, and troubleshooting skillsAbility to work independently and in a team environmentExceptional attitude towards customer serviceExcellent verbal and written communication skillsTravel, as needed, to client sites to assist with implementationsBachelor’s degree in Supply Chain, International Business, Industrial Engineering, Management Information Systems, or related fieldGPA of 3.2 or aboveLegally able to work in the United States without sponsorshipBonus pointsCasual attireWorld-class team of industry and technology professionalsTeam outings at the U.S. National Whitewater Center, Topgolf, escape rooms, bowling, and moreCharitable opportunities such as 5k runs and fundraisersEasy walking distance to several restaurants, including Starbucks for that midday slumpRunning groups, pick-up games, several co-ed sports leagues, and a gym to keep you movingMedical, dental, and 401(k)","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=321078&s=149&guid=0000016766c57a47965b77a487742f61&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d54d4b2d&cb=1543617477697&jobListingId=2673374981"
"Business Analyst","NTT DATA","Charlotte","NC","$63k-$102k(Glassdoor Est.)","Req ID: 31677     At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.     NTT DATA Services currently seeks a Business Analyst to join our team in Charlotte, North Carolina (US-NC), United States (US).        POSITION SUMMARY  The Business Analyst uses business and technology knowledge to serve as a liaison between business initiatives and IT in order to determine the correct course of action to achieve desired results. This person collaborates with business and technical resources to determine business information and application needs and assists clients in the analysis of a proposed idea and performs the review, determines the systems potential, conducts documentation, testing (as needed) and follow through.     RESPONSIBILITIES  Analysis and Solution Definition Documents client organization's direction, structure, business processes and requirements.Liaison between the business and development teams throughout the project.Analyzes business requirements to understand the business needs and to determine how the application can best function to fulfill those needs.Provides input to buy vs. build decision based on input received from the business and other functions within Technology.Identifies cross impact to other systems.Proposes solutions to problems and considers timeliness, effectiveness, and practicality in addressing client needs.  Project ExecutionUnderstands project plans and is able to clearly articulate roles, project goals, and timelines.Adheres to and facilitates project standards.Creates, consolidates and presents documents relating to use cases, functional requirements, data mapping, privilege provisioning and authorization models, maintaining them throughout the project, including traceability back to requirements.Ensures with the quality management team that requirements documentation can be easily translated into test plans, and that testing plans have been completed.May execute test plans or follow-on testing.Assembles and documents all test results.Provides a business or process perspective during design reviews.Accurately employs methodology and documentation tools.Establishes responsible deadlines and personal work plans and manages time effectively.Participates in change control process throughout the project.Contributes to continuous improvement and proactively supports knowledge sharing within the team and across Technology.Proactively carries out project support /administrative functions.  Communication & TeamworkListens to others and accepts input from team members.Clearly articulates ideas and thoughts verbally.Accurately prepares written business correspondence that is coherent, grammatically correct, effective and professional.Demonstrates flexibility in day-to-day work.Establishes harmonious working relationships with team members; appreciates each team member's contributions and values each individual member.Values internal and external clients and responds to their needs as they arise.Establishes effective working relationship with clients; uses good judgment in what and how to communicate with clients. BASIC QUALIFICATIONSBachelor’s degree in business or related field3-5 years of experience as business analystUnderstands basic Internet and client/server architecturesPossesses basic knowledge of HTMLProficient in Microsoft Office suiteExperience in systems implementation, business analysis, and/or project managementAdvanced communication and time management skillsExperience in working with development teams preferredKnowledge of data structures, databases or query tools preferredRapidly adapts and responds to changes in environment and prioritiesExcellent communication, interpersonal, problem solving and analytical skills       This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.About NTT DATA Services    NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.     NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.     NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.         ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=98541&s=149&guid=0000016766c57a47965b77a487742f61&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_00db12ce&cb=1543617477698&jobListingId=3034487656"
"Business Analyst","Eateam","Charlotte","NC","$53k-$87k(Glassdoor Est.)","Company Description null  Job DescriptionMain areas of responsibility:  • Lead requirements definition for complex projects and multi-year strategic initiatives. Identify and translate business needs into clearly defined requirements, and create documentation inclusive of business use cases, process flows, data flows, traceability matrices and report mock-ups.  • Plan, facilitate, and conduct requirements gathering sessions, meetings, and presentations.  • Lead review sessions for completed business/functional requirements with key business users focused on gaining consensus and final business approval.  • Build strong relationships within the business units and support functions to understand the business needs.  • Collaborate with development and testing teams to provide subject matter expertise, ensure that out of the box functionality is leveraged and assist in troubleshooting and resolving issues.  • Ensure that proposed solutions are focused on improving efficiency and effectiveness of the business processes, and are consistent across products where possible.  • Participate in the development and planning of the User Acceptance Testing activities, including test plans and scripts, based on requirements.  • Facilitate UAT execution phase and work with business lead and project manager to obtain user acceptance test signoff.  • Provide direction and leadership to one or more IT Business Analysts.  • Travel as required, approximately 10%.  Qualifications, Skills and Experience:  • 7+ years of business analysis or underwriting experience in Commercial Property & Casualty insurance, including General Liability, Inland Marine, Property, Auto, and Workers Compensation.  • Strong experience with policy administration solutions. Experience with Guidewire PolicyCenter preferred.  • Expert understanding of Commercial Lines products (e.g. WC, GL, Commerical Auto, Property) and underwriting processes, including risk selection, pricing, exposure recognition, application of controls, hazard group identification, and frequency and severity management.  • Exposure to insurance functions, including Claims, Premium Audit, and Loss Control  • Experienced preferred with Agile SCRUM methodology and business analysis methodologies; working knowledge of both SDLC & PMLC processes.  • Experience with business process analysis and improvement is helpful, but not required.  • Hands-on experience writing High-level Business requirements documents and user stories is preferred.  • Knowledge and experience leveraging both IT solutions and business process improvements.  • Experience operating and interfacing with business management, including negotiation and presentation skills.  • Proven track record of creating clear, concise deliverables that reflect a deep understanding of business needs and the out of the box software functionality.  • Excellent problem-solving and analytical skills.  • Excellent communication skills, both written and verbal. Understands communication channels and escalates appropriately.  • Proficiency with process modeling tools (e.g., Visio) and other visualization tools is beneficial.  • Experience supervising small teams.  • Strong initiative; able to self-manage. Comfortable with ambiguity and able to work through it to get the right things done.  • Must be able to see tasks through to completion without significant guidance.  • Personal time management skills and ability to meet individual and team deadlines.  • Experience using standard project and business tools including, Microsoft Project, Excel, PowerPoint, Project, SharePoint.  • Team player who works well with technical and business resources.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4134&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f5dbb580&cb=1543617477700&jobListingId=3039812481"
"Business Analyst","Ally Financial","Charlotte","NC","$53k-$87k(Glassdoor Est.)","Career Area: Information Technology Experience Level: Experienced Available Work Locations: North Carolina (Charlotte) Ally Requisition #:18-6266 Job Description:Position Description The ideal candidate will have prior experience working as a DevOps engineer & enjoys keeping technical skills reasonably current; to the point that he/she can contribute to architecture discussions. The candidate would be responsible for deploying, automating, maintaining, troubleshooting and improving the processes, environments & systems that keep the delivery channels running smoothly. The role requires you to have hands-on technical experience and a can-do approach towards automation and continuous improvement.  A successful candidate will collaborate across teams to create technology roadmaps. This will include helping innovate, re-engineer and/or invent new value-add services layered on top of the existing services offered currently by the team. Job ResponsibilitiesExperience with OpenShift, Ansible, AWS, Docker or other container/PaaS technologiesExperience administering application servers & webservers (JBoss, Apache, WebLogic, Tomcat, Nginx etc.)Strong Automation skills and Scripting experience (Groovy, bash, yaml etc)Experience with monitoring (AppDynamics, ScienceLogic etc) & analytical tools (Splunk, Kibana etc)Experience with Bitbucket & other version control systemsProficiency in building deployment workflows using Bitbucket, Jenkins, HelmTroubleshoot and fix issues identified in code quality, test and scanning reports with a focus on minimizing impact to our customersExperience with JEE & JavaScriptProduce and maintainquality documentation on installations, procedures and system requirementsExperience with Agile methodologies, and actively participate in Engineering Scrum and design meetings to drive quality deliverables.Excellent verbal & written communication skillsCollaborative & team focusA strong technical foundation in build, release and traditional environmentsEagerness to learn about whatever tools & tricks are needed to get the job doneAbility to occasionally work off-hours / weekendsQualifications1+ years of experience with container frameworks like Docker, Kubernetes, OpenShift,3+ years of DevOps, CI/CD environments5+ years of system engineering background with system engineering on OS like Linux, Solaris5+ years of Technical Experience in JEE Application Servers and Webservers5+ years of Java/JEE & JavaScript experienceImplemented & managed build lifecycle through CI/CDExperience with Bitbuckets, Jenkins & HelmAlly Overview Ally Financial Inc. (NYSE: ALLY) is a leading digital financial services company and a top 25 U.S. financial holding company offering financial products for consumers, businesses, automotive dealers and corporate clients. Ally's legacy dates back to 1919, and the company was redesigned in 2009 with a distinctive brand, innovative approach and relentless focus on its customers. Ally has an award-winning online bank (member FDIC), one of the largest full service auto finance operations in the country, a complementary auto-focused insurance business, a growing digital wealth management and online brokerage platform, and a trusted corporate finance business offering capital for equity sponsors and middle-market companies. Business Unit/Enterprise Function Ally's Information Technology (IT) organization is focused on supporting and improving the position of our industry-leading business franchises through cost effective, innovative IT solutions, as well as overseeing critical functions that enable the day-to-day operations of the entire Ally Financial enterprise. IT is also responsible for the administration and execution of information protection, disaster recovery and IT risk management. Total Rewards Information Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals. Plus, we have a flexible paid-time-off program including time off for volunteer opportunities. Ally's Total Rewards Program is designed to enrich your life at work -- and outside of it and includes: Industry-leading 401K retirement savings plan with matching and company contributionsWellness program encouraging healthy living with financial rewardsFlexible health insurance options including dental and visionPre-tax Health Savings Account with generous employer contributionsPre-tax commuter benefitsOther work-life integration benefits including parental and caregiver leave, adoption assistance, backup child and adult/elder day care program, child care discounts, tuition reimbursement, LifeMatters® Employee Assistance Program, subsidized and discounted Weight Watchers® program and other employee discount programsAlly is an Equal Opportunity Employer We extend equal employment opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4372&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1313e78a&cb=1543617477701&jobListingId=2943097255"
"Business Analyst","The Ryan Consulting Group","Charlotte","NC","$52k-$85k(Glassdoor Est.)"," Job DescriptionCorporate Finance plans, tracks, analyzes and reports financial results; manages the company’s balance sheet, including liquidity and funding, capital and investments; oversees internal real estate needs; drives acquisitions; is responsible for financial controls; and leads corporate strategy. Corporate Finance identifies areas of financial risk and mitigates efforts appropriately. It works with capital markets to provide lowest possible costs of incremental funding, subject to capital and financial risk management constraints. It improves financial performance by analyzing business unit performance and recommending areas of improvement. The group strives for excellence in customer service and client support by exhibiting behavior that is fair, reasonable, ethical, and professional.  This position will play a critical role within the Corporate Development Recovery and Resolution Planning team. Given the complex regulatory nature of the program and criticality of successful yearly submission, the team will require a Business Initiatives Consultant to be aligned to each of the divisional workstreams.  This individual will be responsible for ensuring the successful implementation of each of the RRP Deliverables required for their division, which will include a variety of Strategic Action Playbooks and Reverse Due Diligence documentation. This position will be required to establish partnerships across horizontal & vertical workstreams in order to meet the yearly objectives defined by the regulators for RRP. Business Initiatives Consultant responsible for assisting with the end-to-end planning, tracking, communication and execution of all deliverables and objectives aligned to their respective workstreamCollaborate with partners and stakeholders to create execution plans and ensure that all deliverables and objectives are successfully met per the intended scope and timeline outlined in the RRP Program Calendar.This includes analysis and understanding of the actions and requirements needed, as well as the associated impacts and risks relative to the successful completion of each target milestone.Appropriately report any/all risks and issues, and ensures appropriate escalation to the Corporate Development RRP ProgramEffectively lead routine workstream meetings and ensures active engagement from all required stakeholders throughout the development of all deliverables and committed milestonesPartner with the Senior Deal Manager aligned to their workstream, along with the associated external consultants, to complete an assessment of resource needs to determine the amount of ongoing full time support requiredRemain closely engaged with the Corporate Development RRP Program to ensure alignment with standards and success of the overall RRP Program goals and milestonesAssist in maintaining routine reporting materials to be used for the workstream team, Corporate Development RRP Program and senior managementRequired Qualifications •6+ years of experience in one or a combination of the following: project management, implementation, or strategic planningCompany DescriptionOur services incorporate face-to-face meetings, in-depth interviews, continuous contact and on-site recruitment services. Unlike other agencies where sales and recruitment are separate, our sales and recruiters function as a unit where both are involved at all stages of engagement and both are accountable for client satisfaction. This unique process helps us develop close client relationships and ultimately function as an extension of their team.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=85058&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_374412be&cb=1543617477702&jobListingId=3036608863"
"Business Analyst","Digital Intelligence Systems, LLC","Huntersville","NC","$68k-$110k(Glassdoor Est.)"," Job Snapshot Employee Type: Contractor Location: Huntersville, NC Job Type: Information Technology Experience: Not Specified Date Posted:11/6/2018Job Description JOB DESCRIPTION for the Business Analyst  Seeking a Senior Business Analyst to be an intermediary between business partner stakeholders and IT technology teams to ensure the delivery of solutions that meet our company's business needs. This position will assimilate and document business requirements, and translate them into functional and non-functional requirements that the IT development and Infrastructure staff will use to deliver a high quality solution.  The Business Analyst is responsible for identifying business requirements, assessing the impact of system or process changes, eliciting and documenting business process flows and requirements, and providing insight to ensure requirements are traceable to and translated into workable solutions. This role is also responsible for facilitating the definition and execution of user-acceptance testing and providing post implementation support to business stakeholders and end-users to ensure solutions meet the prescribed business requirements. In order to be successful, this Business Analyst must have a thorough understanding of the business processes and functionality of business applications, including our web portal and associated applications. This position must be able to facilitate road-mapping and requirements gathering conversations with business partners. He/she will then support solution design by providing insight at design sessions with IT teams to help translate requirements into business solutions.  Qualified candidates will possess 6+ years of equivalent experience and have a strong understanding of the BA role and associated methodologies. He/she will also have the ability to juggle competing priorities in a fast paced environment. This is an opportunity in an organization transitioning from start-up to mature.  ESSENTIAL FUNCTIONS of the Business Analyst  Elicit and document business process flows, functional and non-functional requirements for business applications.  Facilitate conversations with application developers and ensure they understand requirements and can translate them into a technical design.  Provide traceability between requirements and design.  Define user acceptance criteria for a solution; facilitate UAT execution.  Assist the business in defining change management activities associated with new or changing processes and solutions.  Utilize and understand BA methodologies and tools.  Contribute to improving and maturing the BA practice.  Contribute to the adoption of maturing project methodologies.  Contribute to the initiative intake process.  Contribute to risk and issue lifecycle management.  Prepare and present project information and task details to project team members.  Proactively resolve conflict among team members and functional teams.  Develop and maintain positive working relationships across the company.  Develop and maintain a culture of continuous improvement.  KNOWLEDGE, SKILL SET & QUALIFICATIONS of the Business Analyst  Bachelor's Degree in Business Administration, Computer Science, CIS or related field and 6 years of experience in business analysis or a related field OR 8 years of comparable experience without a degree  Minimum of 6 years of Business Analyst experience.  Able to write Business Rules Documents and Requirements  Able to write Tests Cases  Able to lead testing scenario planning and manage test execution  Proficient in PowerPoint, Excel, Word, and Visio  Experience with Wire Frames  Experience with Flow Charting  Experience in utilizing various methodologies and SDLCs, including waterfall and agile.  Must be able to manage time, work under pressure and deliver on tight deadlines.  The ability to work collaboratively across several IT and business functions.  Excellent written and verbal communication and interpersonal skills.  Demonstrated success in working within a matrix organization.  PREFERRED SKILLS for the Business Analyst  Six-Sigma green or black belt  Certified Agile SCRUM leader  Job Requirements  Digital Intelligence Systems, LLC. is an Equal Opportunity Employer, M/F/D/V. We do not discriminate against any employee or applicant because they inquired about, discussed, or disclosed compensation. Email recruitinghelp @ ********* to contact us if you are an individual with a disability and require accommodation in the application process.Digital Intelligence Systems, LLC. is an Equal Opportunity Employer, M/F/D/V. We do not discriminate against any employee or applicant because they inquired about, discussed, or disclosed compensation. Email recruitinghelp @ ********* to contact us if you are an individual with a disability and require accommodation in the application process.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=182759&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_471584a3&cb=1543617477703&jobListingId=3017302387"
"Business Analyst","The Select Group","Charlotte","NC","","SENIOR BUSINESS ANALYST NEEDED - CHARLOTTE, NC The Select Groups client who is an Industry leading International Company is in search of a Senior Business Analyst in Charlotte, NC. The company is looking for a Senior Business Analyst who has Property and Casualty Industry experience. The ideal candidate will be responsible for scope frequencies, signing off from business users, putting together plan of actions, etc. Our client can only work on a W2 basis with candidates that do not require any kind of current/future sponsorship.SENIOR BUSINESS ANALYST REQUIREMENTS:3+ years experience as a Business Analyst2+ years experience within the Property and Casualty Insurance industryExperience using GuidewireExperience creating user storiesProficient implementing Lines of Business (LOB)Experience with Policy Admin PlatformsPLUS SKILLS:Commercial Auto Industry experience is a plusUnderwriting backgroundSENIOR BUSINESS ANALYST RESPONSIBILITIES:Gathering business requirementsWorking directly with business stakeholders throughout project life cyclesImplementing Line of Business (LOB) platformsCreating User StoriesWorking with the Policy Admin Platforms Job Types: Full-time, Contract  Experience: Business Analysis: 3 years (Required) Work authorization: United States (Required)","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=389273&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d02a2596&cb=1543617477705&jobListingId=3036345032"
"Business Analyst","JAARS","Waxhaw","NC",""," JAARS mission is to make Bible translation and language development possible, especially in the most remote and difficult places on earth. We do that by enabling locally appropriate and sustainable solutions in transportation, technology, media, and training. We partner closely with SIL International, the organizations of the Wycliffe Global Alliance, and with other organizations locally and globally. JAARS has a 70-year history of innovation and excellence in supporting Bible translation around the world.  We (www.jaars.org) are a 501(c) (3) non-profit Christian ministry headquartered on a beautiful 500+ acre campus just south of Charlotte, NC. Our campus includes extensive training facilities, an airfield, office and commercial facilities, guest housing, food services, recreational areas, clinic, on-site childcare, and youth and family ministry support for staff and partners. We are pleased to have more than five hundred people serving on our campus with JAARS and several partner organizations.  The ministry is experiencing tremendous growth opportunities globally. We recognize that to realize our full potential we need to evaluate our current systems and enhance them for the future. Our leadership team is looking for people with the skills and experience to make this happen.  As JAARS responds to strategic opportunities locally and globally, we are seeking a Business Analyst to bea team leader supporting the JAARS Customer Relationships Management (CRM), and Human Resources environments by establishing and maintaining a close relationship with our business staff, designing and improving business processes, leveraging system functionality for greater effectiveness, coaching and training end-users, and overall operations. The Technology Business Analyst is a member of the Technology & Business Solutions department. This position is a full-time position requiring 40 hours per week.  Responsibilities Serve as point of contact for developing and prioritizing incidents, change requests, system alterations, and customizationLead on projects and directs the work of the Application AdministratorServe as a backup Application AdministratorLeverage system functionality and capabilities to meet JAARS needsAnalyze system interfaces and processes increasing the effectiveness of the systemPerform ongoing process improvementRecommend best practices and opportunities for automationDevelop requirements for system integrations and enhancementsDocument system configurations, data models, and core processesDevelop and maintains workflows, functions, configurations, reports, and dashboardsAssist in establishing and modifying JAARS policies, ensuring compliance and best practicesParticipate in the coaching and training in system functionalityIdentify and facilitate system platform maintenance and enhancementsPerform other responsibilities as assigned Aptitudes and Gifting First and foremost, must have a deep and growing walk with the Lord JesusCommitted to & excited about the Vision and Mission of JAARSHas a servant heart attitudeInteracts positively and collaborates as a member or leader of a teamExcellent organizational and interpersonal skills.Ability to independently develop approaches to complex systems, process redesign and analyze problems.Must have a strong bias toward completing tasks and achieving goalsMust be well organized and detail orientedMust be a self-starter, able to work independently and capable of managing multiple responsibilitiesConsistently ready to learn and grow Experience, Training, and Education  Required: Salesforce experience and demonstrated expertise and relevant experience in CRM, HR, ERP, and related applicationsMinimum of 2 years in business analysis or related roleBachelors degree in IT or related experience Preferred: Certification in Salesforce is highly desiredMBA and/or relevant graduate degree desirable To Apply Complete JAARS employment application: Visit www. jaars.org > Get Involved > Serve > Paid Positions, then complete the online application. Submit your resume and the completed application as directed on the employment application.  Job Type: Full-time  Work authorization: United States (Required)","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=389273&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9a418cdb&cb=1543617477706&jobListingId=2988262319"
"Business Analyst","American Tire Distributors","Huntersville","NC","$79k-$127k(Glassdoor Est.)"," We look forward to your application! When applying, please be sure to put your Full Legal First Name and Last Name for legal and processing purposes.  Are you looking for an opportunity to turn your ambition and your people skills into a rewarding career with an industry leader? Join our team at American Tire Distributors! As the nation's premier tire distributor, ATD's coast-to-coast distribution network provides approximately 80,000 customers across the U.S. and Canada with rapid and frequent delivery of high quality tires, custom wheels and shop supplies. Position Description:The Business Analyst is a key delivery role in digital application development team. The key responsibility of the Business Analyst is to be the communication conduit between key system users and the IT development team to translate business needs into project requirements documentation. The BA must have a solid understanding of end-to-end business processes and existing business applications to evaluate how new project requirements impact those processes and ensure integrity throughout the entire process. Advises development teams of future business applications needs in order to formulate and recommend project strategies to keep pace with the business demands. Essential Duties & ResponsibilitiesElicit user requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, and task and workflow analysis.Critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs.Proactively communicate and collaborate with external and internal customers to analyze information needs, gather functional requirementsDeliver business requirements mapping, process flows, functional designs, test plans, training requirement and high level project timeline for each assigned projectDesign and develop support fixes, small enhancements and coding for major projects.Demonstrate a sound knowledge of the Systems Development Life Cycle methodology (SDLC) like Waterfall, Agile, and others for assigned projects and tasks.Successfully engage in multiple initiatives simultaneouslyWork under the direction of a managersDevelop and maintain business process mapping documentsProvide research and analysis to support the selection of business application software required to support business requirementsParticipate in the deployment of business applications and other projects are assignedTrack all requests for business application changes and new requestsKeep up to date with technical as well as industry sector developments.Customer satisfaction.Accomplishment of IT objectives and execution of goals.Works with internal and external vendor teams on all support/enhancement/project related activitiesCollaborate with cross-functional teams (e.g. Product owners, QE, EA, PE, DevOps, Security, etc.).QualificationsRequiredEducation: Bachelor's degree from four-year College or university required: MBA preferredExperience: 5+ years of business analysis in eCommerce (B2B or B2C) ProjectsPreferredIterative project development methodology experienceTechnical & Domain SpecificExcellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts.3+ years of experience with Hybris or other similar eCommerce/Digital technologiesUnderstanding of Business Processes Analysis tools and techniques.Excellent leadership capabilities and communication and documentation skills.Ability to be proactive and work well under pressure.Think Innovatively: Identify and act on ideas which further the Company's strategic goals.Plan and Execute for Success: Identify and address root causes when solving problems. Work collaboratively with other departments and functional teams to coordinate effective solutions.Act Collaboratively: Communicate effectively across teams, functions and departments.Communicate Effectively: Communicate clearly and concisely and adjust communication style to improve performance.Candidate Skills and CompetenciesCompetenciesRelationship Management (RLMT)Build long-term, strategic relationships with senior business and IT stakeholders across the organization.Identify the communication needs of each stakeholder in conjunction of business owner and SMEs.Contract Management (ITCM)Oversee and measure contractual obligations.Identify and report under-performance and develop opportunities for improvement.Performance Management (PEMT)Supervise individuals and teams.Allocate routine tasks and/or project work.Provide direction, support, and guidance as necessary, in line with individuals' skills and abilities.Monitor progress against agreed quality and performance criteria.Act to facilitate effective working relationships between team members.Resourcing (RESC)Implement resource plans, including conducting recruitment interviews.Facilitate selection, assessment and onboarding processes, and internal resource allocation.Contribute to transitioning of resources, complying with relevant statutory or external regulations and codes of good practice.Professional Development (PDSV)Maintain skills framework, or information about access to standard frameworks.Advise on required outcomes for learning or skills frameworks and organizational development needs.Assist practitioners with the process of creating development plans based on outcome statements.Monitor practitioners' continuing professional development records, ensuring that achievements and enhanced capabilities are recorded and references to the outcome statements. This job description in no way states or implies that these are the only duties to be performed by the employee occupying the position. Employees will be required to follow any other job-related instructions and to perform any other job-related duties requested by their supervisor, subject to reasonable accommodations. Nothing in this job description creates a contract of employment in any way for any person. All employees hired by American Tire Distributors, Inc. are employees at will and the company reserves the right to terminate employees at any time for any reason or no reason at all. Build a challenging and rewarding career with us! American Tire Distributors is an Equal Opportunity Employer and Drug Free WorkplaceShift Type:  Job ID: R07250 ","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=25074&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b72a49a7&cb=1543617477707&jobListingId=3042336411"
"Technical Business Analyst Needed!","Syntelli","Charlotte","NC","$55k-$90k(Glassdoor Est.)"," Job DescriptionSyntelli Solutions is actively seeking an experienced Technical Business Analyst for a great opportunity in Charlotte, NC. If you have the hands on skills, experience and background submit your information today! As the hiring manager is actively conducting interviews this week for this immediate need.Requirements:Master Data Management project work experienceTech Business Analyst work experienceCollaborative attitude and ability to communicate effectivelySQL, business analysis, and process analysisRequirement discovery, data mapping and business rule consolidation and documentation Company DescriptionRanked # 1 Data Science/Big Data IT company in Charlotte, NC.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=85058&s=58&guid=0000016766c57a47b20e668b97ec0ccb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a8a82aa4&cb=1543617477708&jobListingId=3011517521"
