"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","Mission Essential","New Albany","OH","$59k-$97k(Glassdoor Est.)"," Business Analyst Apply Save Job PrintLocation:  NEW ALBANY, OHIO  Open Date:  10/22/18  Close Date:  10/22/19 Description The Business Analyst is responsible for developing and delivering business analytics and information reporting to Accounting, Finance, Operations and company leadership. The Business Analyst will work with the Accounting team to administer, maintain, and optimize Mission Essential’s Deltek CostPoint ERP and related systems including Time & Expense and Cognos Business Intelligence.Duties & Responsibilities:Develop and maintain reports using Cognos Query Studio and Report WriterWork across multiple functional areas to define requirements and design solutions to meet business intelligence needsDevelop clear reporting solutions, including reports, dashboards, and analysis to provide timely and accurate insight to business conditions.Implement, maintain & upgrade functionality in Deltek CostPoint to streamline accounting and other business processes, such as timekeeping parameters, automated bank reconciliations and voucher processingInterpret financial and accounting requirements and establish system solutions to enhance these processesCreate reports & analysis for automated recurring and ad-hoc needs in support of business decisionsTrain internal system users on using BI systemsPerform other duties as assigned Minimum Requirements Bachelor’s Degree in accounting, computer science, or business related fieldThree or more (3+) years of experience developing reports in Cognos or similar softwareAdvanced skill with Microsoft Excel and accounting application systemsThree to five (3-5) years minimum work experiencePrevious experience with accounting systems and processesExperience in database development using SQL, Crystal Reports, etc.Must be detail-oriented and organizedMust demonstrate effective time managementMust demonstrate ability to communicate effectively and proactivelyAbility to analyze and interpret financial data and solve complex accounting problems as requiredMust have the ability to complete tasks assigned verbally or in writing in a timely manner, meet all deadlines, and effectively manage multiple tasksMust have advanced capabilities with MS Excel, and be able to clearly communicate results of analysis Desired Requirements An advanced degree (in a related field) and/or related professional certification is a plusUnderstanding of and prior experience with government contracts is a plusApply Now!","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=399598&s=149&guid=0000016767d05dd982cc39aeffba586d&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c1d1fe66&cb=1543634968571&jobListingId=3000555119"
"Business Analyst","Scotts Miracle-Gro","Columbus","OH","$53k-$86k(Glassdoor Est.)"," At Scotts Miracle-Gro we think people are like plants....in the right place you will grow and flourish. Are you an advocate of making the world a more beautiful place by inspiring others, championing new ideas and being intellectually curious? Are you not afraid to roll up your sleeves and get your hands dirty? If so, then we want you as part of our Scotts family...the world's largest marketer of branded consumer lawn and garden care products!  We are looking for a Business Analyst who will join our Business Transformation (IT) team.  This position will be based at The Scotts Miracle-Gro world headquarters in Marysville, a suburb of Columbus, OH. Not familiar with Columbus? Visit columbusregion.com/columbus-2020/  Scotts Miracle-Gro established the Business Transformation (BT) group to work with the business to develop plans to align technology and process resources with the business strategy. These plans include continuing efforts to support our base business in leveraging existing technologies and solutions to realize continuous improvements, improve the productivity of our global workforce, address the need for more effective and efficient communication of information, and support for the evolving business model to grow with our ""Consumer First"" strategy.  This position contributes to the success of the BT group through the governance of communications and organizational change management within the department, as well as governance of project methodology, improvement and management of key processes.  In this role you will: Communications and Organizational Change ManagementDrive communication and organizational change management efforts for BT.Portfolio Planning and Project GovernanceLead and/or consult on communication and organizational change management activities for specific projects/initiatives (e.g., as a formal member of a project team).BT Process Management & ImprovementLead the communication processes and quality of the content of information and distribution of the departmental weekly status report.Service Desk ManagementProvide leadership oversight for our Outsourced Service Desk team. Serve as the primary liaison between BT and our Outsource provider. The perfect person will have: Minimum of 5 years of communications experience - IT experience a plus.Minimum of 3 years of organizational change management experience - IT experience a plus.Portfolio Planning - experience defining and prioritizing multi-year plans that align with business strategy.Business Process Transformation - minimum 3 years experience in business process design and improvement which includes success in designing sustainable business processes to drive expected business results.Conceptual and/or practical knowledge and experience of using information technologies (e.g. SAP) to support business processes.Strong verbal and written communication skills, with an ability to effectively express complex concepts in simple business terms across all levels of the organization.Strong analytical, problem-solving, and conceptual skills.Ability to think strategically and plan effectively.Conceptual and/or demonstrated project management knowledge and experience.Financial management skills including proven competency in business case development.Proven business process design and improvement skills including experience using structured process improvement methods.Ability to influence and gain alignment with people at all levels in the organization, on the approach and timing to implement solutions to strategic business problems.Strong perseverance abilities in the face of challenges and an ability to deal with conflicts constructively.Ability to partner with peers, team members and demonstrate collaborative, effective teamwork.Comfort and flexibility with changing priorities, high levels of ambiguity, and non-routine issues.Ability to multi-task in fast-paced deadline intensive environment.Ability to anticipate obstacles and plan contingencies.Core competencies: Problem Solving & Analysis. Business Acumen. Communication & Leadership. Relationship Building. Creativity & Innovation. Influence and Organizational Savvy. Planning & Organizing. What we do for our associates (just to list a few cool ones): Offer extremely competitive benefits including: Health, Dental and Vision coverage.Onsite wellness center which includes: 2,400 sq. ft. fitness center, Walgreens pharmacy and Doctor’s office.Beautiful campus and corporate offices designed like a log cabin offering free coffee, chef run cafe and the best crushed ice!Unbelievable 401K match and discounted stock purchasing program.Our commitment to diversity and inclusion includes four employee resource groups: Scotts Women’s Network, Scotts Black Employee Network, Scotts Veterans Network and Scotts Young Professionals.Generous vacation day policy.Various associate engagement activities throughout the year including intramural sports leagues. COME GROW WITH US, WHERE THE GRASS REALLY IS GREENER!  Not interested in this role? Check out our other career opportunities and learn more about what it’s like to work at Scotts Miracle-Gro by accessing our Talent Network: SMG Talent Network  The Scotts Miracle-Gro Company (NYSE: SMG) is the world's largest marketer of branded consumer lawn and garden products, with a full range of products for professional horticulture as well. Scotts Miracle-Gro has helped to grow the nearly $7 billion global consumer lawn and garden market through product innovation, industry-leading advertising efforts and its trusted brands.  The brands and products within our portfolio include: Scotts, Miracle-Gro, TomCat, Ortho, RoundUp, Bonnie Plants, Osmocote, Earthgro and Fafard.  Scotts is an EEO Employer, dedicated to a culturally diverse, drug free workplace.  EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Notification to Agencies: Please note that the Scotts Miracle-Gro company does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Master Service Agreement, and specific approval to submit resumes to an approved requisition, the Scotts Miracle-Gro company will not consider or approve payment regarding recruiter fees or referral compensations.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=256587&s=149&guid=0000016767d05dd982cc39aeffba586d&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa83b037&cb=1543634968572&jobListingId=3003397213"
"Diversity Business Analyst- Diversity Business Analyst Senior","AEP","Columbus","OH","$65k-$106k(Glassdoor Est.)","TitleDiversity Business Analyst- Diversity Business Analyst Senior28-Nov-2018Job DescriptionThis position is posted in a range from Diversity Business Analyst to an Diversity Business Analyst Senior. *Note: Education and/or experience will be used to determine the appropriate salary and salary grade level. Position SummaryAs an integral part of the Diversity & Inclusion team, the Diversity Business Analyst will be responsible for conducting statistical analysis including descriptive and predictive modeling to advance diversity strategic objectives. The Analyst will also be responsible for developing, monitoring, & disseminating EEO, affirmative action, & other federal/state legally mandated analyses/reports. This role plays a key part in analyzing and summarizing data to tell a story regarding the current and future state of workforce demographics.Principle AccountabilitiesCreate and maintain enterprise/business unit Diversity & Inclusion scorecards, dashboards, heat maps, and interactive reports to identify trends, root cause and actionable insights.Develop visualizations that properly convey insights derived from data analyses.Interpret and present analytical data to executives and other key stakeholders.Develop, maintain, and analyze spreadsheets and databases extracting current and historical workforce data from multiple systems.Use workforce demographic data to investigate potential correlation between hiring, promotion and other decisions and the advancement of diversity program objectives. Retrieve, compile, analyze, and visualize data for legally required AA/EO reports in accordance with federal/state compliance regulations; compile/complete annual VETS 4212 report in compliance with related requirements.Conduct adverse impact analyses and other statistical analyses for annual Affirmative Action plans; develop methodology and provide data reports to periodically monitor progress toward goals & analyze/identify trends.Conduct pay equity study to identify potential risks.Develop key performance indicators and metrics to measure the effectiveness of diversity and inclusion initiatives, i.e., education and awareness; Employee Resource Groups; etc.Oversee the completion of diversity related benchmark surveys, i.e., Human Rights Campaign, Disability Equality Index, etc.Prepare standard and ad-hoc reports to monitor trends in hiring, promotion, performance ratings, termination, etc.Auto req ID19769BRRelocationNo LocationColumbus, OH Job TypeFull-Time Job CategoryHuman Resources/Recruiting/Training Minimum RequirementsWorkforce Diversity Data Analyst:Education  :Bachelor’s degree Experience: Minimum of 3 years in Business Analytics or Human Resources related function. Minimum of 3 years conducting complex statistical analysis, projections, and trends. Working with business intelligence solutions, delivering metrics, dashboards, etc. Workforce Diversity Data Analyst Senior:Education  :Bachelor’s degree Experience: Minimum of 6 years in Business Analytics or Human Resources related function. Minimum of 6 years conducting complex statistical analysis, projections, and trends. Working with business intelligence solutions, delivering metrics, dashboards, etc. Requirements- Other / Preferred Qualifications:Bachelor’s degree Statistics, Math, Human Resources or related field.Minimum of 3-6 years in Diversity, Inclusion, Equity, Compliance or related function.Experience with various Human Capitol systems, i.e., PeopleSoft, Kenexa, Oracle, etc.Delivering innovative solutions in support of Diversity and Inclusion strategies.Knowledge and SkillsExcellent written and verbal communication skills.Demonstrated project management skills.Ability to translate advanced data analysis techniques into common concepts.Excellent facilitation and presentation skills.Demonstrated conceptual & critical thinking skills.Ability to develop research questions and research design.Proficiency in statistical software (R, Python, SAS) and MS Office (Excel, PowerPoint).Proficiency with a visualization tool (Tableau, Qlik, PowerBI)","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=433326&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7f5faded&cb=1543634968574&jobListingId=3040656445"
"Business Analyst, Lead","NetJets","Columbus","OH","$105k-$165k(Glassdoor Est.)","Job Description:This position is responsible for identifying, defining, planning, coordinating, and executing requirements of information systems of various size and complexity. Under general direction, leads project scoping and helps mature agile practices on multiple projects concurrently. As an experienced agile and SDLC professional, the ideal candidate will help define and continuously improve project initiation and the requirements discipline. Is expected to troubleshoot existing system logic difficulties and documentation as necessary. Should have experience and ability to support, large, complex, cross organizational projects and programs from inception through operations. Strong in building relationships with key stakeholders including senior business and IT leadership. Will be responsible for leading and mentoring junior team members and is expected to operate in both a team and individual environment. Standards - Expected to develop and maintain standards, tools, techniques and processes applicable to the analysis and documentation required of the business analyst group. This would include contributing to application/solution development lifecycle process improvements as well as processes and documentation. Advocates and implements agile maturity standards across the board Business Process Analysis -- Ability to identify businesses strengths and weaknesses and suggests areas of improvement. Understand and recommend modifications to business processes addressing complex business issues as the business and systems evolve. Coaching - Will mentor and coach team members. Required to review and provide feedback on specifications, requirements and process flows. Travel & Work Hours - Occasional travel (domestic or international) between operating companies may be required. Work during nonstandard hours may be required.  30%: Process Management - Assists in defining SDLC processes, metrics, agile best practices, standard work, project scope, project plans, dependency matrix, and issue resolution with the management team. Guides the technology team and other business analysts regarding implementation and documentation of projects, processes, methodologies and engineering techniques. Provides leadership and management including delegation, mentoring, and coaching. Identify risks and mitigation strategies  20%: Continuous Improvement - Measures the effectiveness and seeks to continually improve the quality of processes. Includes processes, practices and standards to be implemented in the business analyst community. Lead the center of excellence and implement ideas and solutions to improve effectiveness and efficiency.  20%: Strategist - Develop long-term strategies for improved operational processes and system functionality.  20%: Analyst - Performs and manages project scoping. Consistently demonstrate thorough understanding of high-level business processes. Identify and present opportunities, alternatives and recommendations to business and IT leadership.  10%: Relationship building - Acts as an ambassador and liaison for Technology Services. Develops relationships with customers by being proactive, displaying a high-level of knowledge of the business and providing innovative business solutions. Must be able to drive prioritization conversations and negotiations with the business partners and solution providersRequirements:Education Level: Bachelor's Degree. Masters preferred. Course of Study/Major: Computer Science, Engineering, Business, or other Technology-related fields such as Aviation Related Work Experience: 10+ years Requirements:Demonstrated mastery of software development lifecycle management including formal requirements and analysis methodologies documentation techniques such as use cases, business rules, impact analysis, process diagrams, etc.Requires ability to establish standards and guidelines for analytical processes and documentation from development through adoption.Expert analytical and problem-solving skills. Must be able to identify the best solution leveraging custom applications and Platform Solutions (Example: SAP, SalesForce, etc) that are cost effectiveRequires ability to understand existing business processes and suggest improvements where necessaryRequires ability to multi-task across multiple large, cross-departmental, complex projects and/or initiatives understanding priority and competing needs with minimal direction from management.Requires excellent verbal and written communication skills, people skills, negotiation, coordination, planning, presentation skills, facilitation skillsRequires a demonstrated success in navigating a complex organizational structure.Seven or more years of experience in scoping, analysis and requirements gathering for large, complex software projects.Demonstrated ability in metrics driven continuous improvement initiativesExperienced in facilitating meaningful conversations with business and IT stakeholders, and can build consensusSkilled in coaching and mentoring team members.Experience in Use Case analysis and modeling, and other industry best practices.Drive SDLC and agile maturity within the organizationExperience in effectively partnering and negotiating with vendors and solution providers","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=334327&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_13778797&cb=1543634968575&jobListingId=2924149859"
"Business Analyst","HMB","Columbus","OH","$59k-$96k(Glassdoor Est.)"," **Named a top workplace 5 years in a row in Central Ohio by Columbus CEO magazine** Business AnalystWho is HMB? HMB is a professional services firm that has been in business for 24 years in Columbus, OH. We have helped hundreds of companies achieve their goals by using reliable, newer, and scalable technologies to implement effective applications that support and complement their core business functions. HMB is committed to training and career growth, and on a daily basis teams collaborate to deliver top notch project solutions that clients are grateful for. Most of all we have fun, work together as a team, and balance our work with life! What is the position? This is a hands-on consulting delivery role. You'll work with the customer to define their requirements and then you'll lead the system requirements gathering process. This person provides hands-on operational and technical skills to support the project mission, understands business challenges & translates them into client-focused solutions throughout the project lifecycle. This individual provides hands-on leadership and direction to the team as well as manages client relationships. Therefore, the ideal candidate must be able to successfully communicate with business stakeholders and build good working rapports with all project team members. This person will also be involved in business case development and performance measurement. Desired Skills & Experience:Experience gathering data and establishing a business case in order to influence areas in need of improvementAnalyzes, tests and documents complex enhancements made to new and/or existing programs.Functions as the liaison between the business line, operations, and the technical areas throughout the project cycleExcellent organizational, planning, problem solving and decision making skills including experience with project management methodologies required.Experience in writing test cases, uses cases and writing functional and technical requirement documentsExposure to Agile or other project management methodologies as well as working through the SDLC preferred2+ years of Business Analysis work preferredProfessional Competencies:Creative and independent thinking skills to solve problems quicklyOptimistic, passionate, idea generatorInquisitive, love of the unknownAnalytic, organized and detail orientedWhats included in the full-time, salaried position?Competitive Compensation PackagesPaid Comp TimeEmployee Subsidized Medical PremiumsAnnual Bonus ProgramsPaid Time Off401K + matchHardware and Software ReimbursementPaid Training and learning programs through our HMB UniversityTuition ReimbursementWellness ProgramEmployee social outings and events year-round!For more information on HMB, please visit our website at www.hmbnet.com or send your resume to recruiting@hmbnet.com. We would love to chat with you! **If you know someone who may be a good fit, we offer an external referral bonus! Refer someone and you could qualify for a $500 Amazon Gift Card!","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4341&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1914337e&cb=1543634968576&jobListingId=2844574648"
"Diversity Business Analyst- Diversity Business Analyst Senior","American Electic Power","Columbus","OH","","Job Description This position is posted in a range from Diversity Business Analyst to an Diversity Business Analyst Senior. *Note: Education and/or experience will be used to determine the appropriate salary and salary grade level. Position Summary As an integral part of the Diversity & Inclusion team, the Diversity Business Analyst will be responsible for conducting statistical analysis including descriptive and predictive modeling to advance diversity strategic objectives. The Analyst will also be responsible for developing, monitoring, & disseminating EEO, affirmative action, & other federal/state legally mandated analyses/reports. This role plays a key part in analyzing and summarizing data to tell a story regarding the current and future state of workforce demographics.  Principle Accountabilities Create and maintain enterprise/business unit Diversity & Inclusion scorecards, dashboards, heat maps, and interactive reports to identify trends, root cause and actionable insights.Develop visualizations that properly convey insights derived from data analyses.Interpret and present analytical data to executives and other key stakeholders.Develop, maintain, and analyze spreadsheets and databases extracting current and historical workforce data from multiple systems.Use workforce demographic data to investigate potential correlation between hiring, promotion and other decisions and the advancement of diversity program objectives.Retrieve, compile, analyze, and visualize data for legally required AA/EO reports in accordance with federal/state compliance regulations; compile/complete annual VETS 4212 report in compliance with related requirements.Conduct adverse impact analyses and other statistical analyses for annual Affirmative Action plans; develop methodology and provide data reports to periodically monitor progress toward goals & analyze/identify trends.Conduct pay equity study to identify potential risks.Develop key performance indicators and metrics to measure the effectiveness of diversity and inclusion initiatives, i.e., education and awareness; Employee Resource Groups; etc.Oversee the completion of diversity related benchmark surveys, i.e., Human Rights Campaign, Disability Equality Index, etc.Prepare standard and ad-hoc reports to monitor trends in hiring, promotion, performance ratings, termination, etc.SDL2017","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=182894&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_52280f03&cb=1543634968576&jobListingId=3042276927"
"Business Analyst","Lightwell","Columbus","OH","","Responsibilities Performs a variety of complex tasks, such as designing and documenting business process and systems logic.  Provides technical training, guidance, and resource support for end users and departmental staff.  Defines system requirements, priorities, and viable alternatives.  Coordinates the efforts of business and IT teams to locate, assess, install, test, and maintain computer software systems.  Drives systems analysis and design as part of the software development life cycle (SDLC).  Coordinates conversions and upgrades to vendor systems.  Performs as a project lead and directs other systems analysts or application developers.  Assists in developing user documentation and departmental policies and procedures.Proactively performs process and systems analysis and makes recommendations for improvement that positively impact overall cost, efficiency, or quality. Qualifications Bachelor's degree required. Masters degree preferred.  5+ years experience in systems analysis and/or software development life cycle, including project management or leadership responsibilities required.  Ability to exercise independent judgment in planning, organizing, and performing systems analyst tasks.  Must have ability to communicate and organize projects frequently under deadline pressure.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=83255&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_108ce4e7&cb=1543634968577&jobListingId=3033515179"
"Business Analyst","Power","Reynoldsburg","OH","$52k-$85k(Glassdoor Est.)"," Title : Business Analyst  Location : Reynoldsburg, OH  Duration : 6+ Months Contract Experience:Bachelors DegreeAdvanced SAS and SQL skills - 5+ years of experienceQualifications/ Skills:Understanding of Relational DatabasesExperience in analytical tools and techniquesSQL and SAS ProficientStrong skills in reporting tools (i.e. Cognos, Crystal, MicroStrategy, Business Objects)Strong Communication SkillsPrevious retail or direct marketing experience a plusResponsibilities:Scope and modify/develop data extracts, analysis code and reporting codeProvide testing supportSupport and modification of complex SQL and SAS queriesAssist analytics and data teams to query, summarize and interpret the customer purchase history, demographics","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=50256&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e3516302&cb=1543634968578&jobListingId=2817567419"
"Analyst","Klarna","Columbus","OH","$55k-$88k(Glassdoor Est.)","Who we areKlarnas mission is to free people from all the meaningless time spent managing money and purchases, so they can do more of what they love. Every day at Klarna we help consumers, merchants, and partners to explore just how smoooth the modern purchase experience can be. Our position at the crossroads of payments, consumer financing, ecommerce and banking means we are uniquely positioned to do this. There is no label for what we do. Klarna was born in Stockholm in 2005 and today has 2000 employees working across Europe and the US. We currently serve 60 million consumers, work together with 90,000 merchants and process more than a million payment transactions a day. We are growing at 40% year on year and our investors include Visa, Atomico, Sequoia Capital, Permira and Bestseller group/ Anders Holsch Povlsen. We have strong partnerships with some of the worlds leading brands, such as ASOS, IKEA, Adidas, Zara, Lufthansa and Spotify. To find out more about what it's like to work at Klarna: https://www.klarna.com/careers/What.Analytics at Klarna is divided into many teams, all with their own unique responsibilities. However, there are some commonalities - they consist of highly driven people with a combination of analytical skills and a great team spirit. In general, some things you would potentially be doing:Designing and implementing strategies in a rapidly evolving industry.Pro-actively and effectively communicating with various stakeholders, discussing the root cause of trends, assessing their impact and proposing solutions/optimizations.Supporting wider business objectives by providing analytical expertise on new products and system developments and collaborating closely with other teams where relevant.Delivering ad-hoc data analysis to support risk mitigation and control environment.Developing as a professional in an entrepreneurial organization that provides opportunity to work with your areas of interest.Using analytical tools (e.g. SQL, Excel, R) to analyze data and problem solve with the end goal of detecting trends and making decisions.You.Klarna is looking for ambitious people with significant drive. You should be passionate about your job and enjoy a fast paced international working environment. Since you will play an important role in taking Klarna to the next level, you should desire to go above and beyond to produce the best work results. At Klarna we embrace change; you should dare to challenge the status quo and be persistent.Required.A degree from a university in a STEM (Science, Technology, Engineering, Mathematics) or a Business field.Applicable work experience.Working proficiency and communication skills in verbal and written English.Authorization to work in the United States.Significant drive and ambition.Strong conceptual ability.Preferred.Strong attention to detail and experience in using structured approaches to problem solving.An understanding for how to perform data extraction and manipulation, as well as programming languages is a plus (SQL, R, Python, MatLab, Java, C# etc.).We can offer you an international working environment filled with smart and ambitious colleagues. We know that diverse teams are strong teams, so we welcome those from different backgrounds and experiences. As part of one of Europes fastest growing companies, you'll help play an important role in taking Klarna to the next level.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=148364&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_882907be&cb=1543634968580&jobListingId=3039831621"
"Business Analyst","ICF","Columbus","OH","$46k-$68k(Glassdoor Est.)","Working at ICFWorking at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.Who we are: Audacious. Ingenious. Real. If that sounds like you, you’ll fit right in. Olson Digital is a new breed of agency, purpose-built for marketing’s new realities. Olson Digital's full-service solutions crack complex challenges. Digital has completely transformed the customer experience, and consumers are connected in ways we’ve never seen—ways that challenge marketers and IT alike. Whether it's helping you speak to your customers, providing a richer digital experience, or deploying platforms that deliver results, we have you covered. Overview: ICF Olson has an exciting opportunity for an experienced Business Analyst responsible for providing analysis for strategic, complex initiatives in support of multiple lines of businesses throughout Olson Digital. This role requires an individual to be able to think \""out-of-box\"" in client solution development and work collaboratively with clients to conduct stakeholder interviews, identify business process impacts, and elicit business & functional requirements Role DescriptionPerform requirements gathering through interviews, document and artifact analysis, facilitated workshop sessions, surveys, site visits, business process descriptions, user stories, scenarios, business analysis, task and workflow analysisBring strong analytical skills to bear on projects, including a thorough understanding of how to interpret client business needs and translate them into detailed user stories & functional specificationsDrive and challenge business stakeholders on requirements, processes, and solution drivers to ensure an appropriate level of detail and to remove ambiguityCommunicate and collaborate proactively with external and internal clients to analyze information and functional needs and deliver functional requirements, business requirements, and user storiesCollaborate with Creative team and ensure that User Experience and Visual Design align with required functionalityProvide support to Technical and QA teams to provide guidance and clarifications regarding requirement questionsGain thorough understanding of client and business needs in order to provide consultative insights and fill role of business partnerSkills and KnowledgeBS or 3-5 years’ experience in documenting requirementsExperience working in the digital agency or consulting firm spaceWillingness to travel as required for client engagementsExcellent presentation and communications skills that establish trust, credibility and respectFamiliarity with and aptitude to understand ecommerce, CRM, and CMS platforms supported by Olson Digital, such as Hybris, Sitecore, Marketo, Adobe AEM, Salesforce, or similarExperience with the Atlassian Suite (Jira, Confluence)Excellent attention to detail with a strong understanding of businessAbility to manage multiple tasks in a fast-paced, self-motivated, and self-managed environmentExperience with Adobe Analytics or similar analytics program is highly desirableExperience working with highly distributed and offshore teamsFamiliarity with different development methodologies including Agile, Iterative and Waterfall ICF Olson is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity)Fairfax, VA (VA01)","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133093&s=58&guid=0000016767d05dd99ea1a96c282109db&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a979f3b5&cb=1543634968580&jobListingId=2948630268"
