"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","RealPage","Richardson","TX","$56k-$90k(Glassdoor Est.)","The Business Analyst utilizes industry experience to analyze RealPage product enhancement opportunities and determine the appropriate solution. The BA writes design and process requirements and also serves as the product expert assisting internal and external  clients to maximize the success of RealPage products. Additionally, the BA manages the product enhancement lifecycle from analysis and design through client acceptance, training, and marketing of the product. PRIMARY RESPONSIBILITIESResponsibilities include, but are not limited to:Gather requirements from both internal and external subject matter expertsDevelop high-quality design and requirements documents within a scheduled timeframe with minimal direct supervisionLead project and business process analysis sessionsOrganize, participate, and conduct application demonstrations, and other internal or external presentationsAssist in identifying solutions to product and/or design problemsReport on project status on a weekly basisContribute to process improvement/efficiency projectsBuild and maintain positive relationships with customers and internal staffManage tasks to meet assigned project datesREQUIRED KNOWLEDGE/SKILLS/ABILITIESMinimum of 5 years’ experience as a software development business analyst; equivalent internal RealPage experience may be consideredBachelor’s degree highly preferredStrong project management and documentation skills required (writing user-interface design/business requirements) includes excellent written and verbal communication skillsAn understanding of basic accounting principles preferred but not requiredMust be able to work effectively in a fast-paced and dynamic team environmentMust have the proven ability to communicate complicated subject matter effectively to internal and external management and work collaboratively with interdepartmental teams to achieve desired resultsMust be able to manage multiple projects simultaneouslyMust have strong analytical and problem solving skillsExcellent follow-up skills requiredSome multi-family real estate experience is preferred (specifically in the Student housing industry)Work experience in a .net environment and knowledge of SQL a plus #LI-RS1","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=263114&s=149&guid=00000167668f81938f4f4960d6bd7d10&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2e424a4a&cb=1543613940567&jobListingId=3040809310"
"Business Systems Analyst / SCRUM Master","VARIDESK","Coppell","TX","$64k-$104k(Glassdoor Est.)"," As a Business Systems Analyst/Scrum Master you will work with the business, applications, and data teams to analyze, measure, and launch improvements to our e-commerce processes and technologies that will help enable our team to grow the business efficiently and effectively, and fill the role of Scrum Master for the technology team. You will be a key part of building a leading-edge customer engagement and commerce platform that is central to creating lifelong fans of Varidesk. DUTIES AND RESPONSIBILITES Own efforts analyze, design, and develop an e-commerce experience (processes and technologies) that ensure Varidesk creates lifelong fans of Varidesk Utilize scrum-based agile practices to prioritize work and collaborate release processes across all functions within IT and business stakeholdersSKILLS AND ATTRIBUTES Display expertise analyzing, measuring, documenting, and adjusting business processes, data flows, and enabling technologies to achieve demonstrable improvements Demonstrate expertise understanding customer experience and technology needs and decomposing needs into User Stories for technical teams to develop Experience delivering in scrum, agile, and other methodologiesQUALIFICATIONS Experience working the business users to create decompose their strategy/needs into business process flows, data flows, and requirements for the technology team to develop Experience with relevant technologies, including .Net, SQL, Docker, and Kubernetes, and modern cloud architectures using Azure, AWS, and similar providers Ability to run Agile ceremonies, including big-room planning, stand-ups, iteration planning, demos, and retrospectives 5+ years of overall experience with an emphasis on analysis and change to business processes, business analytics, and technology Superb communication (written and oral) and interpersonal skillsWhy VARIDESK?Were award winners:Best Place to Work Top 10 Dallas Business JournalNational Entrepreneurs of the Year EYFastest Growing Company in DFW SMUWe take health seriously:On-site gym with Peloton Cycle and daily group classesComprehensive Health PlansHealthy Foods and SnacksWellness Program and Insurance Premium DiscountsNicotine Free WorkplaceWe value our employees:All employees use VARIDESK productsEnhanced Paternity / Maternity ProgramsThree weeks of Personal Time Off a yearUp to five days of time off for VolunteeringOffsite Events and Happy HoursShort-Term and Long-Term Disability Premiums Covered at 100% by VARIDESK401k Plan with employer match","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=292882&s=149&guid=00000167668f81938f4f4960d6bd7d10&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_16aac4c8&cb=1543613940568&jobListingId=2976770824"
"Business Analyst","TechPoint LLC","Dallas","TX","$51k-$83k(Glassdoor Est.)"," We at TechPoint LLC, offer comprehensive Placement Assistance in Business Analysis with majorly skilled in BA Fundamentals, Requirements Elicitation, XML knowledge for Services architecture platforms, can write simple to complex SQL queries for Data Analysis techniques in ETL environments, UML, Agile Methodologies and willing to start immediately.  We are a trusted partner to few leading Financial, Banking and Healthcare clients across the country and we are seeking Experienced Individuals for Business Analyst who have prior experience and are willing to start immediately on the Requirements with our Primary Vendors & Direct Clients. The candidates will not be in the training process, they will go through Direct Marketing and Client Interviews in a quick phase. If you are qualified and looking for your next assignment, please connect with TechPoint LLC.  We are preferably looking for Candidates who are Open to Relocate. We can schedule quick interviews with our direct clients. Candidate should be willing to work on our W2 only.  Education/Certification - Qualifications:Minimum 0.5-2 year Experience in Business Analyst, Business System Analyst, Project Management in various sectors like IT, Healthcare, Banking, Finance, etc  Candidates already Trained in Business Analyst can also apply  Great communication skills, ability to collaborate with developers and Product Management  Masters Degree from an accredited college or university with a concentration in Business/ Information System/ Computer Science/ IT (or equivalent diploma/work experience)  Work Authorization - OPT/ GC/ USC/ EAD","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=83255&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_02bf95ef&cb=1543613940570&jobListingId=3026420521"
"Analyst, DITAC Performance Management","Essilor","Dallas","TX","$33k-$118k(Glassdoor Est.)","We currently have an Analyst,DITAC Performance Managementcareer opportunity at our Dallas, TX location.Essilor is an international company and the leading provider of eyeglass lenses in the world. Our mission is improving lives by improving sight, and we work every day to bring good vision to the 4.5 billion people around the globe in need of visual correction. Our products such as Varilux®, Crizal® and Transitions® are available in more than 130 countries and are worn by one billion people daily. Essilor of America and its subsidiary, Essilor Laboratories of America, Inc., employ more than 7,000 in the U.S. and own the largest and most comprehensive optical laboratory network in the U.S.Position Summary – Purpose and Objectives of the RoleDigital is at the heart of consumer awareness and interaction (search, select, buy) in our category and plays a key role in delivering on our Mission and growth objectives. Towards this end, we seek to establish a leadership position in providing consumers with information and tools to enhance their vision.The DITAC Performance Management Analyst is responsible for measuring the impact of the DITAC program across all facets (consumer acquisition, lead generation through pathways, retention) into a consistent, replicable set of measurement tools and reports that provides both executives and the operating teams with insights on progress and areas of opportunity. He/she gathers data and provides reports to support staff and managers planning, defining and monitoring performance as well as tracking risks relating to strategies. H/She is responsible for KPI monitoring and tracking, helping to measure and optimize the effectiveness of strategies.Main Focus & Challenges and Key Areas of ResponsibilitiesScope of the role:The main scope of the role entails tracking performance of programs and using creative processes to suggest improvements.Specific Responsibilities of the Role Include:Develop and implement management scorecards for the full suite of DITAC initiatives (spanning multiple pathways and Bus).Finding underlying reasons for data trends (report and show analysis of data found).Monitoring and producing up to date analytics and reports (using data models, reporting tools, training, testing & review, etc.) for strategies.Identify opportunities for enhancing and updating strategies based on data to eliminate non-value adding activities.Candidate ProfileKnowledge / ExperienceDivisional or BU ExperienceExperience in doing data analysis for a global firm.Experience / Track RecordData scientist in consumer facing domain.Proficient in data analysis tools (excel, Tableau, etc.).Experience working in a matrix environment with multiple Businesses.Ability to frame up and communicate complex data models at a granular and executive level.Experience in Program Management and Community management.Experience in monitoring and gathering value, spending and savings data.Forecasting budget prices and executing financial bridging to the budget.Gathering and providing reports on the development of supplier performance.Deep understanding of analytics and decision support technology tools.Industries ExperienceFMCG, media, finance, marketingGeographical ExperienceGlobal experience highly preferredManagement ExperienceQualificationsEducation / Qualification / CertificationDegree in business, statistics, financeLanguageExcellent proficiency in English. Proficiency in other languages is a plus.Pre-requisites and Next Career StepsPsychometricsEffective decision-making capacityEffective at managing complex and multiple sources of information to provide insightGood program management skillsEffective collaboration skillsAccurate fact-based approachMotivated by facts and impact of workIndependent, able to work alone, but also to collaborate with teamHighly developed analytics skillsGood problem solving skillsCurious to find reasons for changing consumer behavior (curious nature)Deep understanding of analytics and technological tools that support decision making Back Share ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=427094&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d2abae0c&cb=1543613940571&jobListingId=3036586406"
"Senior Product Business Analyst - Remote","MEDecision","Dallas","TX","$91k-$136k(Glassdoor Est.)","Medecision is transforming healthcare one cool app at a time!  Are you the kind of person that is motivated by the challenge of a dynamic, changing market? Can you utilize and exploit progressive systems and processes to satisfy urgent business needs? Are you a good partner with your teammates; driven to execute team and individual commitments that align with business vision? Does the idea of a high visibility and high impact role in a medium-sized, growing company excite you? Are you interested in being part of a team that strives to achieve high business impact, execution excellence and has a lot of fun while we are doing it? Are you ready? We are! Join us in our journey toward liberating today’s fragmented healthcare systems to Connect Care Everywhere.  Medecision is looking for a Senior Product Business Analyst, a passionate power contributor who blends solid requirements definition and analysis skills to contribute to cutting-edge SaaS products.  You will work as a conduit between our product management, customers, and engineering teams to bridge our Product Development Life Cycle (PDLC) and our Agile SDLC methodologies. You will bring deep expertise in gathering business requirements, technical and functional specifications, and user stories that will help develop our product capabilities. You will consult with internal and external stakeholders to identify specific needs within across our application modules to ensure our capabilities solve customer problems. You will play a critical role in supporting the success of the overall product vision and strategy. THIS JOB MIGHT BE FOR YOU, IF…You, as the Senior Product Business Analyst, have deep knowledge and expertise in driving technical and functional requirements of product solutions offered to Payer and Provider markets (for example Commercial Plans; Medicare and Medicaid; MSSP; Duals; and CMS incentive plans). You will need to have a passion for user-centered design to enable our customers to achieve the outcomes they are seeking. In partnership with the Product Manager, you will need to look across the product portfolio and identify integration and user-centered designs that contribute to an exceptional experience for our customers. You will contribute to the overall product delivery, including the requirements on how the product integrates across and into our other solution offerings. You must enjoy spending time solving problems using the latest technical approaches and have a strong understanding of functional usability, technical design and software development to find innovative solutions that translate to a world-class commercial software product. Reports to: Vice President, Product Management Location(s): Philadelphia, PA; Dallas, TX; RemoteResponsibilitiesYOU’RE GOOD AT:Formulating and defining the product features to accomplish the release product scope and objectives, based on user needs and business processes with a comprehensive understanding of the current business model and operational needs as well as product vision and strategy.Eliciting the requirements needed to carry out business processes including interviews, intelligence analysis and survey assessments. During the elicitation process, the analyst is able to develop workflow and system diagrams to support the analysis and the business discussions. The analyst has the ability to identify business requirements and workflows that are common and exception handling across the market segments and personas.Translating business needs, processes and procedures into a workable system, and articulates on specific software requirements by communicating about these requirements with technology experts and business stakeholders. Representing the voice of the customer to the development teams.Working closely with development leads and other technology staff to deliver project results while implementing risk analysis and meeting required deliverables. Can conduct interface analysis to identify data translations, and operational supportability.Working closely with development and QA to troubleshoot and conduct problem solving sessions when issues are identified during the development life cycle. Can identify gaps and provide remediation to the product scope and vision.Pursuing opportunities to improve industry knowledge related to the priorities and needs of Medecision's clients as well as improve on personal professional management/ leadership development. Can participate on a process improvement work stream which provides innovated recommendations for process changes.QualificationsYOU HAVE:Bachelor’s Degree in Health Sciences, Computer Science or Business preferred, clinical degree is optional, but preferred.7+ years experience as an application Business Analyst in a healthcare organization or a HIT vendor.Demonstrated experience working in a product development lifecycle model (PDLM) and Agile environment.Ability to gain deep subject matter expertise in regard to functions/modules of a complex business-to-business (B2B) application framework/platform.Strong experience leading complex business requirements definition and analysis activitiesExpertise in analyzing requirements and communicate them to Product and/or Development as the Voice of the CustomerProven experience creating and maintaining product documentation / artifactsTechnical background, with experience in SaaS and HIT system design.Experience facilitating sessions with stakeholders and team to ensure business requirements are defined that ensure a successful product implementation to support the business and market requirements.Ability to work with development/QA and business users to coordinate and assist with the successful product user acceptance testing.Experience working with customers on evolving designs and serving as an advocate for the Voice of the Customer to inspire a Human-Centered Design approach.Experience working with various product roapmap and software development project management tracking tools is required, experience using Aha! or JIRA is highly preferred.The ability and desire to work in a fast paced, dynamic, and exciting environment.A high-energy, creatively-driven, hard-working and an inspiring innovative spirit.A passion for great products and a desire to delight customers.The ability to sift through details quickly and determine what’s important.A strong and focused desire to be a team player and collaborator.The ability to articulate customer needs and Medecision delivery capabilities to expedite time to value.Ability to travel up to 20% based on location.OUR CULTURE DRIVES US It’s not all about what we do. It’s as much about how we do it. Medecision team members show up. We consistently exemplify our 6 core values of success: Execution. Service – We deliver “standing ovation” service. Speed – We are Agile. Ownership— We all take ownership and responsibility for how we deliver our promises, how we spend money, who we hire, what we build and how we help one another grow.Passion. We show an infectious emotional commitment to our work because what we do is important to our customers, one another and ourselves.Partnership. We are all in this together, without boundaries. Our internal/external network contains the solutions we need: we’ll continuously seek them out, use them and improve them.Leadership. We are Medecision’s brand. We are experts in care management, care coordination and healthcare information and technology. We lead our clients to excellent results by providing our expertise on best practices, industry trends, solutions development and innovations. We are moving in sync with an evolving industry. There is no problem we cannot solve.Innovation. We are in a constant state of discovery, inventiveness, thinking outside the box, and leading others internally and externally to do the same.Candor. Medecision communicates in a sincere, direct and famil­iar way. We address conflict directly and escalate issues internally and externally to address conflict with speed and partnership. Join us in our quest to liberate healthcare!  This description has been designed to indicate the general nature and level of work performed by an employee within this position. The actual duties, responsibilities and qualifications may vary based on assignment. Medecision is an Equal Opportunity Employer (EOE) and strongly supports diversity in the workplace.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=305451&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_721f03e0&cb=1543613940572&jobListingId=2908879046"
"Business Analyst","Willis Towers Watson","Dallas","TX","$63k-$96k(Glassdoor Est.)"," Business Analyst *Date Posted:** October 30, 2018 Apply  Not ready to Apply? *JOB DESCRIPTION** .As a Business Analyst working with Systems, Data, and the Client you will serve a key role for our outsourcing business by serving as the link between consultants, external clients and our internal team of system developers. You will contribute to the implementation of new services, and ongoing business by translating business needs into actionable programming and process steps for developers, practicing the fundamentals of systems analysis, design and testing. You will also consult to clients concerning implementation best practices, provide ongoing technical support, and train client teams. *The Role**A Few Select Responsibilities: + Ensure that all documentation starts from baseline and adheres to standards; communicate back to base team suggestions for changes or enhancements to standard documentation.  + Attends client meetings relevant to the components they have responsibility for, to establish client relationship and ensure complete understanding.  + Responsible for developing requirements documentation.  + Responsible for system configuration based on client requirements.  + Responsible for creating test plans, and testing system changes and enhancements to ensure completeness and accuracy. ?-Regression testing as necessary based on the nature of the system change/enhancement.  + Identify reporting needs and requirements.  + Understand SOW and be responsible for change order identification and assist with providing work and hours necessary to draft the change order.  + Work closely with developer to ensure project requirements/requests for changes are understood and within standards.  + Provide guidance to other team members regarding best/standard practices.  + Provide guidance/assistance to team members where needed to help ensure issues are resolved by assigned due date. Escalate concerns with ability to meet due dates to PM.  + Lead analyst for annual enrollment with similar responsibilities as Implementation BA during OE project.  + Train and help transition ongoing processing requirements to BSA.  + Lead client requirements meetings as needed.  + Maintain and update all requirements documents, ensuring adherence to standards.  + Research issues and cases to determine root cause and provide impact analysis for ongoing issues and changes and requests for new functionality.  + Addresses all calc or data issues that impact carriers.  + Assist PM with development of Project Plan for open enrollment and significant change orders.  + Responsible for any vendor file updates and ongoing support.  + Provide training for client on large-scale change orders to client, BOC and Service Center, as needed. *The Requirements** + Desire to learn, accept new challenges, and have fun!  + 5 years? experience as a Business Analyst  + Understanding of the fundamentals of health and welfare and broader benefit plan design preferred  + Ability to complete Willis Towers Watson Business Analyst training program  + Intermediate to advanced SQL skills  + Experience with relational databases including SQL, Oracle or Access preferred  + Experience with test plan creation, testing procedures and test plan execution  + Strong analytical, integrative and problem solving skills  + Solid interpersonal skills and client service orientation  + Ability to work both independently and on client teams, including virtual work teams with members in different geographic regions  + Strong organizational abilities and flexibility to work in a performance driven environment managing multiple project priorities  + Sense of accountability, owning one?s work and taking pride in it; commitment to quality and continuous improvement  + Ability to travel and work extended hours as needed *The Company** Willis Towers Watson is a leading global advisory, broking and solutions company that helps clients around the world turn risk into a path for growth. With roots dating to 1828, Willis Towers Watson has 40,000 employees serving more than 140 countries. We design and deliver solutions that manage risk, optimize benefits, cultivate talent, and expand the power of capital to protect and strengthen institutions and individuals. Our unique perspective allows us to see the critical intersections between talent, assets and ideas ? the dynamic formula that drives business performance. Together, we unlock potential. Learn more at willistowerswatson.com. *Willis Towers Watson is an equal opportunity employer** Willis Towers Watson is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, color, religion, sex, sexual orientation, gender identity, national origin, age, status as a protected veteran, or disability. *Equal Employment Opportunity: Know your rights.** Unsolicited Contact: Any unsolicited resumes/candidate profiles submitted through our web site or to personal e-mail accounts of employees of Willis Towers Watson are considered property of Willis Towers Watson and are not subject to payment of agency fees. In order to be an authorized Recruitment Agency/Search Firm for Willis Towers Watson, any such agency must have an existing formal written agreement signed by an authorized Willis Towers Watson recruiter and an active working relationship with the organization. Resumes must be submitted according to our candidate submission process, which includes being actively engaged on the particular search. Likewise, for our authorized Recruitment Agencies/Search Firms, if the candidate submission process is not followed, no agency fees will be paid by Willis Towers Watson. Willis Towers Watson is an equal opportunity employer.  Apply  Not ready to Apply? at https://willistowerswatson.avature.net/WTWTalentNetwork *SHARE WITH:** + Share on Facebook  + Share on Twitter  + Share on Google+ Share on Pinterest  + Share on Linkedin  + Share by Mail *JOB SNAPSHOT** + Location:Dallas, TX, USSan Diego, CAHouston, TX  + Date Posted:October 30, 2018","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=400784&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2efb2be9&cb=1543613940573&jobListingId=3038700159"
"Business Analyst","HCSC","Richardson","TX","$58k-$89k(Glassdoor Est.)"," Refer  Save  Apply  Job ID: PP-1023802 Description: As the healthcare industry continues to rapidly transform, our IT team conceives, develops and delivers impactful technology solutions to support access to quality, affordable healthcare for our members. We are driven by our collective company purpose: To do everything in our power to stand with our members in sickness and in health®. Our IT team unleashes the power of this purpose through technology. We come to work every day to make a difference, and we deliver the highest quality and best solutions to our membersJob Purpose:This position is responsible for leading the development of functional and non-functional business requirements; working with the Business Solutions Lead to understand business strategy and translate into product requirement. Required Job Qualifications:*Knowledge of system architecture and application portfolio.*Business process management and modeling. *Knowledge of requirements management and/or prototyping (ALM, Jira, RallyDev, Balsamiq, iRise).*Knowledge of screen mockup tool AXURE. *Ability to simplify & standardize complex concepts and/or processes.*Bachelor Degree and 2 years Information Technology experience OR Technical Certification and/or College Courses and 4 year Information Technology experience OR 6 years Information Technology experience.*Business acumen.*Project management skills.*Requirements definition and management.*SDLC, Iterative, Agile, OWF, and /or Scrum development.*Problem solving and/or analytical thinking.*Possess ability to manage workload and manage multiple priorities, as applicable.*Written and verbal communications. Preferred Job Qualifications: *Bachelor Degree in Computer Science, Business Administration, or Information Technology*BA certification *Experience working in Healthcare industry.HCSC is committed to diversity in the workplace and to providing equal opportunity and affirmative action to employees and applicants. We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.  Requirements:  Expertise  Information Technology  Information Technology  Job Type  Full-Time Regular  Full-Time Regular  Location  IL - Chicago, TX - Richardson  IL - Chicago, TX - Richardson ","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=149209&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3e364f29&cb=1543613940574&jobListingId=2875957512"
"Business Analyst/Quality Assurance","Agentra Healthcare Solutions","Dallas","TX","","Job Summary: The BA/QA group is responsible for the creation of all business requirements including process models, use cases, project plans and overall quality control of the internal system development. This position is responsible for planning and implementing business process analysis and technology plans. This position is also responsible for ensuring that IT solutions are in alignment with customer business objectives and initiatives. This individual will work with different groups within IT and business organizations to develop and prepare system requirements, designs, test plans and test cases. This role is responsible for identifying and documenting requirements and analyzing these requirements from a business perspective. Responsibilities:Must be able to perform the roles of a Sr. Business Analyst.Work with the program services business divisions to develop an overall system strategy in conjunction with application development.Managing application systems development throughout the full SDLC, coordinating resources, insuring on-time deliverables, and managing expectations.Develop positive and professional business relationships with internal and external users.Eliciting, documenting, and maintaining functional and non-functional requirements including system overviews, functional narratives, and detailed Use Cases.Planning and leading JAD sessions and designing the resulting business processes.Working with application developers to achieve a technical system design that satisfies the defined requirements and functional system design.Resolving design issues and project conflicts and setting project task priorities. .Supervising the development and execution of Test Cases in both System Integration Testing and User Acceptance Testing.Knowledge, Skills and Abilities:Knowledge of the development, test, release and support processes.Thorough understanding of, and experience in, software quality assurance testing processes, methodologies, and procedures.Excellent communication skills, both written and verbal, including the ability to explain systems issues to non-technical users.Must be passionate about determining business requirements and contributing to software quality.Ability to balance high quality standards with schedule pressures.Ability to adapt to departmental plans and priorities to address resource and operational challenges.Ability to make decisions guided by policies, procedures and business plan; receives guidance from senior manager.Ability to provide technical guidance to employees, colleagues and/or customers.Requirements:High school diploma or equivalent required.Bachelor’s degree or equivalent work experience preferred.5+ years of work experience gathering requirements, writing test plans and procedures, tracking errors, documenting results.Demonstrated expertise in extracting business requirements using standard methodologies, and procedures. (Full SDLC)Strong experience with systems analysis and functional design.Extensive experience with documentation and problem resolution.Experienced in mentoring and supervising direct reports.Experience with agile software development methodologies is a plus.Previous experience with automated testing tools is a plus.Previous accounting, finance or actuarial experience is a plus.Previous insurance industry experience is a plus.Previous development experience is a plus.Other Information:Vibrant company cultureOn-site exercise facilityCompany Paid Health & Life 100%Paid PTO & HolidaysOptional: Dental, Vision, 401K and moreLocation: North Dallas: Spring Valley Rd. and Midway (75244) We do not provide sponsorships.  Agentra Healthcare Solutions creates lasting and affordable healthcare solutions to the uninsured, underinsured and small business owners. Established in 2005 and based in Dallas, TX (75244), we are a dynamic and rapidly growing insurance provider of affordable proprietary ""boutique"" products for life, health and dental. Agentra has been able to meet the needs of our rapidly expanding client base through strategic partnerships with top rated insurance carriers and benefit providers that have created exclusive products and benefit plans designed to meet the needs of our clients.  Agentra Healthcare Solutions excels as an organization and as individuals by being consumer focused and helping others achieve their goals. We believe there's no substitute for a strong honest work ethic and we think having some fun is part of our success!  Our company is experiencing accelerated growth creating opportunity for current and new employees. Come be a part of our success!","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=375819&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63fcd273&cb=1543613940574&jobListingId=3028833904"
"Business Analyst","Capco","Dallas","TX","$66k-$100k(Glassdoor Est.)","BUSINESS ANALYSTSummary This position involves analysis, design, and consulting support, as well as developing an understanding of our clients’ strategic direction, issues, and project goals. The successful candidate must be able to bridge the gap between user-functionality and system developers and assist in documenting, evaluating, and translating business architectures and needs into IT applications. An understanding of consulting methodologies within the financial services industry (Strategy work, business case development, process mapping, the lifecycle of project implementation, requirements gathering, competitive assessment) is an essential factor for success in this role. Examples of deliverables/responsibilities include:Preparing, facilitating, documenting and participating in the client meetings/workshopsConducting structured gathering, research and analysis o Developing and evaluating procedures, controls, user requirements and functional specifications to identify gaps between current state and future stateCreating business requirement documents (BRD’s) into use cases/functional specifications for customizationRequirements gathering, functional requirements, user stories and documentation business/data/application/technology architectures, requirements and business rules Business process models/design, logical data models, standards and guidanceDocumenting and explaining problems and works to resolve software defects while ensuring technical compatibility and end-user satisfactionAnalyzing, developing and proposing enhancements to current business processes, reports and applications to optimize system effectivenessConducting customer interviews and producing meeting summariesConducting market/client research and industry analysis of requirementsProducing high-quality verbal and written consulting deliverables (including proposals, customer presentations, consulting reports) to communicate project findings effectivelyGenerating re-usable intellectual capital in the form of consulting methodology and templates, blueprints and business casesBasic scripting and project plansRequired Skills2+ years of experienceBachelor’s degree required with a major in MIS, Computer Science, Finance, Economics, Business or Financial Engineering preferred. (An advanced degree is desirable)Background in financial services or Energy a plusSolid Business Analyst skills, including experience interviewing client executives to gather and document business requirements and process mappingStrong presentation skills, extensive experience writing successful project proposals, experience planning and executing related projectsAbility to demonstrate project management skills and experienceMust have previous consulting experience","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=135562&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6432f3c1&cb=1543613940575&jobListingId=2976098070"
"Business Analyst","SuperbTech, Inc.","Plano","TX",""," Job DescriptionResponsibilities:Support Business Planning Analyst to administer SI budget including: reporting (Hyperion), re-class and JV submissions, processing invoices.Support the design and establishment of SI SharePoint site.Support the Project Coordination and Training Manager in developing SOPs for 360 project management and coordinating training sessions.Support ad-hoc needs for Strategy Hub and other Social Innovation sub-functions as needed.Must Have Requirements:Ability to work across the organization and other functionsStrong written and verbal communication skillsAttention to detail (including numbers)Proficiency in MS Office, MS Teams, and MS ProjectProficiency in HyperionProficiency in SharePointAble to handle a high volume and diverse list of tasks Duration – 1 year  Monday – Friday 8am-5pm","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=85058&s=58&guid=00000167668f81939c86e754993b2be0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d1ea2a9a&cb=1543613940576&jobListingId=3042081184"
