"Name","Company","City","State","Salary","Description","Url"
"Team Lead, Business Analyst","United Shore","Detroit","MI","$77k-$100k(Glassdoor Est.)","At United Shore, the Business Analyst Team Lead plays a critical role within our Application Development team. In this position, you will work across several different teams assisting business analysts with projects and career growth. You will also be responsible for effectively collaborating with other Leaders in IT and the company to improve how we evolve and deliver our technology.WHAT YOU WILL BE DOINGEvaluating and coaching a team of up to 16 business analystsMentoring future leadersCollaborating with Developer leaders, Scrum Masters and QA leaders on processes and standardsCoordinating with our IT Training team to create and refine needed trainingsInterviewing internal and external BA candidatesAssisting in project negotiation WHAT WE NEED FROM YOURequired:Demonstrated experience working in an agile software development environment2+ years of experience leading 10-15 team membersAbility to work collaboratively on a team in a fast paced environmentExperience working with C-Level ExecutivesOn-site attendancePreferred:Experience in the mortgage industryBS or BA degree in Business, Communications or IT THE PLACE & THE PERKSUnited Shore is a diverse group of over 2,700 mortgage experts, sales superstars, tech gurus, marketing whizzes and more. We’re a $30 billion and growing, family owned and operated company that still feels like family. Our award-winning workplace just happens to be home to the #1 wholesale mortgage lender in the nation, United Wholesale Mortgage. And we believe in setting our team members up for success by creating a unique, energetic culture where you can be yourself and still reach your professional goals.  Here are some of the reasons you’ll love working here: Free fruit, soft drinks and coffeeGourmet cafeteria featuring homemade breakfast, lunch and a stationary food truck featuring $1 slidersWellness area including an in-house primary-care doctor’s office, full-time massage therapist and hair salonLarge, state-of-the-art fitness center with a full-size basketball court, outdoor sand volleyball court, plus Zumba and yoga classesConvenience store featuring grab-and-go snacksIn-house Starbucks and indoor/outdoor café with Wi-FiLawn vouchers to concerts at DTE Energy Music TheatreEscape room for team-building activitiesIndoor/outdoor putting greensBicycle-sharing program with bike and jogging paths DISCLAIMERAll the above duties and responsibilities are essential job functions subject to reasonable accommodation. All job requirements listed indicate the minimum level of knowledge, skills and/or ability deemed necessary to perform the job proficiently. Employees may be required to perform any other job related instructions as requested by their supervisor, subject to reasonable accommodations. This document does not create an employment contract, implied or otherwise, other than an ""at will"" employment relationship. United Shore Financial Services is an Equal Opportunity/Affirmative Action Employer.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=337809&s=149&guid=0000016767e0d85fb591f7a6053d83cc&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d7180bff&cb=1543636048449&jobListingId=3042970177"
"Facets Business System Analyst - Healthcare","NTT DATA","Detroit","MI","$39k-$65k(Glassdoor Est.)","Req ID: 29126     At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.     NTT DATA Services currently seeks a Facets Business System Analyst - Healthcare to join our team in Detroit, Michigan (US-MI), United States (US).       Works with BSA Team and Business Area to define stakeholder and solution requirementsPartners with Program Manager to validate scope and assumptionsPerforms data analysis and provide guidance on data that needs scrubbing Creates SQL queries to manipulate and manage dataEvaluate data to ensure that the conversion rules match the requirementsElicits, analyzes and documents requirements and functional design/solutions that align with and achieve the business needsOrganizes, validates and takes ownership of all assigned requirements and deliverablesServes as a trusted expert advisor or Subject Matter Expert for analysis and process design servicesDevelops process flows to enable the understanding the business future needs Required Experience and Skills Healthcare Payer Systems - FacetsExperience with gathering and writing business requirements as well as follow through to solution and designExperience in utilizing and tuning methodologies for process assessment, analysis, design, and tracking to meet client needsStrong knowledge of system development methodology, and project management skillsMust be able to manage multiple assignments, independently determine solutions, and anticipate/prevent potential problemsStrong analytical, organizational, interpersonal, and communication skillsProficiency in Microsoft Excel, and extensive use of data query logic. -SQL   This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.About NTT DATA Services    NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.     NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.     NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.         ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=98541&s=149&guid=0000016767e0d85fb591f7a6053d83cc&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d213b1a4&cb=1543636048450&jobListingId=3036010647"
"Business Analyst","Ilitch","Detroit","MI","","Job DescriptionJOB SUMMARY: The Business Analyst will assist the Director, Business Analytics with the quantitative analysis of all sales office activities, including sales campaigns, demographic research, sales and attendance forecasting, and revenue optimization. KEY RESPONSIBILITIES:Create dashboards with existing technologies (Tableau, Salesforce, etc) for use by ticket department management and executive level end usersUtilize existing technologies related to predictive analytics such R and PythonDevelop and maintain automated reports detailing sales campaign effectivenessExecute Ad-hoc reporting and analyses related to key business initiativesIdentifying customer segments within current customer database and score those segments for future sales campaignsContinually analyze primary and secondary market sales volumes to assist in ongoing ticket pricing decisionsContinually monitor sales and attendance data, ticket usage rates, purchase volumes, etc as compared to forecastsAnalyze and summarize sales data for ticket office management and organization executivesStreamline business practices to increase overall efficiencyCreate forecasting models for future revenue and cumulative tickets sold projectionsAdditional duties as assignedMINIMUM KNOWLEDGE, SKILLS AND ABILITIES:The ideal candidate will possess a minimum of a bachelor's degree in an analytical field (e.g.: Mathematics, Statistics, Economics)Analytical background with ability to analyze data and create forecastsKnowledge of data visualization software (Tableau) requiredExperience with database software (SQL) requiredPrevious experience in the analytics field preferredExperience with mathematical modelingKnowledge of statistical software package (R, SPSS, Matlab)Excellent computer skills with a strong proficiency in Microsoft Office products, particularly Microsoft Access and Microsoft Excel (PivotTables, VLOOKUP, formulas, etc.)WORKING CONDITIONS:Office environmentOccasional evening, weekend, and holiday hours requiredSDL2017","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=283198&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1da66db4&cb=1543636048451&jobListingId=3025490531"
"Business Analyst","TEKsystems, Inc.","Dearborn","MI",""," TEKsystems is looking for an Analyst to join an IT Business Office and serve as a Liaison between IT and Purchasing. This individual will be responsible for managing requests into the internal SharePoint site where anyone in IT puts in a request to buy things such as new hardware, software, licenses, circuits, etc. When they receive a request they will be responsible for working with the ""customer"" to understand/gather their requirements, create a business case to include the proof points and financial information to then submit to purchasing. Candidates will need to have excellent communication skills and be able to juggle multiple projects/tasks at a time. They must also be able to deal with changes and rapid changes well as they might run into situations where one day the customer wants a specific technology and the next it could be changing. Experience with Microsoft Excel required About TEKsystems: We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company. - provided by DiceBusiness Analyst","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=320811&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cd0e7159&cb=1543636048453&jobListingId=3037274924"
"Senior Business Analyst","United Shore","Detroit","MI","$69k-$110k(Glassdoor Est.)","As a Senior Business Analyst, you will be working side by side with the application development team as well as other business analysts. You will have the opportunity to work on large-scale corporate projects that can stem from senior leadership, including our CEO. WHAT YOU WILL BE DOINGCollaborate with multiple stakeholders to identify and vet out new solutionsGather requirements and provide testing support.Assist with defect and project management.Identify, capture and document current and future states.Focus on proactive and effective communication.Troubleshoot and assist with issues and resolve when possible.Release PlanningData Analysis WHAT WE NEED FROM YOURequired:Self-starting critical thinkerWork well under pressureSkilled negotiator between application development team and business partners Work with a diverse group, including executives, managers, direct reports, and subject matter experts.Work closely with team members as well as independently.Able to successfully engage in multiple initiatives simultaneously.Strong ability to work independently, identify needs, communicate plans and collaborate on successful delivery of those needs Previous BA experiencePreferred:General understanding of our current systems and business processes as a companySQL experienceExperience Working with senior leadersVendor integrations and API management THE PLACE & THE PERKSUnited Shore is a diverse group of over 2,700 mortgage experts, sales superstars, tech gurus, marketing whizzes and more. We’re a $30 billion and growing, family owned and operated company that still feels like family. Our award-winning workplace just happens to be home to the #1 wholesale mortgage lender in the nation, United Wholesale Mortgage. And we believe in setting our team members up for success by creating a unique, energetic culture where you can be yourself and still reach your professional goals.Here are some of the reasons you’ll love working here:Free fruit, soft drinks and coffeeGourmet cafeteria featuring homemade breakfast, lunch and a stationary food truck featuring $1 slidersWellness area including an in-house primary-care doctor’s office, full-time massage therapist and hair salonLarge, state-of-the-art fitness center with a full-size basketball court, outdoor sand volleyball court, plus Zumba and yoga classesConvenience store featuring grab-and-go snacksIn-house Starbucks and indoor/outdoor café with Wi-FiLawn vouchers to concerts at DTE Energy Music TheatreEscape room for team-building activitiesIndoor/outdoor putting greensBicycle-sharing program with bike and jogging paths DISCLAIMERAll the above duties and responsibilities are essential job functions subject to reasonable accommodation. All job requirements listed indicate the minimum level of knowledge, skills and/or ability deemed necessary to perform the job proficiently. Employees may be required to perform any other job related instructions as requested by their supervisor, subject to reasonable accommodations. This document does not create an employment contract, implied or otherwise, other than an ""at will"" employment relationship. United Shore Financial Services is an Equal Opportunity/Affirmative Action Employer.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=337809&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_72dcec60&cb=1543636048453&jobListingId=2992726987"
"Business Analyst","DTE Energy","Detroit","MI","$44k-$73k(Glassdoor Est.)"," The future is bright at DTE Energy! We are one of the largest Fortune 500 diversified utilities in the United States with an aspiration to be the best-operated energy company in North America and a force for good in the communities we live and serve. We have businesses in 26 different states and are comprised of regulated utility and non-utility businesses. Our utility business provides electric and gas service to approximately 3 million customers. Our non-utility businesses include a diversified portfolio of energy related companies, ranging from gas storage and pipelines to renewable power development.     DTE Energy’s utility and non-utility businesses are poised for significant growth. We look forward to working with highly motivated and team-oriented individuals to energize our efforts of growing economically and environmentally.     Recently, DTE Energy has been recognized as an outstanding place to work and has received the following accolades:  * Gallup Great Workplace Award for consecutive years Civic 50 Award for corporate citizenship excellenceIndeed’s annual “50 Best Places to Work” award for two years runningMetropolitan Detroit’s 101 Best and Brightest Companies to work ForJ.D. Power Customer Satisfaction AwardProfessional Women’s Magazine/Black EOE Journal “Best of the Best”Computerworld’s 100 Best Places to Work in ITBest Employers for a Healthy Lifestyle Gold AwardDetroit Free Press Green Leaders Award  DTE Energy is an equal opportunity employer and considers all qualified applicants without regard to race, color, sex, sexual orientation, gender identity, age, religion, disability, national origin, citizenship, height, weight, genetic information, marital status, pregnancy, protected veteran status or any other status protected by law.     External Pre-Hire Assessment Required: Professional Pre-Hire Assessment Testing Required:       Job Summary  Responsible for researching and conducting analyses of a budget/financial/accounting, economic, planning, marketing & business development, or similar nature. Performs qualitative and quantitative research in analyzing business issues and opportunities. Work involves the performance of a combi-nation of routine to moderate & challenging activities requiring judgment and initiative, although sen-ior-level or supervisory staff are available for guidance and direction (incumbents with some experi-ence may receive increasingly challenging or complex assignments). May be assigned to any of sev-eral unrelated operating areas (e.g. Finance, Corporate & Government Affairs, Gas or Electricity Dis-tribution, Marketing, etc.), and/or a widely disparate grouping of tasks and activities.  Key Accountabilities Provide financial/accounting- or marketing-related support, including forecasting, budgeting, and analyzing variations from budgets or plans.Analyzes and assists in the preparation of financial-related statements, budgets, projections, reports, or documentation supporting such reports; develops and maintains metrics (i.e. records of performance measures, actual performance & outcomes) specific to the business unit.Conducts investigations on behalf of given business units (e.g. Credit & Collections).Monitors industry, market, and technology trends; may analyze certain trends or related issues in developing recommendations and competitive analyses.Performs analyses to support planning activities, including analyses of competitors or industry participants, operational effectiveness and capacity utilization.Participates in projects addressing strategic, market, or quality- related issues.Updates or develops data models & databases; engages in activities intended to maintain data integrity.Prepares and presents findings or supports such presentations -- on a wide variety of topics.Coordinates, supports, and performs due diligence activities.Develops & documents process improvements.Participates in the investigation and evaluation of acquisitions/divestitures, business opportunities, strategic alliances, or business-unit level initiatives.Coordinates input from various business units to facilitate the integration of group-level plans with larger (Corporate-wide) plans and/or activities; may participate in periodic reviews of achievements and performance versus plans.Performs economic research and studies of business unit activities, generating or supporting the forecasting of trends in sales, finance or other areas of business.Creates financial, marketing, or other business unit models of 'what if' scenarios to aid in the business and planning process, particularly in relation to new products, process improvements, or business development initiatives, or marketing strategies.Performs analyses to identify potential sources of loss or threats to business unit outcomes, and minimize their effects.Develops and/or applies cost-benefit models or activities to maximize the business unit's out-puts. Minimum Education & Experience Requirements Bachelor's degree in business (including marketing, finance/accounting, management), engineering technology, or a related curriculum.Individuals who will be obtaining their degree within nine months from submitting interest will be considered; however, verification of the degree will be required prior to starting in the job. Other Qualifications PreferredPrevious experience in a business setting, which may include and internship or externshipSome operating areas may prefer certification or certification-eligibility by a relevant business-related bodyOther RequirementsProficiency in MS Office Suite (PowerPoint, Excel, Word, Access).Proficient verbal (and nonverbal), written and presentation skills; communicates clearly, with credibility and confidence.Analytical & problem solving skills consistent with the ability to identify key issues from a broad range of alternatives, and recommend optimal solutions for various situations.Basic knowledge of financial & economic analysis, project and/or risk management.Basic knowledge of market forecasting & planning, market research.Ability to analyze moderately complex financial data, evaluate business opportunities & develop optimal recommendations & solutions.Ability to work in a 'team' and/or 'matrixed' structure, potentially supporting multiple clients.Flexibility & the ability to work with shifting priorities; embrace new/evolving responsibilities.Competent in multitasking (i.e the ability to prioritize & manage multiple tasks, issues or projects that may include highvisibility initiatives and require innovation, teamwork & planning) . Additional Information  Incumbents may engage in all or some combination of the activities and accountabilities, and utilize a variety of the competencies cited in this description depending upon the organization and role to which they are assigned. This description is intended to describe the general nature and level of work performed by incumbents in this job. It is not intended as an all-inclusive list of accountabilities or responsibilities, nor is it intended to limit the rights of supervisors or management representatives to assign, direct and control the work of employees under their supervision. ","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=296977&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0262cb7b&cb=1543636048454&jobListingId=3032269490"
"Business Analyst","InfoVision","Dearborn","MI","$48k-$78k(Glassdoor Est.)"," Position: Business Analyst  Location: Dearborn, MI  Duration: Long term Details: Understanding of Manufacturing and SD business processes.  Experience in defining business requirements, success criteria and creating high level design document.  Understanding of regulatory reporting and interfacing methodologies.  Experience in cloud or mobility solutions  Experience in working with business users and stake holders.  Good understanding of various models of organization structure and reporting hierarchy.  Experience of project documentation & basic IT knowledge and experience.  ask summary is as below.  Validity of documents: Check whether documents are clearly describing a reason to carry out a project with evidence, such as cost-reduction, problem-solving, or productivity growth  Validity of cost: Compare its cost with the conventional projects to ensure reasonableness  Validity of schedule: Check whether adding buffers to schedule and documents are describing about contingency plan and decision-maker  Automotive or Manufacturing Industries preferred Skills: Experience in ERP domain preferred.  Creating workshop material and presentations  Understand various IT/Software Life Cycle documentation.  Written and verbal skills in English","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=83255&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b65b9bdf&cb=1543636048456&jobListingId=3027955404"
"Business Analyst","BSASPEC","Detroit","MI","$63k-$100k(Glassdoor Est.)","Position - Business Analyst.Kindly note that this is training and placement program and not a direct job posting.Candidates will be trained at our office in NJ, prior to placement with one of our client.Training Details & RequirementsCandidate must be willing to relocate to our training center based in New Jersey.Free accommodation and boardingTraining and placement guaranteed within 60-120 days.The location should not be a constraint for the candidate. Candidate must be willing to re-locate to clients job location anywhere in the United States.You can obtain full training curriculum by sending an email to training@bsaspec.comRequirements: Citizens of USA, Green Card, EAD, OPT, CPT, H1B Transfers and any other valid work VisaMinimum Screening RequirementsMasters/Bachelor’s DegreeExcellent Communication SkillsSharp and Analytical MindWilling to relocate to any city in the USACitizens of USA, Green Card, EAD, OPT, CPT, H1B Transfers and any other valid work VisaCompany BackgroundBSASPEC Inc. is a software consulting and full-service staffing organization based out of New Jersey.We provide training and placement with fortune 500 companies nationwide. Over the years we have catered to various needs of our clients by training and placing Business System Analyst, Business Analyst, Project manager, Project coordinator, Scrum Master, Agile coach, Product Owner, Product Manager, Technical Writer, Data Analyst, Data Scientist, Robotic Process Automation Engineers.We are at par with the information technology industry and are multiplying at a faster rate. In the last year, BSASPEC trained and placed approx. 250 candidates across the United States.We apprehend the significance of employee happiness. We work with candidates on the ground level in tandem with their personal career goals to build a successful career.Note: We are an E-verified company. We do support and sponsor H1B & Green Card filings to our candidates.Roles & ResponsibilitiesAssists in creation of business system models, specifications, diagrams and charts to provide direction for system configuration, accurately documenting As-Is and To-Be business workflows.Serves as liaison, when required, between the business stakeholders and IT team.Manage the requirements through the project lifecycle by establishing and maintaining agreements between the customer and the project teamProficient with technical documentation, including business requirements, functional specifications, support documentation, user guides, workflow processes and test casesEnsure the requirements are specified in a manner suitable for the intended audience and are understandable, unambiguous and capable of being implemented and testedStrong analytical and problem-solving skillsAbility and willingness to take the initiative to work in a team and serve the client needs firstAbility to prioritize and manage time effectivelyAbility to collaborate with other members of the Engineering department, including Project Managers, Software Engineers, and Business Intelligence EngineerAbility and desire to learn and grow","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=335919&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a79c71f9&cb=1543636048457&jobListingId=2846320577"
"Business Analyst","CYBERTECH","Detroit","MI",""," Opportunity  Our Fortune 500 client is seeking a Business Analyst to join their team in Detroit, MI. The ideal candidate will be responsible for development and documentation of user stories, use cases, features, and requirements in support of client customer self-service applications.  Why Work Here  Recognized as a Gallup Great Workplace, receiving this award a remarkable four years in a row  Recognized for excellence in recruiting veterans and hiring/training people with disabilities  Works hard to maintain an open and inclusive culture among our 10,000 employees  Helps make our cities thriving places to live, work and play by supporting education and employment, environmental leadership, neighborhood revitalization, and arts and culture Responsibilities Industry standard practices, processes and artifacts (requirements analysis and documentation, solution assessment and validation techniques)  Facilitate working sessions using targeted facilitation and advanced modeling techniques  Creation and management of documentation including policies, standards, work procedures, training and other project-related material  Meeting management (coordination of meeting, capturing of minutes, recording follow up of action items)  Meeting preparation (develop agenda, presentation material, room logistics) Qualifications Bachelors degree in Information Technology or related discipline is preferred  6+ years of experience in a Business Analyst role  Agile methodologies experience  Experience implementing infrastructure, security and architecture software, hardware and appliances  Proven expertise in identifying user stories, use cases, features and requirements in accordance with organizational standards and processes Benefits Salary of up to $110K per year (up to $55 per hour), based on experience  Contract-to-hire opportunity  Suite of benefits will be offered  Apply  If you feel your skills match this opportunity, please submit your resume for consideration.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=83255&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5ab24ef7&cb=1543636048458&jobListingId=2939110839"
"Business Analyst","Tek Pyramids","Detroit","MI","","Business AnalystLocation: Detroit, MI/ Richmond, VAEmployment Type: Contract W2Duration: 12+ Months ContractInterview Mode: SkypeW2 or 1099 only!!!Healthcare exp preferredJob Description:Ability to organize system and procedure documentation together to build training material;Be able to pull expectations from the business on what procedures need to be built into training materialUse of Visio for process documentation and MS Word for training material a must have requirementAssists customers on their migration to new or revised products, applications and platforms.Acts as a project team member, specifically on requirements definition and testing activities.Works with application developers and operations personnel to support production applications and customer-specific operations. Significant creativity is required..","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=316669&s=58&guid=0000016767e0d85fa7c4be21ddcd9aa6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_73bf5ca6&cb=1543636048459&jobListingId=3028933566"
