"Name","Company","City","State","Salary","Description","Url"
"Entry Level Business Systems Analyst","Tokio Marine HCC","Houston","TX","$49k-$81k(Glassdoor Est.)"," Job DescriptionTokio Marine HCC is a leading specialty insurance group with offices in the United States, the United Kingdom, Spain and Ireland, transacting business in approximately 180 countries and underwriting more than 100 classes of specialty insurance. Tokio Marine HCC products and capabilities set the standard for the industry, and many of the Company’s almost 3,000 employees are industry-leading experts.  We have an exciting opportunity for an Entry Level Business Systems Analyst in our Corporate Headquarters located in Houston, TX.Position Summary:Under immediate supervision, analyzes and documents current systems functions and recommends changes to existing applications or interfaces. Works with technical team to implement and test changes. Supports users on existing information systems.Key Responsibilities:Relying on instructions and pre-established guidelines, the Associate Business Systems Analyst (TMHCC job title) is responsible for accomplishing the following as guided by others. Consult with business users to identify current business operating procedures and to clarify program objectives.Document business user processes and requirements for coding systems or programs including the data sources to be utilized.Draft clear and user-friendly manuals to describe process and data flow, program installation, and operating procedures.Assist Programmers and Programmer Analysts in system acceptance testing and troubleshooting.Act as user liaison to resolve system issues and write reports according to user or management requests.Expectations:Within the first 30 days, learn the business operations, including the day-to-day functions, processes and resources.Within the first 45 days, learn the organization’s technology infrastructure and specific software applications.Within the first 90 days, learn about the insurance industry and gain a basic understanding of specialty insurance with an emphasis on the US casualty business. Job RequirementsRequirements:EducationBachelor’s degree in Management Information Systems (MIS), a related field, or the equivalent education and/or experienceExperienceUp to two years of relevant and progressive professional experienceOtherPossess and have ability to apply basic knowledge of principles, practices, and proceduresGood written and verbal communication skills with an emphasis on confidentiality, tact, and diplomacyGood organizational and analytical skills; demonstrated ability to manage multiple tasks simultaneouslyKnowledgeable of industry changes, legal updates, and technical developments related to applicable area of the Company’s business to proactively respond to changing business environmentProficiency and experience using Microsoft Office package (Excel, Access, PowerPoint, Word)Overtime hours may be required to fulfill job responsibilitiesMay require travel outside normal work location up to no more than 20% The Tokio Marine HCC Group of Companies offers a competitive salary and employee benefit package. We are a successful, dynamic organization experiencing rapid growth and are seeking energetic and confident individuals to join our team of professionals. The Tokio Marine HCC Group of Companies is an equal-opportunity employer. Please visit www.tmhcc.com for more information about our companies.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=338372&s=149&guid=000001676640cf86a6ec12245a32bf41&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2efff88d&cb=1543608783262&jobListingId=3028474751"
"Workday Business Analyst","Ascend Performance Materials","Houston","TX","$82k-$131k(Glassdoor Est.)"," The Workday HRIS Business Analyst will be part of a team that supports Global HR. This resource is responsible assessing business needs and leveraging Workday functionality to derive the best solutions. Must be able to see the “big picture” yet detailed oriented to perform configuration tasks (Analysis to Deploy). Targeted Outcomes (next 6 months)Partner with functional users and 3rd party consultant to implement Workday Recruiting in first quarter 2019Establish meaningful business partner relationships with leadership, HR and vendors providing a support structure for Workday maintenanceIdentify and develop solutions to meet business requirements and enhance the overall Workday end-user experienceEstablish and manage a sustainable production support structure for HRIS while fostering a culture of continuous improvement within 6 monthsResponsibilitiesPerform Workday configuration and development engaging with end users through all stages of the developmentUnderstand the HR business needs and related solution design from a system point of viewProactively propose and implement solutions to improve processes and data integrity, enhancing the end-user’s experienceProvide end-user support with focus to broaden end-user internal knowledge of WorkdayCreate and maintain data structures within Workday (business processes, core HR structures)Ability to assess root cause of integration issues and direct technical resource(s) for testing and resolutionDesign and deliver HR Metrics and Reporting solutions to support business planning and forecastingDocument requirements, processes, specifications and testing plansFacilitate end-user testing and trains new system usersQualificationsMinimum of 5 to 7 years’ experience in a business analytics role including: process definition, testing, release management and defining requirementsMinimum of 3 years’ experience in WorkdayExperience with Workday Recruiting, HCM and Business Processes required. Experience with Workday Talent, Reporting and Security preferredStrong Analytical skills and a solid understanding of HR core business functionsExcellent customer service and interpersonal skillsA willingness to work in a fluid environment with high adaptability to changeExcellent verbal and written communications skillsStrong Excel skillsDesire to expand knowledge and expertise to learn new areas of WorkdayAn understanding of SOX compliance and audit requirements preferredHighly motivated self-starter, with the ability to meet stringent deadlines, to work independently and as part of a teamWhy work at Ascend? If you are looking for a career with one of the plastics industry’s most enlightened employers, Ascend Performance Materials offers an opportunity to develop a true sense of fulfillment and pride in your achievements.  Ascend provides an exciting platform from which you, your family and your community will benefit. You’ll become a trusted member of an interdependent and safe working environment where your opinions and ideas will be encouraged and respected, regardless of your position. Working alongside a diverse range of renowned technical experts on a continuous stream of industry-leading products and technologies, you’ll find a wide variety of opportunities within our growing business for both learning and career development.  Our culture is built on a strong set of core values that foster innovation and collaboration across every level of the organization. It is a culture grounded in open relationships between every member of the Ascend team. All of this is driven by an inspirational leadership team, intently focused on maximizing the new investment in the business.  The essence of our organization is embodied in the words “inspiring everyday,” and we have built a strong and confident business with performance at its core. It will be challenging but holistically rewarding, enabling you to achieve your personal and professional aspirations.  Ascend is an organization that genuinely seeks to inspire our people to inspire others. We believe this gives us a higher purpose, making it a unique work environment for you to consider when choosing career options.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=287810&s=149&guid=000001676640cf86a6ec12245a32bf41&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d2d8629c&cb=1543608783264&jobListingId=3039962641"
"BUSINESS INTELLIGENCE & REPORTING ANALYST","Preventice Solutions","Houston","TX","$51k-$77k(Glassdoor Est.)","POSITION SUMMARYPreventice Solutions delivers a superior combination of remote monitoring technologies and services to patients, providers, payers, and life science companies.The Business Intelligence and Reporting Analyst is responsible for supporting our Operation, Clinical, Sales, and Customer Services teams in providing operational and financial analysis and support pertaining to strategic planning, budgeting, operations planning, performance monitoring, and variance analysis.This position participates in the development and maintenance of business intelligence reporting frameworks, tools, and data marts; works cross-functionally with various departments to determine and meet their reporting and analytics needs, and ensures timely high-quality reporting and analytics. This position ensures that business leaders have the necessary data and information for ongoing daily operations and strategic planning.POSITION RESPONSIBILITIESDetermine reporting needs; design, create and generate reports required to facilitate effective business decisions.Work directly with users across the business to collect report, data, and information requirements and translate into reporting deliverables.Interpret and provide appropriate analysis of requested data or information.Identify KPIs/metrics and work with development, operations, clinical, sales and support teams to provide reports utilized in making operational and strategic decisions.Work successfully with a cross-functional team throughout all phases of SDLC. Independently perform business analysis and requirements gathering.Troubleshoot and resolve technical issues in SSRS Reports; debug, tune and optimize reports and queries.Develop automated and reusable routines for extracting information from database systems.Troubleshoot data integrity issues, analyze data for completeness to meet business needs, and propose solutions and recommendations. Gain comprehensive understanding of various data sources and internal processes, and provide feedback for process improvement opportunities.Recommend and implement new or modified reporting methods and procedures to improve report content and completeness of information. Collaborate with functional and technical staff on data architecture issues.Participate in evaluating new technologies to ensure the advancement of technical architecture and data for BI needs.POSITION QUALIFICATIONSREQUIREDBachelor’s Degree from an accredited college or university in Computer Science or Mathematics. Advanced degree in Computer Science or Mathematics is a plus (equivalent experience considered in lieu of degree).Proficiency in SQL and report writing, SSRS and SSAS. Deep knowledge with SSIS, ETL and data cleansing.Hands-on experience with OLAP, data visualization, data mining, and statistical analysis. Hands-on experience with data visualizations such as Pentaho, Cognos, MicroStrategy, Business Objects or Tableau. Self-motivated with excellent analysis and problem solving skills.Ability to define problems, collect data, investigate facts, and draw conclusions.Strong interpersonal, oral and written communication skills.Ability to multi-task and achieve deadlines.Demonstrated clear, persuasive and motivational leadership skills and the ability to interact with all levels of employees.Flexible and able to work in a fast-paced, ever changing environment with multiple priorities/projects.Self-starter with a proven ability to take ownership of job responsibilities and ensure successful completion of all projects and requests. WORKING ENVIRONMENT / PHYSICAL REQUIREMENTSSitting for extended periods of time will be required.Standing, walking and light lifting periodically required.Use of hands repetitively to type, handle, and operate standard office equipment will be required.Employee will work under typical office conditions.All employees must pass drug test, and must have valid proof of eligibility to work in the USA.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=351691&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cfe66e31&cb=1543608783265&jobListingId=2992849296"
"Business Analyst","Slalom LLC.","Houston","TX","$80k-$115k(Glassdoor Est.)"," Slalom is a purpose-driven consulting firm that helps companies solve business problems and build for the future, with solutions spanning business advisory, customer experience, technology, and analytics. We partner with companies to push the boundaries of what’s possible—together.  Founded in 2001 and headquartered in Seattle, WA, Slalom has organically grown to 5000+ employees. We were named one of Fortune’s 100 Best Companies to Work For in 2018 and are regularly recognized by our employees as a best place to work. You can find us in 27 cities across the U.S., U.K., and Canada. Job Title: Business Analyst  Slalom Consulting Houston is seeking a talented, experienced Business Analyst. Working independently under limited supervision, the individual in this role will plan, design, develop, and analyze business plans for complex problems. The primary responsibilities of this role include gathering and coordinating project impact assessments from various groups within a client’s organization; working with stakeholders to understand their business requirements and define project scope; and helping program managers define requirements and successfully track projects throughout their respective lifecycles. Position located in Houston, TX. No relocation provided.Responsibilities: • Demonstrate a logical, rigorous, and analytical problem-solving approach, leading requirements gathering sessions and preparing and delivering client presentations and work products/prototypes  • Manage release schedules, prioritize projects, and ensure adequate resources are available  • Attend and lead meetings; provide project status reporting to management; assist with testing scenarios; and validate results  • Conduct and document complex business analysis projects  • Perform technical analysis to determine present and future business performance  • Provide functional advice or training to less-senior business analysts  • Occasionally lead direct or indirect employees for specific projects or objectives  • Create and execute system test plans Qualifications: •3 or more years of business or functional analyst experience in a consulting environment  • Bachelor’s degree  • Skilled at analyzing complex issues and distilling concepts to clients  • Able to proactively identify risks, and drive action to mitigate and resolve issues  • Strong analytical and interpersonal communication skills, with the ability to work independently  • Strong organizational skills and the ability to manage a vast array of information  • Broad understanding of the role of data management, information flow, and data governance issues  • Experience with market data and vendor integration and management  • Able to serve as a liaison between both business and technical teams to drive effective, timely solutions that fulfill both strategic and operational needs  • Skilled at defining and documenting business processes and requirements for ongoing system enhancement initiatives  Slalom is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133063&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b0480435&cb=1543608783266&jobListingId=2824302950"
"Business Analyst","Shell","Houston","TX","$76k-$122k(Glassdoor Est.)","Job Title Business Analyst - Houston, TX  29-Nov-2018  29-Dec-2018 No. of Positions1Job DescriptionThe Business Analyst is responsible for identifying and documenting the business needs of their clients and stakeholders, and helping to determine feasible solutions to meet business needs or resolve business problems. This position will give you the opportunity to grow to become an active thought partner and solution visionary who shapes the technology demand and direction in the business community. This position has the following accountabilities:Precisely captures business problems, value drivers, and functional/non-functional requirements, including health, safety, security, usability, data, and supportability considerations.Translates business requirements into functionality and assess the risks, feasibility, opportunities, and business impacts of various solution options.Assess and model processes, data flows, and technology to understand the current value and issues, and identify opportunities for improvement.Creates clear documentation to communicate requirements and related information; keep updated to align with the solution over the project lifecycle.Ensures traceability of requirements from business needs and requirements, through testing and scope changes, to final solution.Interacts with software suppliers, designers and developers to understand software limitations, deliver elements of system and database design, and ensure that business requirements and use cases are handled.Configures and document software and processes, using agreed standards and tools.Creates acceptance criteria and validate that solutions meet business needs through defining and coordinating testing.Creates and presents compelling business cases to justify solution value and establish approval, funding and prioritization.Initiates, plans, executes, monitors, and controls Business Analysis activities on projects within agreed parameters of cost, time and quality.Understands and stay abreast of relevant architectures and technologies related to a business area. Research potential solutions and innovative ideas. Guide and manage interactions with technology vendors.Lead stakeholder management activities including facilitation of large design sessions.Lead teams to complete business analysis on projects. Set the direction for business analysis activities within large programmes or strategic initiatives.Supports longer-term business strategic goals through proposing improvements in value, cost, process, data, technology, functionality, and initiating high-level business requirements and feasibility studies to discover options and directions.Champions the development of long-term Business Analysis capability within Shell through bringing external perspectives, coaching others about BA techniques, identifying and promoting best practices, and contributing to community building.Responsibilities:Reports to Application Delivery Lead Payments.Identifies, analyses and defines Business requirements and technical specifications within the Payment portfolio for both Strategic and Legacy landscape including B2C payments solutions.Partners with the Business to deliver Payment solutions via the analysis of new or changing business requirements.Manages business application/tools/information related to the Payment application portfolio.Creates customer-centered designs based on business, functional and non-functional requirements, user research, market analysis, customer feedback, and usability findings.Reviews and analyzes user research and usability reports, for use in determining best user interface design solutions.Communicates the customer experience designs to internal stakeholder to get buy-in, feedback, and negotiate trade-offs.Documents and communicates user-interface design specifications to in-house or third-party software engineers for implementation/coding.Develops conceptual diagrams, wireframes, visual mockups, usage scenarios, navigation maps, and prototypes.Contributes to the design standards and promotes customer-centered design throughout the organization.Interacts with data architects to understand how information is stored, modeled, and tagged and identifies ways to visualize and present information in a customer-friendly manner to end users.Facilitates the deployment of global programmes, processes and solutions by undertaking application analysis and test activities and coordinating such activities with the Business community.Operates as part of global or local project teams, within the application portfolio.Coaches and supports other Business Analysts within the team, in the execution of their roles.Fully comply with and adhere to, all application and infrastructure standards and processes including SOx, DRP, and OneIT controls and IT Security standards.Coordinates and executes Unit, system integration and E2E process testing for new enhancements, projects and performs or facilitates change management communication to the user community on future IT solution changes.Demonstrates the behaviors of external focus, delivery and simplicity.Execute IT Business analysis work on project, enhancements and operational items.Maintains in-depth knowledge of the business, processes, applications, information and dataActs as a functional expert for IT solutions in Payments business processes.Knows which threats can happen to an IT solution, and has practiced penetration tests and remediation implementation; takes security personal.Negotiates contracts and manages relationships with multiple external service providers.Responds to organizational and environmental changes during in-progress activities.Guides business stakeholders to gain acceptance / sign-off despite competing objectives. Manage requirements to the smallest set that will provide the biggest impact in advancing business objectives and end-user buy-in.Describes technology in terms easily understood by business customers and set realistic customer expectations for the project outcome. Adjust customer expectations in accordance with changes in scope.Generates innovative approaches to existing problems or new opportunities.Works closely with stakeholders to build trust and understand their goals, motivations, constraints, risks, and operating environment.Auto req ID90916BRCountry of Work Location United States Company Description Shell is a global group of energy and petrochemicals companies with over 90,000 employees in more than 70 countries and territories. In the US, we have operated for over a century and are a major oil and gas producer onshore and in the Gulf of Mexico, a recognized innovator in exploration and production technology, and a leading manufacturer and marketer of fuels, natural gas and petrochemicals. We deliver energy responsibly; operate safely with respect to our neighbours and work to minimize our environmental impact. We are in search of remarkable people who will thrive in a diverse and inclusive work environment to deliver exciting projects locally and globally. People who are passionate about exploring new frontiers. Innovators and pioneers. People with the drive to help shape our future. Because remarkable people achieve remarkable things. Disclaimer Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date.  Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world.  The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand.  Shell participates in E-Verify.  All qualified applicants will receive consideration for employment without regard to race, color, sex, national origin, age, religion, disability, sexual orientation, gender identity, protected veteran status, citizenship, genetic information or other protected status under federal, state or local laws.  Shell is an Equal Opportunity Employer - Minorities/Females/Veterans/Disability. Work Location Houston RequirementsMust have legal authorization to work in the US on a full-time basis for anyone other than current employer.Bachelor's Degree. Degree related to Information Technology preferred.Minimum four (4) years’ IT Business Analyst experience.Proficient in the majority of the BA knowledge areas and Retail Cards/Payments/Settlements Domain especially in B2C area.Comprehensive knowledge of IT solution supporting Petrol and Convenience Retail Business and future trends is an advantage.Lean Practitioner training and experience are plusses.Proven expertise in specific BA techniques, tools or business areas.Proven knowledge in Agile projects preferred.CBAP (Certified Business Analysis Professional) or PMI - PBA certified preferred.Understanding of systems engineering concepts and data/process analysis and modeling.Ability to take a systematic and analytical approach to problem solving and pay close attention to detail.Knowledge of the technology landscape including current and future developments and the most commonly available products and integrated solutions.Significant experience in the following areas is highly desirable:Real time trxs switching solutions.Payment solutions certification process (EMV/PCI-DSS).Telecomm's solutions supporting real time trxs exchange.System integration.Information Risk Management, PCI DSS.Vendor/Supplier Management principles.Proven capability to work in an environment with a vast stakeholder group up to GM level.Proven capability to shape a roadmap for a global initiative, finding the right balance between global standards and market-specifics, seeking buy-in from all stakeholders and actively supporting the market implementation.Familiarity with Kepner-Tregoe Analysis techniques.Root cause analysis.City, State (if applicable) Houston, TX ","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=132961&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2de120ef&cb=1543608783267&jobListingId=3040835653"
"Business Analyst","Repherrals Software Solutions","Houston","TX",""," Job DescriptionRole: Business AnalystHouston TexasLong TermRequired Skills :-Must be able to deliver work efficiently through formal and informal channels and display broad understanding of business practices and policies-Ability to deep diveexperience in detailed analysis and ability visualize the results at a summary level-Demonstrated ability to work effectively and collaboratively across departments, divisions, functions, cultures and levels in a large global company Strong communication skills both written and verbal.-Must be a team player and able to work with and through others.-Ability to effectively prioritize and execute tasks in a high-pressure environmentRequired Qualifications:-Bachelors Degree or equivalent in Management Information Systems, Information Technology, -Computer Science, Engineering, or related discipline-A minimum of 4 years in a business analyst role-A minimum 1 years as a business analyst in a development team preferably following Agile methodologies-Possess the blended ability of understanding business/operational know-how, as well as technology know-how Proficient in MS Office Suite, Excel, Word, PowerPoint, Visio, SharePoint and Access-Proficient in Power BI-Experience working in a large enterprise-Experience working on IT projects.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=372858&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_05626bf6&cb=1543608783268&jobListingId=3039413092"
"Business Analyst","Noah Consulting","Houston","TX","$77k-$121k(Glassdoor Est.)"," Job Title Business Analyst Location Houston, TX Country USA Job DescriptionBusiness Analyst  The business analyst identifies and develops the conceptual solution and business requirements for the information management program or project. This includes facilitating customer meetings to identify analytic processes and key performance indicators. The business analyst will capture and formalize this information to develop the business strategy and business requirements. They are then responsible for the successful delivery of a solution that meets customer requirements and supports the overall strategy and scalability identified during the strategy and roadmap phase. Individuals must have strong interpersonal skills to facilitate requirements gathering, quality reviews, deliverable approvals, and project/program decisions with key stakeholders and project teams. Candidates must have a proven track record of successful project delivery with increasing responsibility over time.  Skills & Responsibilities: Develop business cases for information management projects including development of ROI, NPV, and risk estimatingExpert understanding of users’ needs by facilitating and gathering user requirements and preferences and leading/recommending solutions that meet these needsImplement/participate in MDM, metadata, profiling, and information quality projects or programsIdentify business requirements and ensuring designs adequately meet the requirements of the project while remaining aligned with the overall program strategy and architectureIdentify quality assurance criteria and test casesRegulatory requirementsIndustry best practicesCapture and refining the ‘as is’ and ‘to be’ business processes, especially as they pertain to information management and program delivery Key Requirements: Broad knowledge of the upstream operation model (facility management, drilling, completion, production, land, geoscience, reservoir management, etc)Proven consulting skills (has worked for a consultant company)Good communication skillsGood understand of Information Technology (databases, integration, data models, cloud services, web services, etc.) but doesn’t have to be a developer.Knows how to translate data problems, process problems, into data management solutionsUnderstands the components of good data managementWillingness to travel Project Communication: Conduct and facilitate business requirements and quality reviewsReview user adoption of deliverables and acceptance testingEnsure project documents are complete, current, and stored appropriately Industry Expertise: Must have a minimum of 5 years experience working in information management within the upstream oil & gas energy sector. Education: A BA or BS degree is required for this positionA degree in an energy discipline (e.g. geology, petrophysics) or engineering is preferredEOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=135316&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c6462a98&cb=1543608783269&jobListingId=3036764699"
"Business Analyst","Ernst & Young","Houston","TX","$61k-$100k(Glassdoor Est.)"," Serve as an Operational Transaction Services professional to prepare and execute mergers and acquisition plans to maximize synergies and financial benefits from transactions. Understand the factors that drive successful mergers and acquisitions, and apply knowledge of the organizations involved in a deal to drive operational value. Provide operationally focused support and advice across the transaction life cycle (including carve-out, due diligence and integration), whether supporting an acquirer or seller. Focus on enhancing value, accelerating implementation and managing operational transaction risk. Support and advise on operational aspects, from carve-out readiness and support, operational due diligence, synergy assessment and delivery, day-one readiness assessment and 100-day planning, to support the integration process.  Full time employment, Monday – Friday, 40 hours per week, 8:30 am – 5:30 pm. MINIMUM REQUIREMENTS: Bachelor’s degree in Business, Finance, Accounting, Computer Science, Engineering or a related field and 5 years of progressive, post-baccalaureate work experience. Alternatively, will accept a Master’s degree in Business, Finance, Accounting, Computer Science, Engineering or related field and 4 years of work experience.  Must have 2 years of experience in business integrations, divestitures, or carve-outs including experience with quantitative and qualitative analysis.  Must have 4 years of experience in conducting assessments of technology, finance, operations, manufacturing, or supply chain infrastructure.  Must have 2 years of experience in the integration or separation of client operations.  Must have 18 months of consulting experience in mergers and acquisitions.  Must have 1 year of experience in synthesizing approaches in complex integration or divestiture conflicts.  Must have 1 year of experience in project/engagement management, including managing engagements and engagement related budgets, as well as managing, developing and coaching professional employees, goal setting, and performance reviews.  Requires domestic and international travel up to 80% to serve client needs.  Employer will accept any suitable combination of education, training or experience.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=321738&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_674d6505&cb=1543608783270&jobListingId=2994993423"
"Business Analyst","ShawCor Pipe Protection","Houston","TX","$86k-$136k(Glassdoor Est.)","ShawCor Pipe Protection is looking to hire a Business Analyst.  The Business Analyst assists the WH Sr. Vice President and WH Controller with special projects and business analysis. Provides analysis and recommendations for new business opportunities. Prepares financial and business related analyses and research in such areas as financial and expense performance, rates of return, depreciation, working capital and investments. Prepares forecasts and analyzes trends in manufacturing, sales and general business. Complies and prepares reports of data development. Assists in development of business planning for corporate and other departments. Responsibilities:Assist with the analysis of corporate development initiatives including valuations, due diligence, contract preparation and negotiation.Monthly TOU meetings and coordination.Provide analysis of monthly operating performance.Prepare and analyze new projects/expansions/strategic concepts and opportunities for PPG.Support regional initiatives.Gather, process and distribute competitive intelligence.Coordinates completion and assists in the composition of the Business Plan.Prepares monthly (flash, MRM, variances, sensitivities, major projects, bank guarantees) quarterly reports and quarterly presentations.Sales Force coordination and reporting for WH including open orders reports.Prepare and edit presentations for upper management.Bookings/backlog forecasting and analysis.Revenue, Bookings by Geomarkets.Business Plan Documents.Education & Minimum Requirements:Bachelor's in Finance, Economics, Engineering or other related discipline.MBA is preferred.3-5 years of relevant experience.Bachelor's Degree: Engineering (preferred) or Business Administration.Good planning and organization skills.Strong analytical skills and strategic skills.Business research and valuation experience.Good oral and written communication skills.Interpersonal and negotiation skills.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=152239&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b4a51ec7&cb=1543608783271&jobListingId=3036835512"
"Business Analyst","ALTIVIA","Houston","TX",""," The candidate will be part of a department that is tasked with providing analysis, insights and process enhancements through rigorous examination and manipulation of data using Microsoft Excel. He/she will be a key contributor that will collaborate cross-functionally across various departments of the Company to understand business stakeholder requirements. The candidate will be commercially minded. We are ideally looking for an M.B.A candidate from a top University. ResponsibilitiesPerform competitor and customer market research for business segment strategy developmentInterface with other business functions on problem identification and resolutionPerform data mining and analysis in support of recommendations to improve the businessesServe as key resource for developing and implementing continuous process improvementCompile & pre-populate information using Microsoft Excel techniquesHandle project and tasks assignments in a timely mannerDevelop and analyzing detailed reports, charts, and shipment simulations to illustrate variances, overall spend calculations, and other using Microsoft Excel formulasDiagnose and assist with time sensitive issues relating to data and timelinesLearn & gain Product and Product Transportation knowledge in all modes of transport in order to demonstrate knowledge & decision-making methodologies during future assignments/projects.Perform special projects as requested by the Commercial ManagerRequirementsMinimum M.B.A from a top tier UniversityThis position is for applicants who have graduated in 2018 - applicants with more experience are encouraged to apply to our other positions - do not apply unless you are a recent graduateIdeal candidates will be organized, strategic thinkers, quick learners, and extremely analytical. Additionally, applicants musthave excellent communication and time management skills, and be able to work efficiently in a small team environment and manage multiple projects at once.BenefitsWe offer multi-disciplinary roles and design personalized career paths based on our employees' individual skills and talents, to build a tight-knit, hardworking team that cares for each other's success.Excellent downtown location, open plan offices and great collaborative team. As part of our Graduate Program you will be entitled to medical, dental and vision benefits as well as vacation and sick pay and our 401k!","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=14295&s=58&guid=000001676640cf869f066f6c2ae51e9d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_717ed999&cb=1543608783272&jobListingId=2902600187"
