"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","Angie's List","Indianapolis","IN","$45k-$72k(Glassdoor Est.)","What we do:Angie’s List joined forces with HomeAdvisor in September 2017 to create the largest home services marketplace in the nation. We connect millions of homeowners across the globe with home service professionals through our innovative and user-friendly products. Our business is complicated, with millions of monthly service requests from homeowners, and nearly 200,000 service professionals in our network.We’re constantly exploring better ways to operate and trying new things; coupled with our rapid growth, there are innumerable opportunities to support the company with your insight. This makes the Business Analyst role critical to the continued success of Angie’s List and HomeAdvisor by providing the information necessary to make great decisions.Job Responsibilities:We work daily with the operations, marketing, and product leadership teams to develop, execute, monitor, and refine initiatives that drive value and quantify that value as it pertains to financial performance. The role covers a broad spectrum of responsibilities, from reporting to strategic analysis to test market evaluation. This won’t be a monotonous job– the business challenges are constant, and the solutions ever changing. The ability to jump into uncharted waters and manage multiple projects with changing priorities is a must.You’ll need to know your way around Excel, have an aptitude for relational databases, and a solid helping of common/business sense. As important as your analytical skills, your ability to synthesize large data sets into digestible information will be key. In your first year our goal is to have you capable of querying our database for insights, communicate opportunities to leadership, then establish reporting and ongoing monitoring to ensure proper execution of the strategy. This is not a“take orders” environment– you are here for your passion and input about improving the business– bring us ideas and pursue new approaches to solving problems to make us better and smarter!Required Experience:Bachelor’s degree in a technical field such as Finance, Economics, or Computer Information Systems2+ years of professional experience in a financial or business analysis role, or equivalent Master’s level educationAdvanced Excel experienceKnowledge of SQL, Access, or other relational databases, with the ability to write SQL queriesStrong grasp of statisticsExperience with visual analytics such as Tableau a plusSuperior analytical, problem-structuring, and problem-solving skills; experience synthesizing data into information, and presenting concise analysesExcellent verbal and written communications skillsAbility to manage multiple projects simultaneouslyIntellectual curiosity balanced with an orientation for getting stuff doneAbility to validate results of analyses by reconciling with data from other sourcesAttention to detail, a sense of urgency, and relentless follow throughThis role will sit in our Indianapolis, IN location, but will interface with teams in Golden, CO regularly. Occasional travel may be required.If you have questions about our interview process or team culture prior to you applying, jump into one of our weekly chats with our Recruiting team– http://www.abouthomeadvisor.com/talk-to-us","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=374041&s=149&guid=0000016767c5f933bcaebde374b4f333&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_15a28a23&cb=1543634287461&jobListingId=3025590357"
"SAP Business Analyst-RTR","Job Juncture","Indianapolis","IN",""," SAP Business Analyst responsible for all projects and system support primarily in the Record to Report (RTR) business areas. Ensure all projects are implemented and maintained to quality by adopting best practice SAP configuration and technology. Work closely with SAP Technical Analysts and business owners to understand the business requirements and deliver solutions that support the ongoing Global P2P and RTR IT and Business Strategy. Responsible for the functional SAP FI-CO modules and the related integrations with our other financial systems with primary responsibility for the RTR functional areasAct as functional and configuration design authority for the RTR Application portfolioPartner with our SAP BASIS and Security team to ensure that our environments are maintained and our systems are patched regularlyLead the functional design and implementation of our RTR projects, enhancements, cyclical processes and system supportREQUIREMENTS:Bachelor’s degree in a technical related fieldMinimum 7 years hands on SAP or ORACLE ERP Techno Functional and System Configuration experienceMinimum of 5 years functional and process knowledge managing RTR business processesMinimum 3 years hands on experience with designing and developing integrations with complex systems – knowledge of Dell Boomi is a plusKnowledge on ERP trends and industry best practices","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=206161&s=149&guid=0000016767c5f933bcaebde374b4f333&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e07790e9&cb=1543634287463&jobListingId=2998618987"
"Associate Analyst","DuCharme, McMillen & Associates","Indianapolis","IN","$33k-$52k(Glassdoor Est.)","Position Summary Provide general support to the department by preparing returns for  existing clients, communicating with taxing jurisdictions, preparing tax  payments, and other timely completion of all assigned work in the personal  property compliance process. Essential Duties and ResponsibilitiesPerform property tax data analysis,  reconciliation, and import into PTMS, OneSource, PowerPlan, and DMA’s internal  software PTCAUpdate and maintain client tax information and  databaseSubmit completed returns to Supervisor/Manager  for review by assigned due dateMonitor and review all jurisdictional tax  notices for assigned clients by assigned due datePrepare tax payments on behalf of clients for  jurisdictional liabilities by assigned due dateReview the missing bills and notices reports and  research items not receivedPrepare funding requests to send to the client  in order to receive funds for timely paymentsEnsure all applicable returns/renditions/tax  bills and remittances are processed and mailed in a timely mannerRespond to client and jurisdictional inquiriesNon-Essential Duties and ResponsibilitiesPrint and process client tax returns/renditions  and remittance in preparation for filingAssist Analysts and Supervisors as neededAssist Data Entry Clerks during heavy filing and  payment deadlinesPerform other duties as assignedEducation and Qualification RequirementsAssociates degree in Accounting, Finance,  Economics, Mathematics, or related field; equivalent work experience could be  substituted1-2 years in a corporate environment (tax,  accounting, or finance preferred)Strong organizational skills and ability to  complete high volume work in a timely and highly accurate mannerProficient in Microsoft Excel and WordAbility to learn tax compliance software quicklyExcellent verbal and written communication  skills Ability to work overtime as required; overtime  is expected to be an average of 10-20 hours per week during the months of  January-May *Overtime is never guaranteed and is based upon client work-load","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=422557&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7d10d1a&cb=1543634287464&jobListingId=2972902619"
"Business Analyst","State of Indiana","Indianapolis","IN","$43k-$72k(Glassdoor Est.)","Job DescriptionJob Title:Business AnalystJob ID:619888Apply Before:12/21/2018Location:Marion CountyFull/Part Time:Full-TimeRegular/Temporary:RegularAgencyComm for Higher EducationCity/County/St:Indianapolis, Marion County, INReturn to Previous PageStarting at $45,000 - commiserate with experience.Work for Indiana Join U.S News & World Report’s #1 state government! With more than 50 executive branch agencies, the State of Indiana is a diverse workforce offering applicants stimulating and challenging projects across a broad scope of career opportunities. As a State of Indiana employee, you impact the well-being of Indiana’s communities every day. Indiana Commission for Higher Education In 2016 the Commission for Higher Education adopted its third strategic plan, Reaching Higher, Delivering Value.  Reaching Higher, Delivering Value tackles issues facing higher education head on—setting a bold course between now and 2020 toward Indiana’s big 2025 goal—with a vision to provide every Hoosier with clearer and more direct paths to timely college completion, quality competency-based credentials that deliver the learning outcomes students need and employers expect, and purposeful career preparation that equips graduates for fulfilling employment and lifelong learning. Business Analyst The Indiana Commission for Higher Education is responsible for facilitating the system of higher education within the State of Indiana. This mission includes both the administration and distribution of State-Based Financial Aid as well as the collection, analysis, interpretation, and reporting of data from Agency partners to the Indiana General Assembly and Hoosier citizens. The Business Analyst will assist the Agency in its mission by developing/writing technical documentation, acting as a liaison between the IT Team and Agency stakeholders, soliciting requirements, writing/revising feature specifications, and analyzing specific technical requirements within the broad scope of the applications we support.A day in the life Develop and maintain a Knowledge Management system and processes using industry best practices in order to ensure the sustainability of the team to preserve knowledge and decisions Solicit Requirements from Agency stakeholders to transform business needs into User Stories that will be delivered to the rest of the IT Team for review, implementation, and testing Discuss and negotiate the priority of the product backlog with Agency Stakeholders so that the IT Team has a consistently prioritized backlog of work to be completed Analyze/review technical requirements/design from Agency stakeholders to fully understand the impacts that new features or changes will have on the system as a whole Participate in sprint review, retrospective, and planning meetings as well as standups to coordinate project scope and timelines Work with IT Team Members to provide accurate scope and timelines for requirements, specifications and User StoriesWhat we’re looking for Bachelor's degree required Understanding of agency mission and programs (http://www.in.gov/che) Ability to work in a team environment with minimal supervision. Demonstrated self-motivation, attention to detail, and initiative required Ability to communicate effectively verbally and in writing. Ability to tailor the method and style of communication for the audience. Ability to identify and resolve conflicting end-user requirements. Build and maintain a Knowledge Management system along with the accompanying processes and procedures Ability to read and understand complicated technical manuals Ability to translate business requirements into technical specifications/user stories Ability to read code (C#, SQL, Javascipt, etc.) and translate into flowcharts and written documentation for consumption by non-technical Agency Stakeholders (preferred) Familiarity with version control, used to identify changes in source, solution, configuration, and other files (preferred) Coordinate with other IT staff to ensure that processes and procedures for solicitation, development, and documentation of requirements and other information follows appropriate methods Problem-solving, analytical proficiency and careful attention to detail, while managing multiple application development software projects and prioritiesBenefits The State of Indiana offers a comprehensive benefit package which includes:  Choose from four medical plans (including RX coverage), vision and dental Wellness program that offers eligibility into a discounted medical plan Health savings account, offered for most medical plans, includes state contributions Deferred compensation account (similar to a private sector’s 401 K plan) with employer match, as well as a choice between two fully funded pension plans Group life insurance Employee assistance program that allows for covered behavioral health visits Paid vacation, personal and sick time off The State of Indiana offers other generous leave policies covering a variety of employee needs New Parent Leave 12 company paid holidays, 14 on election years Qualified employer for the Public Service Loan Forgiveness Program Free downtown parkingEqual Employment Opportunity: The State of Indiana is an Equal Opportunity Employer.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4468&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a4bd688f&cb=1543634287465&jobListingId=3041986560"
"Business Analyst","Fiserv","Indianapolis","IN","$53k-$87k(Glassdoor Est.)"," Position DescriptionDo you thrive in a dynamic, committed, and professional environment and would you like to be a part of a team that positively effects change? Are you up for a challenge of driving client experience forward?  You can Find Your Forward"" as part of our team at Fiserv, a FORTUNE 500 member, and you will join the industry leader in financial services technology. With more than 23,000 associates around the world, were pushing the boundaries of whats possible in financial services with deep expertise and a dedication to innovation.  It is an outstanding time to join Fiserv and take on a rewarding and challenging role that helps to drive significant change in a rapidly evolving and growing organization.About our business:Output Solutions at Fiserv delivers mission-critical communications to financial institutions, health and property/casualty insurance providers, billers, retailers, travel and entertainment companies and advertising agencies nationwide. With solutions including transactional document production and delivery, card manufacturing and personalization and direct marketing services, we help our clients streamline operations to contain costs, while building customer dedication and generating incremental revenue.  These documents are then inserted with special high-speed equipment or via manual assembly. The application that prepares these documents for printing must follow production standards to ensure efficiency on the production floor. The documents are then inserted in the USPS mail stream or overnighted by a variety of carriers to be delivered to the intended recipient (either an individual or a business).About the Role:The Business Analyst works closely with our Clients, Client Services team, Developers, and Project Management to serve as the business subject matter expert (SME) in maintaining and growing the existing business through thorough business and technical requirements documentation and collaboration and execution of change requests and projects.Essential Job Responsibilities:Under general supervisor, analyze and determine business requirements and provide detailed specifications to programming, working independently and cross-functionally with the client and other resources, as needed.You will provide consultation to the client before, during and after changes, including the development of new procedures the changes may necessitate.You will analyze and interpret clients existing systems and workflows through and including the balancing of daily files.Deliver training to the clients during all stages of the process, including the correct use of the Fiserv system and on-line terminal assistance.You will communicate progress and any potential problems to manager/project for awareness and/or resolution.Uses limited independent judgment to make decisions based on precedents and established guidelines.Solves problems using standard procedures and precedents.Perform other duties as required.Required Qualifications:Bachelor's Degree in Business, Marketing or Computer Science; equivalent work experience may be substituted accompanied with a High School Diploma/GED.Minimum 1-3 years of related experiencePreferred Qualifications:Education - Bachelor's Degree in Business, Marketing or Computer ScienceTravel Required:Less than 25%Physical Requirements:Standing, lifting, climbing, etc.Work Environment:OfficeFiserv is an Equal Opportunity Employer/Disability/Vet.  Fiserv is an Equal Opportunity Employer/Disability/Vet. Visit http://www.careers.fiserv.com/eeo for more information.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=134075&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e15b79eb&cb=1543634287466&jobListingId=3024993768"
"Business Analyst","Indiana Commission for Higher Education","Indianapolis","IN","","Work for Indiana Join U.S News & World Reports #1 state government! With more than 50 executive branch agencies, the State of Indiana is a diverse workforce offering applicants stimulating and challenging projects across a broad scope of career opportunities. As a State of Indiana employee, you impact the well-being of Indianas communities every day. Indiana Commission for Higher Education In 2016 the Commission for Higher Education adopted its third strategic plan, Reaching Higher, Delivering Value.  Reaching Higher, Delivering Value tackles issues facing higher education head on—setting a bold course between now and 2020 toward Indianas big 2025 goal—with a vision to provide every Hoosier with clearer and more direct paths to timely college completion, quality competency-based credentials that deliver the learning outcomes students need and employers expect, and purposeful career preparation that equips graduates for fulfilling employment and lifelong learning. Business Analyst The Indiana Commission for Higher Education is responsible for facilitating the system of higher education within the State of Indiana. This mission includes both the administration and distribution of State-Based Financial Aid as well as the collection, analysis, interpretation, and reporting of data from Agency partners to the Indiana General Assembly and Hoosier citizens. The Business Analyst will assist the Agency in its mission by developing/writing technical documentation, acting as a liaison between the IT Team and Agency stakeholders, soliciting requirements, writing/revising feature specifications, and analyzing specific technical requirements within the broad scope of the applications we support. Salary starting at $45,000 - commiserate with experience.A day in the lifeDevelop and maintain a Knowledge Management system and processes using industry best practices in order to ensure the sustainability of the team to preserve knowledge and decisionsSolicit Requirements from Agency stakeholders to transform business needs into User Stories that will be delivered to the rest of the IT Team for review, implementation, and testingDiscuss and negotiate the priority of the product backlog with Agency Stakeholders so that the IT Team has a consistently prioritized backlog of work to be completedAnalyze/review technical requirements/design from Agency stakeholders to fully understand the impacts that new features or changes will have on the system as a wholeParticipate in sprint review, retrospective, and planning meetings as well as standups to coordinate project scope and timelinesWork with IT Team Members to provide accurate scope and timelines for requirements, specifications and User StoriesWhat were looking forBachelor's degree requiredUnderstanding of agency mission and programsAbility to work in a team environment with minimal supervision. Demonstrated self-motivation, attention to detail, and initiative requiredAbility to communicate effectively verbally and in writing. Ability to tailor the method and style of communication for the audience. Ability to identify and resolve conflicting end-user requirements.Build and maintain a Knowledge Management system along with the accompanying processes and proceduresAbility to read and understand complicated technical manualsAbility to translate business requirements into technical specifications/user storiesAbility to read code (C#, SQL, Javascipt, etc.) and translate into flowcharts and written documentation for consumption by non-technical Agency Stakeholders (preferred)Familiarity with version control, used to identify changes in source, solution, configuration, and other files (preferred)Coordinate with other IT staff to ensure that processes and procedures for solicitation, development, and documentation of requirements and other information follows appropriate methodsProblem-solving, analytical proficiency and careful attention to detail, while managing multiple application development software projects and prioritiesBenefits The State of Indiana offers a comprehensive benefit package which includes: Choose from four medical plans (including RX coverage), vision and dentalWellness program that offers eligibility into a discounted medical planHealth savings account, offered for most medical plans, includes state contributionsDeferred compensation account (similar to a private sectors 401 K plan) with employer match, as well as a choice between two fully funded pension plansGroup life insuranceEmployee assistance program that allows for covered behavioral health visitsPaid vacation, personal and sick time offThe State of Indiana offers other generous leave policies covering a variety of employee needsNew Parent Leave12 company paid holidays, 14 on election yearsQualified employer for the Public Service Loan Forgiveness ProgramFree downtown parkingEqual Employment Opportunity The State of Indiana is an Equal Opportunity Employer  Job Type: Full-time  Salary: $45,000.00 /year  Experience: business analyst: 2 years (Preferred)Project Management: 2 years (Preferred) Education: Bachelor's (Required) Work authorization: United States (Required)","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=389273&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d445eddf&cb=1543634287467&jobListingId=3042149161"
"Business Analyst","Herff Jones","Indianapolis","IN","$56k-$91k(Glassdoor Est.)","Position SummaryAs a member of a major business transformation program, you'll play an integral role in shaping the future of Herff Jones. You will be an agent for change as we launch multiple new initiatives to streamline how we do business and increase the quality of product we deliver to our customers. In this role you will have regular interaction with senior leaders and key decision makers throughout the organization.We are looking for a Business Analyst who will work with internal and external stakeholders to document business processes and requirements for technology initiatives including eCommerce, CRM, & ERP systems.What we want you to accomplish:Analyze and capture requirements for a business transformation program that includes an ERP implementationManage multiple sets of requirements at one time while committing to and delivering on realistic deadlinesCore Activities:Build strong partnerships with key stakeholders (process owners, subject matter experts, functional leads) Analyze and create process models to portray a complete picture of workflows and technical requirements fulfilled by existing and proposed softwareMeet with key stakeholders on a daily basis to elicit and document requirements Ask probing questions dig deep in to the why of a process or requirementTravel to other Herff Jones facilities across the US to partner with local SMEs and stakeholders (up to 25%)Ensure the change management process is used to manage requirement changes Perform and/or assist with unit testingParticipate in cross-functional process re-engineering sessions and continuous improvement efforts Provide reporting and status as requestedSuccess Indicators:Previous success writing requirements and use cases for projects that impact multiple areas of a business (i.., ERP implementation)Proven ability to build relationships in a cross-functional environment and to elicit detailed and accurate requirements from key stakeholders in every segment of the businessProven experience excelling in a fast paced environment managing multiple deliverable with different deadlinesStrong written and verbal communication skills including technical writing skillsEducation / Certifications Required:Bachelors Degree in Computer Science or BusinessBABOK training preferred","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=37049&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_92aee7b3&cb=1543634287467&jobListingId=3017031566"
"Business Analyst","Franciscan Health","Indianapolis","IN","$53k-$85k(Glassdoor Est.)"," Client Management Services  ??? Franciscan Alliance  ? ??8111 South Emerson Avenue  ????Indianapolis,?IN?46237??Days??Full-Time;?40.00/week?Bachelor's PreferredWHAT WE NEEDBusiness application wizardsWHO WE ARE LOOKING FOR Technology supports so many areas of our business office. We need analysts who can keep us up and running. Analysts who can assess needs, troubleshoot solutions, manage upgrades, implementations and more.  Do you have IS project management experience? Are you good at working with vendors and staff to schedule and manage application upgrades & implementation? Do you have experience supporting business applications? If you answered yes, we’ve got a great opportunity for you. WHAT YOU WILL DOProvide quality implementations, upgrades, and support for Franciscan Alliance applications and biomedical equipment.Participate and potentially lead upgrades, system optimization, and new installs.Assist with needs assessments, impacts analysis and defining the scope for new requests.Use Information Services Project Management Methodology to lead projects.Provide on-going troubleshooting and support.WHAT IT TAKES TO SUCCEEDBachelor's degree in Information Technology or Computer Science preferred.Understand the business and processes in a Healthcare environment.A team player, analytical and a critical thinker.A self-directed and goal-oriented individual that is willing to be held accountable.Well versed in Microsoft office products.Have proven track record in managing healthcare vertical projects.Healthcare Business Analyst (strong technical or healthcare IT analyst to drive out requirements / desired outcomes).Experience with vendor relationship management, able to work on contract negotiation, and on-going consultation by providing technical/application expertise to support the contract decision maker.Epic and ambulatory experience are beneficial.WHAT WE'RE LOOKING FOR ?  5-10 Years Experience  License(s): Not Applicable  Certification(s): Not Applicable  Travel:?Up to 50%  ? EQUAL OPPORTUNITY EMPLOYER It is the policy of Franciscan Alliance to provide equal employment to its employees and qualified applicants for employment as otherwise required by an applicable local, state or Federal law.  Franciscan Alliance reserves a Right of Conscience objection in the event local, state or Federal ordinances that violate its values and the free exercise of its religious rights.  Franciscan Alliance is committed to equal employment opportunity.Company Description:Franciscan Health is one of the largest Catholic health care systems in the Midwest employing a work force greater than 18,000. With 14 hospitals and a number of nationally recognized Centers of Health Care Excellence, Franciscan Health takes pride in providing convenient, comprehensive care for our patients and the community we serve. For 140 years, Franciscan Health has stayed true to our founding mission to care for everyone who comes through our doors. Each day, throughout the halls of our hospitals, we embrace our Franciscan Tradition by walking in the footsteps of St. Francis, who left behind his worldly possessions to care for all of those in need.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=359521&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d5983e3d&cb=1543634287468&jobListingId=3026135441"
"Business Analyst","Archive Systems, Inc","Indianapolis","IN","$50k-$81k(Glassdoor Est.)","Job Summary Perform support of Access business systems, specifically Total Recall and all associated functions. Assist in onboarding on new acquisitions, and perform on and off site activities in support of acquisitions. Primary Functions:Investigate and resolve issues reported through help desk; escalating to Access Subject Matter Experts or DHS as appropriate.Perform User administration for Total Recall and associated functions.Test new versions of Total Recall of associated tools.Perform training for both team members and clients on Total Recall.Teach and enforce business function SOP’s in relationship to Total Recall.Continually improve documentation of processes, policies and procedures.Review business systems and assist with integration of acquired companies.Assist in overall business system conversion, including but not limited to mapping, test conversion, onsite support and post conversion support through first month invoicing.Train user in acquired companies all processes needed to complete their job roles, including reporting, QC and invoicing.Train, develop and strengthen ACE IT team members, sharing knowledge of systems and business processes. Secondary Functions:Participate in enterprise projects lending specific subject expertise.Lead small projects either as the sole contributor or with other team members.Liaison with other groups within Shared Services (Accounting/Compliance/etc.) on company initiatives.Participate in development of test plans for business systems.Participate in planning of integration of acquired companies. Other Responsibilities:Comply with all company policies and procedures.Travel up to 50% of time as needed primarily on acquisitionsOther duties/projects as assigned by Supervisor./","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4130&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d6f0f2fc&cb=1543634287470&jobListingId=3022765394"
"Business Analyst","Brite Systems","Indianapolis","IN","$49k-$79k(Glassdoor Est.)"," Knowledge of Web Technologies such as .Net, SharePoint etc  Knowledge of Web Content Management  Excellent communication skills.  The person will be responsible for tactical planning and website launch coordination for all websites.  Person will be working closely with Account Managers, Platform service/support teams and digital agencies apart from third party vendors during the course of a site launch. Below is a list of activities that the person is expected to perform,  Coordination with Business Owners/Account Managers to understand requirements for the upcoming website changes or new website launches  Receive and review website update request submitted by agencies  Define associated stakeholders to be involved in this service  Detailed level planning for implementation including creation of project plan for website updates/push detailing out the list of activities, associated stakeholders, schedule, etc  Coordinate with stakeholders to be involved in the launch  Coordinate and conduct kick-off meetings with Website Owner/Project Owner on the schedule, implementation  Follow business approved change management processes  Updates to Site Support document  Duration: 12+ Months  ONSITE interviews are required.  2-4 Years experienced candidates may apply.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4321&s=58&guid=0000016767c5f9339508590b5952f996&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_617a3ccf&cb=1543634287474&jobListingId=2943420841"
