"Name","Company","City","State","Salary","Url"
"Sr. Analyst, Business Analytics","Fanatics","Jacksonville","FL","$109k-$129k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=289403&s=149&guid=00000167667101e98363fe6991933217&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_17fff583&cb=1543611942037&jobListingId=2900293440"
"Business Intelligence Data Analyst","Tax Defense Network","Jacksonville","FL","$42k-$56k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=360145&s=149&guid=00000167667101e98363fe6991933217&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ff35721d&cb=1543611942039&jobListingId=2886321709"
"Business Analyst - Entry Level","FIS","Jacksonville","FL","$46k-$76k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=135083&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86325d68&cb=1543611942040&jobListingId=2948141789"
"Business Process Management Analyst- Entry Level","FIS","Jacksonville","FL","$48k-$72k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=135083&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cb0bc267&cb=1543611942041&jobListingId=2962219736"
"Business Analyst","R. Cope & Associates Inc.","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=85058&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7a6e9aa&cb=1543611942042&jobListingId=3012690427"
"Business Analyst","Genesis10","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=83255&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2684bbf7&cb=1543611942043&jobListingId=3012998589"
"Business Analyst","Prudential Financial, Inc.","Jacksonville","FL","$52k-$85k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=182759&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc7b7933&cb=1543611942045&jobListingId=3033633755"
"Business Analyst","First Health Group","Jacksonville","FL","$48k-$80k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=37049&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_76ff225f&cb=1543611942046&jobListingId=3041050735"
"Business Analyst","BSASPEC","Jacksonville","FL","$59k-$93k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=335919&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_793fecee&cb=1543611942047&jobListingId=2846325355"
"Business Analyst","Tata Consultancy Services (North America)","Jacksonville","FL","$57k-$90k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=00000167667101e9ae0411f955c2e78a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a702739f&cb=1543611942048&jobListingId=3039755848"
