"Name","Company","City","State","Salary","Description","Url"
"Business Process Analyst","Leidos","Millington","TN","$48k-$75k(Glassdoor Est.)","Job Description:Leidos Defense and Intelligence division is looking for a Business Process Analyst to support out NPC ITSS program in Millington, TN.Primary Responsibilities:-Support systems and business processes that facilitate Personnel Information Management, to include the Official Military Personnel File, Fitness and Evaluation Reports, Navy Selection Boards and any other business pertaining to Navy Personnel Command;-Evaluate and document current business processes and supporting business rules; recommend improvements;-Enalyze the systems and applications that support the business, and suggest enhancements within existing technical environments; capture and leverage efficiencies;-Facilitate documentation of detailed requirements for efforts to make system improvements;-Create and execute test plans; provide results of testing and remediation efforts;-Manage project meetings; provide agendas, action items and meeting minutes;-Provide periodic progress reports of projects in work, to include status and timelines;-Maintain a library of Standard Operating Procedures for all Leidos business processes that support Personnel Information Management;-Archive all documents in the official Personnel Information Management repository. Basic Qualifications:-Requires a BA degree and 4 - 8 years of prior relevant experience or Masters with 2 - 6 years of prior relevant experience (additional experience, education and training may be considered in lieu of degree).-Knowledge of SDLC; experience with Agile project management principles.-Proficiency with MS products: Word, Excel, PowerPoint, Visio.Desired Qualifications:-Experience working with Navy personnel processes, systems and applications.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=427997&s=149&guid=00000167682a8610baa1a6e3ad4a2fb0&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_082a6ec6&cb=1543640876999&jobListingId=3017100351"
"Business Analyst","Staffigo Technical Services, LLC","Memphis","TN","","Job SummaryRole: Junior Business AnalystResponsibilities:Support the design and development of both custom and core product features.Understand the business need & gather requirements from clients.Analyze requirements and prepare different use cases and user stories.Develop one or more solution alternativesReview of solution(s) with stakeholders.Prepare Requirement & Solution DocumentExplain requirements to technical teamAssist in UAT.Travel to work at client sites.Skills Required:Good understanding of business processesClarity of understanding and expressionCapability to ask penetrative questions to get a better understanding of the business needGood listening skillsGood written and verbal communicationMeticulous attention to detail.Workflow Analysis.Flexible to organize tasks based on changing prioritiesConfidence and a positive attitude.Technical Skills:Experience using Axure Pro/ MS Visio/ Pencil to prepare Wireframes.Experience in preparing basic flow diagrams, swim-lane diagrams.Basic Requirement:Must have completed Masters Degree in Computer Science.Experience in preparing basic flow diagrams, swim-lane diagrams","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4341&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_367ebfd2&cb=1543640877001&jobListingId=2890126943"
"Business Analyst","mobi","Memphis","TN","$48k-$80k(Glassdoor Est.)"," mobi provides telematics, software-as-a-service solutions to companies that appreciate the need to optimize their fleet operations. We provide an end-to-end solution that helps companies plan work, optimize routes, visualize GPS data and analyze the results. We work with a wide range of customers, from Fortune 100 companies to small, regional businesses.  We save our customers millions of dollars in operating costs every month. The less they drive, the more they save. Our customers range from Fortune 100 companies to small, regional businesses. We partner with major network providers and channel specialists who represent all the key players in the fleet management space. We are a small, Austin-based company that has a global impact.  We are currently searching for a Business Analyst who is ready to jump right into our ‘work hard, play hard’ culture and thrive. TheBusiness Analyst job responsibilities include:Accurately translating Business Requirements into system functionality requirements.Working closely with client team on-site in a consultative role and translate requirements and defects to remote teamsInvolvement with all phases of development (analysis, design, coding, testing, deployment)Systems analysis on development of new and replacement application projectsGathering and developing detailed functional requirements for Object oriented multi-tier applicationsDesigning and facilitating user focus sessionsProviding technical assistance through UI Troubleshooting and DB troubleshooting using SQLRequired Qualifications:Capability to travel of up to 80% of available time in the USA and CanadaLocated within / near-abouts Austin, TX areaExperience with leading process improvement effortsExperience with iterative development methodologies, preferably AgileExcellent grasp of SDLC principles, preferably in an Agile environmentLarge scale deployment of custom integration across a large enterpriseExcellent documentation skills with attention to detail.Excellent problem solving and communication skills.Proficiency in SQLComfortable working within a consultancy environmentKnowledge of a testing methodology and/or experience in testing (System, Unit, Integration, Interface)Understanding of data modeling, object modeling and OO design principlesBachelor’s degree or higher in computer science or related fieldStrong understanding of capabilities and limitations of programming languages, middleware solutions, application servers and presentation layer tools is a plus, but not requiredExperience in Broadband/Telco and/or experience with real-time optimization is a plusTesting the software and performing QA on data integration projects when needed, or acting as the technical liaison to the Client’s development and QA teamWhy work for us? mobi is not only headquartered in the fastest growing technology center in the United States, but also literally at the center of it all in Austin, Texas at 7th and Congress. We offer the opportunity to work with other cutting-edge innovators in a fun and engaging environment.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=7438&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f840c2be&cb=1543640877003&jobListingId=2994792563"
"Business Analyst","CyberCoders","Memphis","TN",""," Business Analyst  If you are a Business Analyst with experience, please read on!Based in Memphis, we are a global Logistics Management company that is in immediate need of an experienced Business Analyst. We are looking for someone that is an expert in SQL, preferably with experience in Python and/or Tableau. If this sounds like you, please apply today!  What You Need for this Position At Least 1 Year of experience and knowledge of:- SQL- Tableau- Python What's In It for You - Vacation/PTO- Medical- Dental- Vision- Bonus- 401k  So, if you are a Business Analyst with experience, please apply today!  - Applicants must be authorized to work in the U.S.CyberCoders, Inc is proud to be an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law. Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=291820&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_38abbc0e&cb=1543640877004&jobListingId=3037862018"
"BUSINESS ANALYST II","TMX The Terminix Intl Co LP","Memphis","TN","","Position OverviewResponsible for more complex business analysis and related process, system and modeling activities supporting the organization's information systems and integrations; Scheduling, delivery and design for specific reports and scorecards; database design, documentation and use for analysis across systems and processes; creation and more complex delivery of standard system reports and combinations of reports across systems; project management and project team work related to reporting and analysis.Job ResponsibilitiesAnalysis of business and technical processesBusiness information system planning specific to reporting outcomesDevelop test case scenarios for new reports to validate resultsDevelopment of business information reporting, scorecard and metricsDevelopment of desktop, reporting and process automation toolsDocumentation of requirements definitions, reference, training and process mappingDeterminations for function, inputs, outputs, controlsReporting, analytics, metrics, business warehouse tasksResource requirements planning and reportingProject management and task work related to reporting and analysis toolsScheduling, routine delivery and archive management for standard reports and scorecardsOwnership for reporting reference guides, tools, materials and version controlJob RequirementsBachelor's Degree and 3-5 years of report and database developmentExperience and expertise in multi-system, function and platformExperience in leading, guiding and managing technical, flexible and programming resourcesExperience with documentation, process mapping, SOP, audit, risk management and complianceExperience in enterprise transactional systems; specialty system type may be preferred depending upon areaGlobal reporting experienceProject management leadership and documentation experienceExperience in executive level reporting, scorecards and analysisExperience with web-based tools, quality IT testing methodology, system integrations andPMO methodology and processExperience in software and reporting structure roadmap planning, strategy and release schedule managementPreferred experience in SQL, Visual Basic, Oracle, cloud technology, JD Edwards, online/mobile marketing reporting and outreach toolStrong interpersonal, communication, and client management skillsStrong math, formulation and calculation skillsKnowledge of technical reporting best practice and managementSkills in data analysis, report writing, defining requirements and creation/maintenance of reportsSkills in MS Office, Microsoft Access, macro development and useStrong development skills with computer programs.Physical Demands and Working ConditionsThe physical demands are representative of those that must be met by an employee to perform the essential function to this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Incumbent must be prepared to:Move up to 10 pounds occasionally, by lifting, carrying, pushing, pulling, or otherwise repositioning objects.Sitting for long periods of time while using office equipment such as computers, phones and etc.Fingering and Repetitive motions; such as movement of wrists, hands and fingers while picking, pinching and typing during your normal working environment.Express or exchange ideas with others through the use of spoken word, quickly, accurately, and at an easily audible volume, and receive detailed information through oral communication at usual speaking levels without correction, and/or make fine discriminations in the nature of sounds in the environment.Incumbent is required to have: Close visual acuity to perform detail oriented activities at distances close to the eyes, as well as visual acuity to perform activities at or within arm's reach with skill, control, and accuracy, such as preparing and analyzing data, viewing computer screen and expansive reading.Incumbent will be subject to:Inside working conditions: The change of building environment such as with or without air conditioning and heating.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=25074&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_15b9d872&cb=1543640877005&jobListingId=3042561955"
"Business Systems Analyst","Robert Half Finance & Accounting","Memphis","TN",""," System Analyst needed for corporate office based in Memphis, TN. The System Analyst is essential to helping the Accounting department communicate operational performance to the executives. This job role will report directly to the Chief Financial Officer and while participating in data analysis tasks such as interviewing subject matter experts, documenting requirements, creating queries, building business intelligence reports and many other areas of ERP management and support.  This job role requires high caliber analytical thinking, technical and non-technical resourcefulness, and a timely response and resolution to issues and projects in a complex work environment. A self-starter is highly desired. To be successful in this role, the candidate should exhibit good troubleshooting skills, organization, and the ability to adapt to changes in pace of workload. The candidate should also be willing to learn and absorb new knowledge, maintain a good work ethic, and be willing to train other employees.  Candidates with this experience should email their resume to Edgin.Levy@roberthalf.com.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133516&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9103d810&cb=1543640877006&jobListingId=3023694259"
"Business Analyst III","Terminix","Memphis","TN","$54k-$88k(Glassdoor Est.)","Position OverviewResponsible for advanced and complex business analysis and related process, system and modeling activities supporting the organization's information systems and integrations; scheduling, delivery and design for specific reports and scorecards; database design, documentation and use for analysis across systems and processes; creation and advanced and complex delivery of standard system reports and combinations of reports across systems; project management and project team work related to reporting and analysis.Job ResponsibilitiesAnalysis of business and technical processesBusiness information system planning specific to reporting outcomesDevelop test case scenarios for new reports to validate resultsDevelopment of business information reporting, scorecard and metricsDevelopment of desktop, reporting and process automation toolsDocumentation of requirements definitions, reference, training and process mappingDeterminations for function, inputs, outputs, controlsReporting, analytics, metrics, business warehouse tasksResource requirements planning and reportingProject management and task work related to reporting and analysis toolsScheduling, routine delivery and archive management for standard reports and scorecardsOwnership for reporting reference guides, tools, materials and version controlJob RequirementsBachelor's degree requiredMaster's degree or MBA, quality management systems certification(s) preferred5+ years experienceExperience and expertise in multi-system, function and platformExperience in leading, guiding and managing technical, flexible and programming resourcesExperience with documentation, process mapping, SOP, audit, risk management and complianceExperience in enterprise transactional systems; specialty system type may be preferred depending upon areaGlobal reporting experienceStrong project management leadership and documentation experienceExperience in executive level reporting, scorecards and analysisExperience with web-based tools, quality IT testing methodology, system integrations and PMO methodology and processExperience in software and reporting structure road-map planning, strategy and release schedule managementPreferred experience in SQL, Visual Basic, Oracle, cloud technology, JD Edwards, online/mobile marketing reporting and outreach toolExcellent interpersonal, communication, and client management skillsExcellent math, formulation and calculation skillsExpert level of knowledge of technical reporting best practice and managementExpert level of skills in data analysis, report writing, defining requirements and creation/maintenance of reportsExpert proficiency in MS Office, Microsoft Access, macro development and useAdvanced development skills with computer programsPhysical Demands and Working ConditionsThe physical demands are representative of those that must be met by an employee to perform the essential function to this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Incumbent must be prepared to:Move up to 10 pounds occasionally, by lifting, carrying, pushing, pulling, or otherwise repositioning objects.Sitting for long periods of time while using office equipment such as computers, phones and etc.Fingering and Repetitive motions; such as movement of wrists, hands and fingers while picking, pinching and typing during your normal working environment.Express or exchange ideas with others through the use of spoken word, quickly, accurately, and at an easily audible volume, and receive detailed information through oral communication at usual speaking levels without correction, and/or make fine discriminations in the nature of sounds in the environment.Must be able to operate a motor vehicle.Incumbent is required to have:Close visual acuity to perform detail oriented activities at distances close to the eyes, as well as visual acuity to perform activities at or within arm’s reach with skill, control, and accuracy, such as preparing and analyzing data, viewing computer screen and expansive reading.Incumbent will be subject to:Inside working conditions: The change of building environment such as with or without air conditioning and heating.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=242900&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bdc3220e&cb=1543640877007&jobListingId=2843944829"
"Entry Level Business Analyst","Staffigo Technical Services, LLC","Memphis","TN","","Responsibilities:Investigate service related issues to identify the root cause of issues; identify and communicate business needs assessments as necessary.May create forecasting tools using current technology/systems (Access, Excel, Monarch, etc.)May translate business requirements and assist IT with the development of technical specifications.Recommend solutions based on data analysis to increase business efficiency and/or improve existing processes.Participate in internal and external project workgroup(s) and presentations.Conduct User Acceptance Testing (UAT) for projects, implementations, system fixes, and enhancements, etc.Prepare materials for internal and external audit activities; may review audit findings/reports for accuracy and completeness.Perform other relevant tasks as assigned by management.Requirements:Strong organizational, analytical, and communication skills.Proficient in MS applicationsExceptional work ethic, ability to perform under pressure and meet deadlines.Strong presence and ability to interact with Senior LeadershipAbility to build effective working relationships with others inside and outside the organization.Qualifications:Masters DegreeAbility to multi-task / work on multiple projects simultaneouslyGood communication and advanced presentation skillsAbility to analyze data, develop fact-based opinions of the relationships within that data, and present ideas/recommendations for resolving issues","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4341&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_17df602c&cb=1543640877008&jobListingId=2830550580"
"Associate Business Analyst","CBRE","Memphis","TN","$40k-$67k(Glassdoor Est.)"," Application  The application opened in a new tab.  By using this feature you agree to our Terms and Conditions and Privacy Policy.  Details Posted: November 20, 2018 Location: Memphis,  Show Map Salary: Open JOB SUMMARY The purpose of this position is to provide analytical support through research, data collection and data management of information for the organization. ESSENTIAL DUTIES AND RESPONSIBILITIES Responsible for data collection, data input and/or aggregation and data auditing to support accurate key metric reporting and analysis performed by the organization.  Reviews accuracy of information provided and responds to requests from management and vendors.  Assists in generating Business As Usual (BAU) reports. Supports ad-hoc presentation/analysis development and responds to information requests from management.  This will be a help desk hybrid role. The individual will be analyzing data, and then making reports based on the data. They will be dispatching the tickets for the entire Americas area. This person will need to think independently, be able to identify trends, etc. They need to be customer service focused because they are interacting with clients. They will need to have the ability to manage a fast-paced environment. They will be working with Facilities Management, Property Management, and Critical Systems. They will be at a desk for the most part doing this job.  Other duties may be assigned. SUPERVISORY RESPONSIBILITIES No formal supervisory responsibilities in this position. QUALIFICATIONS To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  EDUCATION and EXPERIENCE  Bachelor's degree (BA/BS) from 4-year college or university. Master's degree preferred. 0-2 years of related experience.  CERTIFICATES and/or LICENSES  None. COMMUNICATION SKILLS Excellent written and verbal communication skills. Strong organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information. FINANCIAL KNOWLEDGE Requires knowledge of financial terms and principles. Ability to calculate intermediate figures such as percentages, discounts, and/or commissions. Conducts basic financial analysis. REASONING ABILITY Ability to understand and carry out general instructions in standard situations. Ability to solve problems in standard situations. Requires intermediate analytical and quantitative skills.  OTHER SKILLS and ABILITIES  Experience in the use of Microsoft applications with emphasis on Excel and PowerPoint. SCOPE OF RESPONSIBILITY Decisions made with general understanding of procedures and company policies to achieve set results and deadlines. Errors in judgment may cause short-term impact to co-workers and supervisor.  Internal Number: ********  Create a Job Alert for Similar Jobs  About CBRE  With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world. CBRE Group, Inc. is the world's largest commercial real estate services and investment firm, with 2017 revenues of $14.2 billion and more than 80,000 employees (excluding affiliate offices). CBRE has been included in the Fortune 500 since 2008, ranking #214 in 2017. It also has been voted the industry's top brand by the Lipsey Company for 17 consecutive years, and has been named one of Fortune's Most Admired Companies in the real estate sector for six years in a row. Its shares trade on the New York Stock Exchange under the symbol CBRE. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.  More Jobs from This Employer  More Jobs Like This  Senior Lease Admin Analyst Memphis,  CBRE Today  Asset Management Associate Memphis,  CBRE 4 Days Ago  Finance, Controllers, Investment Accounting, Credit Alternatives,Renewable Energy, Analyst/ Sr. Analyst, Dallas Dallas, Texas  Goldman Sachs USA 4 Days Ago BACK TO TOP","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=182759&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0f8f9ef4&cb=1543640877009&jobListingId=3032455431"
"Business Analyst III","BSC ServiceMaster BSC LLC","Memphis","TN","","Position OverviewResponsible for the most complex and interpretive financial analyses. Provides periodic reports and special studies for management. May be responsible for the corporate function's or Business unit's (BU) annual budget process, forecasts, or statistical reporting, including financial performance, variance explanations, and cost analysis. May coach less-experienced Financial Analysts.Job ResponsibilitiesAnalysis and reporting - assuring quality and integrity of data.Developing interactive, fully automated operational and financial reporting contentCollaborate with personnel on projects to ensure the understanding of process and outcomeAssist in the design, development and implementation of initiatives, and management reportingPerform Adhoc requests - high volume related business processes and data definitionsSubject matter expert for operating systems and data warehouseData steward for Terminix business rules and policies and data governanceMake quick decisions about the analysis, user requests, based on minimal requirements.Critically evaluate processes, implementing new/revised processes and procedures to help improve the accuracy and efficiency of financial data for decision making supportReview financial and operational results and interpret them for management reviewConstantly monitor performance to forecast and inform appropriate parties of significant variancesDevelop and advise appropriate management of recommended courses of actionJob RequirementsBachelor's degree requiredMaster's degree or MBA, quality management systems certification(s) preferred5+ years experienceExperience and expertise in multi-system, function and platformExperience in leading, guiding and managing technical, flexible and programming resourcesExperience with documentation, process mapping, SOP, audit, risk management and complianceExperience in enterprise transactional systems; specialty system type may be preferred depending upon areaGlobal reporting experienceStrong project management leadership and documentation experienceExperience in executive level reporting, scorecards and analysisExperience with web-based tools, quality IT testing methodology, system integrations and PMO methodology and processExperience in software and reporting structure road-map planning, strategy and release schedule managementPreferred experience in SQL, Visual Basic, Oracle, cloud technology, Power BI, online/mobile marketing reporting and outreach toolExcellent interpersonal, communication, and client management skillsExcellent math, formulation and calculation skillsExpert level of knowledge of technical reporting best practice and managementExpert level of skills in data analysis, report writing, defining requirements and creation/maintenance of reportsExpert proficiency in MS Office, Microsoft Access, macro development and useAdvanced development skills with computer programsPhysical Demands and Working ConditionsThe physical demands are representative of those that must be met by an employee to perform the essential function to this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Incumbent must be prepared to:Move up to 10 pounds occasionally, by lifting, carrying, pushing, pulling, or otherwise repositioning objects.Sitting for long periods of time while using office equipment such as computers, phones and etc.Fingering and Repetitive motions; such as movement of wrists, hands and fingers while picking, pinching and typing during your normal working environment.Express or exchange ideas with others through the use of spoken word, quickly, accurately, and at an easily audible volume, and receive detailed information through oral communication at usual speaking levels without correction, and/or make fine discriminations in the nature of sounds in the environment.Incumbent is required to have: Close visual acuity to perform detail oriented activities at distances close to the eyes, as well as visual acuity to perform activities at or within arm's reach with skill, control, and accuracy, such as preparing and analyzing data, viewing computer screen and expansive reading.Incumbent will be subject to: Inside working conditions: The change of building environment such as with or without air conditioning and heating.","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=25074&s=58&guid=00000167682a86109a2df5790350338a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2f72de60&cb=1543640877011&jobListingId=3042563813"
