"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","Integrate","Phoenix","AZ","$45k-$74k(Glassdoor Est.)","At Integrate, we push the boundaries of technology to deliver products and services that bring control and scalability to demand marketing. Our software operates as the central nervous system for B2B marketers providing optimization intelligence across all paid efforts at the top of the funnel.We have a top-tier client list that includes Dell, Cisco, Salesforce, VMWare, Rackspace, Microsoft and more. Our product is best-in-class and our business is growing rapidly, making us one of the most exciting software companies in the area. Quick Hits:- 8+ Years - 140+ Employees- $50M+ Funding- Enterprise SoftwareIntegrate is a high-growth, emerging marketing technology leader in the field of Demand Orchestration. The company has brought a new-type of marketing technology (MarTech) solution to B2B marketers in the last few years developing a marquee roster of early-adopter enterprise and mid-market customers that are advocates for its solution. The Business Analyst will own the systems gathering process. You will be integrally involved in setup for implementations for subsequent lines of business. What You'll Do:•Work with stakeholders and end users to gather, understand and define business requirements. Youll participate in key meetings including requirement sessions, system demos, user acceptance testing, and end user training•Develop user stories and to-be process flows to support the design and development of Salesforce solutions for our stakeholders•Work collaboratively with team members to design a solution that will meet a clients business requirements and fulfill user stories •Complete the configuration for user stories within Salesforce, AppExchange products, or other cloud-based technologies•Collaborate with developers to test and verify that solutions will meet the business requirementsWhat Youll Offer: •At least 2 years experience working as a Business Analyst•At least 2 years experience working with Data Visualization Tools (Power BI, Looker, Tableau is a plus)•Experience documenting user stories and creating to-be process flow diagrams•Experience in Atlassian products•Ability to work independently, or within a team environment•Data gathering, reporting, and analytical thinking skills•Ability to develop and Maintain Data and System Playbooks•Ability to juggle and prioritize multiple, detail-oriented, tasks within a collaborative team environment•Drive and desire to learn and grow both technical and functional skill sets•Strong presentation, communication (written and verbal) skills, and interpersonal skills•Experience using Salesforce or similar CRM products to develop stakeholder or business solutions is a plus","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=397633&s=149&guid=0000016765ded0f9b4c3fe36a3b14a76&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4cfe6de8&cb=1543602361047&jobListingId=3031896688"
"Business Analyst Intern MBA","PayPal","Scottsdale","AZ","$70k-$112k(Glassdoor Est.)"," Job Description Summary:Job Description:At PayPal, we’re literally reinventing how the world pays and gets paid. We understand that it’s about people. We connect individuals to let them shop, get paid, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?The world’s leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.Analysts at PayPal are a part of a global analytics organization that generates insights into what will make the biggest impact on connected commerce and payments for PayPal. Providing reports and analyses only scratches the surface of what our analysts do on a daily basis; you’ll be a part of a team that goes above and beyond and consults on product design and customer experience.You’ll conduct extensive analyses of PayPal’s rich data and, in the process, develop a deep understanding of the PayPal businesses and PayPal’s site functionality. On this team, you’ll strengthen your analytic, leadership, and presentation skills, and gain exposure to a wide variety of functional teams within PayPal. This is a unique role with many options for future growth here as you work alongside the brightest analytical minds in the industry.RequirementsPursuing MBA or Master’s Degree in Statistics, Mathematics or Computer ScienceExperience in SQL or SASExcellent understanding of computer science fundamentals, data structures, and algorithms.Strong communication and interpersonal skills. Specifically, experience and confidence in interacting with people at all levels of an organization such as PayPal, including pitching business ideas to both senior management and external partners.Excellent problem solving skills.EducationPursuing MBA or Master’s Degree in Statistics, Mathematics or Computer SciencePosition Location: VariesSubsidiary:PayPalTravel Percent:0Primary Location:San Jose, California, United States of AmericaAdditional Locations:Newton - Massachusetts, New York, Scottsdale, TimoniumWe're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.Paypal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133838&s=149&guid=0000016765ded0f9b4c3fe36a3b14a76&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3cee5d84&cb=1543602361048&jobListingId=2961631799"
"#Business Analyst - Phoenix, AZ - Contract","Two95 International Inc.","Phoenix","AZ",""," Title: Business Analyst  Type: Contract  Location: Phoenix, AZ  Duration: 6 to 12+ Months RequirementsResponsibilities: Requirements gathering and documentationDocuments and maintains all system configurations, procedures, user documentation and system updatesTesting, including test planning, test case development, and test executionConduct process design and reengineering of processes, where neededDocument the organizations system and non–system processes in a process flow diagramParticipate in strategic HR projectsGenerate complex reportsQualificationsExperience with Project and Portfolio Management Tools. (SharePoint, Visio, Excel, MS Project, etc.)User Experience, Integration, Data Conversion and other duties as assigned.Nice to have Workday / HCMAble to build collaborative business and technology relationshipsAccurate and timely reporting against project deliverablesNote: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.  We look forward to hearing from you at the earliest!","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=14295&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9590ef39&cb=1543602361050&jobListingId=3036357251"
"Associate Analyst/Analyst, IT Quality Assurance","American Airlines","Phoenix","AZ",""," Location: Rio West A Bldg (PHX-RWA1)  Additional Locations: None  Requisition ID: 24354OverviewJoin us for a career with endless possibilities. Looking for a job where a passion for innovation, a culture of teamwork, and opportunities for growth are valued and rewarded? You’ve come to the right place.  You don’t have to be an airline aficionado to join American Airlines. It takes more than cool planes to keep us ahead of the curve, and thanks to our team of behind the scenes professionals, we do just that. As the largest airline in the world, American Airlines is in the business of serving the global travel needs of our customers. At the core of the Company is our commitment to each customer and each employee. We are dedicated to developing and delivering what our customers value and are willing to pay for. Customer-centric planning, innovative marketing, and an exceptional customer experience are supported by a cadre of talented people.  What does it take to join us? We’re glad you asked! We expect exceptional skills in your discipline and a dedication to being the best as we relentlessly pursue our goal of being not just the largest airline in the world, but also the best airline in the world.  Fortunately, we’re building on almost a century of innovation and firsts in our industry – and we plan to continue that tradition of excellence. About The Job This job is a member of the Information Technology Team, within the Information Technology Division. This position will work with a team of developers, business analysts and quality assurance team members to leverage testing technology in order to increase quality in product delivery supporting Customer Service Recovery through the use of Microsoft Dynamics CRM. Specifically, this role will assist with the development and conversion of existing manual test cases for testing the Microsoft Dynamics CRM application into automated scripts using QTP/UFT automation framework.  Specifically, you'll do the following: Evaluates functional and non-functional requirements and documents test strategy, test plans and test casesDevelops an understanding of the application and domain to perform hands-on testing of the services from a technical standpointAssists with designing, writing, executing and maintaining automated test scripts for client integrations, product releases and application maintenanceAssists with the setup, upgrade, testing and administration of tools used by the testing teamParticipates in the entire testing project lifecycle from requirements to test executions, both manual and automated, and analyzes test resultsAssists with creating metrics/reports to capture test progress for projects and releasesAssists with creating test scenarios/cases and data based on requirements/user storiesTroubleshoots issues by researching symptoms, analyzing impacts and recommending solutionsIdentifies quality risks and issues that may impact project deliveriesWorks extended hours occasionally, based on the needs of the project and the operationTravels, as requiredQualificationsRequired QualificationsBachelor's degree in Computer Science, Computer Engineering, Technology, Information Systems (CIS/MIS), Engineering or related technical discipline, or equivalent experience or training1 year of software testing in a continuous delivery/integration delivery environment1 year of hands-on experience with test automation, such as HP ALM and HP QTP/UFTUnderstanding of Quality Management, including testing techniques, methodologies, processes, tools, artifacts and measurementsExperience with the following: HP ALM, HP QFT/UFTSOAPUI Pro, SharePoint, JIRA, Rally and MTMSeleniumTFS defect managementChange managementUnderstanding of automated test case suite maintenance, including creation of new tests, automated test scheduling, execution and test logs analysisExperience assisting with test strategy, test plan and test cases for large projectsExperience applying automation techniques and toolsAbility to learn the business logic quickly to interpret requirements and prioritize defectsAbility to work on multiple projects simultaneously with a keen desire to learn and expand depth of knowledgeAbility to thrive in a sense-of-urgency environment and leverage best practicesDemonstrated initiative, flexibility and ability to adapt to changing priorities and work environmentsUnderstanding of DevOps Toolchain methodologies, including Continuous Integration and Continuous DeploymentUnderstanding of Agile project management methodologyExperience with Microsoft Suite (Word, Excel, PowerPoint, Access and Visio)Qualifications (Continued)Preferred QualificationsMaster’s degree in Computer Science, Computer Engineering, Technology, Information Systems (CIS/MIS), Engineering or related technical discipline, or equivalent experience or training3+ years of hands-on experience with test automation, such as HP ALM and HP QTP/UFTAirline experienceAbility to explain technical concepts and adjust messaging based on the audience, including non-technical groupsAbility to influence through outstanding interpersonal skills, collaboration and negotiation skillsAbility to work well within a team environment, as well as independentlyAdditional Locations: None  Requisition ID: 24354 Nearest Major Market: Phoenix Job Segment: Engineer, Developer, Quality Assurance, Information Systems, Computer Science, Engineering, Technology24354","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=197342&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a84f9e74&cb=1543602361051&jobListingId=3039663051"
"Business Analyst","The Alexander Group (AZ)","Scottsdale","AZ","$54k-$81k(Glassdoor Est.)"," Business Analyst Alexander Group: Decades of experience growing revenue for global companiesAlexander Group provides management consulting services to the world’s leading organizations. When clients need to grow revenue, they look to Alexander Group for data-driven insights, actionable recommendations, and most importantly, results.Founded in 1985, we’ve served more than 1,000 companies around the world, across all industries. This experience gives us not only a highly sophisticated set of best practices to grow revenue — we also have a rich repository of industry data that informs all of our recommendations.Our dedication to revenue growth and sales strategy has led to:More than 70% of our clients being Fortune 500 corporationsProject work in more than 25 countriesExtensive industry experience in B2B marketsThe Business Analyst works closely with an assigned Project Manager and becomes a fully integrated project team member in their first months of employment. The combination of on-the-job learning, classroom training and on-going coaching and mentoring enable Business Analysts to enjoy outstanding professional growth and career opportunities. The firm’s culture, built on teamwork and meritocracy, empowers our professionals to support each other in their career development.The Business Analyst career track includes promotion to Associate Consultant to Management Consultant and beyond for individuals looking to develop a rewarding, long-term career in consulting with Alexander Group.Responsibilities:Create and use analytical models to simulate or forecast business problems and resultsConduct data analysis including basic statistical analysisParticipate in client interviews and related fact-finding initiativesApply logic and Alexander Group methodologies to provide recommendations to clientsUse and develop communication skills to communicate project findings, conclusions and recommendations with your peers and clientsPrepare initial drafts of high quality, error free deliverablesParticipate in client meetings to review and present analytical approaches and interpret resultsQualifications:Bachelor’s degree with solid academic achievementCoursework in business administration, finance or economics is a strong plus1+ years of relevant professional experienceGood business acumen and awareness of business trendsModerate to advanced Excel and PowerPoint skills are requiredQuantitative skills and general problem solving skills for business problemsStrong interpersonal and team working skillsGood communication skills (written and verbal)Ability to learn quickly and resourcefullyHigh degree of motivation, flexibility and creativityGenuine desire to work hard and progress rapidly in the consulting professionPositive attitude and strong willingness to learn from mentors and peersAbility to travel (sometimes on short notice)EEO Employer. Desired Work Eligibility: Eligible to work in the U.S. with no restrictions. Pre-employment background check required.Apply OnlineLearn more about careers at the Alexander Group.","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_811f160b&cb=1543602361052&jobListingId=1502597099"
"Business Analyst","Amazon","Tempe","AZ","$60k-$97k(Glassdoor Est.)","Job DescriptionWhat you're about to read is a very non-traditional job description. That's because this opening is for a very non-traditional team. This is the type of team people look back on and wish they could go back to after pursuing another position. The type of team that helps you get up out of bed in the morning because what they're working on is just stinkin' cool! With that note, if you're still interested, please keep reading. :) We are looking for a stellar team member to join our FANTASTIC team of Business Analysts. Seriously... if you aren't going to be a stellar team member, you won't fit in with our group. The kind of person who we're looking for will be detail-oriented, enthusiastic, and determined. You might even be the type of person who reads data warehousing or analytics books in your free time, because you actually want to. As a member of our team, you'll use Scrum to manage your day-to-day workload and will talk with team members around the world on a daily basis. You'll build (sustainable, non-Excel based) reports that help the organization act on information rather than just data. There's a 100% chance that you will work closely with operations leaders, product managers, SDEs, TPMs, data engineers, and senior management to define new metrics and project requirements which you will then take and create something awesome. You should be able to deal with ambiguity... sometimes, we don't have all the data, but we do need to act (as data people we, of course, would rather have all the data first, but life isn't always so kind to us data folks...).In addition to these core responsibilities, you will also manage and execute analytical projects from start to finish including data gathering, manipulation, modeling, problem solving, and communication of insights and recommendations to senior management. A successful candidate will be highly analytical. ""What does that even mean...?"" Well...Analytical individuals want to gather a lot of facts, and they’re able to keep them organized when working on tasks and challenges. These thinkers bring a number of benefits to the team:They have the ability to look at things in a holistic way.They base choices on realism and sound processes, with an underpinning of precision, accuracy, and detail. Their decisions have a great deal of validity.They are “walking dictionaries”! If you have a question, they likely know the answer – or know where to find the answer.They are strongly oriented towards policy and procedure.From a leadership perspective, they are highly organized and extremely knowledgeable about their work.You really need to be experienced with SQL (and maybe Python. That would be cool). You just do... If all (or the vast majority) of these things apply to you, please keep reading!! Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Basic QualificationsYou can look at this list as the bare minimum. If you don't meet all of them, you just won't be a good fit on our team.You must be a good team player.3+ years of dedicated experience in data analysis, business intelligence, or business analytics. This means you've got some pretty top-notch analytical and quantitative skills and have proven your ability to use hard data and metrics to back up assumptions and develop business casesStrong communication (verbal and written) and interpersonal skills to translate key insights from complex analyses into actionable business insights. You have to be able to speak data with people who don't speak data.In every respect, your personality reflect that of an amazing team member.Expertise in SQL. We're not worried about the dialects you know, just that you can write SQL fluidly, cleanly, and quickly without the help of Google.You are the type of person who would feel bad about letting down your team.You should love playing with data.Lastly, and most importantly, you must be the type of person who works well on a team. (maybe you've seen a pattern here...)Preferred QualificationsNormally, many of the items on this list are required qualifications. However, you might remember that you're not reading a normal job description, are you... Proficiency in a statistical tool such as R, Stata, SAS, SPSS, and/or MinitabA degree (Bachelors, Masters, ect) in a quantitative field such as Mathematics, Statistics, Engineering, Computer Science, Economics, or a closely related field.Knowledge of AWS Infrastructure including S3, Redshift and RDSExperience with predictive modeling/machine learning.Python. :)Apply Now at Amazon","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=133043&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e15495ab&cb=1543602361053&jobListingId=2794749767"
"Business Analyst","Aetna Inc.","Phoenix","AZ","$50k-$82k(Glassdoor Est.)","Job DescriptionPOSITION SUMMARY This position supports Medicare Risk Adjustment activities in developing and maintaining business processes. Fundamental Components: This position resides within the Risk Adjustment Operations and will interface with vendors and other departments within Aetna. The position will be responsible for reconciling data from different sources regarding services provided by vendors, identifying gaps within the process, and help develop more efficient methods.  The position will also develop, share, and analyze compliance to business requirements.  The position will participate in system design and be involved in testing new functions as well as the support of auditing activities. To be successful, the candidate will use their knowledge and experience to create meaning from the data. BACKGROUND/EXPERIENCE desired: Must possess sound knowledge of structured IT application development lifecycles, methodologies inclusive of Use Case tools.  2+ years Business Analyst experience.  Must know SaaS and SQL.  Knowledge of Medicare Risk Adjustment methodology is also a plus.  Ability to document business processes as well as recommend and implement improvement strategies  Ability to perform testing functions  Participates in system design EDUCATION The highest level of education desired for candidates in this position is a Bachelor's degree or equivalent experience. FUNCTIONAL EXPERIENCESInformation Management/Query and Database Access Tools/Information Management/Business information analysis/TECHNOLOGY EXPERIENCESDevelopment Languages/SQLDatabase/SQL ServerReporting Tools/SASREQUIRED SKILLS General Business/Applying Reasoned Judgment/FOUNDATION  General Business/Demonstrating Business and Industry Acumen/ADVANCED  General Business/Turning Data into Information/ADVANCED DESIRED SKILLS Technology/Selecting and Applying Technology Solutions/ADVANCED  Technology/Leveraging Technology/ADVANCED ADDITIONAL JOB INFORMATION This position supports the technology and efficiency department within Medicare Risk Adjustment and activities. This position will offer the candidate multiple and various experiences as projects rarely follow the same format as the previous.  Aetna is about more than just doing a job. This is our opportunity to re-shape healthcare for America and across the globe. We are developing solutions to improve the quality and affordability of healthcare. What we do will benefit generations to come.  We care about each other, our customers and our communities. We are inspired to make a difference, and we are committed to integrity and excellence.  Together we will empower people to live healthier lives.  Aetna is an equal opportunity & affirmative action employer. All qualified applicants will receive consideration for employment regardless of personal characteristics or status. We take affirmative action to recruit, select and develop women, people of color, veterans and individuals with disabilities.  We are a company built on excellence. We have a culture that values growth, achievement and diversity and a workplace where your voice can be heard.  Benefit eligibility may vary by position. Click here to review the benefits associated with this position.  Aetna takes our candidates's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=353321&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a15d6263&cb=1543602361054&jobListingId=3034884085"
"Business Analyst","Mesa","Mesa","AZ","$57k-$93k(Glassdoor Est.)"," Description/Duties  A Business Analyst is responsible for performing business and systems analysis; identifying design and development of technical specifications and related documentation; identifying areas of efficiencies and insufficiencies; and developing and presenting business process change recommendations and technology recommendations for the department. Employees in this classification also provide direction to internal staff and business partners as it relates to process analysis and requirement gathering for multi-function or highly-complex customer solutions. Additional responsibilities include: conducting fit/gap analysis, to include assessing and addressing organizational change management needs, business process optimization and system requirements; creating test scripts and following quality assurance (QA) processes resulting in increased percentage of successful implemented changes and reduction in defects; performing work on one or more assignments simultaneously such as development, integration, testing, and resolution of process mapping/workflow analysis for enterprise services; understanding relationships and deciphering complex data using SQL or other technical tools and techniques; evaluating reporting needs, identifying and/or creating appropriate queries, reports, or other mechanisms given multiple, complex data sources (example: individual database, data warehouses and other enterprise data sources); developing and monitoring procedures to maintain data security and integrity; and working closely with managers to develop strategic and tactical plans for business technology needs. This class performs related duties as required. This class is FLSA exempt-administrative. Position Assignment:  A Business Analyst is an active thought partner and application visionary who shapes the technology demand.   In a given day, you may review a business need and discuss potential solutions with customers; work with customers to evaluate costs vs. benefits for different alternatives; lead business units in mapping their as-is and to-be business processes to identify pain points or opportunities; elicit, document & analyze business requirements; analyze whether a proposed solution is the best fit given organizational climate, risks & other factors; communicate and manage requirements with technical staff and other stakeholders; participate in functional and technical design reviews to communicate designs and validate proposed solutions; engage with others to incorporate usability and user interface needs when designing systems; develop user acceptance test (UAT) & use case scenarios to ensure requirements are met; work with others to ensure training meets business needs and requirements; monitor whether the implemented solution achieved the intended benefits; and changes needed to address issues and optimize adoption.   In this position, you will use your arsenal of technical, business, and analytical know-how in ultimately ensuring a final solution meets business needs & is a good fit for the organization. Responsibilities include performing business and systems analysis; eliciting and managing requirements; identifying design and development of technical specifications and related documentation; identifying areas of efficiencies and insufficiencies; and developing and presenting business process change recommendations and technology recommendations for the department.  About the Ideal Candidate: The ideal candidate has both proven experience in business analysis and experience with such areas as enterprise and financial applications, interfaces, and user experience/engagement. He/she is passionate about bringing people together to connect, work & achieve successful business results in a City that prides itself on innovative, best-in-class services. In addition, the individual is highly adept in analyzing and solving real-world problems; effectively communicates with both technical and non-technical City of Mesa staff at all levels of the organization; thrives in a fast-paced environment; and possesses strong interpersonal, organizational, and leadership skills. He/she will have the ability to interact with City of Mesa employees, executive staff, and other stakeholders to gather requirements, evaluate & optimize business processes, identify organizational strategies to prepare staff for solutions and changes, and evaluate the performance and success of initiatives and services.   Qualifications & Requirements Employee Values: All employees of the City of Mesa are expected to uphold and exhibit the City's shared employee values of Knowledge, Respect, and Integrity. Minimum Qualifications Required.  Any combination of training, education, and experience equivalent to graduation from an accredited college or university with a Bachelor's Degree in Computer Science, Information Systems, or a technology-related study. Considerable (3 - 5 years) professional experience in business and systems analysis, including research methodologies and business process modeling. Special Requirements. For this position, an individual receiving a conditional offer of employment from the City of Mesa must pass a background investigation through the City of Mesa Police Department, the Arizona Department of Public Safety, and Federal Bureau of Investigation prior to commencing employment with the City of Mesa (by assignment).  Preferred/Desirable Qualifications. Project Management Institute, Professional in Business Analysis (PMI-PBA) or a Certified Business Analysis Professional (CBAP) certification. Proficiency with Business Analysis Body of Knowledge (BABOK).  Link to Job Descriptionhttp://apps.mesaaz.gov/jobdescriptions/Documents/JobDescriptions/cs4905.pdf","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4135&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_06e3bd65&cb=1543602361055&jobListingId=2905827322"
"Business Analyst","Arizona State University","Tempe","AZ","$51k-$85k(Glassdoor Est.)","Job Description Under supervision of the Business Analyst Sr., the Business analyst:  Reviews, analyzes, implements, and evaluates business systems and stakeholder needs for Ira A. Fulton Schools of Engineering. Serves as the liaison between the Schools' organizations and the technology teams. Designs solutions and develops requirements specifications, creates and executes test plans, and works with technical staff to build and implement technology solutions. Minimum Qualifications Bachelor's degree AND two (2) years of experience in procedural, management or systems analysis work; OR, Six (6) years of experience in procedural, management, or systems analysis work; OR, Any equivalent combination of experience, training and/ or education from which comparable knowledge, skills and abilities have been achieved.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=173354&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_31b8f728&cb=1543602361056&jobListingId=3042332170"
"Business Analyst","TechMate.tech","Scottsdale","AZ","$90k-$115k(Employer Est.)","Must be Green Card or Citizen & live in AZ!Salesforce BA (Salesforce exp a must!)StratigicElicit and document quantitative business casesFull understanding of SDLCPresent business cases to management and facilitate ROI discussionsCreate and Maintain Business Requirements documentation & facilitate requirements review sessionsCreate detailed process decompositions for current and future states using Enterprise Architect and/or VisioCreate RFIs and RFPs for Product Backlog","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=429089&s=58&guid=0000016765ded0f989cf1ff628d7437f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_501cb3cf&cb=1543602361057&jobListingId=3035957540"
