"Name","Company","City","State","Salary","Description","Url"
"Business Analyst - Contract","Clarity Insights","San Antonio","TX","$61k-$92k(Glassdoor Est.)","We are looking for a Business Analyst for a 6+ month contract / Contract to hire position in San Antonio, TX. Required SkillsExperience with Sensitive Data discovery and remediation, Data Governance, or Data ManagementExperience working in cross-functional business partners in a highly-matrixed organization, between business and ITExperience working with regulatory or risk-management processes, especially around regulations around Payment Card (i.e. credit cards)Work with sensitive data scanning or remediation tools Experience creating workflow processes Experience creating dashboards and reporting (plus: Tableau skills)Understanding of data sources and technologyMinimum of Four years experience in an analytical and technical support functionIntermediate knowledge of data extraction techniques and applicationsAdvanced knowledge of identifying, documenting and analyzing business and/or data requirementsMust be able to work on a W2 Contract (we are not able to work on Corp-2-Corp for this requirement)Responsibilities: Will work with requestor(s) to develop and understand requirementsWill be responsible for developing high quality deliverablesDemonstrates an understanding of the connection between business operations and analytics to support business strategies and solutionsDevelops innovative approaches to address business problems and solutionsCollaborates with IT to facilitate the implementation of technical data solutions and standardsCollaborates with Information Management and Information Governance for correct data source usage and proper handling of the dataGLDR#LI-AW1","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=424986&s=149&guid=00000167675aaea38f96bae92d798a83&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1a968720&cb=1543627256142&jobListingId=3037285162"
"Entry Level Business Analyst","Labatt Food Service","San Antonio","TX","$50k-$82k(Glassdoor Est.)","We are offering full-time positions to highly-motivated, tenacious career-seekers at our company headquarters in San Antonio. Business Analysts spearhead Labatt’s many continual improvement efforts by identifying problems and opportunities, making detailed assessments through interviews and quantitative analyses, working with internal software developers to codify robust, standardized processes and tools, and finally by working with business people to drive cultural and procedural changes. Business Analysts at Labatt follow our own specialized change management methodology that gains its inspiration from the tenets of Lean and Six Sigma as well as the philosophies of Demming and Drucker. By interfacing extensively with executives, operational managers, employees, engineers, vendors, and customers, Analysts are truly poised to gain dramatic insight into the food industry at large, and more importantly, into Labatt’s highly differentiated poise within the industry.As an Analyst at Labatt, you will:--Manage software development processes using Lean Startup and Agile methodologies--Aid in crafting and executing strategic initiatives--Solve some of the industry’s and our company’s hardest problems--Communicate excellently, assessing problems both abstractly and concretely--Analyze, and help the organization digest, large sources of data with untapped potential--Set individual and team goals and demonstrate the resourcefulness to achieve them--Hold yourself and your teammates accountable to achieving robust success--Live by a philosophy of genchi genbutsu--Learn continuously, through training, mentoring, and a strong culture of high-level reading Your direct manager is a corporate-level executive in one functional area of the business. Analysts who succeed at Labatt will settle for nothing less than the best, and have demonstrated this disciplined, accountable focus time and again in previous experiences, whether academically or at the workplace. A competitive undergraduate degree with outstanding marks is required. The Analyst position demands core values that constitute our company culture, including: a strong focus on excellence, hard work, integrity, teamwork, and customer-orientation.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_917915f7&cb=1543627256144&jobListingId=2846347719"
"Business Process Analyst","Ventech Solutions","San Antonio","TX","$47k-$74k(Glassdoor Est.)","Ventech Solutions is currently searching for an experienced Business Process Analyst to support task 2 and analyze, define, and recommend business process IT activities and efforts associated with AFCEC FMO-managed IT systems.  The position will provide technical IT support to the Air Force Civil Engineering Center (AFCEC)- Functional Management Office (FMO) in all IT program management activities and efforts associated with AFCEC Legacy PMO managed IT Systems in support of AFCEC and CE functional programs. Experience working with Department of Defense legacy systems, Civil Engineering and DoD environment experience is preferred.  The scope of this work is to provide management and associated tasks in support of six AFCEC PMO managed IT Systems. Infrastructure support is not included in this TO's scope. IT Administration SupportIT Business Process SupportIA/ and CyberDatabase ManagementProgrammingTraining This contract will also support AFCEC's transition from Department of Defense (DoD) Information Assurance Certification and Accreditation Process (DIACAP) to Risk Management Framework (RMF). Qualifications:3+ years providing technical knowledge and analysis of applications and operational environments, high-level functional systems analysis, design, integration, documentation and implementation advice on complex problems that need extensive knowledge of the subject matter for effective implementation.Customer requires a US Citizen.Ventech Solutions, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Ventech Solutions, Inc. complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_205c0cce&cb=1543627256145&jobListingId=2694380749"
"Business System Analyst","Convene Technologies","San Antonio","TX","$80k-$129k(Glassdoor Est.)","HiWe have the below role open with our direct end customer in San Antonio TX for BSA.We have multiple roles open from Juniors to Seniors. Interested candidates, please send the resume in word copy along with contact to nkumar@convene-tech.comRequired Skills (and years of experience): TOP 5 SKILLS NEEDED Self Starter with a results-driven approach. (3 years) – This individual will be the most junior team member on a team of top technical talent. This team moves very quickly. Organization skills with the ability to self-organize and create structure for the team.Experience with Agile software projects. Flexible to change of scope and priority.JIRA and/or Github experience (2 years)Technical Specifications and documentation of requirements (5 years)Ability to build out workflows and process mappings. (2 years) Preferred Skills: (NICE TO HAVES) Call center experience. Avaya and/or telephony knowledge.Confluence knowledge. Specifically, One wiki.Ability to write detailed use cases and acceptance criteriaRequired Soft Skills:Ability to interact with all levels of personnel, from business stakeholders to call center users.Situational awareness. Ability to recognize and differentiate appropriate settings where questions and lower level detail collection is appropriate.Excellent Communication skills How will the performance be measured? The completeness of Sprint objectives and the level of stories written.Education Requirement:Bachelor’s Degree","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=9619&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ef1d48ad&cb=1543627256146&jobListingId=2998812999"
"Business Process Analyst","Valero","San Antonio","TX","$48k-$75k(Glassdoor Est.)","Performs business analysis, as well as, designs and implements enterprise business systems for Valero's trading, risk management, logistics, and wholesale marketing functions as part of the Information Services (IS) Commercial Systems team. Works collaboratively with team members, users, and other IS departments to innovate and deliver strategic, business critical solutions.Gathers business requirements.Documents as-is and to-be process flows.Facilitates meetings with business users and documents meeting notes and action items.Identifies business process improvement opportunities.Creates use cases.Writes test plans, test scripts, organizes and executes testing, and tracks issues to resolution.Writes high-quality design specifications.Provides user training and documentation.Provides work estimates for assigned activities to project management.Works independently on project tasks.May lead a project work stream.Maintains excellent relationships with business customers.Communicates effectively both written and verbally.Provides timely status updates to project management.Solves moderate to highly complex business and technical problems.Supports company policies and procedures and ensure adherence to computer and security policies.Contributes in all phases of the Information Systems project life-cycle including but not limited to business analysis, design, configuration, testing, data conversion, change management, and immediate post go-live support. This position is salaried exempt status, which means you are not eligible for overtime pay. Bachelor's degree (or higher) or foreign equivalent degree in Management Information Systems, Engineering, or technology-related field required.Minimum of five (5) years of technology consulting or relevant industry experience required.Experience in implementing custom development and/or systems integration projects required.“Big 4” consulting experience preferred.Proficient using Microsoft Office programs (i.e., Word, Excel, PowerPoint, Outlook and Lync) required.May be required to work off-hours and on weekends, and some travel may be required.Position level and salary will be commensurate with qualifications and experience.About ValeroValero Energy Corporation, through its subsidiaries, is an international manufacturer and marketer of transportation fuels and other petrochemical products. Valero, a Fortune 50 company based in San Antonio, Texas, with approximately 10,000 employees, is an independent petroleum refiner and ethanol producer, and its assets include 15 petroleum refineries with a combined throughput capacity of approximately 3.1 million barrels per day and 11 ethanol plants with a combined production capacity of approximately 1.45 billion gallons per year. The petroleum refineries are located in the United States, Canada and the United Kingdom, and the ethanol plants are in the Mid-Continent region of the U.S. In addition, Valero owns the 2 percent general partner interest and a majority limited partner interest in Valero Energy Partners LP, a midstream master limited partnership. Valero sells its products in both the wholesale rack and bulk markets, and approximately 7,400 outlets carry Valero's brand names in the U.S., Canada, the U.K. and Ireland.About Valero HeadquartersAfter acquiring Ultramar Diamond Shamrock in 2001, Valero began planning the construction of its state-of-the-art corporate headquarters at the edge of the Texas Hill Country in San Antonio, at Interstate 10 West and Loop 1604. It was completed in 2004. Today, the 200-acre Valero campus includes a main building; two connected newer office buildings; a four-story, separate building; and two large parking facilities. The headquarters also features a beautiful cafeteria, state-of-the-art training facilities, a fitness center, a daycare facility and jogging trails. Valero's employees are the heart of its success, and there is a reason why the company is an employer of choice in the fuels manufacturing and marketing industry. It’s not just the excellent benefits package, or the opportunities for personal growth, it’s also the caring and committed culture of the organization that makes everyone feel like they’re truly part of a team. Valero is an EEO/AA Employer. All qualified applicants are encouraged to apply and will receive consideration for employment without regard to legally protected status including sexual orientation, gender identity, Women, Minorities, Individuals with Disabilities and protected Veterans.*LI-LP1","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=136354&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ba5530ba&cb=1543627256147&jobListingId=2882387732"
"Business Systems Analyst","Rackspace","San Antonio","TX","$65k-$106k(Glassdoor Est.)"," We are seeking a Business Analyst who will be responsible for understanding and documenting data, defining and prioritizing data requirements, preparing data reports, and providing thorough communication in reports and presentations to business owners. This role will work on project teams to make improvements to Rackspace Service offerings, analyzes data to draw conclusions and determine root causes. This role will be responsible for presenting findings to leadership, change processes based on findings from data, and lead projects driven by data analytics. KNOWLEDGE/SKILLS/ABILITY: Must have excellent communication skills. Ability to understand and capture business problems and needs. Must be able to utilize Excel, Word, Powerpoint, and BI Tools (ie. – Qlikview) to present analytical findings and data. Must have advanced Excel expertise, including the ability to utilize pivot tables, charts, and graphs. Ability to use Excel to answer complex business questions in a timely fashion. Must have intermediate SQL skills including joins, case statements, aggregations, casting, and navigating errors. Ability to perform advanced UAT testing and write test cases for end user UAT. Must demonstrate a high level of team skills such as: Respecting, listening, persuading, helping, sharing and participating. Must demonstrate a high level of customer service skills and business acumen such as: Managing customer expectations, delivering customer experience, willingness to be flexible, eagerness to learn the customers business and passion for taking care of the customers. Must demonstrate a moderate level of leadership skills such as: Communication, Mentoring, Problem solving, self-management, decision making and integrity. Ability to communicate technical info and ideas so others will understand. Ability to successfully work and promote inclusiveness in small groups. Ability to provide FANATICAL support.JOB COMPLEXITY: Serves as liaison between BI Teams and business stakeholders to ensure stakeholder requirements are addressed through integration solutions in a manner that aligns with timelines and quality expectations. Able to extract data per requirements from SQL, Oracle, or other databases and consolidate using a variety of reporting tools and interfaces. Comfortable putting together and presenting findings to C-level leadership on the run of the business and on key findings from data analysis. Meets with end users to understand business processes. Gathers and documents BI requirements. Ensures projects remain on schedule and all target requirements are met. Uses business requirements to create detailed test cases and analyzes results. Analyzes results of testing to ensure BI solutions matches the documented business need. May play a key role in the training of customer and technical support personnel.EXPERIENCE/EDUCATION: High school diploma or equivalent required. Requires a Bachelor's degree in Computer Science, MIS, or Business Administration from an accredited institution and 3-6 years of BI experience. Post-graduate education or training desirable. Strong skills in Excel and T-SQL recommended. Comfort using Qlikview desirable.#LI-MO1","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133001&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_03b58537&cb=1543627256148&jobListingId=3023562003"
"Business Analyst","Randstad","San Antonio","TX","","What you’ll be doing: For this role you will be responsible for compiling, analyzing, and reporting data to support a trading and portfolio management department for a Fortune 100 company. Responsibilities:Setup, enrichment and maintenance of Security Master Data to support Trade Processing and portfolio managementReceives corporate action notifications from investment custodians, processes these in security master and trade order management systems, and notifies interested partiesDaily trading, cash, position reconciliation oversightReviews Compliance exceptions and determines root causeRisk and Control testing reviewsDiagnoses and investigates system and data problems.Required Skills:Proficient with Excel formulas, 2+ years of professional experiencePreferred Skills:1 year experience with Security Master setup for equity and fixed incomeExperience with reconciling financial informationData analysisTools Experience:Excel is required, proficient with formulasAccess or some SQL experience is preferredPay Rate: $35.71 per hour. Full time, on-site, W-2 position Duration: Six month initial assignment, with potential to convert to FTE Shift Required: Monday through Friday, first shift (flexible start time)  Randstad is a world leader in matching great people with great companies. Our experienced agents will listen carefully to your employment needs and then work diligently to match your skills and qualifications to the right job and company. Whether you're looking for temporary, temporary-to-permanent or permanent opportunities, no one works harder for you than Randstad. EEO Employer: Race, Religion, Color, National Origin, Citizenship, Sex, Sexual Orientation, Gender Identity, Age, Disability, Ancestry, Veteran Status, Genetic Information, Service in the Uniformed Services or any other classification protected by law.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=359521&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_464fbb1c&cb=1543627256149&jobListingId=3042168219"
"Business Analyst","The CSI Companies","San Antonio","TX","","Business AnalystSan Antonio, TXLong Term ContractAbout CSI Tech: CSI Tech is a different kind of IT talent company. We do our homework to match the right people, with the right skills for every client challenge. Whether you're an organization with an immediate IT staffing need or an IT professional searching for the ideal opportunity, CSI Tech is the solution you've been looking for. We get People. Done Right.  We are currently seeking a Business Analyst for one of our premier clients in San Antonio, TX for a long term contract opportunity. Summary: Performs data analysis and problem resolution on issues related to master data for assigned elements. Ensures master data is accurate and supports business requirements. Provides master data support for assigned projects requiring assistance with data elements.  ? Analyzes business requirements and determines the appropriate master data needed to facilitate transactions.  ? Creates and maintains master data elements in SAP and other applicable software systems. [Added details of specific elements for posting if needed]  ? Researches and troubleshoots data across multiple sources using knowledge of data flow and their impact on business processes.  ? Participates in special projects and serves as a knowledge resource related to assigned master data elements.  ? Identifies efficiencies and recommends ways to improve and automate processes and procedures.  ? Provides subject matter expertise regarding functionality of master data for assigned projects.  ? Generates ad hoc reports using Microsoft Excel, Access, Business Intelligence (BI) and/or SAP.  ? Strong technical knowledge of SAP or other ERP systems  ? Solid understanding of various business functions  ? Strong Microsoft Excel skills  ? Strong oral and written communication skills  ? Strong problem solving skills with the ability to recommend effective solutions Our employees enjoy great benefits:Company Funded Major Medical Healthcare benefits Paid holiday schedule after you have completed 1,500 hours worked Paid vacation week after 2,000 hours worked 401(k) eligibility at six months of service, including a discretionary match from CSI Consultant Care Program CSI Tech at a glance: Being a part of a national and worldwide staffing industry enterprise, CSI Tech is a part of The CSI Companies which is part of Recruit, the 5th largest staffing company in the world. In 2013, CSI Tech expanded its reach even further by acquiring the Anteo Group, one of Atlanta's most respected IT firms. The combined resources of CSI Tech and Anteo Group strengthens and expands CSI's IT resources nationwide - provided by Dice  Analysis, Analyst, Business Analyst, Business Intelligence, Business Requirements, Data Analysis, ERP, Excel, Microsoft Excel, SAP","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=242359&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aa37872b&cb=1543627256150&jobListingId=2941401861"
"Business Analyst","Eliassen","San Antonio","TX",""," Our industry-leading, global client is seeking a skilled Business Analyst to join their award-winning team in San Antonio.This position has a great benefit package that includes Medical, Dental and Vision benefits, 401k with company matching, and life insurance for those who qualify.Responsibilities of the Business Analyst:Support senior leadership's strategic vision and goalsDevelop and refine metricsSupport continuous communication with customers and stakeholdersExecute and deliver on analysis needsSupport continuous improvement developmentOversee monthly reporting and KPIs and offer insightRequirements of the Business Analyst:Bachelor's degree in Business or related fieldAt least 2 years of relevant experienceAdvanced Excel/Google Sheet skills, including pivot tablesStrong business acumen and advanced analytical skillsAbility to create wireframe requirements for dashboards and reportsClear and effective communication skillsConfidence to interact with senior managementExcellent collaborative skillsAbility to manage time effectively for on-time task completionSQL skills are a plus Keywords: Business Analyst, Excel, Google Sheet, KPIs, Continuous Improvement  Job ID: 313005","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=175149&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b625943&cb=1543627256151&jobListingId=3018669751"
"Business Analyst","Kforce","San Antonio","TX","","RESPONSIBILITIES:Kforce is seeking a Business Analyst for a Direct Hire opportunity at a premiere client in San Antonio, Texas (TX). The best candidate will be a strong communicator, a natural leader, have a passion for process improvement and a self-starter.  Responsibilities:  Acts as liaison between stakeholders, performs analysis in order to understand the business needs, policies Provide application support including: responding quickly to user questions and/or issues, documenting issues requiring programmer resolution, testing of solutions and coordination of implementations, and following up with users to ensure application(s) continue to operate as designed Prepares required documentation (Requirements, Process Flows, etc.) Coordinates in a collaborative/lead capacity, the planning, development, implementation and installation of technological solutions based on analysis of the business process(es) and available technologyREQUIREMENTS: Experience and/or training as a Business Analyst performing the following activities: Requirements gathering, Use Case generation and documentation, Design of complex solutions using multiple architectures, Generation and documentation of both Functional and Technical Design Documents for use by self and other programming staff Use of structured application development methodology and principals, understanding of structured environments using distinct development, test, and production environments Superb critical thinking, analytical, interpersonal, communication (written and verbal), and organizational skills with the ability to pay close attention to details Self-motivated Ability retain information through various initiatives to be utilized in future initiatives Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=220345&s=58&guid=00000167675aaea3af3339dc35afd330&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c5782515&cb=1543627256152&jobListingId=2956942480"
