"Name","Company","City","State","Salary","Description","Url"
"Business Operations Analyst","ASML","San Diego","CA","$61k-$95k(Glassdoor Est.)","ASML is one of the world’s leading manufacturers of lithography systems that help enable Moore’s Law and the creation of increasingly powerful and capable electronic devices. Our San Diego-based light source division, Cymer, is renowned for developing both deep ultraviolet (DUV) lithography light sources and next generation extreme ultraviolet (EUV) light sources. We are a multinational company with over 70 locations in 16 countries, headquartered in Veldhoven, the Netherlands.As the world’s leading semiconductor lithography machine (the machine that makes computer chips) manufacturer, ASML enables chip manufacturers to make cheaper, faster, chips, thereby enabling all the technology you use today. The machines we make require high speed, magnetically levitated stages with sub-nanometer accuracy, robotic mask delivery systems, mechatronic devices to shape and correct the laser illumination source, and optical modules that can detect sub-nanometer alignment errors and pattern distortions. Temperature controlled to milli-kelvins, particulate free, and operating in complete vacuum, the technical challenges are endless. Solving these requires expertise in servo controls, mechatronics, mechanical engineering, electrical engineering, embedded software engineering, optics, physics, manufacturing, industrialization, and more. If you like extreme challenges and want to help bring the next generation of technology to the world, then come join ASML.If you have a passion for technology and innovation you’ll want to check us out. Be a part of ASML. Be a part of progress.One Company, One Goal, Limitless Innovation. It's our people that make the difference. “This position requires access to controlled technology, as defined in the Export Administration Regulations (15 C.F.R. § 730, et seq.). Qualified candidates must be legally authorized to access such controlled technology prior to beginning work. Business demands may require ASML to proceed with applicants who are immediately eligible to access controlled technology.”SUMMARYThis position is responsible for the administration of CLS Business Operations activities and related reporting of quarterly performance. Provides progress reports and metrics for pricing and other activity related to the OnPulse Business Model such as forecast accuracy, bookings, revenue, installs, and on-time delivery. Responsible for creating forecasting and trend analysis tools for use by business managers and other analysts within Cymer.DUTIES AND RESPONSIBILITIESResponsible for participation in the weekly analysis and reporting associated with Business Operations activity to include pricing, contracts, and forecasting.Meets multiple short deadlines for various corporate reporting and planning purposes.Generates quarterly metrics related to the sales and business analysis.Conducts ad hoc analysis as requested.Performs other duties as assigned.QUALIFICATIONSRequires a Bachelor’s degree in Mathematics, Statistics, Economics, or equivalent.Minimum of 2 - 4 years of experience is required.Experience with spreadsheets, statistical modeling, and information systems preferred.Strong statistical backgroundStrong knowledge of mathematical modeling and database systems.Capability to develop statistical models.Experience using or knowledge of Oracle, Business Objects, or Spotfire a plus.Ability to translate, analyze data, and effectively report problems through written and/or graphical formats.Able to work independently with the ability to meet deadlines and display a high degree of accuracy and attention to detail.Excellent customer service skills, with an advanced understanding of customer relationship building.Excellent written and verbal communication skills.Ability to use MS Word, Excel, PowerPoint, SharePoint and electronic e-mail systems.PHYSICAL DEMANDS AND WORK ENVIRONMENTThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.While performing the duties of this job, the employee routinely is required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.The employee is occasionally required to move around the campus.The employee may occasionally lift and/or move up to 20 pounds.May require travel dependent on business needs.Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.Can work under deadlines.The environment generally is moderate in temperature and noise level.Must be able to read and interpret data, information, and documents.Can observe and respond to people and situations and interact with others encountered in the course of work.Can learn and apply new information or skills.We offer competitive salaries and benefits including medical, dental, vision, 401(K), and FSAs.We are committed to leveraging the diverse backgrounds, perspectives, and experiences of our workforce to create opportunities for our people and the business. EOE","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=347641&s=149&guid=00000167664ab0bdb8aa4c5432078ae1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a48fdfb2&cb=1543609430988&jobListingId=2915910161"
"Business Analyst","Bracket","San Diego","CA","$60k-$98k(Glassdoor Est.)","Looking for the right company?BracketScience. Technology. Service. Bracket offers a unique suite of solutions, with a unique perspective on clinical research development. We focus on bringing together best-in-class science, technology and service to drive superior clinical outcome results for our clients and for their patients. If you are a creative problem-solver and have a hard-wired, instinctual commitment to exceptional customer service, we'd love to talk to you! Is this job right for you? We are currently looking for a Business Systems Analyst who will be responsible for working with customers, Client Services and Technical Delivery (TD) staff to discover and understand business needs and translate them into system requirements. You will also be responsible for drafting all required SDLC and validation documents and facilitating the review and approval of all project documentation. The Business Systems Analyst will assist with the development, documentation and communication of TD processes and procedures.  The successful candidate will be responsible for the following: Participate in requirements definition sessions with stakeholders to capture business requirements.Understand the functional business process across the entire organization.Follows defined validation processes and produces validated documents for all initiatives.Utilize all available tools and information sources to elicit requirements, including interviews/meetings, document analysis, surveys, site visits, business process descriptions, use cases, and workflow analysis.Drafts all required SDLC and validation documents.May be responsible for application configuration.Assist in the writing of the test plans, cases & scripts as required.Facilitates and manages the review and approval of test results, and all SDLC and validation documents.Update requirements as needed throughout the software development lifecycle.Works closely with project management and software developers to formulate the high level technical solution.Identifies, coordinates and implements process improvement initiatives.Other project work and responsibilities as required.Do you have the right background for this job? Required Skills and Experience A Bachelors degree or equivalent years of experience with extensive experience functioning as IT Business Analyst or in a similar role. You will have the ability to communicate verbally and in writing clearly and succinctly, complex project plans, design and technical issues, as well as business and product requirements.The successful candidate will have detailed working knowledge of a System/Software Development Life Cycle (SDLC) and demonstrated success in gathering information from a wide variety of sources and subsequently crafting it into effective and audience-appropriate technical and non-technical documentation.You will have a proven track record of success analyzing, defining and overseeing requirements for advanced and complex applications, products and/or integrations of advanced complexity along with the ability to manage the requirements definition process for a variety of stakeholders representing large and complex organizations.Familiarity with web based application development and technologies (.NET, XML, etc.) and relational databases (SQL Server) is required along with experience working in a regulated technical environment and/or previous experience with clinical software highly desirable.Excellent interpersonal, verbal, and written skills and be able to establish/maintain positive work relationships and communicate effectively with both technical and non-technical personnel.We treat our employees right: A fully comprehensive benefits program with medical, dental, vision, company paid life insurance, short and long term disability. Great Paid Time Off program that starts with 20 days of accrual per calendar year; great 401k plan with company match that is 100% vested immediately. Paid parental leave and other competitive benefits.  Bracket is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will be considered for employment regardless of race, religion, gender, gender identity, sexual orientation, national origin, disability, age, or veteran status. Bracket is also committed to complying with all fair employment practices regarding citizenship and immigration status.  The right opportunity is waiting for you here at Bracket, what are you waiting for? Apply now!","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=414050&s=149&guid=00000167664ab0bdb8aa4c5432078ae1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b315382e&cb=1543609430990&jobListingId=2919638462"
"Business Analyst","Butler America Aerospace","Chula Vista","CA",""," Business Analyst  Duration: 6+ Months  Location: Chula Vista, CA (91910) Role Overview: Cost non-recurring and recurring estimates for nacelle & pylon products in support of the procurement organization for supplier contract pricing proposals and claims. They are also expected to provide input to, use and understand cash flow models related to supplier proposals. Documentation of assumptions and systematic revision control of source data related to their estimates is required. Perform comparative cost analysis for Sr. leadership and Passport reviews.  Cost estimates, cash flow preparation, analysis, and maintenance. Support Procurement and Finance senior leadership with bid and proposal financial scenarios. Interface with functional support teams to ensure deliverable due dates are met and reviews inputs for reasonableness. Qualification:Knowledge of SAP system, Team Center & Catia V5.Strong interpersonal & emotional intelligence skills; team player and ability to work with a broad base of technical, operations and finance peers at various levels of the organization.Familiarity with product structure & reading engineering drawings and Catia Models.Understanding of labor & overhead rates, standard-to-actual ratios, & material factors.Concise communication skills, planning, and organizational skillsUnderstanding of Continuous improvement and labor learning impact.Understanding of data analysis methods and data organizationAbility to assist in the Basis of Estimate (BOE) development, implementing pricing assumptions, and preparing a complete pricing proposal.Required Skills:3-5 years of experience in a cost estimating or manufacturing engineering capacity.Sound reasoning and mathematical skills including an understanding of labor learning curve theories.Understanding of non-recurring and manufacturing labor processes and material utilization.Ability to rationalize RFP requirements into product cost implications.Strong understanding of cash flow modeling and financial analysis metrics, new business proposal process awareness, and confidence with explaining modeling scenarios implications and analysis.Ability to deal with stress and a flexible work schedule during tight proposal deadlines.Excellent computer skills: Microsoft Office products (EXCEL, PowerPoint, & Word).Ability to design and implement SAP BW reporting tools.Preferred Skills:The ideal candidate would have 3-5 years in an aerospace cost estimating or manufacturing engineering background familiar with broad aerospace manufacturing product flow, work instructions, tool families, engineering and testing requirements, cash flow modeling.Good knowledge of proposal pricing business practices cost accounting standards and appropriate application.Sound reasoning skills and ability to work with a broad base of technical, operations, aftermarket, finance and sr. leadership.Education:Bachelor's Degree in Finance/Engineering (Manufacturing or Production)MBA a plus Butler America Aerospace, LLC. is proud to provide an equal opportunity workplace and be an affirmative action employer. Consider Butler because we are committed to hiring and retaining a diverse workforce. We recognize that we thrive on diversity for the benefit of our employees, our customers, and the communities where we are located. Employment with Butler America Aerospace, LLC. is governed on the basis of qualifications and competence without regard to race, color, religion, gender, national origin, ethnicity, veteran status, disability status, age, sexual orientation, gender identity, gender expression, marital status, mental or physical disability or any other legally protected status.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=83255&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_529f6dce&cb=1543609430991&jobListingId=3042639991"
"Business Analyst","Inconen","Chula Vista","CA",""," Business Analyst Location: Chula Vista, CA  Pay Rate: $55.12/hr  Duration: 6 month contract  Shift: First *MUST be a U.S. CITIZEN; NO DUAL CITIZENSHIP***NO RELOCATION COMPENSATION/NO PER DIEM SPLIT**Role Overview: Understanding all configuration definition and cost impacts in support of change pricing for non-recurring & recurring change pricing proposals including fact-finding, renegotiations, and support of various supplier contractual obligations with cost and pricing implications.  Cost non-recurring and recurring estimates for nacelle & pylon products in support of the procurement organization for supplier contract pricing proposals and claims. They are also expected to provide input to, use and understand cash flow models related to supplier proposals. Documentation of assumptions and systematic revision control of source data related to their estimates is required. Perform comparative cost analysis for Sr. leadership and Passport reviews.  Cost estimates, cash flow preparation, analysis, and maintenance. Support Procurement and Finance senior leadership with bid and proposal financial scenarios. Interface with functional support teams to ensure deliverable due dates are met and reviews inputs for reasonableness.  Candidate must exhibit leadership skills, demonstrate professionalism, customer service, job ownership, teamwork, ethical behavior, and a commitment to continuous improvement. Qualification/Requirements: â€¢ Knowledge of SAP system, Team Center & Catia V5.  â€¢ Strong interpersonal & emotional intelligence skills; team player and ability to work with a broad base of technical, operations and finance peers at various levels of the organization.  â€¢ Familiarity with product structure & reading engineering drawings and Catia Models.  â€¢ Understanding of labor & overhead rates, standard-to-actual ratios, & material factors.  â€¢ Concise communication skills, planning, and organizational skills  â€¢ Understanding of Continuous improvement and labor learning impact.  â€¢ Understanding of data analysis methods and data organization  â€¢ Ability to assist in the Basis of Estimate (BOE) development, implementing pricing assumptions, and preparing a complete pricing proposal. Additional Required Skills: â€¢ 3-5 years of experience in a cost estimating or manufacturing engineering capacity.  â€¢ Sound reasoning and mathematical skills including an understanding of labor learning curve theories.  â€¢ Understanding of non-recurring and manufacturing labor processes and material utilization.  â€¢ Ability to rationalize RFP requirements into product cost implications.  â€¢ Strong understanding of cash flow modeling and financial analysis metrics, new business proposal process awareness, and confidence with explaining modeling scenarios implications and analysis.  â€¢ Ability to deal with stress and a flexible work schedule during tight proposal deadlines.  â€¢ Excellent computer skills: Microsoft Office products (EXCEL, PowerPoint, & Word).  â€¢ Ability to design and implement SAP BW reporting tools. Education: â€¢ Bachelor's Degree in Finance/Engineering (Manufacturing or Production)  â€¢ MBA a plus","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4322&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12c479fe&cb=1543609430992&jobListingId=3041159822"
"Business Analyst","LabCorp","San Diego","CA","$58k-$92k(Glassdoor Est.)"," Location San Diego, California Job ID 18-87840 Date posted 11/19/2018  As the Business Analyst on the Managed Care team, you will design and develop reports and analyze data to measure managed care and IPA performance. You will investigate key business problems through quantitative analyses of utilization. As the Business Analyst, you will act as a consultant to interpret and analyze data from multiple sources and recommend best approaches. Your analyses will be used to create valuable, actionable solutions to both internal and external clients. Business Analyst Responsibilities:Use operational analytical skills to design/develop, program, maintain and publish reportsInterpret and analyze client laboratory utilization, capitation, and membership data in support of managed care, and utilization analysesMake solid recommendations based on the analysis and provide explanations for reporting results for both internal operations and our customersMaintain a high degree of accuracy along with attention to detail, excellent oral and written communication skills, strong interpersonal skills and the ability to always meet deadlinesKey resource to othersIdentify potential areas for medical cost improvements and alternative pricing strategiesRemain highly organized and able to work well under tight deadlinesRequirementsLicense/Certification/Education:Bachelor's degree2+ years of work experience in a corporate setting2+ years of health care data analytics experience working with claim data and medical codesAt least an intermediate level of proficiency working with MS Excel / Access including formulas, calculations, charts, graphs, etc Shift1  ScheduleMonday-Friday 8:00 am-5:00 pm, additional days and hours may be required  Apply Now  Share FacebookTwitterLinkedInEmail Location  Check out where you could be working if you apply.  View Map  Join Our Talent Community Email: Interested In:Search for a category and select one from the list of suggestions. Search for a location and select one from the list of suggestions. Finally, click ""Add"" to create your job alert. Category:Location: Add + Training, San Diego, California, United StatesRemoveRemove Confirm Email  Explore More  Labcorp Specialty Labs  LabCorp and its Specialty Testing Group, a fully integrated portfolio of specialty and esoteric testing laboratories.  Learn More  Career Path  Career Growth at LabCorp.  Learn More  Cytogenetics  Help contribute to health care decisions nationwide.  Learn More  Application FAQs  What you need to know about applying at LabCorp.  Learn MoreSDL2017","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=283198&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa6b03ea&cb=1543609430992&jobListingId=3036073659"
"Data Analyst Intern","Sony PlayStation","San Diego","CA","$66k-$87k(Glassdoor Est.)"," PlayStation isn't just the Best Place to Play it's also the Best Place to Work. We've thrilled gamers since 1994, when we launched the original PlayStation. Today, we're recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.  This internship is for Summer 2019.  Sony Interactive Entertainment is looking for a Data Analyst Intern to become part of IT Applications team who manages the SIE Intranet, develops custom applications and workflows for revenue-generating business units, and trains SIE staff on the use of our IT applications such as Confluence, JIRA, Slack, Box & Google Apps for Work. Ideal candidates will have a strong desire to build both in-depth technical skills and an ability to develop exemplary client-facing skills. Candidate will implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks. Identify trends and opportunities for growth through analysis of complex data sets and generate forward looking insights for the business. Responsibilities:Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets.Work closely with IT teams and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision-makers.Create best-practice reports based on data mining, analysis, and visualization.Create and maintain rich interactive visualizations through data interpretation and analysis integrating reporting components from multiple data sources.Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data.Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible or scalable across data sets.Respond to requests for ad hoc analysis and investigate data inconsistencies.Qualifications:Bachelor's degree in Computer Science, Engineering, Mathematics or related1+ year experience mining data as a data analyst and visualizing using TableauAt least 1 year of full-time professional experience working extensively with databases such as RedShift, and/or MySQLProficient with Python or R as well as ExcelProven analytic skills, including mining, evaluation, analysis, and visualizationTechnical writing experience in relevant areas, including queries, reports, and presentationsStrong SQL or Excel skills with the ability to learn other analytic toolsStrong written and verbal communication skills Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, gender identity, marital status, genetic information or membership in any other legally protected category.  We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.  We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation.","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=134001&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fec7f2e9&cb=1543609430994&jobListingId=3005258160"
"Business Analyst","Rady Children's Hospital","San Diego","CA","$53k-$85k(Glassdoor Est.)"," Business Analyst - Healthcare  San Diego, California  ApplyJob ID 424 Date posted 04/24/2018 Schedule Full-Time Shift Regular Hours Full-Time Department CHOC MSOThis is a Casual with an anticipated assignment length through January 31, 2019 and subject to renewal thereafter. JOB SUMMARY:  Provides analytical, planning and coordination support on projects as assigned.Responsible for reviewing, interpreting, analyzing and illustrating data in a manner that stimulates and supports innovative and enlightened thinking and decision making.Provides analytical and database PC support.Serves as information systems liaison with vendors, Information Services, end users, etc.Responsibilities include Business Development support; database creation, development, monitoring, reporting and maintenance; facilitating Rady Children's Hospital enterprise system data linkages, makes recommendations for optimization of systems; ensure overall data integrity. MINIMUM QUALIFICATIONS:  Bachelor's Degree; will consider experience in lieu of degree  2 years of experience  Exceptional critical thinking and analytical skills, including system, process and business analysis for problem solving, product evaluation, and effective organization of responsibilities  Strong verbal and written communication skills and ability to interact professionally with diverse groups  Expert computer skills, extensive database experience and Microsoft Office applications skills  Strong project management skills PREFERRED QUALIFICATIONS:  4 years of experience  Master's Degree  Specific experience with Utilization Management or health insurance organizations  IND Apply","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_258d6ca7&cb=1543609430995&jobListingId=2746355370"
"BUSINESS","Scripps Health","San Diego","CA","","Change Lives Starting With YoursAt Scripps Health, you will experience the pride, support, and respect that has been repeatedly recognized as one of the nation’s Top 100 Places to work. You’ll be surrounded by people committed to making a difference in the lives of their patients and their teammates. So if you’re open to change, go ahead and unlock your potential.As Compensation Analyst, you will play an integral role in assisting in the development, implementation and administration of compensation programs. You'll accomplish this by participating in compensation surveys, maintaining job structures and documentation, evaluating jobs for market competitiveness, and reviewing base wages and total compensation for conformance to policy. Ensures adherence to FLSA, CA Fair Pay Act, special pay practices and all other pay regulations. You will also implement pay increases and administer incentive plans, maintain the integrity of the human resources information system, and alternate work schedule (AWS) programs and associated files.This is a full time, 8 hour Monday - Friday position. Required Education/Experience/Specialized Skills:Three years of experience in Human Resources or appropriate combination of education and experience.Strong interpersonal skills and ability to form effective, collaborative partnerships.Excellent communication, presentation and coaching skills.Highly organized and detail oriented with the ability to quickly and effectively handle multiple priorities and assignments to meet deadlines while maintaining professional composure.Effective listener, with the ability to identify problems and creatively apply solutions.Preferred Education/Experience/Specialized Skills/Certification:Certified Compensation Professional (CCP) certification.Bachelor's degree.Health care experienceScripps Health is repeatedly named on the Fortune Magazine’s 100 Best Companies to work for, only San Diego-based Company and Becker’s Healthcare Top Hospitals. Scripps Health offers a robust Total Rewards Program designed to compensate and motivate you throughout your career. Scripps Health Total Rewards Program includes a broad range of plans and programs including market competitive pay and performance incentives, health and wellness benefits, financial wellness benefits, work-life resources, learning and development opportunities, and rewards and recognition. Unlock your potential with Scripps Health today.Scripps Health is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex (including pregnancy, sexual orientation, or gender identity/expression), age, marital status, status as a protected veteran, among other things, or status as a qualified individual with disability.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=3839&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bb8e8141&cb=1543609430996&jobListingId=3039636052"
"Business Analyst","Seamgen","San Diego","CA","","Seamgen is looking for an experienced Business Analyst to join our Agile development team. In addition to requirements gathering, participation in the knowledge transfer and discovery stages at the start of a project, the Agile Business Analyst will help ensure the client’s product vision is reflected in the application we build.  Responsibilities  Meet with client during discovery and knowledge transfer stage to build requirements (may require up to 10%-20% travel) Convert the requirements gathered into user stories and acceptance criteria Collaborate with client subject matter experts and stakeholders to refine the requirements and acceptance criteria Participate in the Agile grooming and planning sessions to organize the epics, stories, and tasks Ensure epics, stories, acceptance criteria and their links to visual comps are kept up-to-date, especially after agreed scope changes Validate functionally against the acceptance criteria to identify any defects that require adjustment to meet acceptance criteria Experience  3-5 year minimum experience with requirements gathering and writing Strong understanding of Agile development lifecycle (Agile/Scrum) Experience in tools such as JIRA Studio, FogBugz, Rally, etc. Exceptional English written and verbal communication skills, including technical writing skills Ability to succinctly summarize and communicate key issuesRequirements Bachelors Degree in Information Technology or MIS preferred Minimum of 3 years of Business Analyst experience Highly organized with strong problem analysis and resolution skills Strong interpersonal, communication, and teamwork skills. Must possess ability to interact with peers in a high-bandwidth and collaborative fashion Must have creative and innovative aptitude to proactively suggest improvements to existing process and functions Language Skills: Exceptional written and verbal communication skills including technical writing skills. Candidate possesses the ability to succinctly summarize and communicate key issues Additional Skills & Competencies  Must be delivery focused and exercise good judgment to maintain high standards of efficiency","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_df28d074&cb=1543609430997&jobListingId=2850042782"
"Business Analyst","CoStar Group","San Diego","CA","$65k-$105k(Glassdoor Est.)"," Business Analyst Job Description Business Analyst  Seeking a full time Project Manager / Business Analyst who will be responsible for the implementation of feature enhancements and client data migrations / customizations in our Commercial Real Estate software. Candidates must have experience in one or more of the following areas: Software Project Management, Business Process Analysis & Re-engineering, Enterprise Software Implementation, Real Estate Software, and Commercial Real Estate. Responsibilities: Responsibilities include discovery and analysis of client requirements, aligning business processes with system features, designing reports, making functional recommendations, consulting on best practices, technical specification & documentation, project management, and application testing & support.  The Project Manager / Business Analyst will work hands-on with technical and non-technical internal team members, as well as directly with application end-users, and will direct technical resources within the division throughout all phases of each initiative. The Project Manager / Business Analyst is directly responsible for specific deliverables such as managing project plans & timelines, data conversion mapping & business rules, producing mock-ups and technical specifications for new report customizations and new application features, testing/QA, and troubleshooting & support. About CoStar Brokerage Applications: CoStar Brokerage Applications is a division of CoStar Group which develops, implements and supports software exclusively for the Commercial Real Estate industry. CoStar Brokerage Applications provides its users with a web-based, enterprise solution that enables users to manage transactions, client relationships and property/market research. CoStar Brokerage Applications currently serves over 150 firms in North America. Work Experience: Candidates should have 2-5 years of experience in managing software or other technology projects to end users. Required Personal Skills:Experience Managing Technical Implementations and Data ConversionsExperience Designing & Documenting Technical Specifications for Web-Based SoftwareExperience with Software Testing / QAExperience with Business Process Analysis & ConsultingUnderstanding of Basic Accounting PracticesDetail Oriented and Strong Organization SkillsSoftware Project ManagementCommercial Real Estate KnowledgeCustomer Service SkillsTime Management SkillsPMI Certification or PM TrainingRequired Technical Knowledge:Microsoft Project or EquivalentBasic SQL Server QueriesReport Design Experience (Crystal/SSRS/Other)Proficiency in Microsoft Office (Word, Excel, Access, Visio)Understanding of database design and relational databases CoStar Group is an Equal Employment Opportunity Employer; we maintain a drug-free workplace and perform pre-employment substance abuse testing","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=182759&s=58&guid=00000167664ab0bd970a90c875dabb55&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_22abea20&cb=1543609430998&jobListingId=3022013055"
