"Name","Company","City","State","Salary","Description","Url"
"Business Data Analyst","Quora, Inc.","Mountain View","CA","$96k-$141k(Glassdoor Est.)","Quora's mission is to share and grow the world's knowledge, and our data team sits at the core of helping the company makes the best decisions possible to ensure we achieve this mission.  Business Data Analysts are responsible for driving the analytics that surface opportunities in our people, marketing, operations, and sales teams. You will draw on your product and business knowledge, available metrics, insights from teammates, and your industry experience to know where to best focus quantitative efforts for maximum impact. You're capable of executing independently and are energized by ambiguity. We are a highly cross-functional team and recognize we have the most success in working together, and as a result you will build strong cross-functional partnerships with our partner teams. You're curious, driven, and excited to make a significant impact in helping achieve the company's mission.ResponsibilitiesDefine & socialize key metrics to evaluate the health of our partner business teams & programsDiscover & drive program initiatives through data driven recommendations and partner with cross-functional teams to implement/launch themDevelop & manage data models to bring order and insight to complex datasetsLeverage existing Python abstractions and/or other visualization tools to design and develop new user-facing tools & dashboarding systems to empower partner teamsCommunicate findings from data and analyses to senior stakeholders, influencing them to make the best decisions possibleRequirementsBachelor's or Master's degree in a quantitative field (e.g. Statistics, Mathematics, Computer Science, Economics), or equivalent experience2-5 years of work experience in consulting or a technology-related analytical roleCuriosity and passion for QuoraStrong analytical skills, with experience solving ambiguous problems using data and providing practical business insightsStrong process-oriented skills and drive to find the most efficient way to do things without sacrificing a high quality of work and/or resultsProficiency in SQL & ExcelFamiliarity with Python or a similar scripting language for analytical contextsAbility to partner cross-functionally with engineering, marketing, operations, product management, and/or salesExperience in working with large data sets and distributed computing tools (Hive, Redshift) is a plusExperience with data visualization (e.g. Superset, Tableau) technologies is a plusExperience with data pipeline tools (e.g. Airflow) is a plusWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=361130&s=149&guid=000001676659d44ba783e6af7b813852&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7f4b83a8&cb=1543610422867&jobListingId=2996861823"
"Microsoft Dynamics CRM Business Analyst","IBM","San Jose","CA","$75k-$118k(Glassdoor Est.)","Job Description IBM Services is a team of business, strategy and technology consultants enabling enterprises to make smarter decisions and providing unparalleled client and consumer experiences in cognitive, data analytics, cloud technology and mobile app development. With global reach, outcome-focused methodologies and deep industry expertise, IBM empowers clients to digitally reinvent their business and get the competitive edge in the cognitive era in over 170 countries.Bottom line? We outthink ordinary. Discover what you can do at IBM.IBM Services is seeking Microsoft Dynamics Customer Relationship Management (CRM) Business Analysts to collect and analyze requirements and solve client problems using Microsoft Dynamics CRM solutions. You will serve as a liaison between clients and project consultants, particularly during initial project phases. You will work primarily on project execution but may be involved in sales support as well.  Microsoft CRM Business Analysts are responsible for identifying, developing and deploying end-user solutions in CRM systems. Using your deep functional knowledge and familiarity with the Microsoft Dynamics CRM application, you will ensure that client business requirements are met while providing a variety of advisory services around project management, business process development, implementation support and end-user training.Primary Responsibilities:Project ExecutionSupport the translation of client business requirements into CRM solutions, including requirements approval, communication, traceability and reuseContribute to the transfer of functional requirements to development and test teamsUse CRM workflow technology to automate business processesStay abreast on updates and new releases in CRM technologies (Microsofts and its competitors)Educate end-users on CRM functionsSales SupportHelp determine and translate customer needs into a solution and approachContribute to proposal developmentContribute to scope, approach, and estimating input to the proposal teamContribute to and participate in client demonstrations and presentationsAdditional skills required:Microsoft Office Suite, specifically Microsoft Word, Excel, PowerPoint, and VisioTeam Foundation Server (TFS)Familiarity with Microsoft technologies/trendsStrong analytical, presentation, and writing skillsBENEFITS Health Insurance. Paid time off. Corporate Holidays. Sick leave. Family planning. Financial Guidance. Competitive 401K. Training and Learning. We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population. http://www-01.ibm.com/employment/us/benefits/https://www-03.ibm.com/press/us/en/pressrelease/50744.wssCAREER GROWTH Our goal is to be essential to the world, which starts with our people. Company wide we kicked off an internal talent strategy program called Go Organic. At our core, we are committed to believing and investing in our workforce through: Skill development: helping our employees grow their foundational skillsFinding the dream job at IBM: navigating our company with the potential for many careers by channeling an employees strengths and career aspirationsDiversity of people: Diversity of thought driving collective innovationCORPORATE CITIZENSHIP With an employee population of 375,000 in over 170 countries, amazingly we connect, collaborate, and care. IBMers drive a corporate culture of shared responsibility. We love grand challenges and everyday improvements for our company and for the world. We care about each other, our clients, and the communities we live, work, and play in!http://www.ibm.com/ibm/responsibility/initiatives.htmlhttp://www.ibm.com/ibm/responsibility/corporateservicecorps Candidates that live in or near one of the following cities preferred, but all candidates considered: Atlanta, Chicago, Columbus, Houston, Dallas, Raleigh, Washington DC Metro Area, Piscataway, Philadelphia. GBSEA17RWMS Required Technical and Professional Expertise At least 3 years team lead experience or management experience of 5+ team members (management consultant only)At least 2 years project experience in enterprise business application development and delivery (e.g., CRM, ERP, SCM, HCM)At least 1 year project implementation experience using Microsoft Dynamics 365, Microsoft Dynamics CRM online, or Microsoft Dynamics CRM 2016, 2015, or 2013At least 2 years project experience translating client business needs into software capabilitiesAt least 2 years project experience with business requirements analysis and modelingAt least 2 years project experience creating functional designs, test conditions and test scriptsAt least 2 years experience working within a team environmentBasic knowledge of software development methodologies (Waterfall and/or Agile) Preferred Tech and Prof Experience At least 2 years consulting experience working for a global systems integratorMicrosoft Certified Professional (MCP)At least 1 year project experience working with Microsoft Dynamics 365 Operations or Microsoft Dynamics AX 7, 2012, or 2009At least 1 year project experience working with global and offshore project teamsAt least 1 year experience with system integration or user acceptance testingAt least 1 year experience with organizational designAt least 1 year experience with business process design or re-engineeringAt least 1 year experience with developing and implementing end-user training programsAt least 1 year experience implementing or using CRM systems to support sales and marketing functionsAt least 1 year experience implementing or using CRM systems to support customer service, call center, or field service operations EO Statement  IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status. ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=140152&s=149&guid=000001676659d44ba783e6af7b813852&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_94006c75&cb=1543610422873&jobListingId=3011870144"
"Business Analyst","Apple","Santa Clara","CA","$82k-$131k(Glassdoor Est.)","Summary Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.  The people here at Apple don’t just create products - they create the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it.  Three or more years of data analytics experience.  Validated experience with quantitative and financial analysis.  Comfort working with ambiguous and unproven data.  Expertise working with large volumes of data while realizing limitations of small samples.  Big data skills are less relevant than strong eye for business.  Extraordinary analytic, problem solving, written/oral presentation skills.  Aptitude for synthesizing complex data into key components that drive informed decisions.  Attention to detail and comfort with presenting to leadership.  Flexible and able to multitask in a deeply dynamic business.  Comfortable working cross-functionally, and across organizational levels in global geographies.  In this role, you will regularly balance ad-hoc requests with long-term projects and initiatives. We are looking for the ability to see beyond the data and translate information into actionable business insight. We value fluid transition from an investigative to a big picture perspective, adjusting to the audience and objectives. Work to identify, evaluate and prioritize opportunities for operational improvements. Education & Experience BA/BS in mathematics, economics, statistics, engineering, operations research, or related quantitative social/physical science MBA/MS a plus  Apple is an equal opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants. ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=135079&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f3340b56&cb=1543610422876&jobListingId=2888616777"
"Business Analyst","Stryker","San Jose","CA","$87k-$124k(Glassdoor Est.)","Who we want Business-oriented evaluators. People who effectively interpret information to demonstrate the effects of business initiatives, regulation and industry trends for sales, management and leadership teams.  Self-directed imitators. People who take ownership of their work and need no prompting to drive productivity, change, and outcomes.  Collaborative partners. People who build and leverage cross-functional relationships to bring together ideas, information, use cases, and industry analyses to develop best practices.  User-focused creators. People who imagine with the user in mind, developing technology that helps foster business strategies. What you will do As a (Lead) Business Analyst you will own the overall results in planning, requirements gathering, functional design, testing/validation, and deployment of business sponsored system enhancements and issue resolutions. You will work with Business Process Owners to gather and analyze data and ensure complete documentation of user stories (business requirements) and functional designs to align with defined business ROIs and success criteria. Collaboration is a key skill in this role. Partnering with your IT/IS counterparts, you will translate business requirements to functional specs that will design system capabilities and leverage best practices. Lead the delivery of system enhancements and projectsCoordinate responsibilities amongst the BAs and Assoc. BAs on the teamEnsure the quality and data integrity of operational CRM systemsLead the delivery of data governance and systems administrationPartner with Business Process Owners to analyze requests and strategize ROI-based prioritizationsCoordinate with IS counterparts on system enhancements and reported incidents - accountable for timely and accurate deliveryLead Regression testing and stay connected to divisional and global CRM launches on our shared platformResearch industry analysis around CRM and apply to job functionsStay up-to-date on CRM platform upgradesWhat you needBachelor's degree or equivalent4 or more years' experienceProfessional experience with Salesforce.com and/or other CRM platformsProfessional experience in systems administrationTechnical understanding of Middleware, ERP, and Business IntelligenceStrong organizational, problem-solving, and analytical skillsWorking knowledge of data collection, data analysis, and report creationProficiency in Microsoft Excel, Word, PowerPoint, OutlookAbility to manage priorities and workflowOther Things to Consider:Industry training is available to each team member on a yearly basis - whether conferences, online courses or onsite group trainingOur team can take advantage of flexible work hours when needed -development activities do not need to always take place in the office","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=25074&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f4307632&cb=1543610422878&jobListingId=3003311017"
"Business Analyst","Omlet Inc.,","Mountain View","CA",""," Omlet Arcade is the community for mobile game streamers and e-sports. Every month we bring millions of gamers together to show off their gameplay and make new friends. We hatched up Omlet Arcade to serve the next generation of gamers; those who no longer need PCs or consoles due to the overwhelming power of the phones at their fingertips. This year has shown we're on the right path as AAA games like Fortnite and PUBG light up our mobile screens. In 2019, Omlet is taking it to the next level, bringing mobile e-sports to the world by empowering players with the tools they need to strut their skills, build amazing teams, and have a blast competing with each other.  You will be responsible for turning data into information, information into insights and insights into key business decisions, that steer the strategic direction of the company. The right person for this role thrives in a fast-pace environment, loves problem-solving and is a strong communicator. If you are someone who gains personal satisfaction from transforming data into knowledge for business insights, then this is a great role for you.  Responsibility Build data visualizations and cross-functional reporting that conveys key performance metrics, significant trends, and relationships across multiple data sourcesUse internal and external analytics tools, SQL, scripting languages to access and analyze multivariate dataInterface with engineering and business units to drive key operational metrics and KPI/s for enabling business success and value-addition within data and analytics domain.Translate business functional requirements into technical specifications for the associated engineering teams, by working with the relevant program managers.Collaborate with Data teams and Program Management to design process improvements for a diverse set of internal and external tools, responsible for accessing and delivering business data.Operationalize support requests across the business community by mapping to the relevant data teams with specific guidance on success criteria and relative priority. Requirement: A Bachelors or Masters in Computer Science, MIS, Statistics, Economics, Mathematics, etc.4+ years of experience as an analyst in a data and analytics domainJedi SQL skills for complex querying, analysis, performance optimization, and persisting dataStrong working knowledge of data visualization tools like Tableau, with strong storytelling skills for technical and non-technical audiencesDemonstrated ability to work across technical and business stakeholders and transform vague business questions into data-driven insights and recommended actions.Experience working in R/Python/Spark on statistical modeling, machine learning, experiment design and evaluation.Strong understanding of data warehousing concepts, design, modeling and familiarity with data engineering (Hadoop, Hive, Presto, BigQuery, Snowflake, Redshift, etc.)Experience working with web analytic tools (particularly: Google Analytics, Google Search Council, etc.)Exceptional written and oral communication skillsPerks & BenefitsCompetitive SalaryMedical, Dental, VisionUnlimited PTOFree catered lunch through Door Dash 5 days per weekFriendly working environment","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=160631&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_214d6212&cb=1543610422879&jobListingId=3017293003"
"Business Analyst","Amazon","Palo Alto","CA","$78k-$125k(Glassdoor Est.)","Job Description Amazon Advertising creates powerful, customer-focused solutions for advertisers of all sizes. Our Ad Tech team builds the business programs and ad serving systems to enable campaigns to run across billions of advertising queries every day. The result is better performance for advertisers and publishers, and more relevant ads for customers. Our data platform processes massive data sets to develop business intelligence and analytics that are critical for the efficiency and profitability of our advertising business. Amazon Publisher Services (APS), a core part of Amazon's Advertising business, helps publishers of all sizes increase monetization and yield. Through its marketplaces (Transparent Ad Marketplace and Unified Ad Marketplace), APS provides publishers with convenient access to both Amazon demand as well as diverse, high-quality third-party demand.  The 3P Buyer team is seeking an experienced Business Analyst who will dive deep into complex data sets to identify actionable insights that drive great business decisions. The analyses you create will help drive buyer customer adoption, ad performance, and retention. To be successful in this role, you will need to define and produce metrics/dashboards for business teams, execute data extraction and transformation directly on big data systems, and develop hard-hitting analyses to solve complex business challenges. You are an analysis expert and a data evangelist who leverages a variety of platforms and analytical tools to extract critical insights from massive data sets. Responsibilities: · Analyze data to find actionable insights that lead to great business decisions and new opportunities · Collaborate with key stakeholders to translate business questions into verifiable hypotheses using complex, multi-source data · Build dashboards and custom reports to track key metrics, empower other team members with data, and investigate business questions · Execute deep-dive analyses addressing key business issues and present findings to stakeholders · Demonstrate great judgment in quickly forming actionable, data-driven conclusions in the face of uncertainty · Proactively make recommendations for new tests and initiatives to improve key metrics and customer outcomes  · Enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format · Play an active role in strategic & operational planning discussions Joining this team, you’ll experience the benefits of working in a dynamic, entrepreneurial environment, while leveraging the resources of Amazon.com (AMZN), one of the world's leading internet companies. We provide a highly customer-centric, team-oriented environment in our offices located in Palo Alto, California.Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Basic Qualifications · Bachelor's degree in Computer Science, Statistics, Engineering, Business, or related discipline · 3+ years of relevant experience in a business analyst, data analyst, or statistical analysis role · 2+ years of experience analyzing large datasets to solve business problems and presenting results· 1+ years of experience working directly in the advertising or ad tech space · Advanced knowledge of Excel & SQL  · Proven analytical and quantitative skills with an ability to use data and metrics to back up assumptions, develop business cases, and complete root cause analyses · Knowledge of fundamental statistical concepts for data analysis · Ability to dive deeply into data integrity issuesPreferred Qualifications · Experience extracting, cleansing & manipulating data using SQL and Hive/Hadoop · Eager to learn and employ new technologies to achieve faster and better results · Ability to take loosely defined business questions and translate them into clearly defined technical/data specifications · Experience with BI / data visualization tools · Excellent communication (verbal and written) and interpersonal skills, able to communicate effectively with both business and technical teams.· Strong knowledge of programmatic advertising spaceApply Now at Amazon","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=133043&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_946a26ef&cb=1543610422880&jobListingId=3015027018"
"Business Analyst","FiveBy","San Jose","CA",""," Business Analyst  FiveBy is a high-end specialty services consultancy focused on cyber forensics. We are a team of specialized and talented people delivering programs and services to customers who need our support in that space, and were looking for a Business Analyst to help in our mission of fighting digital crime.  Are you ready to innovate, influence, transform and inspire on cutting-edge tech? We encourage you to apply to learn more!  This is a unique opportunity to be part of a team that uses data science to build products which are impactful to the software ecosystem. This position will specialize in data and research PR, working on a team that releases regular data reports and surveys and shares expertise, insights and research with stake holders.  Were looking for someone who is comfortable with data, has a solid understanding of our product goals and can find a compelling, meaningful story within a spreadsheet.  Responsibilities: Develop, drive and produce reports using data analyticsLeverage reports and talking points for internal and external use.Work with an amazing team of data and product specialists and coordinators.Develop strategies and story angles to make research accessible and relevant and find opportunities for experts to be thought-leaders on related issues.Research, evaluate, and present statistical methods to provide actionable insights.Solve strategic business problems leveraging data and analysis in support of the project and teams.Initiate and execute applied analytical projects.Design and lead analytical efforts that impact the business.Communicate findings to team leadership. Qualifications: 3+ years of experience using SQL.3+ years of experience in advanced data analytics, mathematical modeling, operations research, quantitative analysis or data modelling.A goal-oriented critical thinker.A curious, natural storyteller with an interest in economic trends and experience using data to find and tell relevant, accessible and compelling stories.Bachelors or higher degree in Data Analytics, Statistics, Machine Learning, Mathematics, Physics, Engineering, or related disciplines.Experience working with relational database design, multidimensional database design, OLTP, OLAP, KPIs, Scorecards, and Dashboards.Ability to drive ideas from inception to completionAbility to communicate complex quantitative analysis in a clear, precise, and actionable mannerCapable of learning and creatively applying analytical techniques such as dynamic linear models, graphical models/probabilistic programmingAbility to form questions/ hypothesis about the business and then follow through on them through data analysis and reportingAbility to move very quickly, juggle multiple urgent priorities and work on a tight deadline.A good listener with experience managing or mentoring people.Excellent interpersonal and relationship skills. FiveBy is an EEO employer.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4341&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d3a500c3&cb=1543610422882&jobListingId=3028587490"
"Business Analyst","Cisco Systems","San Jose","CA","$79k-$123k(Glassdoor Est.)","Cisco IT – We Are Hiring! In Cisco IT, we have a rare opportunity- we actually get to use the technology we build!  We are Innovators. We drive innovation to propel business transformation while maintaining operational flawless.  We are Accelerators. We accelerate digital solutions to generate cost savings and productivity gains for enterprise growth and success.  We are Transformers. As customer zero, we transform the customer experience by being our own customer first.  With agility, quality, and security, we continuously deliver business outcomes.  Join us in delighting our customers and empowering our employees. Apply today! What You'll Do Are you someone who gets great satisfaction from making a difference? Cisco seeks a strong Business Analyst to join some of the industry’s brightest minds in providing dedicated support to our Tax & Customs business. Some of the expectations are to: perform in depth business analysis mainly in the areas of Order to Cash, Accounts Payable & Accounts Receivablesbe the Go-to-person for local Business operationsown and develop requirement documents – working through assess & discovery phasework on various projects & work you're doing that can be contending prioritiesengage with Cisco global teams located across different geos to design and develop effective business solutionsliaison between Project Managers, IT Solution & Development teams and Partner Business teams – convert business cases into actionable requirements for project deliveryown and support Change Management deliverablesdevelop Training materials for Business Operations & Stakeholders prior to project releasesconduct system demos & CRP sessions with various Business teamsWho You'll Work With In this role you will gain insight into the detailed functionality of Cisco IT ecosystem and partners with all distributed elements of Order to Cash. You will be exposed to all of Cisco’s offerings/services/technologies and will have a significant influence in driving improvements. Who You AreHave strong knowledge of commercial business processes (Finance & Accounting, Tax & Customs)Hands on experience with the OneSOURCE (Sabrix), EB Tax, Oracle IntegrationDesign thinking and solution orientedExcellent verbal and written English communications skillsResponsible individual with commitment and dedicationAbility to work independently, prioritize and meet demanding deadlinesImplemented Tax solutions in similar organizationsMinimum QualificationsYou've achieved a Bachelors in a technical discipline plus and have 5-10 years of experience in an IT industry.You also have 2-5 years’ experience leading a team while acting as a liaison with external/internal customers.You possess good technical experience with Russia ERP systemsCan communicate for success and have the ability to work with internal and external executive level customers with confidence while providing an extraordinary experience.You're passionate about teamwork and collaboration.LANGUAGE: Russian a requirementWhy Cisco At Cisco, each person brings their unique talents to work as a team and make a difference. Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people. We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.We connect everything – people, process, data and things – and we use those connections to change our world for the better. Colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco  Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133046&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6bfb64b4&cb=1543610422884&jobListingId=3042534479"
"Business Analyst","GlobalLogic","Sunnyvale","CA","$99k-$155k(Glassdoor Est.)","Minimum Qualifications 7+ years of experience as a business analyst building and enhancing enterprise-class systems (Lead/design projects in previous experience) Strong business analysis, requirements gathering, documentation, testing and project management skills Exhibit subject matter expertise is any/some areas Demonstrated ability to work independently, follow through, and use critical thinking to achieve success Good communication & client interaction skillsPreferred Qualifications MIS/MS degreePrior development experience Experience with relational databases and SQL Strong analytical skills Experience in enterprise contractingJob Responsibilities Deliver requirements documentation, systems configuration, user documentation, training and test scripts Manage the deployment, testing & quality assurance process Organize and manage project work for predictable delivery across multiple initiatives End-user application support during business hours Design, execute, and perform quality checks on data review procedures Ability to operate effectively and independently within a large team","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=215203&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd0e66e8&cb=1543610422885&jobListingId=3037678360"
"Business Analyst","TCS","San Jose","CA","$66k-$107k(Glassdoor Est.)"," Position: Business Analyst  Location: San Jose, CA  Duration: Contract  Role Description  Domain knowledge  Evaluating multiple options before helping a team settle on a solution  Documentation and Specification Skills  Business Level (how the business work flows operationally)  Software Level (how the software system supports the business workflows, often completed through functional requirements models like use cases or user stories)  Information Level (how data and information is stored and maintained by an organization & Data modelling techniques) Competencies PL/SQL, Dynamic Scripting Languages  Essential Skills  Good Problem Solving Skills  Evaluating multiple options before helping a team settle on a solution  Documentation and Specification Skills Technical Skills on SQL, Scripting Languages  Methodology Skills (Agile Business Analysis)  Need strong communication skills  Desirable Skills  Good Analytical, Communication and Domain skills  Best Regards  Zain Rahman  Enterprise Solutions Inc.  Office: # 408-333-9378 E-Mail :Gmail :","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=50256&s=58&guid=000001676659d44b8722a6f1e0b356d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_85186515&cb=1543610422887&jobListingId=3042513412"
