"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","HCSC","Chicago","IL","$61k-$93k(Glassdoor Est.)","Description: ""As the health care industry continues to rapidly transform, our IT team conceives, develops and delivers impactful technology solutions to support access to quality, affordable health care for our members. We are driven by our collective company purpose: To do everything in our power to stand with our members in sickness and in health®. Our IT team unleashes the power of this purpose through technology. We come to work every day to make a difference, and we deliver the highest quality and best solutions to our members."" Job Purpose: This position is responsible for leading the development of functional and non-functional business requirements; working with the Business Solutions Lead to understand business strategy and translate into product requirement. Job ResponsibilitiesLeads the analysis, development, documentation, and communication of functional and non-functional business requirements for new solutions and Leads the elicitation, analysis, development, documentation, and communication of business requirements.Represents business/stakeholder interests by understanding and interpreting business needs and value to implementation.Works with the Business Solution Lead and Business Architect to understand business strategy and translate into product requirements.Works with Application Architect, Solutions Architect (or Data Architect) to translate requirements into Epics/User Stories.Interpret and validates business requirements during the project delivery process.Participates in strategy discussions and other business unit (BU) discussions to understand and capture high level business needs.Develops the Requirements Plan for complex projectsCommunicate and report effectively to all audiences and can speak at a technical level when engaging development resources, and, can tailor communication to business stakeholders.Assists both innovation and strategy development with effective business analysis, as appropriate.Able to lead, mentor and manage teams of Associate / BA in this competency.Attend and contributes leadership meetingsRequired Job Qualifications:Bachelor Degree and 2 years Information Technology experience OR Technical Certification and/or College Courses and 6 year Information Technology experience OR 8 years Information Technology experience.Knowledge of system architecture and application portfolio.Knowledge of requirements management and/or prototyping (ALM, Jira, RallyDev, Balsamiq, iRise).Ability to simplify & standardize complex concepts and/or processes.Project management skillsRequirements definition and management.SDLC, Iterative, Agile, OWF, and /or Scrum development.Problem solving and/or analytical thinking.Possess ability to manage workload and manage multiple priorities, as applicable.Excellent communication and interview skillsPreferred Job Qualifications:BA certificationBlueChip claims and membership systems experienceHCSC Internal division and system architectureHCSC suite of benefit product knowledgeRequirements gathering and developmentFacilitate Webex/Meetings with agenda methodology experienceMaster Degree in Business or a BS in Business preferredCA Location: IL - Chicago  Activation Date: Monday, November 26, 2018  Expiration Date: Saturday, December 8, 2018 ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=413526&s=149&guid=000001676c28d63cae1c5d6e812d8bfe&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6fc663ba&cb=1543707875420&jobListingId=3043166550"
"Business Analyst","Kforce","Chicago","IL","","RESPONSIBILITIES:Kforce has a client that is seeking a Business Analyst in Chicago, Illinois (IL).  Responsibilities:  Performs and coordinates the analysis and design of business systems Develops and maintains a thorough understanding of the needs of the assigned customer group from the business and technical perspective Works closely with clients and with other system groups to capture business requirements and see them through implementation Develops and executes systems testing Acts as a liaison between the business user groups and the technical systems groups Review and analyze client tax information across various systems Perform data and tax package analysis as well as year-end controls and verification Create and distribute the 1099s, 1042S forms, and tax packages Ensure adherence to procedures, control policies, and service level agreementsREQUIREMENTS: Knowledge of IRS requirements with focus on information reporting and withholding (preferred) Proficient computer skills with an emphasis in Microsoft Office (Advanced Excel & Database) Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=226626&s=149&guid=000001676c28d63cae1c5d6e812d8bfe&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ffc796ed&cb=1543707875422&jobListingId=3042525656"
"Analyst","Hall & Partners","Chicago","IL","$37k-$59k(Glassdoor Est.)","Who we are We help our clients build brand relationships that matter, that are commercially and emotionally rewarding. We do this by understanding people and closing the relationship gap between businesses and people.  Our positioning is as a strategic brand consultancy, powered by data and insight. We work with some of the world’s biggest companies shaping their brand relationships for them.  We do this through disciplined strategic thinking. This then acts as a driving force to extract hidden insights from further research investigation and data analytics.  Role  We have an exciting opportunity for an Analyst to join our team. You’ll work on a range of projects and client accounts, analyzing and interpreting data and providing engaging, actionable insights for our clients.  We’d love someone with a passion for communications and a keen interest to expand their skills in all types of research techniques and solutions including qual and quant techniques as well as mobile, digital and social media.  You’ll need to be proactive and have excellent organizational skills to respond to a wide range of requests and challenges. This role will be perfect for someone who loves getting under the skin of brands to passionately and confidently deliver the latest insight stories for our clients.  We are open to a variety of backgrounds including people with a passion for marketing, digital, analytics, social media, mobile, semiotics, human behaviour and psychology. Core responsibilitiesSupports the team in managing positive day to day client relationships.Develops an awareness of the client’s business, including press coverage, their media laydown and digital strategy and previous projects, research and campaigns.Understands our strategy and embraces new products, technologies and methodologies in client work.Takes opportunities to present at internal meetings or training sessions to develop skills.Develops a strong understanding of different research methods.Develops key research skills including drafting and managing the execution of complex surveys; presenting data clearly and accurately; planning and undertaking analysis; interpreting data and preparing summaries.Manages and optimizes timelines for research projects, collaborating with experts as needed. Ensures accuracy and attention to detail in all phases of a project.  Writes clear and inspiring insight stories for clients.Shows a passion for the digital media landscape, actively applying our Digital Dos and using tools to analyze social data, developing bespoke reports for clients. Capable of gathering and analyzing data from different sources.Stays up to date with developments in our industry and beyond with particular attention to trends, social media, consumer behavior and data/analytics.Helps identify ways in which to improve efficiencies on client accounts and develop automated solutions. Key attributes  Courageous. Proactive, gets involved and makes decisions when needed.  Creative. Demonstrates a love of people and brands, steps outside the ordinary to surprise and delight clients. A problem solver, thinking pragmatically to make the complex simple.  Curious. Shows a hunger to learn, innovating and experimenting at work. Embraces new ideas and ways of working. Willing to learn integrated approach to research and expand skills into strategic consultation.  Collaborative. Great at working within team environments and getting stuff done together.  Strong organizational skills. Able to prioritize to deliver outstanding quality on time.  Good presentation and storytelling skills.  Highly motivated and driven, with a hunger to understand our business and grow.  We’ve been told that our culture is unique, it’s a difficult thing to put into words but it’s all about being challenging yet treating each other with respect. We are naturally curious and we love to learn and discover new things.  We nurture opinions and really respect people who have a point of view and aren’t afraid to share their thinking. We work as teams and responsibilities sit with everyone in that team, whatever their job title. A can-do attitude goes a long way in our business and we don't tolerate egos!  We are passionate about helping our people to learn, stretch and grow. We want this to be a place where people feel challenged, as well as guided and supported.  We have a Learn calendar packed with opportunities to attend interactive training sessions. From “OutsideIn” sessions with industry experts to “15 minutes of Fame” sessions with colleagues to share the amazing work we do, there are lots of ways to build your skills for the future.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=302778&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c0c17c1a&cb=1543707875423&jobListingId=3002608301"
"Operations Analyst","Tempus Labs","Chicago","IL","$46k-$70k(Glassdoor Est.)"," Passionate about making a difference in the world of cancer genomics?  With the advent of genomic sequencing, we can finally decode and process our genetic makeup. We now have more data than ever before but providers don't have the infrastructure or expertise to make sense of this data. We're on a mission to connect an entire ecosystem to redefine how genomic and clinical data is used in clinical settings.  We are looking for an Operations Analyst to work with our Clinical Data team.  Responsibilities: Maintain clinical data abstraction pipeline, set team priorities to appropriately match commercial delivery timelinesMaintain research pipeline and capacityManage clinical data infrastructure, reporting, and KPIsCollaborate cross-functionally to ensure data is appropriately reflected and consumed by all Tempus teamsAd hoc projects to ensure operational excellence is maintained Qualifications: Bachelor's degree in analytics, business, computer science, finance or economics1-2 years of consulting, investment banking or operationsFamiliarity with SQL, Excel, and TableauExcellent project management skill, with proven ability to execute highly complex projects with multiple cross-functional stakeholdersAbility to effectively prioritize in a dynamic, and time sensitive environment with minimal guidanceImpeccable written and verbal communication skillsAbility to create tactical action plans and solve complex problemsHighly analytical, entrepreneurial, and self-motivatedSolution oriented mindset","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=393609&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f28ee5dc&cb=1543707875424&jobListingId=2842453759"
"Business Analyst","Sphera Solutions","Chicago","IL","$55k-$90k(Glassdoor Est.)"," Apply Now Business Analyst Chicago, IL, USA Req #149  Tuesday, October 9, 2018  Sphera, the former Operational Excellence and Risk Management business of IHS Inc. (“Company”) is a leading global provider of enterprise software and services that enable companies to manage and optimize their environmental, health, safety and sustainability (“EHS&S”) processes. Amongst a wide variety of use cases, the software allows customers to standardize and automate processes such as incident reporting, to monitor emissions and ensure regulatory compliance and to track chemical inventory throughout a manufacturing cycle. The company was recently spun off by IHS and acquired by Genstar Capital, essentially positioning it as a $100MM start up. Responsibilities:  Work with key project stakeholders and the customer to understand the overall business vision for a project and translate that into actionable objectives.  Provide a communication conduit between the business and technical community by interpreting and translating business needs into technical requirements.  Comprehend and document requirements from multiple stakeholders and conceptualize solutions.  Develop deep understanding of current systems and processes and analyze impact of changes as new solutions are introduced to the environment.  Collaborate directly with business owners, sales, QA and development teams.  Collaborate with other BSAs to manage interdependencies across the product suite.  Assist in developing and validating test plans.  Develop and provide product presentations and/or training to existing customer, and potential customers. Qualifications:  Must be able to qualify and maintain clearance to work on a U.S. military installation.  Communicate excellently with diverse groups of people inside and outside of the organization.  Ability to envision, document and clearly communicate end-to-end solutions.  Skilled in creating process flows and swim lane diagrams in Visio.  Ability to forge relationships with various business and technical team members and managers.  Excellent analytical and problem-solving skills.  Strong sense of ownership and accountability to deliver planned results  Extremely detail-oriented  Ability to thrive in a dynamic, fast paced, rapidly changing environment.  Knowledge of development processes and methodology including Agile and Waterfall techniques  Aptitude to understand business impact and business value of technical solutions.  Experience working with Department of Defense is a plus.  Knowledge of Environmental and/or Logistics Processes is a plus.  Ability to travel up to 25% of working time Education and Experience: Bachelor’s Degree in Computer Science, Information Systems, or a technology related field. Equivalent work experience may be substituted for education. Minimum 7+ years’ experience in an IT organization, preferably in software development.  At Sphera, we are working together to help our customers keep their people safe, their products sustainable and their operations productive. The best people don't want a job, they want to change the world and themselves. The best want to challenge the status quo. The best want to grow themselves and their careers. Come check out what Sphera has to offer and how that matches up with your career goals.  Sphera is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, age, gender identity, sexual orientation, marital status, parental status, religion, sex, national origin, disability, veteran status and other legally protected characteristics. ","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=372327&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc5178cc&cb=1543707875425&jobListingId=3018702590"
"Business Analyst I","Winston & Strawn","Chicago","IL","$61k-$91k(Glassdoor Est.)","This position can sit in either Chicago, Houston, Washington D.C. or New YorkPosition Summary:Reporting to the Manager, Technology Portfolio Management in Information Services, the junior-level Business Analyst I’s primary responsibilities are to elicit, analyze, validate, specify, verify, and manage the real needs of project stakeholders, including customers and end users. The role will work with firm personnel to define the functional, data and process requirements for various projects, facilitating the creation of sound, efficient and supportable solutions that meet the firm’s needs and improve current processes. In addition, this role will serve as the liaison between the customer community and the technical team, ensuring that documented requirements are implemented to the project stakeholder’s satisfaction. The ideal candidate is a detail-oriented critical thinker who can explain difficult concepts to non-technical users with ease.JOB DUTIES:Partner with project sponsors or subject matter experts to document a project’s business requirements with a focus on increasing business effectiveness and efficiencies, including development of project feasibility and cost-benefit analysesElicit requirements using interviews, document analysis, requirements workshops, storyboards, use cases, user stories, task and workflow analysis. Lead requirements validation activities to confirm that a solution based on the requirements would meet customer needs and achieve the business objectivesWrite requirements specifications using natural language simply, clearly, unambiguously and conciselyLead and facilitate ongoing requirements prioritization including managing changes to baselined requirements through effective and appropriate application of change control processes and toolsContinuously improve upon existing requirements practices. Assist with the expansion of the firm’s requirements engineering policies, procedures, and toolsImplement ways to reuse requirements across projectsPrepare recommendations for technological and business solutions based on project requirementsDevelop and maintain project objective(s), scope and work plan related to software development, implementations of new or modified applications and business processesCommunicate with project teams and management regarding the status of all ongoing projects including project issues and accomplishments. Ensure completion of project deliverables based on identified requirements and approved timelineWork closely with the Quality Assurance Manager to monitor and track defects identified during testing through resolutionCoordinate project rollout to the user community, including communications, documentation, reference guides and demonstrationsResolve user issues, questions, and inquiries, as well as other post-implementation tasksUnderstand integrations between all applications/systems maintained by the FirmResearch and analyze new technologiesWork on special projects as assignedMaintain professional and technical knowledge by attending educational workshops, reviewing professional publications, and establishing personal networksQUALIFICATIONS:Must be specifically listed on resume in order to be considered for this position:Bachelor’s Degree required, preferably in Business Administration, Project Management, Computer Science, or Information SystemsUp to 5 years of experience of law firm or relevant professional services environment experience, preferably on a global scale requiredCompetencies:2+ years overall business analysis or process improvement experienceExperience in information systems and/or applying technology solutions to business processesDemonstrable experience in eliciting requirements using interviews, meetings, document analysis, requirements workshops, surveys, business process descriptions, use cases, scenarios, tasks, and workflow analysisSkilled in conveying business requirements to the appropriate business leaders, and/or IS team members, and where necessary, with vendorsCapable of overseeing technical creation and implementation of business solutionsExperience with testing to ensure that project deliverables are metAbility to develop and maintain ongoing relationships with firm leadership, customers, stakeholders, and project sponsorsStrong information gathering and problem solving skills. Demonstrated ability to apply critical thinking to complex situationsExcellent oral and written communication skills. Ability to present detailed or complicated information in an understandable way to firm attorneys and staffExperience with non-US operations, especially in Europe and Asia, are beneficialClearance of Firm standard background checks is required. We value diversity in our workplace. EOE/Minorities/Females/Vets/Disabled","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=304384&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4b5d386f&cb=1543707875426&jobListingId=3009062685"
"Analyst, Business Analytics","Astellas Pharma US","Northbrook","IL","$96k-$119k(Glassdoor Est.)"," Developing innovative therapies is one of the most challenging, most essential and personally rewarding fields in science. This is the most exciting time to be a part of Astellas, a company with a uniquely collaborative and patient-focused culture. There's something special about working at Astellas. It's reflected in our focus on the people we serve, the way we treat each other and the results we achieve together as a company.  Astellas is announcing an Analyst, Business Analytics opportunity in Northbrook, IL. Purpose & Scope: The Analyst, Business Analytics is responsible for conducting analysis and reporting to provide actionable insights and recommendations to Sales, Marketing, and related internal functions to support achievement of brand objectives. Essential Job Responsibilities: * Collaborate with Sales, Marketing, and related functions to prioritize and develop key reporting metrics around brand objectives to support better and more informed business decisions * Conduct rigorous analytics to uncover new business opportunities and insights and establish benchmarks to support the development of actionable strategic recommendations based on findings * Identify, standardize, and automate integration of critical reporting metrics and modeling tools and adapt current reports and metrics to support evolving business needs and opportunities * Provide consultation and training on BI tools to ensure their use and effectiveness among users * Collaborate with other operational stakeholders to define, develop, and maintain business rules in alignment with internal policies and business needs * Identify, define and conduct ad hoc analysis as needed to support evolving business requirements and to provide timely business insights * Manage projects to include definition of scope and requirements, achievement of timelines, budgets, and deliverables * Conduct ad hoc analysis as needed to support evolving business requirements and to provide timely business insights * Manage, and support analytics and reporting functions and initiatives to include field force sizing and alignment, call targeting, customer segmentation, customer valuation, promotional response Collaborate with Sales, Marketing, and related functions to prioritize and develop key reporting metrics around brand objectives to support better and more informed business decisions * Conduct rigorous analytics to uncover new business opportunities and insights and establish benchmarks to support the development of actionable strategic recommendations based on findings * Identify, standardize, and automate integration of critical reporting metrics and modeling tools and adapt current reports and metrics to support evolving business needs and opportunities * Provide consultation and training on BI tools to ensure their use and effectiveness among users * Collaborate with other operational stakeholders to define, develop, and maintain business rules in alignment with internal policies and business needs * Identify, define and conduct ad hoc analysis as needed to support evolving business requirements and to provide timely business insights * Manage projects to include definition of scope and requirements, achievement of timelines, budgets, and deliverables * Conduct ad hoc analysis as needed to support evolving business requirements and to provide timely business insights * Manage, and support analytics and reporting functions and initiatives to include field force sizing and alignment, call targeting, customer segmentation, customer valuation, promotional response modeling, promotional mix optimization, sample and program utilization, and ROI assessments * Acquire and maintain proficiency among data systems, programs, and software resources, including Microsoft Excel, and Qlikview/QlikSense, to ensure optimal and efficient achievement of department objectives Quantitative Dimensions: * Achievement of Sales & Marketing goalsQualifications: Required * Bachelor's degree in Business related field required * 2-4 years of analytical experience that includes data analysis and reporting within the pharmaceutical or healthcare related industry * Possess strong interpersonal skills with the ability to effectively interact with all levels of employees including senior management * Extensive computer proficiency with desktop software in a Windows environment required: Microsoft Word; Microsoft Excel (VBA); Power Point * Working knowledge of various statistical modeling techniques and their application within complex analytical projects, e.g., regression modeling, promotion response modeling, ROI, correlation coefficient, etc. * Excellent skills in the following areas: organization, written and verbal communication, accuracy and personal initiative * Ability to work independently in a dynamic fast paced environment, with minimal supervision * Demonstrated ability in taking initiative to proactively evaluate existing sales strategies and recommend changes, when appropriate * Excellent organizational, planning and project management skills with a strong attention to detail and ability to effectively manage cross-functional projects  Preferred * Working knowledge of one or more programming techniques such as SAS, Microsoft Access, Excel, VBA macro is a plus * Working knowledge of pharmaceutical data sources, i.e., IQVIA, Symphony Health Analytics * M.S. in Statistics or Economics or other quantitative discipline is preferred, or MBA with Marketing Analytics/Decision Science Concentration *LI-CH1Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=431275&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_393c395f&cb=1543707875426&jobListingId=3011675710"
"Business Analyst II","Ace Hardware","Oak Brook","IL","$49k-$78k(Glassdoor Est.)","What you will do: Establish relationships with specific business partners and within IT; understand business processes to participate in the creation of IT solutions to meet business needs; participate in various efforts to support business processes. Translate abstract ideas into effective solutions that enable the business area to improve their processes and effectiveness. Determine the best way to integrate new functionality into existing business solutions. Assist the business area in determining how new technologies can be utilized to solve business problems. Main focus is on currently assigned functional area. Manage and/or coordinate and develop the requirements for small to medium projects. Understand and validate defined requirements to ensure requirements meet overall business strategy. Determine how ROI delivers added value to the business area.  . What you need to succeedCollege degree preferred or 5+ years of business analyst or IT experience or business analyst certification.Working knowledge of operational processes.Knowledge of systems development life cycle processes.SAP experience a plusUnderstanding of Project Management Methodology, Agile environment highly preferredGeneral knowledge of technical enterprise architecture.Merchandising or Ecommerce experience a plusSuperior communication skills.Ability to work in a team environment.Integrity.Sense of urgency.Personal accountability and ownership.Personal organization and attention to detail.Fundamental understanding of existing business solutions in order to Assist in integrating the existing business solutions and processes into longer term directions and plans.Enhance or replace solutions to integrate new functionality and meet business needs.Understanding of current technologies used by Ace to deliver business solutions.Strong facilitation skillsWe want to hear from you! When most people think of career opportunities with Ace Hardware, they often think of the helpful cashiers and sales associates at their local store. However, have you also considered the people behind the scenes who select, promote, ship and process the invoices for more than 75,000 products? Maybe you haven't, but we'd like you to. Because together we help our customers take care of their homes. Come find out why a career with the Ace Hardware Corporation is one of America's best kept secrets. Equal Opportunity Employer Ace Hardware Corporation and its subsidiaries are committed to a policy of promoting equal employment opportunities. The company recognizes the importance of diversity and leveraging the skills and talents of all people to the mutual advantage of each individual and the organization. The company is committed to the prevention of employment discrimination related to race, religion, color, sex (including sexual harassment), gender identity, national origin, age, marital status, disability and military discharge, or any other action covered by federal or state laws.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=208006&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8816dad2&cb=1543707875427&jobListingId=3002078479"
"Business Analyst / Financial Modeler","BTS","Chicago","IL","$62k-$94k(Glassdoor Est.)"," Job DescriptionWhat You’ll Do at BTS The greatest ideas in the world will die on the vine if not properly implemented. At BTS, we turn our clients’ ideas and strategies into results. We do this by designing customized learning experiences that drive innovation, alignment, and performance.  As a BTS consultant, you’ll work directly with leaders from some of the world’s leading corporations. Global 100 and 500 largest companies. You’ll learn how their business works and what their strategies are, and you’ll be shaping the leadership capabilities of their senior management.  Business Simulation Developers are responsible for designing and building the business simulations that are the foundation of the learning experiences we create. These simulations are often Excel-based, using VBA tools. The developer is key to conceptualizing and brainstorming with the design team to design challenges and experiences that will elegantly simplify and get to the core dynamics and tradeoffs of executing the client’s strategy in a competitive business simulation experience. In order to design these learning experiences, you’ll interview our clients’ executives and leaders, identifying the metrics and levers that are essential to the learning program. On site at a workshop, developers are responsible for processing the simulation results and presenting them to client audiences between 15-50 key decision makers.  There are no industry verticals at BTS, and you won’t fly to the same city every week for three straight months, sitting in a spare cube at the client’s office. You’ll work on multiple projects at one time, across different industries, and with different internal teams. You’ll travel when your team is facilitating a program. This comes out to approximately 50% of the time.  The rest of the time is spent creating the amazing experiences we provide for our clients. You’ll laugh a lot and have a lot of fun. And this is all done in a team-based setting where our entrepreneurial culture of freedom and responsibility empowers you to contribute from your first day.  Are you ready for an adventure? Read below to see if you’ve got what it takes…Required SkillsWhat We’re Looking For Curiosity. Creativity. Good listening skills. Executive presence. These are core attributes of BTS all-stars.  Intellectual horsepower with strong business and financial acumen. A love for problem solving and a structured approach to scoping and developer solutions to those problems. Excel skills and experience with programming languages are big pluses. Backgrounds in engineering, finance, science, math, or economics are well-suited. We have developers from all kinds of backgrounds, work experience, and education. We love diversity and variety.  We do have a few requirements. A Bachelor’s degree. Strong communication skills. Willingness to travel as indicated above. And eligibility to work in the US permanently without sponsorship.Job Location  Chicago, Illinois, United States  Position Type  Full-Time/Regular","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=294798&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_53f543e8&cb=1543707875428&jobListingId=3016782976"
"Analyst","Cision US","Chicago","IL","$44k-$69k(Glassdoor Est.)","Analyst: Business Intelligence/Competitive IntelligenceBulletin Intelligence, Remote- U.S.Bulletin Intelligence: A news-monitoring and analysis boutique within Cision, Bulletin creates bespoke, expert-curated briefings and dashboards for approximately 150 of the most demanding clients in the world; chief executives who are household names, and their Comms and other teams. Client contracts are for as much as $1mm per year. Annual client-retention rates are typically in the mid-90% range. Bulletin was acquired by Cision in March 2017. Location: Bulletin’s primary office is in Reston, VA. The company’s analysts are able to use the company’s cloud-based software to work anywhere in the U.S. that has a high-speed internet connection. Responsibilities: Our Analysts live at the intersection of digital information, public policy and markets and apply layers of sophisticated human judgment to the information explosion in order to deliver the essence of what our clients -- a who’s who of government and corporate leaders -- need to know to start their day.  Analysts work overnight, utilizing complex proprietary software, to scour tens of thousands of sources – mostly news, but also white papers, financial analyst reports, market research, business opportunities, etc. – and distill their core findings into quick-read briefing. Each briefing service is created specifically for each client, focused on (if govt) its unique mission and (if corporate) its company, competitors and industry.  Successful analysts distinguish between critical, important and non-essential information and must be able to provide insightful briefings that allow senior business executives to begin their day fully prepared. You will be part of a top team using cutting-edge technology in order to research and analyze changing events and information trends. Qualifications:Excellent writing and editing ability.Strong skills in competitive-intelligence analysis.Understanding the information needs of chief executives and their teams.Excellent computer skills and comfort learning advanced technical tools.Ability to work overnight and under tight deadlines.Demonstrated intellect and curiosity, often via a bachelor’s degree from a leading university; MBA, JD or industry-specific advanced degree helpful.US citizen or permanent resident.A plus: fluency in any non-English language often used in business. Bulletin Intelligence and Cision are Equal Opportunity Employers. All qualified applicants will receive consideration for employment without regards to race, color, religion, sex, national origin, gender identity and sexual orientation or protected veteran status and will not be discriminated against on the basis of disability. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact Human Resources at Recruiting@Cision.com.  Company Insights:Seamless, cloud-based workComprehensive health benefitsFlexible time off (PTO) programCasual dress codeFree parkingClose to Wiehle Metro (VA)On-site gym and deli (VA)Formal quarterly reviews that facilitate your success About Cision: Cision Ltd. (NYSE: CISN) is a leading global provider of software and services to public relations and marketing communications professionals. Cision's software allows users to identify key influencers, craft and distribute strategic content, and measure meaningful impact. Cision has over 3,000 employees with offices in 15 countries throughout the Americas, EMEA, and APAC. For more information about its award-winning products and services, including the Cision Communications Cloud®, visit www.cision.com and follow Cision on Twitter @Cision. EEO/AA employer M/F/D/V, 41 CFR 60–1.4","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=313392&s=58&guid=000001676c28d63c9fac716f7a19e5b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8724f8ef&cb=1543707875429&jobListingId=3017065865"
