"Name","Company","City","State","Salary","Description","Url"
"Analyst, Business Intelligence","Allegiant Travel","Las Vegas","NV","$62k-$83k(Glassdoor Est.)","What does a Business Intelligence Analyst do for Allegiant? Translates data into persuasive insight that answers key business questions. Understands and assists in the development of reporting, analysis and visualization of business data, metrics and measures in order to allow staff to align and track against overall business strategies, goals and objectives. Drives innovation, insight and decision making. What are some of the daily duties of a Business Intelligence Analyst?Design, develop, implement and maintain new reporting functionality and analytic applications across multiple business units using various business intelligence toolsCollaborates with business users and subject-matter experts to establish technical vision and analysis with regards to business usability and performance requirementsEnhance and maintain existing reports and analytical applicationsBuild predictive models and forecastsInteract with the DBA and Development teams for building of solutions, system maintenance, and report/application developmentAdministrates reporting services applications and ensures accurate and timely automated reportingAssists with implementation of data quality improvement processes and initiativesUnderstands the development of ETL (Extraction, Transformation and Loading) processes to acquire data from internal and external sourcesDevelop and maintain repeatable, systemic processes while finding ways to make internal team processes more efficientOther duties as assignedWhat are the minimum requirements to be a Business Intelligence Analyst?Degree Requirements: Bachelor’s degree with emphasis in Finance, Accounting, Computer Science, Management Information Systems, Mathematics and/or EngineeringExperience using MS Excel, R, and Tableau preferredExperience writing and interpreting SQL requiredSome experience with relational database and large, complex datasetsWhat other skills, knowledge, and qualifications are needed to be a Business Intelligence Analyst?Results-driven; accepting responsibility for individual performance and contributions to team projectsAbility to work with cross-functional groups in a collaborative environmentManages time effectively in order to meet timelines across multiple projectsStrong systems skills, with advanced proficiency in Microsoft Office (Word, Excel, PowerPoint, and Access)Ability to learn quickly and translate data into clear and actionable results, and strong organizational skillsTableau or SQL experience a plusExcellent critical thinker and effective problem solver with creative solutionsDetail oriented and highly organizedStrong oral and written communication skills, ability to present to senior managementDeals well with and finds ways to decrease ambiguityMust pass a background check and pre-employment drug screenMust have authorization to work in the U.S. as defined by the Immigrations Act of 1986What are the physical requirements of a Business Intelligence Analyst?Must be able to work in a high-pressure environmentMust have ability to safely perform the essential functions of the position Allegiant is an equal opportunity employer and will not unlawfully discriminate against qualified applicants or Team Members with respect to any terms or conditions of employment based on race, color, national origin, ancestry, gender, sexual orientation, age, religion, creed, marital status, military service status, union/non-union activity, citizenship status, or other characteristic protected by state or federal law or local ordinance. This includes compliance with all federal, state and local laws providing for nondiscrimination on the basis of disability in all aspects of the employment process and the requirement to provide reasonable accommodations to qualified individuals with disabilities in accordance with those laws.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=295630&s=149&guid=0000016765764874907336b220e66ce7&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_babb891c&cb=1543595510391&jobListingId=2797747283"
"Business Systems Analyst III - IT","NV Energy","Las Vegas","NV","$64k-$104k(Glassdoor Est.)","ResponsibilitiesBasic PurposeConducts analysis on projects, prepares associated business requirement specifications, designs, plans, tests and implements modifications and enhancements to various business systems. Applies technical and business knowledge, skills, and judgment to problem solve system issues. Provides on-going user business system support. Operates under general supervision.Essential Duties and ResponsibilitiesEnsures the integrity of operations and maintenance of business systems as well as interfaces into other systemsConducts high-level and detail analysis for moderately complex system enhancements, prepares associated business requirements specifications, designs, plans, tests, and implements modifications and enhancements to systemsDiagnoses and resolves system related problems and questions with respect to both maintenance and development activities. Interacts with Information Technology programmer analysts, database administrators and security analysts and clients in this effortEnsures that system controls are adequate for compliance with Sarbanes-OxleyLeads small to medium systems projects. Works with team to develop milestones and timelines. Works with other team members to project timelines are met. Identifies and manages project issues to resolution and escalates issues to management as neededMaintains knowledge of current System technology and investigates current developments in Systems and assimilates functional experience with new software technologies to improve business processesActs as business system advisor to the organization including functional users, occasional users and other work management teamsCompletes documentation in accordance with Change Management and Systems Development Life Cycle (SDLC) policies and proceduresCommunicates with users to gather requirements, discusses system solutions, answers questions and describes system changesInterfaces with outsourcer for projects and production system issues.Ensures all compliance aspects of position are known and followed; understands and complies with all policies, codes and regulations applicable to position and company.Performs related duties as assigned.Requirements Essential Education, Skills, and Environment Education and Work Experience Bachelor’s Degree in Business, Information Systems or related field from an accredited school and 4-6 years of related experience. Candidates that do not possess a bachelor’s degree must have a minimum of 8 years of related work experience. Specialized Knowledge and Skills Specialized Knowledge and Skills Demonstrated knowledge of the related complex business systems and processes. Demonstrated understanding of business system enhancement and modification principles. Demonstrated skills in planning and coordinating enterprise grade projects. Demonstrated interpersonal, analytical, and communication skills. End-user interaction and support experience.  Experience with enterprise grade CAD & GIS systems is highly preferred.  Utility industry experience is highly preferred Equipment and Applications PCs, word processing, Excel, project, presentation, spreadsheet and database software Work Environment and Physical Demands General office environment. No special physical demands required.CompensationAnnual Salary: $71,200 (Min) to $91,500 (Mid); Up to 10% Short Term Incentive Plan opportunity at the discretion of the company.  This is a non-represented position.BenefitsMedical  Dental  Vision  Life Insurance  Wellness  Flexible Spending Accounts  Tuition Assistance  401(k) with a Company match provision  Retirement  and more, visit our Corporate website for detailed informationEEO/AANV Energy is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, color, gender, national origin, ancestry, religion, physical or mental disability, age, veteran status, sexual orientation, gender identity or expression, marital status, pregnancy, citizenship, or any other factor protected by anti-discrimination laws.  If you have a disability under the Americans with Disabilities Act or similar law, and you wish to discuss potential accommodations related to applying for employment at our company, please contact Human Resources via email at HumanResources@nvenergy.com or call our HR Help Desk at (702) 402-5500 and select '0' or Fax your request at (702) 402-0031. TTY Sensory Impaired - 711","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=287804&s=149&guid=0000016765764874907336b220e66ce7&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6f4dd20&cb=1543595510393&jobListingId=2978191126"
"Business Intelligence Analyst","Ajulia Executive Search","Las Vegas","NV","$57k-$76k(Glassdoor Est.)"," Business Intelligence Analyst  Leader in Banking  Located near Las Vegas, NV  COMPENSATION  Competitive Salary, Full Time, Full Benefits  RESPONSIBILITIES Responsible for data integrity, data administration, data analytics / reporting.Responsible to assist in the development of reporting, analysis and visualization of business data to align and track overall business strategies and objectives.Responsible for statistical analysis or analytical methodology to model or forecast.Responsible to design, develop, implement and maintain new reporting functionality and analytics applications across multiple business units using various intelligence tools.Responsible to interact with DBA’s, IT and Programmers for building of solutions, system maintenance and report development. QUALIFICATIONS Bachelor’s degree or equivalent experience.Good understanding and reporting of complex inter-related data points.At-least 3 years’ experience in Data Analytics. Aarti Manchanda  Ajulia Executive Search is a search firm specializing in Manufacturing, Finance, IT, Legal and Pharmaceutical positions. This is a confidential search for one of our preferred clients. It is a direct hire position that includes competitive compensation and full comprehensive benefit package.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=444100&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_dec39169&cb=1543595510394&jobListingId=3003360925"
"Business Analyst","Photon","Las Vegas","NV","$70k-$110k(Glassdoor Est.)"," Job DescriptionJob Title: Business AnalystJob Location: Las Vegas, NevadaContract: 4 MonthsJob Description:Preferred qualifications: · Ability to maintain good customer relations and interact with all levels of Management  · Demonstrated analytical and problem solving skills  · Excellent oral and written communication skills  · High attention to detail  · Ability for independent thought and follow through and critical thinking  · Ability to prioritize multiple diverse responsibilities.  · Strong organizational and interpersonal skills  · Experience with IT implementations and system upgrades  · Ability to independently make and propose decisions under conditions of uncertainty or which require a complex process impacting a wide range of system users.  · Demonstrated project leadership skills, handling several projects/activities at different stages of development  · Demonstrated self-starter who can initiate, manage, and complete special projects with minimal direction from supervisor required  · Demonstrated knowledge of system testing tools and procedures  · Process improvement skills/experience (i.e. Six Sigma/Lean, ADP)  · Work with Key matrix partners to design new system business functionalities and data requirements to meet the needs of a highly dynamic environment.  · Responsible for representing the business in change management processes for IT.  · Establish and maintain standard business processes and local SOPs in accordance with Global and departmental guidelines  · Validate system changes and data conversions using reporting and/or database tools. Qualifications · B.A./ B.S. degree in Business or Information Systems or equivalent work experience  · Minimum 3 years relevant experience (Website)  · Experience with development and validation of reporting queries, including relational databases  Durga Prasad  Senior Executive - Human Resources ​​  408-404-3301 Ext 9205  ​durgaprasad.b@photoninfotech.netCompany DescriptionABOUT PHOTON  Photon is the largest and fastest growing provider of Mobile First Omni-Channel Experiences. We work with over 37% of the Fortune 100 companies.  Our omni-channel presences touch over 120 million consumers every day and we have the largest pool of omni-channel engineers with over 3,400 engineers across offices in US, India, Indonesia and the Netherlands.  We are the dominant providers of omni-channel solutions for Fortune 100 companies. We define omni-channel today as broadly comprising of 5 prominent areas - Consumer Facing Mobile ApplicationsAssociate or Employee Facing Mobile ApplicationsAdaptive Responsive Web PresencesIn-Store Digital PresencesAPI Platforms & Blueprints","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=85058&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6989eadc&cb=1543595510395&jobListingId=3015506067"
"Business Analyst","Atrient","Las Vegas","NV",""," The business analyst is responsible for analyzing and modeling existing business processes. The goal of business process analyst is to understand and document current business procedures and identify areas for improvement. Responsibilities and Duties:Determine operational objectives by studying business functions, gathering information and evaluating output requirements and formatsConstruct workflow charts and diagrams including studying system capabilities and writing specificationsImprove systems by studying current practices and designing modificationsRecommend controls by identifying problems and writing improved proceduresDefine project requirements by identifying project milestones, phases, project elements and establishing a project budgetMaintain user confidence and protect operations by keeping information confidentialPrepare technical reports by collecting, analyzing and summarizing information and trendsContribute to team effort by accomplishing related results as neededValidate resource requirements and develop cost estimate modelsConduct and coordinate financial, product, market, operational and related research to support strategic and business planning within the various departments and programs of the client groupInterpret, evaluate and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-makingPerform daily, weekly and monthly reviews and analyses of current processes using operational metrics and reportsUnderstand and communicate the financial and operational impact of any changes;Qualifications and Skills:Education level: Bachelors Degree requiredExperience:2-4 years of Business Analyst experience requiredSpecific skills: Excellent client-facing and internal communication, excellent written and verbal communication skills, strong organizational skills including attention to detail and multi-tasking abilities, strong working knowledge of Microsoft Office Suite to include Visio and Project, and Google Docs.Benefits: Benefits typically begin 90 days following the start of your employment: Competitive salariesMedical, dental and vision insurancePaid time off (PTO)Career development opportunitiesLife insurance and short/ long-term disability programsJob Type: Full-time","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=66506&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c7e7de6&cb=1543595510397&jobListingId=3041458809"
"Business Analyst","Link Technologies (Las Vegas)","Las Vegas","NV","$60k-$98k(Glassdoor Est.)","Link Technologies is currently seeking a contract -Business Analyst with a high-profile client in Las Vegas, NV. The primary responsibility of the Business Analyst is to consult with business subject matter experts and technology resources to identify, prioritize, document, and manage business requirements. The Business Analyst is expected to lead and facilitate requirements gathering workshops and discussions with the requesting business units. These resources are also expected to analyze and document business processes, review and validate test plans, support user acceptance testing, and track/manage requirements traceability throughout the development lifecycle.Responsibilities•Capture and review impacted business processes, working with business stakeholders to identify and make business process improvements that result in cost savings, quality improvements, increased efficiencies, reduced risk, and shorter cycle times.•Manage requirements traceability throughout the systems development lifecycle.•Deliver on assigned project tasks within time, cost, and quality constraints.•Manage stakeholder expectations and understanding of the implications of changes to existing applications, systems, and/or processes.•Facilitate cost and effort estimation sessions with developers and third-party solution providers.•Support QA and UAT processes through validation of test planning and execution.•Leading and mentoring junior and mid-level business analysts on larger projects that demand multiple BAs.•Leading and facilitating requirements gathering workshops and discussions with IT and various corporate business stakeholders.•Analyze and document current business processes and functional requirements.•Conduct Enterprise Analysis activities such as defining the business need in the context of specific project, prioritizing related initiatives and working with senior stakeholders to make decisions on how to address them.•Develop a clear set of requirements that are complete and understood by technology resources and business stakeholders; Manage requirements and associated changes to the requirements through the project lifecycle.•Identify and understand business problems and the impact of proposed solutions on the operations of the organization•Document solution scope including objectives, added value and benefit expectations.Minimum Qualifications•Minimum 5 to 8 years’ experience as a Business Analyst.•Demonstrated experience in process mapping, business requirements analysis and documentation, data mapping and test planning.•Knowledge and understanding of Agile, BPMN, UML, and user interface design.•Working knowledge of database concepts and query tools.•Strong interpersonal skills with the ability to communicate effectively with guests and other Team Members of different backgrounds and levels of experience.•Ability to confidently take on complex, high profile projects involving multiple systems, stakeholders, and project resources.•Ability to work independently and to effectively manage and execute multiple initiatives concurrently.•Experience working on projects spanning multiple domains, and ability to handle new business domains effectively and with a high level of confidence.•Ability to clearly communicate technical concepts to non-technical audiences, both verbally and in writing.•21 years of age.•Proof of authorization to work in the United States•Bachelor’s degree or equivalent in a relevant discipline.•Ability to communicate clearly and effectively in English, both in spoken and written form","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=190050&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_631cf643&cb=1543595510398&jobListingId=2552510676"
"Business Intelligence Analyst","Verve","Las Vegas","NV",""," Verve-BIAnalyst-LasVegas - Business Intelligence Analyst - Data ProWhat skills will you need most? This role will require someone to be especially strong in these areas: Problem solving and analytical abilities: the ability to understand a problem, break it down and execute to provide the answer. Beyond analyzing the problem in its own right, you must be able to triage incoming problems and discern the relative importance and urgency of new and existing problems in order to prioritize your work effectively.Working with complex SQL statements and LookML files.Proactive communication.Salesforce is used extensively, so you'll need to be well-versed with manipulating this CRM.If you've done APIs in Python or with other back-end languages such as Java or C++, such skills are highly desirable.We'd definitely like to talk if you've used Looker or similar BI tools. If you've read this far and know this is exactly the kind of career challenge you long to tackle, please apply on line today for our careful consideration. (The recruiter is Liz Klein, 469-223-4900.)  Is playing with data and teaching business stakeholders how to use it effectively your idea of a fun career? As our Business Intelligence Analyst at Verve, your main focus will be to design, implement, and document a business intelligence system for our fast-growing sales teams. As the sole BI Analyst based in our Las Vegas office, you will join a small, agile, and geographically-dispersed BI team in facilitating a company culture of better decision-making. You will work cross-functionally with managers, team leads, and data-hungry employees to provide digestible, impactful, and actionable business insights for our rapidly-expanding Student Services group.  Your mission is to cultivate an expert familiarity with our distinct business processes and flows, with the ultimate goal of empowering employees with the insights necessary to excel. Combining your business acumen with your unparalleled knowledge of our multiple underlying data models, you will build flexible reports and dashboards. These tools will be optimized to serve most day-to-day business needs and will ensure that our deliverables meet the highest possible caliber of data integrity. Intrigued? Read on for more details. What will you achieve in the next 12 months?Observe data needs and usage across departments and keep your colleagues informed of the latest improvements in our data reporting systems. By doing so, you will be the eyes, ears, and voice of Business Intelligence in North America for our Student Services group.Build, maintain, and improve upon models and dashboards in Looker, ensuring that every team feels confident in finding what they need and is informed in their decision-making. Consistent and thorough documentation of key fields and tables will be essential for driving engagement within the organization.Prepare comprehensive reports and analyses in response to ad hoc data and insight requests and as part of your own explorative curiosity.Work closely with cross-functional teams to ensure that data and reporting in  our systems is accurate and effective. Verve is building a platform which enables our global network of advocates to sell products and services they love to their friends in exchange for unique experiences and rewards. We've established a beachhead in live entertainment and work with some of the biggest events in the world, and are rapidly expanding our festival and event portfolio across the U.S., UK, Europe, and Australasia. As we continue to expand rapidly within this market, we’re also developing and launching exciting new technology for events to connect directly with their biggest fans. At Verve we believe in a culture of freedom and ownership.  We empower you to own the value you create and impact on our future success. And we believe that to act as an owner you should be empowered to work in the way that enables you to deliver the best results – how and when you do is up to you. You choose your hours, where you work, the meetings you attend and the amount of holiday to take in order to create the most value and be at your best.https://app.hiremojo.com/mojo/jobs/#/candidate-experience/jobs/459729718&sourceType=29","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=410676&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7458993d&cb=1543595510399&jobListingId=2956814505"
"Business Analyst (Utility Experience)","American Cybersystems","Las Vegas","NV","$86k-$137k(Glassdoor Est.)"," Position- Business Analyst  Location- Las Vegas, Nevada  Duration- Long Term Contract  Minimum 5+ Years of Utilities experience  Strong 5+ years of business analysis / functional architecting experience  Strong Oral and Written Communication skills  Experience in interacting with senior client stakeholders in business  Strong data analysis skills  Minimum 5+ years of SQL experience","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=83255&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b3ba326d&cb=1543595510400&jobListingId=3030983517"
"Business Analyst","Credit One Bank, N.A.","Las Vegas","NV","$43k-$72k(Glassdoor Est.)","Position Summary Credit One Bank is looking for a Business Analyst to support the overall growth of the organization. This position will be primarily responsible for data management and analysis for our quality and training teams to ensure that were providing excellent service to our card members.  Summary of Essential Job Functions Collaborate with key stakeholders from across operations to identify information needs and prioritiesCollect quality and performance data from various sourcesImplement solutions for best-in-class data management practices to ensure accurate, reliable and well documented data and reportsProvide insight into business performance, trends, improvement opportunities and root cause in a clear and creative way using a variety of reporting tools and techniquesRecommend ways to improve department quality, productivity, and stakeholder satisfactionResponsible for understanding all applicable regulations and guidelinesEnsure the timely coordination and completion of projectsPerform other duties as assigned Position Requirements Bachelors degree in business administration, information management, or related field3+ years of relevant experience in an operations environment with advanced understanding of data analytics and reportingStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyTechnical expertise regardingdata models, database design development, data mining and segmentation techniquesStrong understanding and hands on exposure to BI tools such as Tableau; high level of competence in Word, Excel, and PowerPointExcellent communication, problem-solving, and project management skillsDemonstrate company core values of excellence, ownership, collaboration, and integrityCall center and financial services experience preferred. Job Type: Full-time  Experience: Data Analytics and Reporting: 3 years (Required)Business Analysis: 3 years (Required)Operations Management: 3 years (Required) Education: Bachelor's (Preferred) Location: Las Vegas, NV 89113 (Preferred) Work authorization: United States (Preferred)","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=389273&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3ed8fadd&cb=1543595510402&jobListingId=2994012746"
"Business Analyst","P3 Health Partners","Las Vegas","NV",""," Job DescriptionPeople.Passion. Purpose.  At P3 HealthPartners, our promise is to guide our communities to better health, unburdenclinicians, align incentives and engage patients.  We are aphysician-led organization relentless in our mission to overcome all obstaclesby positively disrupting the business of health care, transforming it fromsickness care into wellness guidance.  We are lookingfor a Business Analyst. If you are passionate about your work; eager to have fun; and motivated to bepart of a fast-growing organization in Las Vegas, Nevada, then you shouldconsider joining our team. Overall Purpose: This position will assist the CEO in executing on company initiatives that will include, but not be limited to, Board meetings, business development, marketing, sales, PowerPoint presentations, strategic planning, business plans, and the ability to represent executive(s) in meetings. Also, this position will require coordination between the company's other team members, clients, various company vendors, and other people associated with the various endeavors.  Is responsible for gathering important company data and compiling it into reports and presenting it to executive leadership. The Business Analyst will provide analytical, planning and coordination support on projects as assigned. The candidate will work closely with the CEO and have the ability to work in a highly visible, dynamic and fast paced environment. Essential Job Duties:Independently undertake research to collect and analyze data, create reports; formulate recommendations to achieve special project goals.Prepare executive-level presentations for leadership including CEO, Board and executive teamPrepares high quality presentations for external audiences (i.e. business development and customer meetings)Actively participates in and runs leadership team monthly meetings, including preparation of agenda and minutesResponsible for synthesizing numerous sources of data and key analysis and translating into specific actionsLead the presentation and recommendation of action stepsDevelop metrics and track the progress of the groups strategyLead quarterly strategy sessions with divisional leadership teamsDrive the strategic process on internal consulting projects within the executive team and other business unitsEducation:Bachelors degree in Business and 3+ years experience or an equivalent combination of education and experience.MBA preferredMinimum qualifications:Demonstrated ability to successfully manage multiple projects and priorities, within specified deadlines, and ensuring timely response to all inquiries and requestsRelevant experience in healthcare is a plus but not requiredMust demonstrate strategic thinking as well as a willingness to lead initiatives through implementationExperience gathering and analyzing data to identify opportunities and make recommendationsExcellent communication skills including ability to persuasively deliver presentations to senior executivesDemonstrated interpersonal, collaborative, and relationship-building skillsProven ability to collaborate across functions and with all levels of the organizationDemonstrated strengths in critical thinking, and innovative problem-solving skillsDemonstrated ability to communicate difficult or sensitive information tactfullyWill be privy to highly sensitive information and should maintain the highest level of integrityDemonstrated use and advanced knowledge of MS Office (Word, Excel and PowerPoint)","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=372858&s=58&guid=000001676576487481af34b4880023b3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e7ad6deb&cb=1543595510404&jobListingId=3037692574"
