"Name","Company","City","State","Salary","Description","Url"
"Data Analyst","Northwestern Mutual","Milwaukee","WI","$61k-$80k(Glassdoor Est.)","At Northwestern Mutual, we believe relationships are built on trust. That our lives and our work matter. These beliefs launched our company nearly 160 years ago. Today, they're just a few of the reasons why people choose to build careers at Northwestern Mutual. We're strong and growing. In a company with such a long and storied history, this may be the most exciting and important time to be a part of Northwestern Mutual. We're strong, innovative and growing. We invest in our people. We provide opportunities for employees to grow themselves, their career and in turn, our business. We care. We make a positive difference in our communities. Nationally, thousands have benefitted from our support of research and programs to fight childhood cancer. Each year, our Foundation, employees and financial representatives donate time, talent and financial support to causes they're passionate about. We are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.What's the role?The Data Analyst consultant leads the design and development of research, reports and models required to help evaluate strategic changes in business direction and to provide meaningful results needed to consult with client areas. Using broad and deep knowledge of data sources and technical resources for assigned areas, the consultant leads and mentors team members through participation in a variety of projects. The consultant has a lead role in building appropriate systems and reports. The consultant independently researches new technologies and recommends potential implementation.    Bring Your Best! What this role needs: Proven ability to design and build reports and provide analysis in an understandable format, as generally evidenced by 5-7 years of programming, analysis and project work.Bachelor’s Degree with an emphasis in MIS, Business or related field required.Demonstrated experience leading financial modeling, research and reporting projects.Strong analytical and problem solving skills, including the ability to create solutions to complex and/or loosely defined assignments.Strong written and presentation skills, especially in communicating complex technical information to non-technical audiences.Seasoned expert in advanced features of a variety of programs which may include Excel, Access, SQL, Visual Basic, Business Objects, SAS, JCL, and Business Intelligence tools.Must be able to learn new technology quickly to assess current systems against new software and determine best solutions for providing results.Demonstrated ability to build rapport at all levels.Strong organizational skills including managing multiple projects and priorities.Must be able to carry out diverse assignments in a fast paced environment.Self-starter with ability to work independently with minimal direction and supervision.Proven ability to apply business consulting and project management skills to meet required outcomes.Req ID: 24362 Position Type: Regular Full Time Education Experience: Bachelor's Required Employment Experience: 6-8 years Licenses/Certifications: Not Applicable FLSA Status: Exempt Posting Date: 11/29/2018","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=364049&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0fc708d1&cb=1543602976165&jobListingId=3042507639"
"Business Analyst","Talascend, LLC","Milwaukee","WI","$79k-$126k(Glassdoor Est.)"," Talascend is currently seeking a Business Analyst for a contract opportunity in Milwaukee, Wisconsin. RESPONSIBILITIES: Provide data management and analysis for segment operations and security activities.  Identify, transform, update, and verify data  Summarize in dashboards  Manage end-user access  Assist users, providing individual assistance and training documents  Expedite data verification and maintenance requests from multiple campuses through multiple functions  Maintain complex, data-based SharePoint lists QUALIFICATIONS: Required-  Fluency in SQL (Structured Query Language) using Microsoft Access, or commensurate application to connect to data sources, identify and transform data, and append, update, or delete fields as required.  Proficiency in Microsoft Office productivity applications (Excel, PowerPoint, Word), with emphasis on repeatable data analysis practices (ODBC and other data calls)  Demonstrated ability to create documented, repeatable processes and educate end-users; create and distribute process maps, instructions and job aids  Demonstrated ability to engage stakeholders in a variety of functions and geographic locations  Preferred-  Expertise in Microsoft SharePoint list creation and management  LSS Green Belt training, certification  Experience with corporate compliance auditing procedures and activities  Familiarity with Microsoft PowerBI content creation  Previous experience in a design and manufacturing environment a plus","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=83255&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_125be307&cb=1543602976166&jobListingId=3009661753"
"Business Analyst","Thomson Reuters","Brookfield","WI","$60k-$97k(Glassdoor Est.)","Job DescriptionRefinitiv Global Wealth Management provides innovative solutions for retail and institutional brokerage firms, financial advisors and individual investors. Our powerful, scalable productivity and decision support tools enable our clients to grow relationships, offer personalized service and increase assets under management.  We are looking to fill a Business Analyst position within the Refinitiv development team. The Business Analyst will be involved in all phases of the System Development Life Cycle utilizing the Scrum methodology. This individual will be responsible for business requirements gathering, functional design, test plans, test scripts, functional testing, providing support of user acceptance testing, and project implementation. The Business Analyst will serve as the liaison between our development staff and client firms/project stakeholders. He or she will also interact with all levels of the organization to ensure timely completion with the highest degree of quality of industry, regulatory and client initiatives.  The Business Analyst will be involved in daily Scrum meetings and will require heavy collaboration, so a consistent presence in the Brookfield, WI office is absolutely necessary to be successful in the position. Responsibilities:Gather user requirements from external \ internal clients via User Requirements Documentation and\or end-user interviewsParticipate in project estimation processAlong with stakeholders and technical development staff create functional design documents based upon user requirementsDevelop a strong test plan to ensure project qualityDevelop test scripts for functional testing, ensuring that all identified requirements have been thoroughly testedExecute test scripts; document and manage all test resultsProvide on-going project support for regression and system testingLiaison between development staff and use communityProperly document all defectsReport project status to stakeholders as well as Project Management or Senior ExecutivesProvide support, answer user questions during User Acceptance TestingDevelop a professional rapport with the project stakeholders and maintain an excellent level of client satisfactionEffectively research product questions within an area of expertiseDevelop Implementation Plans and validate the successful implementation of projectsQualifications:BS/BA, preferably in Computer Science, MIS, Mathematics, Finance, Business, or a combination of equivalent education and experienceExperience in the brokerage or financial sector is a huge plusAbility to understand and communicate simple to somewhat involved technical concepts is criticalMust have excellent analytical problem solving skillsStrong team player with an entrepreneurial, collaborative spiritPrior experience in a Business Analyst role is highly desiredStrong experience in Software Development Life Cycle(s) is nice to haveExperience in or understanding of Agile practices is a plusExcellent organization, interpersonal, & communication skillsDemonstrated ability to multi-task in a fast paced environment The Financial and Risk Business of Thomson Reuters is now Refinitiv. Refinitiv equips the financial community with access to an open platform that uncovers opportunity and catalyzes change. With a dynamic combination of data, insights, technology, and news from Reuters, our customers can access solutions for every challenge, including a breadth of applications, tools, and contentall supported by human expertise. At Refinitiv, we facilitate the connections that propel people and organizations to find new possibilities to move forward.  As a global business, we rely on diversity of culture and thought to deliver on our goals. Therefore we seek talented, qualified employees in all our operations around the worldregardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.  Intrigued by a challenge as large and fascinating as the world itself? Come join us.Locations Brookfield-Wisconsin-United States of America","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133953&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78dab918&cb=1543602976167&jobListingId=3036990995"
"Business Analyst - Entry Level","FIS","Milwaukee","WI","$51k-$83k(Glassdoor Est.)","GENERAL DUTIES & RESPONSIBILITIES - Business Analyst, Entry Level Role • Performs analyses of the business goals, objectives and needs of the general business environment for appropriate FIS segment, division, group or line of business. • Performs research and analysis to support business operations and presents findings to manager or project leader. • Plans and designs business processes and make recommendations and changes in order to improve and support business systems and activities and/or to deliver greater effectiveness and efficiency. • Utilizes systems and data to resolve business issues in the most effective and productive manner. • Identifies and implements best practices and suggests how to improve current practices. • Calculates/estimates costs and benefits of alternative actions or solutions to establish their viability/return on investment. • Develops recommendations to solve problems and issues related to business operations. • Analyzes and documents business processes and metrics and identifies improvement opportunities. • May train internal employees on changes to business practices, processes or procedures. • May perform special projects upon request and on occasion. • May provide coaching and/or guidance to less experienced Business Analysts. • Other related duties assigned as needed. EDUCATION REQUIREMENTS Bachelor’s degree in business administration, finance, computer science or information systems.  GENERAL KNOWLEDGE, SKILLS & ABILITIES • Knowledge of the business goals, objectives and business operations for the appropriate FIS organization • Knowledge of financial services industry • Knowledge of basic financial analysis principles and ratios • Proficiency in standard office software, such as MS Office, Visio, MS Access, etc. • Proficiency in industry-standard process methodologies, e.g., Six Sigma, LEAN, ISO, CMM, etc. • Excellent verbal and written communication skills to audiences of various levels in the organization, e.g., executive, management, individual contributors • Willingly shares relevant knowledge and expertise to other resources • Excellent analytical, decision-making, problem-solving, interpersonal, team, customer service, negotiation, conflict management and time management skills • Ability to persuade and influence others on the best approach to take • Ability to estimate work effort for project sub-plans or small projects and ensure the project is successfully completed • Is resourceful and proactive in gathering information and sharing ideas","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=135083&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d89842de&cb=1543602976168&jobListingId=2948659021"
"Business Analyst","Blue7 Solutions","Bayside","WI","","Position Description  Exempt  Title: Business Analyst Grade: E-4  Location: Milwaukee Travel: 10%+  Supervised By: Lead Business Analyst Supersedes: Date: None  GENERAL PURPOSE: The primary responsibility of this role is to formulate and define system scope and requirements through research and discussions with customers combined with an understanding of applicable business systems and industry standards.  RESPONSIBILITIES & DUTIES: Analyzes the needs of business and user; translates issues between business and technical teamsElicits and documents business and system requirementsResearches and assists with the design process for software and / or hardware implementationsIdentifies key development resources based on project scope and gathers project estimatesAssist the development team throughout SDLC with defining use cases, creating test data, clarifying requirementsReviews and participates in the development of QA testing strategy and plansWorks with project manager to coordinate project tasksDocuments training materials and demonstrates new functionality to customers using professional presentation tools and conceptsAnalyzes and routes system defects to appropriate team for resolutionProvides customer support related to projects, defects, implementation, etc. REQUIREMENTS: Bachelor’s degree in computer science, MIS, or related field, or commensurate experienceMinimum two years’ experience working in software development with focus on web-based and/or mobile user interfacesTravel & Hospitality, Service, or Manufacturing industry experience preferred SKILLS Technical writingApplication of project management concepts to software engineering projectsHow software worksWebsite and/or mobile user interfacesSoftware development lifecycle (preferably Agile/SCRUM methodology)Ability to influence and persuade to achieve desired outcomesStrong analytical, problem solving, and negotiation skillsExcellent oral and written communication skillsWillingness to travelExcellent organizational, planning, and prioritization skillsExcellent interpersonal skills Blue7 Solutions is proud to be an equal opportunity employer. We maintain a drug-free workplace and perform pre-employment background checks.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=9619&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_488b3b02&cb=1543602976168&jobListingId=1663752545"
"Business Analyst","Interactive Business Systems","Milwaukee","WI","$80k-$127k(Glassdoor Est.)"," Job DescriptionBusiness Analyst-Strong Finance or Accounting experience-Experienced with Data for reporting purposes. Data feeds, data flows, etc.Job description:Product backlog maintenance-Aid the Product owner(s) in the creation and grooming of the product backlogRequirements Analysis-Requirements Elicitation, documentation and traceability as per processUser Acceptance Testing-Assist/Facilitate the creation and execution of the User Acceptance testing efforts in collaboration with business and Project teams. Test cases and artifacts to be maintained as per standards.Data Analysis-Perform data analysis for discovery and data profiling purposes.Business process analysis-Perform business process analysis, document processes/gaps and issues as they pertain to data managementCompany DescriptionIBS, Interactive Business Systems, Inc., is an IT solutions and staffing company known for being awesome! We are in the business of helping connect great people with great jobs.; plain and simple.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=85058&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a8e7c8d&cb=1543602976169&jobListingId=3012701331"
"Business Analyst","Insurity","Hartland","WI","$49k-$80k(Glassdoor Est.)","About us: Insurity is one of the largest property and casualty insurance technology and services providers with more than 700 employees and 250 clients. With more than 30 years of domain expertise, we have combined a deep understanding of the insurance business and technology expertise into a singular focus: empowering our clients with innovative and flexible technology that allows them to meet their business goals and offer a simplified insurance experience.  We are currently looking to fill the following position in our Hartland, WI office: Business Analyst The Business Analyst is responsible for eliciting, analyzing and documenting requirements and/or functional specifications as needed, including determination of regulatory impact and system impact.  Participate with customers and internal functional areas as appropriate throughout the development, testing, and installation processes. Research and evaluate alternative approaches and recommend efficient and cost effective solutions. The individual contributes to activities to improve quality and advance the overall analysis practice throughout the organization. The Business Analyst may provide coordination for small initiatives.  The ideal candidate must possess a strong desire to develop technical and business knowledge relative to implementation of insurance processing. What you’ll be doing:Partnering with customers to define business needs and elicit business requirementsProducing artifacts that accurately depict customer needs for enhancement, problem and support requests, such as:Business requirementsFunctional specificationsProcess flow diagrams and other diagramsAssisting in the facilitation of requirements and design discussionsProviding research and analysis in support of proposed solutionsParticipating in peer reviews/inspections for requirements, estimates, and specificationsAssisting in the development of supporting documentationProviding support as needed to internal and external customersDeveloping a working knowledge of Insurity's software applications, data structures, architecture, and processing capabilitiesDeveloping working knowledge of Property/Casualty InsuranceAssisting in the facilitation of estimating discussions and coordinating work effortsAccurately estimating analyst work effortsProviding support for testing activitiesPerforming other duties as assignedWhat you’ll need:Bachelor’s degree or equivalent work experienceExcellent verbal and written communication skillsCandidate must be self-motivated, detail-oriented and organizedAbility to thrive in a fast-paced environmentBasic knowledge of the System Development LifecycleBasic knowledge of project management principlesAbility to travel to customer locations: up to 25%Experience with Property/Casualty Insurance preferredWhat you’ll get:Cool Environment | Collaborative Culture | Competitive SalariesFlexible Hours | Growth Opportunities | Generous Time OffDay 1 Health Insurance Coverage | 401k Match | Great Location Does Insurity sound like the right place for you? If yes, then submit your application today for immediate consideration. Thank you for your interest in Insurity; only those candidates selected will be contacted. Insurity is proud to be an Equal Opportunity Employer","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4128&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d54ba64d&cb=1543602976170&jobListingId=2967340529"
"Business Analyst","Omni","Milwaukee","WI",""," Here's what we're looking for: 5+ years relevant work experience as a Business Analyst2-3 years’ experience working in a consulting role preferredKnowledge of all aspects of software development life cycleFamiliarity with various approaches to technology and solution based road-mappingExperience with Agile/Scrum methodologies Bonus points if you also have: Build consensusDistinguish user requests from underlying business needsProvide solutions to identified obstaclesAnalyze the tradeoffs between usability and performance Join our team to get all the standard benefits along with: Competitive salaryFlexible hoursFrequent tech talks presented by your peersLively Slack chatEmployee stock ownership plan and 401KOmni does not make employment decisions based on race, color, religion, national origin, sexual orientation, gender identity, disability or veteran status. We are proud to be an Equal Opportunity Employer (EOE) and encourage all to apply.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74e7b6c4&cb=1543602976171&jobListingId=3032127721"
"Business Analyst","AIC","Milwaukee","WI","$54k-$86k(Glassdoor Est.)"," Overview: Provide data management and analysis for segment operation and security activities . Expedite developer and management security exception request from multiple campuses through approval and activities in multiple function. Maintain complex, data-based SharePoint sites and pages; assist end user in full integration with existing system ad practices Manage and execute security auditing procedures for segment intellectual property focusing on documents made available via sharing platform such as SharePoint and one drive . Coordinate information transfer activities, including SharePoint to SharePoint migration, file share clean up and related activities, migrate content for end -users where appropriate Primary Skills: Demonstrated Ability","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=372858&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7c7a6786&cb=1543602976172&jobListingId=3025719420"
"Business Analyst","Refinitiv","Brookfield","WI",""," Refinitiv Global Wealth Management provides innovative solutions for retail and institutional brokerage firms, financial advisors and individual investors. Our powerful, scalable productivity and decision support tools enable our clients to grow relationships, offer personalized service and increase assets under management.  We are looking to fill a Business Analyst position within the Refinitiv development team. The Business Analyst will be involved in all phases of the System Development Life Cycle utilizing the Scrum methodology. This individual will be responsible for business requirements gathering, functional design, test plans, test scripts, functional testing, providing support of user acceptance testing, and project implementation. The Business Analyst will serve as the liaison between our development staff and client firms/project stakeholders. He or she will also interact with all levels of the organization to ensure timely completion with the highest degree of quality of industry, regulatory and client initiatives.  The Business Analyst will be involved in daily Scrum meetings and will require heavy collaboration, so a consistent presence in the Brookfield, WI office is absolutely necessary to be successful in the position. Responsibilities:Gather user requirements from external \\ internal clients via User Requirements Documentation and\\or end-user interviewsParticipate in project estimation processAlong with stakeholders and technical development staff create functional design documents based upon user requirementsDevelop a strong test plan to ensure project qualityDevelop test scripts for functional testing, ensuring that all identified requirements have been thoroughly testedExecute test scripts; document and manage all test resultsProvide on-going project support for regression and system testingLiaison between development staff and use communityProperly document all defectsReport project status to stakeholders as well as Project Management or Senior ExecutivesProvide support, answer user questions during User Acceptance TestingDevelop a professional rapport with the project stakeholders and maintain an excellent level of client satisfactionEffectively research product questions within an area of expertiseDevelop Implementation Plans and validate the successful implementation of projectsQualifications:BS/BA, preferably in Computer Science, MIS, Mathematics, Finance, Business, or a combination of equivalent education and experienceExperience in the brokerage or financial sector is a huge plusAbility to understand and communicate simple to somewhat involved technical concepts is criticalMust have excellent analytical problem solving skillsStrong team player with an entrepreneurial, collaborative spiritPrior experience in a Business Analyst role is highly desiredStrong experience in Software Development Life Cycle(s) is nice to haveExperience in or understanding of Agile practices is a plusExcellent organization, interpersonal, & communication skillsDemonstrated ability to multi-task in a fast paced environment The Financial and Risk Business of Thomson Reuters is now Refinitiv. Refinitiv equips the financial community with access to an open platform that uncovers opportunity and catalyzes change. With a dynamic combination of data, insights, technology, and news from Reuters, our customers can access solutions for every challenge, including a breadth of applications, tools, and content—all supported by human expertise. At Refinitiv, we facilitate the connections that propel people and organizations to find new possibilities to move forward.  As a global business, we rely on diversity of culture and thought to deliver on our goals. Therefore we seek talented, qualified employees in all our operations around the world−regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.  Intrigued by a challenge as large and fascinating as the world itself? Come join us.","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=242900&s=58&guid=0000016765e833869c47f90d64f009ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d995e379&cb=1543602976174&jobListingId=3036362881"
