"Name","Company","City","State","Salary","Description","Url"
"Business Analyst","Amazon","Seattle","WA","$68k-$110k(Glassdoor Est.)"," At Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history.  FBA (Fulfillment by Amazon) is building new and innovative tools to allow our worldwide network of sellers to connect with customers around the globe. The high-performing business is expanding, and requires strong finance leadership to drive the right investments in this exciting space.  Amazon is seeking a Business Analyst within the FBA finance team supporting the Worldwide FBA Fees business team. This person will help define key metrics to measure impact of Fee changes and automate weekly/monthly reporting. The business analyst will also lead adhoc analyses on the impact of fee changes on seller behavior and Amazon economics.  The ideal candidate will be excited about using data to understand business performance, develop insights based on their work and summarize findings for management consumption. ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=133043&s=149&guid=0000016767961e1283466e2be5358538&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b0fa5c76&cb=1543631151158&jobListingId=3026044656"
"Business Analyst","Remitly","Seattle","WA",""," At Remitly, we help immigrant communities around the world send over $6 billion a year to their loved ones. Sending money is faster, easier, and costs less with our all-digital money transfer platform. Our vision is to transform the lives of immigrants and their families by providing the most trusted financial service products on the planet. At Remitly, your work has a direct and positive impact on people around the globe. Your work matters, every day. We are looking for an analyst to join the Business Analytics team and manage marketing acquisition performance.  Remitly's Business Analytics team is the core of our data driven growth. We utilize data to drive growth and efficiency within business lines, develop business intelligence/metrics, and help guide focus towards the highest leverage growth opportunities. What you'll be doing: You will be a key partner to the marketing team and will be the primary analyst working on acquisition marketing related performance analytics. You will be analyzing marketing performance and making recommendations based on your analysis. You'll also be doing deep dives into gaps or opportunities as needed. While initial responsibilities will be focused on acquisition marketing, there is plenty of room to grow scope over time. Specific Responsibilities:Monitor and analyze weekly performance across acquisition marketingMake data driven recommendations to drive acquisition growth and efficiencyManage our weekly reporting process and drive a productive weekly forumOwn and improve reporting dashboardsDevelop SQL queries and ensure data accuracyFulfill ad hoc analytical requests from both marketing and business managementQualifications:Up to 2 years experience in analytics or other quantitative positionExperience with SQL and Excel (not required but very helpful)Scrappy, entrepreneurial mindset and strong partner to othersStrong written and verbal communicationWho We Are: Remitly is an independent digital remittance company that transfers over $6 billion in annualized volume through its proprietary global money transfer network across Africa, Asia, Central, and South America. Its reliable and easy-to-use mobile app makes the process of sending money faster, easier, more transparent and less costly by eliminating the forms, codes, agents, extra time and fees typical of the traditional, century-old money transfer process. Remitly is backed by industry-leading investors, World Bank's International Finance Corporation (IFC), Naspers' PayU, Silicon Valley Bank, Stripes Group, DFJ, DN Capital, QED Investors, Trilogy Equity Partners, Bezos Expeditions, Founders' Co-Op, and TomorrowVentures. The company is headquartered in Seattle, with additional offices in London, the Philippines, and Nicaragua. For more information, visit remitly.com. Remitly is an Equal Opportunity Employer. Individuals seeking employment at Remitly are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, or sexual orientation. Remitly is an eVerify Employer.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=317080&s=149&guid=0000016767961e1283466e2be5358538&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_529cb7f3&cb=1543631151160&jobListingId=2940617783"
"Business Analyst","Funko","Seattle","WA","$51k-$83k(Glassdoor Est.)","Funko OverviewWelcome to the Funko-verse, a world built on pure imagination, a land governed by the philosophy that stories matter, a universe comprised of characters from countless fandoms, a galaxy of once upon a times and happily ever afters.But what does Funko do?Funko is a purveyor of pop culture, making and selling license-focused collectibles. We’re based in Everett, WA where we have a store that delights kids of all ages (kids at heart included). We currently hold hundreds of licenses for franchises ranging from Marvel to Harry Potter, giving us the rights to create tens of thousands of characters—one of the largest portfolios in the pop culture and collectibles industry. We take your favorite characters and turn them into adorable, or sometimes scary, collectible figures. Our most famous line, Pop! Vinyl, has millions of fans around the world.  The team is growing, we are adding several new roles which will be embedded into the functional organizations they support to identify business intelligence, reporting, and data analysis needs. You will work closely with clients and IT teams to turn data into actionable intelligence to aid and inform business decisions. You will provide data and reporting that is accurate, relevant and reliable, and ensure the information is easily available to users for direct consumption or integration with other systems.  Ideal candidates are effective business partners, get excited to build reports (prefer Power BI) and provide visualizations/insights with deep working knowledge in at least one of the following functional areas: Finance, Sales or Operations.  At this time, we cannot provide visa support for these roles.Your Superpowers in ActionEngage directly with internal and external clients to determine and document KPIs and Business Intelligence requirementsPartner with cross-functional teams to build user stories, prioritize competing objectives in a methodical fashion working with all stakeholdersTranslate business needs into functional and technical requirements, document using JIRA or similar collaboration toolsDesign reports and models using Excel or Visualization tools and through an agile, iterative processDevelop needed training content, educate and train users to drive usage of reportsIdentify and drive conversations about process improvement opportunitiesBe a champion for clean data and identify opportunities for improving data quality Must-Have Superhero Gadgetry2 + years hands on experience with mastery using PowerBI, or other visualization tools.Bachelor’s degree in Mathematics, Finance, Economics, Computer Science, Information Management, Statistics or equivalentExcellent verbal and written communication skills; strong work ethics and organizational skillsAdvanced user of Excel including Pivot Tables, Power Queries, Solver and other modeling techniquesAbility to work with large, varied datasets and draw meaningful conclusions through analysis; ability to clearly articulate analytic methods and conclusionsExperience with an ERP/CRM system, Dynamics NAV/Dynamics 365 preferredExperience working in a CPG retail industryAbility to query databasesPreferred some experience using any Statistical tool such R, Python, SAS etc. to perform basic data exploration, correlation, regression etc","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=368011&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd9d0251&cb=1543631151161&jobListingId=2989998737"
"Business Analyst","REI","Kent","WA","$62k-$101k(Glassdoor Est.)"," Business Analyst  Posted Date:Oct- 5-2018  Job ID:11425  Job Type:Full Time  Job Function:eCommerce / Online  City:Kent  State:Washington  Store:Kent Headquarters ----------------------------------------------------------------------- What's cool about this job  At REI our core mission is to inspire, educate and outfit for a lifetime of outdoor adventure and stewardship.  Come work in a highly collaborative team environment, creating customized digital experiences and features for our experiences portfolio including Classes, Events, and Adventures! We are looking for a Business Analyst to help design the technical solutions for next-generation features and functionality of our site and the systems that support it. You will get to work on a variety of projects with varying levels of complexity including: new site enhancements, application development, new technologies, and performance optimization. You'll collaborate in a dynamic environment with REI?s Experience business, architects and Software Engineers, and others to guide the creation of interactive features that deliver exceptional customer experiences. You will have the flexibility to grow your skills and explore new technical challenges on the journey towards making REI?s digital experience world class. In this role you are: Requirements Management: Manages the business requirements process for small technology projects and enhancements by facilitating, eliciting, gathering, documenting, validating, prioritizing and establishing baseline business requirements. Ensures testability / traceability of requirements. Expresses business requirements using multiple techniques. Documents requirements in accordance with REI methodology. Manages changes to the requirements baseline. Provides deployment support. Contributes to financial and business value analysis. Participates in peer reviews of requirements deliverables.Systems knowledge: Understands business functionality, interfaces, data flow, and functional architecture of systems supported. Is knowledgeable in use of solutions supported, and has an in-depth understanding of how technologies supported work. Able to troubleshoot system problems from a functionality perspective, especially when supporting end-user testing and training.Work Coordination: Represents the business division for small technology projects and enhancements. Coordinates controls and communicates decisions related to the business solution. Defines business requirements and successfully completes organizational changes. Participates in small project and enhancement planning. Understands, formulates, prioritizes and validates business requirements for use by the small project and enhancement. Confirms that results meet stated business requirements. Keeps stakeholders up to date on work status and project progress.Process: Documents and analyzes existing or ?as-is? business processes. Designs new or ?to-be? business processes. Maps ?as is? and ?to be? business processes, understands gaps, and develops transition plans. Advances the Business Analyst practice in terms of methodology, processes and procedures. Educates other business stakeholders on the project management / product development processes and their roles.Planning: Contributes to corporate and divisional strategic planning process by helping identify business initiatives. Identifies cross-divisional dependencies and impacts. Helps develop and maintain business initiative roadmaps. Contributes to financial and business value analysis. Helps define the total portfolio of programs and projects which support strategic plan. Bring your passion and expertise Previous experience in a multi-channel retail environment.3+ years of related work experience.Learning both business and IT processes.Learning to identify and prioritize business needs for technology projects.Learning to collect, express and manage requirements (use cases, data modeling, process modeling, context diagrams, systems diagrams, etc.)Learning financial and business value analysis.Demonstrated ability to manage and resolve conflict.Demonstrated ability to understand and explain issues from both a technical and a business functional point of view.Ability to conceptualize and recommend solutions to business problems.Bachelor?s degree in related field or equivalent work experience.Actively participates and collaborates with others on one's own team and across REI for the achievement of business goals.Flexibility in one's viewpoints and positions in order to support the direction taken by others at REI.Use of business knowledge, innovative thinking, and sound judgment in the solution of problems or the pursuit of business opportunities.Consolidates information from various sources including feedback from others to reach sound decisions.Considers the ultimate impact of decisions and actions on internal and external customers.Works smart by setting effective work goals, establishing priorities, and planning well in order to produce quality work.Executes effectively by using resources efficiently, meeting deadlines, and keeping others informed of work plans and progress toward goals.Clearly conveys and accurately receives information by a variety of methods and in various situations.Builds rapport with all kinds of people inside and outside the organization.Acts upon opportunities and involves and influences others in the accomplishment of worthwhile organizational goals.Challenges the status quo, champions change and influences others to change. Why you'll love it here  REI Information Technology is a team of creative and smart technologists who work in a collaborative environment to build business value through technology. And, we have the support of a great company to tackle some dynamic challenges that will keep REI relevant for years to come. If you have a passion for the outdoors and want to be a part of innovating retail technology, this job is for you.  At REI we offer an enviable work environment that has been recognized on the ""100 Best Companies to Work For"" list since the award's inception ? 20 years in a row! Sure, we work hard, but it?s balanced with time off to play?a strategy that works for us as we continue to grow and thrive. Want to enjoy a workplace where you can be yourself, be heard and be respected while having a job that challenges you? This is the place.  With more than 140 retail locations (and growing), REI offers unique competitive benefits to its more than 12,000 employees, including healthcare, gear and apparel discounts, free equipment rentals and challenge grants to help employees reach personal outdoor goals, generous retirement plan contributions, public transit subsidy, adoptions assistance, paid sabbaticals, and more.  REI is an Equal Opportunity Employer","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=400784&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e836206&cb=1543631151162&jobListingId=2981488231"
"Business Analyst","Amdocs","Bothell","WA","$70k-$111k(Glassdoor Est.)","Job ID: 66469 Required Travel :No Travel Managerial - NoWho are we? If you’re a smartphone user then you are part of an ever more connected and digital world. At Amdocs, we are leading the digital revolution into the future. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are continually evolving our business to help you become more connected. We make sure that when you watch a video on YouTube, message friends on SnapChat or send your images on Instagram, you get a great service anytime, anywhere, and on any device. We are at the heart of the telecommunications industry working with giants such as AT&T, Vodafone, Telstra and Telefonica, helping them create an amazing new world for you where technology is being used in amazing new ways every single day. In one sentence Understands business needs. Assesses the impact of those needs, capturing, analyzing and documenting requirements and providing high level solutions that leverage product capabilities and best practices in order to produce an optimal solution. Communicates and implements recommended solutions. What will your job look like?You will have the opportunity to participate in business requirement solicitation, capturing business, functional and technical requirements.You will be a key focal point for customers in your domain, providing insights into product capabilities and best practices.You will design holistic and integrated high-level solutions that fit customers' business needs, production operability and budget.You will participate in and lead formal and informal design reviews with stakeholders, leveraging your knowledge and experience and providing technical perspective and support.You will be responsible for communicating the solution with customers' business and IT personnel. Will be expected to explain the details of proposed and existing solutions and their impact on business processes.You will ensure that the business and project teams understand your domain solution and receive responses to all open questions and action items.You will support your projects through their entire life cycle, incl. scoping, design, development, testing deployment and post productionYou will prepare solution-related documents and specifications and will aquire design approvals.You will facilitate and support design, development, testing and delivery planning in your domainAll you need is...Degree in Computer Science or Industrial Engineering & Management - Information SystemKnowledge of the telecom industry and Amdocs business processes (ETOM, ASOM)Customer-facing experience – ability to present the Functional and technical solution using various methods (presentations, demos, and so on) in front of large onsite and remote audiencesWide knowledge of Amdocs Billing products and business processesDeep knowledge of the telecom industry and E2E business processesExperience working with agile teams, and mixed methodology project environmentWhy you will love this job:You will be able to use your superior business analyst skills to make a significant impact on high-level solutions that best produces the optimal product solution.You will be a key member of a global, dynamic and highly collaborative team with various possibilities for personal and professional developmentYou will have the opportunity to work in multinational environment for the global market leader in its fieldNearest Major Market: Seattle Nearest Secondary Market: Bellevue","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=378123&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0c5765e6&cb=1543631151163&jobListingId=3016604349"
"Business Analyst, Prime Now","Amazon","Seattle","WA","$68k-$110k(Glassdoor Est.)","Job Description We are looking for a Business Analyst to join the Prime Now Whole Foods Market and 3P team. Our vision is to enable Prime customers to be able to get ultra fast delivery and pickup of groceries from stores they love, driving incremental growth and frequency with Whole Foods and amazon. This Business Analyst will leverage deep dives and metrics to identify key drivers of the business and help establish the definition and reporting of input metrics that drive the business. You will be responsible for diving deep into financial and operational performance, and working with cross functional teams across business, operations, finance, and external partners. This is a highly visible role with direct, ongoing impact to the Whole Foods business on Prime Now. The ideal candidate will be a general athlete and self-starter who is comfortable performing complex analysis and working with large data sets. He/she can quickly understand the key drivers of our performance across functions as we scale (including marketing/merchandising, inventory management, selection, service availability and costs of fulfillment, etc.), identify key differences relative to other Prime Now/Amazon businesses, and identify areas for improvement. The role will involve a wide range of real-world problem-solving situations, and will require the ability to form strong recommendations supported by robust data analysis.  This is an exciting opportunity to support a recently-launched service which will be highly visible to customers and leadership, and will require a significant amount of autonomy and thought leadership. You will be part of a high-functioning, fast-moving team responsible for delivering on strategic goals with direct impact for our customers.Responsibilities include:Own the design, development, and maintenance of ongoing metrics, reports, analyses, dashboards on the key drivers of our business, and across a broad range of metrics.Enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable formatDevelop think-big ideas in relation to this brand new customer offering and make recommendations for new metrics, techniques, and strategies to improve performance Successful candidates will demonstrate the following:Have a passion for sourcing, manipulating, and visualizing dataPresent to stakeholders, clearly communicating strategic findings and recommendationsTranslate technical concepts into business termsWork in rapidly changing and complex environmentDeliver key metrics to measure overall performance and provide foundation for continuous improvementLearn new technologies, processes, and toolsIndependently identify and set priorities in an ambiguous, fast-moving environmentBasic QualificationsBachelor’s degree in finance, statistics, mathematics or related field preferred.2-4 years experience as a Business Analyst, in finance, or in another quantitative field.Advanced proficiency in Excel or similar analytical tools.Strong bias for action: ability to work successfully in a dynamic, ambiguous environment.Excellent interpersonal skills; ability to work successfully with functional teams across the organization.Ability to display complex quantitative data in a simple, intuitive format and to present findings in a clear and concise manner.Exceptional attention to detail.Enthusiasm for developing new ideas and creative solutions.Preferred QualificationsExperience utilizing SQL and working with large datasets.Apply Now at Amazon","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=133043&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6e0420e7&cb=1543631151164&jobListingId=2888801236"
"Business Systems Analyst, Contact Center","Seattle Children's Hospital","Seattle","WA","$70k-$112k(Glassdoor Est.)"," Provide business systems analysis, design, report development, application support, and customer/vendor relations management in support of assigned system on production operations (day-to-day sustaining). Collaborate with key stakeholders, end users and project team members to identify and resolve issues regarding all phases of assigned projects, including assessment, design, testing, training, and implementation.  Required Education/Experience: Bachelor's Degree in related field, OR equivalent combination of education/experience that demonstrates technical competencyMinimum of three (3) years business analysis or systems analysis experience.Demonostrated experience using and applying standard principles, theories and concepts related to technical disciplineExperience with clinical, hospital and/or financial applications and/or systems.  Preferred Experience:  - Minimum of two (2) years’ experience and knowledge of Contact Center operations and/or applications, including Contact Center workforce management, quality assurance, queue management, call tree design and configuration, etc.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=436600&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_09860224&cb=1543631151165&jobListingId=3039961185"
"Business Analyst, Diversity and Inclusion","Amazon","Seattle","WA","$68k-$110k(Glassdoor Est.)"," Do you want to play an instrumental role in bringing leading diversity and inclusion (D&I) strategies to Amazons high growth environment? Customer Trust and Partner Support is seeking a Business Analyst to support our Diversity and Inclusion (D&I) program. This person will help define key metrics to measure the impact of D&I initiatives and develop weekly/monthly business level reporting. The business analyst will also lead ad-hoc analyses to identify areas for experimentation, evaluate the efficacy of current programs and inform targeted action plans both at regional and global level. The ideal candidate will be excited about using data to understand business performance, develop insights based on their work and summarize findings for management consumption. In this role, you will: · Work directly with senior management to analyze D&I data and produce tangible insights that guide the D&I roadmap.  · Build analytical models, using HR and business intelligence data systems, to inform the D&I strategy in a fast moving environment.  · Develop new techniques to process large data sets, address quantitative problems, and recommend white spaces for experimentation.  · Support data needs related to business cadence such as weekly, monthly and quarterly business reviews.  · Build dashboards that enable leaders to understand HR and business data, assess functional business performance and develop targeted action plans.  Amazon.com is an Equal Opportunity-Affirmative Action Employer Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133043&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a77a983&cb=1543631151166&jobListingId=3033209195"
"Business Operations Analyst","OfferUp","Bellevue","WA","$68k-$104k(Glassdoor Est.)"," From the very beginning, OfferUp has believed that the right people united by the right mission can redefine the possible.  OfferUp is now the largest mobile marketplace for local buyers and sellers in the US. We connect millions of people every day, but we're still as committed as ever to the founding mission: to build the simplest, most trustworthy local marketplace. We help bring people together in their communities to exchange value, and we think that exchange is the foundation for a kind of commerce that redefines what ""value"" really means. In our world, the things we buy and sell are just the primer for the really important stuff, like meeting our neighbors, getting more connected to the places we live and the things that live with us, and creating a marketplace where everyone has something to offer.AT A GLANCEA top shopping app on iTunes and Google PlayGeekwire App of Year60+ Million DownloadsThe OpportunityThe Business Operations team (BizOps) partners with OfferUp's executive team and cross-functional leaders to drive key strategic initiatives, address critical business challenges, and develop and execute strategies accelerating growth opportunities for OfferUp.  We are currently seeking an experienced analyst to join the BizOps team and support data-driven decision making across all areas of the company.What You'll DoMeasure and report on the effectiveness of growth initiativesDefine metrics and create automated dashboards to support a measure of self-service insights for new business initiatives and featuresAd-hoc analyses to inform OfferUp's business and product strategyPartner with the product team to define success criteria of new product features, and measure feature performance against those criteriaMonitor core marketplace health metrics and communicate key findings to leadershipWhat You'll NeedAnalytic Skills. Highly proficient with Excel and SQL, and familiarity with basic statistical concepts are prerequisites. Bonus points if you have Looker, Tableau, or similar data visualization tools knowledge.Insane business curiosity. Skilled at breaking down complex business, product, or policy questions from all possible angles to garner key insights. You enjoy using data to answer challenging questions that inform key business decisions.Self-starter with strong work ethic. You thrive in a fast-paced environment, with the ability to multitask and juggle multiple projects with shifting priorities. You are scrappy and resourceful; you know how to do more with less.Excellent written and verbal communication skills. You can synthesize complex analytic results, present key findings in compelling visual formats, and communicate them effectively to a broad audience.BA/BS degree in Economics, Business, Engineering, Statistics, Computer Science, Mathematics or related field strongly preferred.3+ years of relevant experience working with real-world data.Prior experience at a fast-paced technology company preferred. Come do work that matters. Join a team that believes when we all work together, we get more out of things.OfferUp provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, OfferUp complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, transfer, leaves of absence, compensation, and training.OfferUp expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of OfferUp's employees to perform their job duties may result in discipline up to and including discharge.","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=134707&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3d6851c0&cb=1543631151167&jobListingId=2902536123"
"Business Analyst","iSoftStone","Kirkland","WA","$56k-$92k(Glassdoor Est.)"," We are looking for Business Analyst to join our team in Kirkland, WA. As the Business Analyst you will have the opportunity to will be responsible for gathering, interpreting, and evaluating budget-related information across a cross-functional program team in this individual contributor role. This role will be responsible for collecting actual capital & expense spending from the program's cross-functional team, providing trending views against the forecast, and updating the forecast as needed. Also be responsible for working closely with and providing regular reports to multiple budget & finance teams that manage or supervise the CTO budget to ensure they have the latest information and support documentation. In addition, you will maintain updated information in conducting and documenting moderately complex financial analysis projects. You will be responsible for analysis of financial reports, trends, and opportunities.  Your responsibilities will include but are not limited to the following: · Manage and facilitate requirements gathering sessions with business and IT stakeholders  · Define and document business, system and/or functional requirements  · Work with test teams to ensure requirements are traceable to test plan and test cases  · Work with development teams to ensure code meets requirements, and provide the development teams(s) assistance during the design and development phases in relation to requirements  · Work with project managers to define and drive schedule and deliverables Requirements: · 5 years of analyst experience, gathering and writing all types of requirements  · 5 years of experience defining requirements and providing analysis in a high-tech environment;  · Experience with ITUP methodology (IT Unified Process)  · Experience with telecommunications is required About iSoftStone: iSoftStone is an award-winning global consulting and IT outsourcing firm. With over 13,000 employees globally and growing, iSoftStone has uniquely integrated consulting services, technology services and business process outsourcing for true end-to-end solutions. Our delivery model combines onshore innovation and expertise with offshore programming and development to deliver the highest value to our clients. iSoftStone prides itself on our ability to partner with clients to deeply understand their industry dynamics and business challenges, in order to find solutions. Internally, we understand that our success is driven by our great team and work environment. We have even received awards for being one of the best places to work by the Puget Sound Business Journal. We're creative, energetic, and motivated by our clients' successes. If you share our passion for delivering innovative technology solutions and want to work for a great company, get in touch. We're always looking for the next big talent. iSoftStone offers a salary commensurate with experience, an enjoyable and fun work environment, an extensive benefits package, 3 weeks of paid time off, and observed holidays. To Apply: To apply, please submit your resume and cover letter to usnaecareer@isoftstone.com or for additional information, please visit www.isoftstone.com. We look forward to hearing from you soon!","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=3949&s=58&guid=0000016767961e129e4e11e61417d8a1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a429d4c4&cb=1543631151168&jobListingId=789911171"
