"Name","Company","City","State","Salary","Description","Url"
"Business Solutions Analytics","First Republic Bank","San Francisco","CA",""," OverviewAs an Associate Director, Business Solutions, in Private Wealth Management (PWM), you will help shape the future of operations and technology by helping to deliver efficient and effective results for our Wealth Management teams and different lines of businesses. Acting as a conduit between the business and technology teams, you will wear many different hats, with a primary focus on using technologies for impactful process improvement.ResponsibilitiesDevelop a deep understanding of underlying processes used by the front and back office to manage client relationships. Identify opportunities for improving client service and employee productivity and work with operations, business, and technical teams to build tools to achieve these improvements.Actively engage users to solicit feedback and represent their needs in prioritizing, developing, and the delivery of solutions.Act as a liaison with cross functional teams to identify areas for efficiencies and develop strategies to solve for pain points.Help to support the current PWM Client Relationship Management ecosystem and future roadmap. QualificationsBachelor’s degree in Business, Finance, or a related field1-2 years of experience in Business Analysis or a similar functionWell-rounded with experience multi-tasking, working in a team environment with an ability to work independently under tight deadlines and a willingness to take ownership of problemsSelf-motivated with an ability to prioritize, meet deadlines, and manage changing prioritiesExcellent analytical skills and high attention to detailA degree of comfort with ambiguity and a ‘no task is too small’ mentalityProficient in Microsoft applicationsExperience in database query languages is preferred","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=188953&s=149&guid=000001676fde547d96b1890abcc6068a&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c6e63a65&cb=1543770101283&jobListingId=2982850157"
"Head of Business to Business Customer Analytics & Insights (Business Functional Manager 1)","Wells Fargo","San Francisco","CA","$93k-$146k(Glassdoor Est.)","Job DescriptionAt Wells Fargo, we want to satisfy our customers' financial needs and help them succeed financially. We're looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you'll feel valued and inspired to contribute your unique skills and experience. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.Enterprise Complaints Management OfficeWells Fargo is in the process of implementing an enterprise wide, fully integrated target operating model aligned to the Wells Fargo Complaint Management Policy. The functions created by this effort work closely with second line of defense to define and determine the risk management practices that will need to align with the 1st line of defense needs. The final targeted operating model must meet the requirements outlined in the Federal Reserve and the OCC consent orders.Enterprise Complaints Data, Analytics and Reporting (CDAR)The Enterprise Complaints Management Office has recently established the CDAR organization, which is responsible for providing deep analysis of complaints and insights into customer frustration. CDAR has a broad customer-focused scope and is a consolidation of relevant analytics across the company. The organization was created to enable the development of consistent insights and analytical tools with effectiveness and efficiency throughout Wells Fargo. CDARs focus is on using analytical approaches to find insights into ways Wells Fargo can better serve its customers. CDAR then partners with business, technology, operational and customer experience leaders across the company to develop relevant advanced analytical and technological capabilities and implements them into operations. The organization is also responsible for Enterprise Speech Analytics, Voice of Customer Analytics, and Complaints Reporting and Analytics throughout Wells Fargo.The Role and the TeamThe Head of Business to Business Customer Analytics & Insights is a new role on the CDAR organizations senior leadership team.This executive position will lead an organization within CDAR responsible for building customer focused analytics in support of the CDAR organization as well as the Wholesale and Business to Business product areas. This leader will report to the Head of CDAR with matrixed accountability into the product teams and will lead a team of highly skilled managers and consultants.The Head of Business to Business Customer Analytics & Insights will be accountable for an organization focused on developing and applying analytical approaches to find insights into ways our product teams and customer impacting operations can better serve our customers and improve their experience. This organization actively partners with business and operational teams across the Wholesale and Business to Business areas to develop relevant advanced analytical and technological capabilities and supporting their implementation into operations.This executive will lead an organization of analytics teams focused on the following:Act as an integration point between CDAR and our business partners, developing analytics that support both the business areas and operationalize CDARs enterprise capabilities in the businessIdentify, monitor and provide deep analysis of complaints, customer frustration and related insights to business/operational leadersPartner with the business to develop customer experience/handing strategies fully leveraging advanced analytical capabilitiesProvide business insight into line of businesses following root cause analysis and operational research into customer feedback, activity, transactions and discovery effortsConduct deep dive customer centric analysis of customer-facing processes and interactions to gain a holistic understanding of the customer experience and related opportunitiesConduct development of operational pilots, and implementation of analytics solutions within operationsAssist with go, no go decisioning and/or possible recommendations to enhance implemented changesConstruct and present business cases for improvement efforts focused on implementing advanced analytics into operationsThe CandidateThe successful candidate will have a track record of success in building and managing industry-leading business related analytical functions in the financial services industry. The leader will have substantial experience leading business relevant analytical initiatives and driving complex projects with end-to-end process design and execution experience. The leader will have proven success leading organizations responsible for designing and/or executing analytical activities, operational issue research, or root cause identification. The successful candidate will have extensive experience managing teams under tight timelines and deliverables with exceptional quality and customer service. He/she will be articulate and possess a demonstrated leadership capability; they will have strong interpersonal effectiveness and relationship skills as they will interface and present to members of senior leadership, including risk or oversight groups.Location: Any US location within the Wells Fargo FootprintAs a Team Member Manager, you are expected to achieve success by leading yourself, your team, and the business. Specifically you will: Lead your team with integrity and create an environment where your team members feel included, valued, and supported to do work that energizes them.Accomplish management responsibilities which include sourcing and hiring talented team members, providing ongoing coaching and feedback, recognizing and developing team members, identifying and managing risks, and completing daily management tasks.Required Qualifications6+ years of management experience8+ years of experience in one or more of the following functional areas: business process, quality assurance, strategic planning, or project managementOther Desired QualificationsDemonstrated leadership experience in the following:Analytic, business insights, process re-engineering or design, consultingEvaluating, recommending and implementing analytical strategies using technical resources to predict, improve and measure business processes and new initiatives linked to business outcomesManaging and/or leading the development of analytics or analytic processes focused on improving customer experience and customer impacting operationsPartnering with operational teams to drive and implement analytical processes into business operationsExperiencing implementing controlled analytic modeling processes, e.g. machine learning, AI and/or other processes requiring continual user input and feedback loopsDeveloping analysis leveraged to enable better business decisionsEmerging trends in the industry with a focus on improvement of customer experience; and the ability to translate this knowledge into new capabilitiesKnowledge of the business, products and the ability to look across diverse products areas and operations to see similarities and differencesChampioning change, innovation and collaborates with others on continuous improvementsLeveraging strong communication, partnership, collaboration, and teaming skills to facilitate consensus building and resultsManaging multiple, non-production business functional areas of significant size, scope and/or financial impact includingManaging and influencing effectively in a matrixed organizationPresenting complex ideas in simple ways to all levels of staff managementUsing creative techniques to improve process and to influence consensusExercising independent judgment and creative problem solving techniquesPersonal Attributes:Beyond experience, the right personal style and attitude are critical to success in this role. This individual will be recognized as:Strong communicator and the ability to know the audience and deliver the right message to Senior LeadersStrategic Leader who creates and achieves a desired future state [vision] through influencing individuals and groupsResults oriented with outstanding ability to motivate teams and mobilize the resources to accomplish objectivesA true team player and collaborator, translating prior knowledge and experience into strong and productive relationships internally and externallyHaving organizational awareness Having and using knowledge of systems, situations, pressures, and culture within the company to identify potential organizational problems and opportunities; perceiving the impact and the implications of decisions on other components of the company as well as the impact on investors, customers, and clientsA respected business partner who adds value to the broader teamA strong and effective manager and leader, capable of attracting, mentoring, retaining and promoting talented and productive staffAn impeccable reputation for integrity, accuracy, consistency, big picture orientation and business acumenDedicated, enthusiastic, driven and performance-oriented; possesses a strong work ethicJob ExpectationsThis position requires compliance with all mortgage regulatory requirements and Wells Fargo's compliance policies related to these requirements including acceptable background check investigation results. Successful candidates must also meet ongoing regulatory requirements including additional screening and required reporting of certain incidents.DisclaimerAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=56079&s=149&guid=000001676fde547d96b1890abcc6068a&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d1a06437&cb=1543770101284&jobListingId=3041334765"
"Business Analytics Strategist","iRhythm","San Francisco","CA","","About iRhythm: iRhythm is a leading digital healthcare company focused on the way cardiac arrhythmias are clinically diagnosed by combining our wearable biosensing technology with powerful cloud-based data analytics and machine- learning capabilities. Our goal is to be the leading provider of first-line ambulatory ECG monitoring for patients at risk for arrhythmias. iRhythm's continuous ambulatory monitoring has already put over 1 million patients and their doctors on a shorter path to what they both need answers. About this role: As an integral member of the Business Intelligence team, the Business Analytics Strategist will focus on the identification, definition, implementation, and on-going expansion of the corporate tools and processes critical for reporting and data analysis. This role requires strong analytical and critical thinking skills, strategic business focus and vision, along with excellent problem-solving skills. This position will help drive the evolution of disparate data repositories and reporting tools to real time analytics with enterprise-level capabilities. Collaborating with key stakeholders to define business requirements and performance metrics, as well as setting the direction for continuous analysis will be key activities. This position will have a significant impact on the business by proactively identifying insightful ways of looking at our data, enabling us to identify and optimize actionable, data-driven decisions.  Responsibilities include: Enhance existing processes, reporting, and systems that define, measure, and analyze key performance metrics and business trendsAssist in providing thought leadership and setting the direction for the business intelligence teamWork with stakeholders to define key business requirements and performance metrics. Develop the required standard reports and dashboards. Produce ad hoc analyses.Communicate effectively with executives, functional subject matter experts, and technical resources in analytics and data management. Present and discuss analysis and findings in a manner that persuades, educates, and enhances understanding at all levelsEducate business users on data nuances and develop their ability to identify and distill actionable items thru data mining.Subject matter expert responsible for the management and expansion of Tableau usage. Provide training, direction, and support to Tableau users.About you:BS Degree in business or technology related field.3+ years of experience as a Tableau developer, leveraging data visualizations to help stakeholders engage with and understand the possibilities of analytics.Superior analytical and critical thinking skills. Marketing and business acumen combined with the ability to identify trends and present information in a succinct and actionable mannerExperience defining end user requirements, developing and delivering actionable reporting packages, key performance metrics, dashboards, and visualizations using Tableau.Ability to troubleshoot and mitigate complex customer, department, and functional requests and issues, resulting in sound reporting and analytical solutionsDemonstrated ability to lead and manage change through process development and improvementExceptional customer service orientation with a focus on collaboration and flexibility when working with both external and internal stakeholdersExcellent communication and presentation skillsHigh energy and ability to work both independently and across multiple teams in a rapidly changing environmentHealthcare experience preferredWhat's in it for you: This is a full-time position with competitive salary package and excellent benefits including medical, dental and vision insurance, paid holidays and paid time off.  IRhythm also provides additional benefits including 401K (w/ company match), an Employee Stock Purchase Plan, annual organizational/cultural committee events and more! FLSA Status: Exempt As a part of our core values, we ensure a diverse and inclusive workforce. We welcome and celebrate people of all backgrounds, experiences, skills and perspectives. iRhythm Technologies, Inc. is an Equal Opportunity Employer (M/F/V/D). Pursuant to San Francisco Fair Chance Ordinance, we will consider for employment all qualified applicants with arrest and conviction records. Make iRhythm your path forward.","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=342458&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3cdec54d&cb=1543770101285&jobListingId=3020926706"
"Customer Success Manager","Nanigans","San Francisco","CA","$86k-$128k(Glassdoor Est.)","Customer Success ManagerNanigans is seeking intellectually curious individuals who get excited about learning new things, working hard and collaborating with other talented people. In the role of Platform Account Manager, you will be tasked with two primary objectives:  -Develop and apply a deep understanding of Nanigans’ Ad Engine platform.  -Support, train, and enable advertising performance for our customers via Ad Engine. What You Will Do: Customer Success Managers are expected to be analytical, creative, intuitive and driven as they are tasked with proactively supporting clients who use Nanigans software to manage performance-focused marketing campaigns. Successful candidates will demonstrate a unique blend of creative problem solving, business sense, and analytical aptitude. These individuals are as eager to understand clients’ business opportunities and brainstorm growth and optimization strategies as they are to dive into complex data analysis tasks to produce meaningful insights.  Working closely with Nanigans teams (Sales, Product, Analytics, etc.) for some of the biggest gaming, eCommerce, retail, and travel companies, the Customer Success Manager is integral to campaign performance and long-term customer success. Day to day, you will be at the forefront of digital and mobile advertising innovation, while working directly with many of the world’s most innovative companies.  With a solid foundation in campaign management, successful individuals have the opportunity to further their career by becoming leaders within the group and grow with the company as it expands into new verticals, social & RTB media channels, and locations. Requirements: Campaign Management - 2+ years experience managing user acquisition campaigns is desired, in one or more of: online & mobile display via demand side platforms (DSPs) or for an ad network, Facebook, Twitter, RTB exchanges, SEM/PPC. Programmatic experience is a strong plus.  Analytics - Must be comfortable “doing what it takes” to find answers in large data sets. This will involve working collaboratively with Analytics and Optimization teams, though intermediate to advanced Excel skills is desired. Any experience with SQL/databases, APIs, programming and scripting languages is a plus.  Client Management - Must be comfortable managing communications with clients’ user acquisition teams, and be adept at devising and brainstorming campaign and testing strategies. Must exhibit strong verbal, written, and visual communication skills to manage client relationships and strategic initiatives.","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=398460&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eed0bed0&cb=1543770101286&jobListingId=2852526390"
"Business Analyst","Autodesk","San Francisco","CA","$84k-$131k(Glassdoor Est.)","Location: San Francisco, CA- United StatesJob ID: 18WD27762Position OverviewWe are looking for an experienced, highly motivated Business Analyst (BA) professional to join the Finance Systems and Operations Transformation team. This role will be responsible for analyzing the current-state of mission-critical Finance and Operations capabilities from a people, process, data and technology perspective and perform root cause analysis to inform future-state recommendations. The BA analyzes complex business problems relating to systems and/or process, and assists in providing technical expertise in identifying, evaluating, and developing systems and procedures that meet business stakeholder requirements.The BA must also partner with individuals in organizations outside of Finance to understand upstream and downstream process and system impacts and be able to influence and drive change in these other organizations when appropriate. This role will also act as the conduit between Business Stakeholders and IT development teams on systems projects. The Business Analyst partners with stakeholders to identify specific policy, process, data, and system changes by assessing existing systems, business processes, best practices and business objectives. Defines and documents functional and non-functional requirements. Provides ongoing support to finance stakeholders regarding application functionality, business processes and data integrity.Responsibilities Serve as the liaison between Finance and the IT development teamConsult with project stakeholders to understand business problems and translate them into functional and non-functional requirements. Critically evaluate information gathered from multiple sources and reconcile conflictsDissect high-level information into details and communicate these details in a manner understood by relevant audiencesInfluence requirements and process to effectively utilize systems and applications that support an improved customer experienceEvaluate processes, data and systems using a systematic, disciplined and data-driven approachPropose change to policy/process when necessary to move forward with new designs Perform root cause analysis to identify solutions that address the true source of issues and gapsAnalyze and propose solutions and other changes within the system per user /customer business needsManage conflict and negotiation between teams and across organizational lines to drive towards the most effective solutionsKey contact for preparing use cases, facilitating testing of solutions to ensure they meet business requirements, and prioritize defectsCollaborate with Project Manager on tasks related to the planning, scheduling and coordination of project activities. Estimate resource time and costsBalance business requirements with technical feasibility and set expectations on new projects. Recommend changes in development, maintenance and system standards. Determine resources and timelineMinimum QualificationsBachelor degree required (finance, business, information systems); graduate degree preferred5 years in business process analysis, business analysis, management consulting and/or change managementProven track record of analyzing complex processes and driving execution of improvementsFunctional knowledge of process improvement methodologies (BPM, Six Sigma, Lean)Lean, Six Sigma or BPM Certification a plusFinance Analyst or Finance business intelligence and reporting experience a plusThe Ideal Candidate Successfully frame and communicate issues to a wide audience in order to gain understanding of the issue and drive consensus on a future vision Engage, communicate and influence effectively at all levels of the organization (from analysts to senior VPs) and across global teams using data and compelling narrativesExcellent leadership and organizational management skillsBreak down very large, complex processes into digestible and concise piecesComfortable with ambiguity and able to adapt to rapidly changing business environmentMust be able to achieve results in a culture that favors collaborative decision makingProactive problem solving and self-starting individualMust be a flexible and creative individual capable of managing multiple priorities and projects in a diverse environment","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=278945&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_03fee637&cb=1543770101287&jobListingId=2982622630"
"Qualitative UX Researcher, Growth Product","Pinterest","San Francisco","CA","$126k-$182k(Glassdoor Est.)"," We're looking for a Qualitative UX Researcher who has worked on and is passionate about digital products & specifically growing a user base globally. If you're a dedicated researcher who can design, execute, and communicate strategic research in a fast paced environment, this might be the perfect role for you! What you'll do :Proactively and in partnership with core stakeholders identify and prioritize and conduct research that varies in approach, scale, scope, timeframe and methodologyGenerate insights to both fuel innovation and evaluate designsEvaluate learnings and shape recommendations in context with other datastreams including business needs, experiment results and behavioral dataCommunicate and share research insights in a creative and compelling wayCollaborate as a strategic partner on multidisciplinary teams with PMs, Designers, Engineers, Business Analytics, Writers and other ResearchersWhat we're looking for :An experienced qualitative UX researcher with a deep toolkit and breadth of experiences running hands on UX research (including for example: workshops, moderating online and in-person one-on-ones, scoping longitudinal studies and leading ethnographies) who deeply understands the research process and knows when to break out of it as need beSuccessful collaboration experience both with other Researchers and with Design, Engineering and Product Management stakeholders4+ years of applied product development research; having Growth Research experience is a plusFamiliarity with quantitative methods, including experimental design and A/B testingAbility and willingness to travel up to 15% of the time #LI-RP1","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=341399&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_062c8499&cb=1543770101288&jobListingId=2967250729"
"Business Analyst","Getaround","San Francisco","CA","$61k-$99k(Glassdoor Est.)","As a Business Analyst on the Business Intelligence team, you will have a unique opportunity to work closely with and impact every team at Getaround, including Marketing, Sales, Operations, Product, Finance, and our Leadership team. It is our goal to ensure that everyone in the business has access to accurate information and enable data-informed decision making. Our ideal candidate has a strong analytical, technical, and business background with a motivation to influence the future of mobility. What youll be doing: Working closely with business owners to understand and identify key business questions, challenges, and KPIs to increase cars and renters on the Getaround platform and guide outstanding decision makingEmpowering teams at Getaround to track business success on a weekly, monthly, and quarterly basis through the building and maintaining of dashboards and other toolsInterpreting large data sets, preparing recommendations, and presenting to senior members of the team to influence the strategic direction of the companyTroubleshooting data issues, validating result sets, and recommending/implementing process improvements Requirements:Academic background in finance, economics, math, computer science, or related quantitative field4+ years experience in an analytics role in a fast-paced environment like tech, consulting, investment banking, etc.Expertise manipulating large data sets and building models in Excel/Google SheetsExpertise with LookML or other SQL languagesExperience with a Business Intelligence tool like Looker, Tableau, GoodData, Pentaho, etc.Results drivenget it done personality; able to balance multiple projects as second natureStrong verbal and written communication skills; able to produce high quality and concise deliverablesExperience managing project ambiguity, complexity, and interdependencies in a methodical and structured way Nice to haves: Expertise with Google App Script or another programming language like Javascript, Python, or RExposure to operations research methodologies Experience designing and building custom software tools.","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=375506&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_466dca95&cb=1543770101289&jobListingId=2870335814"
"Junior Project Manager / Business Analyst","Essention","San Francisco","CA",""," Ready to take your career to the next level?  We’re looking for ambitious technology experts to expand our team of seasoned consultants.  At Essention, we’re passionate about nurturing your professional growth in order to directly increase your earning potential. Cultivating a growth mentality is a big part of our company culture!  Founded in 2007, Essention is a well-established technology consulting firm located in the heart San Francisco’s SOMA district. We’re small enough that your individual contributions make an impact, but our resources are scalable, making us capable of supporting sizeable enterprise and government projects.  We’re looking to hire immediately for a Business Analyst/Jr. Project Manager to assist in managing our internal Essention and external San Francisco based client projects. This consultant will work directly with the company’s CEO and its technical leads through all phases of the project lifecycle. You’ll learn directly from industry veterans (15+ years of experience individually) who come from the Big 5 consulting companies, and who have carried hundreds of technical projects to completion.  The salary for this role is competitive, and will range is $90-$100K depending on your experience, play additional compensation based on quarterly performance.  Apply now! Send your resume to aaron@essention.co or simply share your LinkedIn profile. We’ll review your application and get back to you right away. We’re looking to hire ASAP!  Experience:  2-3 years of experience as a business analyst or project manager.  Experience with interviewing business users and gathering requirements (ie Work experience or college class projects)  Experience writing requirement documentation, drafting PowerPoint presentations  Proven leadership and problem solving/issue resolution skills (ie Work experience or college class projects)  Excellent communication skills both verbally and in written form. Ability to comfortably interface with all levels of a business organization.  Experience working with SharePoint and/or O365 SharePoint Online project is a plus.  Experience in the financial services industry is a plus.  Role Requirements:  Assist the Essention project team with managing deliverables  Project manage small client engagements  Act as intermediary between the client and Essention’s technical teams (onshore and offshore)  The ability to successfully engage in multiple initiatives simultaneously  Gather and develop requirements specifications according to standard templates, as required.  Communicate key performance information/metrics to the senior management team.","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=429803&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1af9f20b&cb=1543770101290&jobListingId=3007722660"
"Customer Success Manager","NewVoiceMedia","San Francisco","CA","$65k-$98k(Glassdoor Est.)"," normal'>OUR  COMPANY  NewVoiceMedia is a global provider of cloud  contact centre and inside sales technology that enables businesses to have  more successful conversations. Through our world-class ContactWorld  solutions, NewVoiceMedia enables our 700+ customers to take everything they  know about their customers in Salesforce or other CRM and bring that to every  prospect/customer conversation, driving improved engagement, relationships and  loyalty.  We are experiencing double-digit growth in every  region around the world, and we are looking for great candidates that want to  bring their drive and enthusiasm to the table, be part of an explosive growth  company, learn a ton, and have fun with a great team. Hence, we are looking to  build out our Global Sales Operations team, based in our HQ.  YOUR ROLE  Reporting to the Vice President, Account  Management the Customer Success Manager will deliver an outstanding customer  experience. Your primary role will be to focus on ensuring our customers are  100% happy with the services & products they purchase from us. This will  involve driving continual improvement in all aspects of our service including  project delivery, training, support and product adoption. The secondary focus  of this role will be assisting in the sales cycle to support our account team  to grow our business within major accounts.  YOUR MAIN RESPONSIBILITIES  = Continually gauge and  improve customer satisfaction  = Run through standard  CSAT questionnaire  = Identify pain points  and provide solutions through configuration  = Uncover training areas  to enhance user adoption  = Ensure the system is  being used for maximum benefit  = Solidify partnership  by identifying company short and long-term objectives  = Define strategic  solutions  = Service reviews  = Overview on all recent  cases frequency/resolutions time (agree format in first meeting)  = Update on open  projects  = Review of roadmap  interests  =  Recap of previous quarterly goals  OTHER RESPONSIBILITES  = Manage a portfolio of  clients to ensure all their technical requirements are achieved and continuous improvement  programs are manager correctly.  = Build strong and  positive relationships with clients at various levels.  = Build and documents  knowledge about the client's business and technical setup, to aid all areas  within NVM.  = Ensure that handover  processes and documentation is completed from Pre-Sales to PS to Support.  = Communication in the  triage of issues and feature requests so that a clear documented path of  impact, timelines and urgency to resolve issues is understood.  = Taking the output from  product mangers then assist in running product roadmap sessions with major  clients, so they are kept abreast of new features and functionality.  = Manager regular  newsletter or usage report for client communication.  = Identify any training/knowledge  needs for clients and assist in delivering the training.  = Help grow the service  usage by supporting the account management team in pre-sales activities.  = Organize and lead  scheduled service reviews for portfolio client.  = Assist customers to  achieve better results with their existing NVM service.  = Ensure the customer is  a useable reference.  = Organize and run a  method of obtaining customer feedback and implement plans to continually  improve service.  THE SKILLS YOULL NEED TO DO THIS JOB WELL:  = Proven track record in  performing well in a fast pace environment and organizational skills to manage  multiple clients from varying business sectors.  = Strong  analytical and decision-making skills that can be applied in a fast-moving  environment.  = Excellent  written and verbal communication skills.  = Presentation  and facilitation skills.  = Strong  verbal and written communication skills  = Strong  analytical and decision-making skills that can be applied in a fast-moving  environment.  = Excellent  written and verbal communication skills.  = Minimum  3 years experience within the Contact Center industry or Cloud Technology  environment.  = Ability  to travel on short notice.  THE CHARACTER TRAITS WERE LOOKING FOR:  = Self-motivated  and driven  = Detail  orientated  = Enjoy  working in a fast-paced environment  = Able  to work collaboratively within different teams and with differing levels of  seniority  = Passionate  about delivering excellence  = Self-starting  and able to self-manage  WE WILL OFFER YOU:  = Friendly,  fast paced environment with exceptional opportunities to progress within the  company  = Excellent  training along with a clearly defined career path  = Highly  competitive package including a range of benefits  = Free  morning coffee, free refreshments and snacks all day.  = PTO  and sick leave plus bank holidays  = 2  days per year volunteer days of your choosing  = Medical,  Dental, Vision Insurance and Life insurance.  = Defined  bonus scheme","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=324828&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_08a6701a&cb=1543770101290&jobListingId=2994721189"
"Director of Client Success","ZeroCater","San Francisco","CA","$123k-$181k(Glassdoor Est.)"," We are looking for a hands-on, process-driven Director of Client Success to lead the team during an exciting growth phase at ZeroCater. This role will lead an organizational transition to the adoption of best-in-class client success methods and metrics. As the Client Success leader, you will be responsible for building a portfolio-based culture where individuals are responsible for renewal and upsell revenue for ZeroCater. You'll be tasked with building best practices for all tiers of service, from Enterprise to SMB, in collaboration with Sales, Enablement, and Product teams. This is an awesome opportunity to play a critical role in helping our clients understand the value of our service, ensuring a successful onboarding, and driving client lifetime value.  WHAT YOU'LL DO Lead a team of 2 Client Success Managers and approximately 10 skip-level individual contributorsClearly articulate the organization's mission and goals, motivating team to over-achieve on those goals and be enthusiastically accepted as a leaderDevelop and roll out best-in-class scalable processes for ongoing efficiency and effectiveness improvementsEstablish a Client Success portfolio structure that establishes existing client revenue targets and associated weekly forecasting activitiesPartner cross-functionally to organize internal resources to solve client business challengesProvide a clear view of organizational metrics and status to the Executive team with optimization recommendations and needs WHO YOU ARE 8+ years of experience, with 3+ in management, in a client/customer success or account management functionDemonstrated ability to communicate, present, and influence effectively at all levels of an organizationExperience managing revenue-based portfolios and guiding a team to consistently accurate forecastsStrong client empathy, a deep understanding of value drivers, and passion for solving complex business problemsAnalytical mindset with a data-driven approach to problem-solvingProven success within various environments (start-ups, publicly owned, etc) and experience in food industry organization a plus ""The shared meal elevates eating from a mechanical process of fueling the body to a ritual of family and community, from the mere animal biology to an act of culture.""  - Michael Pollan We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.If you need assistance or an accommodation due to a disability, please contact us at accommodations@zerocater.com.","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=359691&s=58&guid=000001676fde547dbb9851bfafbfec21&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6c9b7584&cb=1543770101291&jobListingId=2893108042"
